# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/regulons_in_gos_v3.pl on Tue Oct  2 19:39:19 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
# /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/go_uniq_levels_extended_no12.txt
Group name	GO ID	GO level	Genes in group	Genes in GO	Percentage	GO name
Ada-Methylated_neg	GO:0006307	8	2	2	1.00	DNA dealkylation involved in DNA repair
Ada-Methylated_pos	GO:0006974	5	4	4	1.00	cellular response to DNA damage stimulus
AllS-allantoin_pos	GO:0009442	7	2	2	1.00	allantoin assimilation pathway
AraC-L-arabinose_neg	GO:0044238	3	7	7	1.00	primary metabolic process
AraC-L-arabinose_neg	GO:0071704	3	7	7	1.00	organic substance metabolic process
AraC-L-arabinose_pos	GO:0044237	3	9	5	0.56	cellular metabolic process
AraC-L-arabinose_pos	GO:0071704	3	9	5	0.56	organic substance metabolic process
ArcA-Phosphorylated_neg	GO:0044237	3	113	83	0.73	cellular metabolic process
ArcA-Phosphorylated_pos	GO:0044237	3	53	41	0.77	cellular metabolic process
ArgP-L-arginine_pos	GO:0006807	3	15	13	0.87	nitrogen compound metabolic process
ArgP-L-arginine_pos	GO:0044237	3	15	13	0.87	cellular metabolic process
ArgP-L-arginine_pos	GO:0044238	3	15	13	0.87	primary metabolic process
ArgP-L-arginine_pos	GO:0071704	3	15	13	0.87	organic substance metabolic process
ArgR-L-arginine_neg	GO:0044237	3	31	20	0.65	cellular metabolic process
ArgR-L-arginine_pos	GO:0006527	8	2	2	1.00	arginine catabolic process
BaeR-Phosphorylated_pos	GO:0055085	5	8	5	0.62	transmembrane transport
BirA-bio-5'-AMP_neg	GO:0032787	7	5	5	1.00	monocarboxylic acid metabolic process
BirA-bio-5'-AMP_neg	GO:0072330	7	5	5	1.00	monocarboxylic acid biosynthetic process
CRP-cAMP_neg	GO:0071704	3	116	74	0.64	organic substance metabolic process
CRP-cAMP_pos	GO:0071704	3	371	204	0.55	organic substance metabolic process
ChbR-Monoacetylchitobiose-6P_neg	GO:0009401	7	6	3	0.50	phosphoenolpyruvate-dependent sugar phosphotransferase system
ChbR-Monoacetylchitobiose-6P_neg	GO:1902815	7	6	3	0.50	N,N'-diacetylchitobiose import
ChbR-Monoacetylchitobiose-6P_pos	GO:0009401	7	6	3	0.50	phosphoenolpyruvate-dependent sugar phosphotransferase system
ChbR-Monoacetylchitobiose-6P_pos	GO:1902815	7	6	3	0.50	N,N'-diacetylchitobiose import
CpxR-Phosphorylated_neg	GO:0051234	3	18	7	0.39	establishment of localization
CpxR-Phosphorylated_pos	GO:0071704	3	40	17	0.42	organic substance metabolic process
CreB-Phosphorylated_neg	GO:0015768	9	3	3	1.00	maltose transport
CreB-Phosphorylated_pos	GO:0006796	5	3	2	0.67	phosphate-containing compound metabolic process
CueR-Ag_neg	GO:0006732	5	5	5	1.00	coenzyme metabolic process
CueR-Ag_neg	GO:0006796	5	5	5	1.00	phosphate-containing compound metabolic process
CueR-Ag_neg	GO:0018130	5	5	5	1.00	heterocycle biosynthetic process
CueR-Ag_neg	GO:0043545	5	5	5	1.00	molybdopterin cofactor metabolic process
CueR-Ag_neg	GO:0051188	5	5	5	1.00	cofactor biosynthetic process
CueR-Ag_neg	GO:0051189	5	5	5	1.00	prosthetic group metabolic process
CueR-Ag_neg	GO:0090407	5	5	5	1.00	organophosphate biosynthetic process
CueR-Ag_neg	GO:1901362	5	5	5	1.00	organic cyclic compound biosynthetic process
CueR-Ag_neg	GO:1901566	5	5	5	1.00	organonitrogen compound biosynthetic process
CueR-Ag_pos	GO:0046688	6	2	2	1.00	response to copper ion
CueR-Cu+_neg	GO:0006732	5	5	5	1.00	coenzyme metabolic process
CueR-Cu+_neg	GO:0006796	5	5	5	1.00	phosphate-containing compound metabolic process
CueR-Cu+_neg	GO:0018130	5	5	5	1.00	heterocycle biosynthetic process
CueR-Cu+_neg	GO:0043545	5	5	5	1.00	molybdopterin cofactor metabolic process
CueR-Cu+_neg	GO:0051188	5	5	5	1.00	cofactor biosynthetic process
CueR-Cu+_neg	GO:0051189	5	5	5	1.00	prosthetic group metabolic process
CueR-Cu+_neg	GO:0090407	5	5	5	1.00	organophosphate biosynthetic process
CueR-Cu+_neg	GO:1901362	5	5	5	1.00	organic cyclic compound biosynthetic process
CueR-Cu+_neg	GO:1901566	5	5	5	1.00	organonitrogen compound biosynthetic process
CueR-Cu+_pos	GO:0046688	6	2	2	1.00	response to copper ion
CuerR-Au_neg	GO:0006732	5	5	5	1.00	coenzyme metabolic process
CuerR-Au_neg	GO:0006796	5	5	5	1.00	phosphate-containing compound metabolic process
CuerR-Au_neg	GO:0018130	5	5	5	1.00	heterocycle biosynthetic process
CuerR-Au_neg	GO:0043545	5	5	5	1.00	molybdopterin cofactor metabolic process
CuerR-Au_neg	GO:0051188	5	5	5	1.00	cofactor biosynthetic process
CuerR-Au_neg	GO:0051189	5	5	5	1.00	prosthetic group metabolic process
CuerR-Au_neg	GO:0090407	5	5	5	1.00	organophosphate biosynthetic process
CuerR-Au_neg	GO:1901362	5	5	5	1.00	organic cyclic compound biosynthetic process
CuerR-Au_neg	GO:1901566	5	5	5	1.00	organonitrogen compound biosynthetic process
CuerR-Au_pos	GO:0046688	6	2	2	1.00	response to copper ion
CusR-Pasp_pos	GO:0044237	3	12	8	0.67	cellular metabolic process
CynR-Cyanate_pos	GO:0009440	6	3	3	1.00	cyanate catabolic process
CysB-N-acetyl-L-serine_neg	GO:0044237	3	7	6	0.86	cellular metabolic process
CysB-N-acetyl-L-serine_pos	GO:0044237	3	19	11	0.58	cellular metabolic process
CysB-O-acetyl-L-serine_neg	GO:0044237	3	7	6	0.86	cellular metabolic process
CysB-O-acetyl-L-serine_pos	GO:0044237	3	20	12	0.60	cellular metabolic process
DcuR-Phosphorylated_pos	GO:0044237	3	9	7	0.78	cellular metabolic process
DnaA-ATP_neg	GO:0044238	3	10	10	1.00	primary metabolic process
DnaA-ATP_neg	GO:0071704	3	10	10	1.00	organic substance metabolic process
DnaA-ATP_pos	GO:0006807	3	7	7	1.00	nitrogen compound metabolic process
DnaA-ATP_pos	GO:0044237	3	7	7	1.00	cellular metabolic process
DnaA-ATP_pos	GO:0044238	3	7	7	1.00	primary metabolic process
DnaA-ATP_pos	GO:0071704	3	7	7	1.00	organic substance metabolic process
DpiA-Pasp_pos	GO:0044237	3	8	6	0.75	cellular metabolic process
DsdC-D-serine_pos	GO:0006974	5	2	2	1.00	cellular response to DNA damage stimulus
EvgA-Phosphorylated_pos	GO:0010447	5	9	4	0.44	response to acidic pH
FNR-[4Fe-4S]2+ reduced_neg	GO:0044237	3	100	76	0.76	cellular metabolic process
FNR-[4Fe-4S]2+ reduced_pos	GO:0044237	3	174	117	0.67	cellular metabolic process
FhlA-Formate_pos	GO:0071704	3	17	13	0.76	organic substance metabolic process
FucR-L-fuculose-1-phosphate_pos	GO:0042355	8	5	4	0.80	L-fucose catabolic process
Fur-Fe2+_neg	GO:0044237	3	100	53	0.53	cellular metabolic process
Fur-Fe2+_pos	GO:0044237	3	24	15	0.62	cellular metabolic process
Fur-Mn2+_neg	GO:0044237	3	100	53	0.53	cellular metabolic process
Fur-Mn2+_pos	GO:0044237	3	24	15	0.62	cellular metabolic process
GlcC-Acetate_pos	GO:0032787	7	5	4	0.80	monocarboxylic acid metabolic process
GlcC-Acetate_pos	GO:0072329	7	5	4	0.80	monocarboxylic acid catabolic process
GlcC-Glycolate_pos	GO:0032787	7	5	4	0.80	monocarboxylic acid metabolic process
GlcC-Glycolate_pos	GO:0072329	7	5	4	0.80	monocarboxylic acid catabolic process
IclR-pyruvate_neg	GO:0032787	7	4	3	0.75	monocarboxylic acid metabolic process
IdnR-5-ketogluconate_neg	GO:1903507	9	3	1	0.33	negative regulation of nucleic acid-templated transcription
IdnR-5-ketogluconate_neg	GO:1903508	9	3	1	0.33	positive regulation of nucleic acid-templated transcription
IdnR-5-ketogluconate_pos	GO:0032787	7	4	3	0.75	monocarboxylic acid metabolic process
IdnR-5-ketogluconate_pos	GO:0046183	7	4	3	0.75	L-idonate catabolic process
IdnR-5-ketogluconate_pos	GO:0072329	7	4	3	0.75	monocarboxylic acid catabolic process
IdnR-Idonate_neg	GO:1903507	9	3	1	0.33	negative regulation of nucleic acid-templated transcription
IdnR-Idonate_neg	GO:1903508	9	3	1	0.33	positive regulation of nucleic acid-templated transcription
IdnR-Idonate_pos	GO:0032787	7	4	3	0.75	monocarboxylic acid metabolic process
IdnR-Idonate_pos	GO:0046183	7	4	3	0.75	L-idonate catabolic process
IdnR-Idonate_pos	GO:0072329	7	4	3	0.75	monocarboxylic acid catabolic process
IscR-[2Fe-2S]1+_neg	GO:0044237	3	24	16	0.67	cellular metabolic process
IscR-[2Fe-2S]1+_pos	GO:0044237	3	10	9	0.90	cellular metabolic process
LldR-L-lactate_neg	GO:0006974	5	3	2	0.67	cellular response to DNA damage stimulus
LldR-L-lactate_pos	GO:0006974	5	3	2	0.67	cellular response to DNA damage stimulus
Lrp-Leucine_neg	GO:0044237	3	35	17	0.49	cellular metabolic process
Lrp-Leucine_neg	GO:0044281	3	35	17	0.49	small molecule metabolic process
Lrp-Leucine_neg	GO:0071704	3	35	17	0.49	organic substance metabolic process
Lrp-Leucine_pos	GO:0006807	3	31	17	0.55	nitrogen compound metabolic process
Lrp-Leucine_pos	GO:0044237	3	31	17	0.55	cellular metabolic process
Lrp-Leucine_pos	GO:0044238	3	31	17	0.55	primary metabolic process
Lrp-Leucine_pos	GO:0071704	3	31	17	0.55	organic substance metabolic process
LsrR_neg	GO:0055085	5	7	4	0.57	transmembrane transport
MalT-ADP-Maltotriose_pos	GO:0042956	8	9	5	0.56	maltodextrin transport
MalT-Maltotriose-ATP_pos	GO:0042956	8	9	5	0.56	maltodextrin transport
MelR-Melibiose_neg	GO:0044248	4	3	2	0.67	cellular catabolic process
MelR-Melibiose_neg	GO:1901575	4	3	2	0.67	organic substance catabolic process
MelR-Melibiose_pos	GO:0044248	4	3	2	0.67	cellular catabolic process
MelR-Melibiose_pos	GO:1901575	4	3	2	0.67	organic substance catabolic process
MetJ-S-adenosylmethionine_neg	GO:1901564	4	12	7	0.58	organonitrogen compound metabolic process
MetR-L-homocysteine_neg	GO:0006565	8	2	1	0.50	L-serine catabolic process
MetR-L-homocysteine_neg	GO:1903506	8	2	1	0.50	regulation of nucleic acid-templated transcription
MetR-L-homocysteine_pos	GO:0006807	3	4	4	1.00	nitrogen compound metabolic process
MetR-L-homocysteine_pos	GO:0044237	3	4	4	1.00	cellular metabolic process
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	GO:0019439	5	4	4	1.00	aromatic compound catabolic process
MhpR-3HPP_pos	GO:0019439	5	4	4	1.00	aromatic compound catabolic process
MntR-Cd2+_neg	GO:0070887	4	3	2	0.67	cellular response to chemical stimulus
ModE-MoO42-_neg	GO:0006810	4	15	8	0.53	transport
ModE-MoO42-_pos	GO:0044237	3	23	14	0.61	cellular metabolic process
NarL-Phosphorylated_neg	GO:0044237	3	71	53	0.75	cellular metabolic process
NarL-Phosphorylated_pos	GO:0044237	3	39	32	0.82	cellular metabolic process
NarP-Phosphorylated_neg	GO:0044237	3	22	15	0.68	cellular metabolic process
