# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/regulons_in_gos_v3.pl on Tue Oct  2 19:40:40 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
# /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/go_uniq_levels_extended_no12.txt
Group name	GO ID	GO level	Genes in group	Genes in GO	Percentage	GO name
AccB_neg	GO:0032787	7	2	2	1.00	monocarboxylic acid metabolic process
AccB_neg	GO:0072330	7	2	2	1.00	monocarboxylic acid biosynthetic process
AcrR_neg	GO:1903506	8	9	4	0.44	regulation of nucleic acid-templated transcription
Ada_neg	GO:0006307	8	2	2	1.00	DNA dealkylation involved in DNA repair
Ada_pos	GO:0006974	5	4	4	1.00	cellular response to DNA damage stimulus
AdiY_pos	GO:0019752	6	7	6	0.86	carboxylic acid metabolic process
AgaR_neg	GO:0008643	6	11	7	0.64	carbohydrate transport
AgaR_neg	GO:0034219	6	11	7	0.64	carbohydrate transmembrane transport
AllR_neg	GO:0044237	3	8	5	0.62	cellular metabolic process
AllR_neg	GO:0044281	3	8	5	0.62	small molecule metabolic process
AllR_neg	GO:0071704	3	8	5	0.62	organic substance metabolic process
AllS_pos	GO:0009442	7	2	2	1.00	allantoin assimilation pathway
AlsR_neg	GO:0015754	9	6	3	0.50	allose transmembrane transport
AppY_pos	GO:0044237	3	7	7	1.00	cellular metabolic process
AraC_neg	GO:0044238	3	7	7	1.00	primary metabolic process
AraC_neg	GO:0071704	3	7	7	1.00	organic substance metabolic process
AraC_pos	GO:0044237	3	9	5	0.56	cellular metabolic process
AraC_pos	GO:0071704	3	9	5	0.56	organic substance metabolic process
ArgP_pos	GO:0006807	3	13	11	0.85	nitrogen compound metabolic process
ArgP_pos	GO:0044237	3	13	11	0.85	cellular metabolic process
ArgP_pos	GO:0044238	3	13	11	0.85	primary metabolic process
ArgP_pos	GO:0071704	3	13	11	0.85	organic substance metabolic process
