# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/regulons_in_gos_v3.pl on Tue Oct  2 16:58:26 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
# /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/go_uniq_levels_extended.txt
# Group name	GO ID	GO level	Genes in group	Genes in GO	Percentage	GO name
AccB	GO:0032787	7	2	2	1.00	monocarboxylic acid metabolic process
AccB	GO:0072330	7	2	2	1.00	monocarboxylic acid biosynthetic process
AcrR	GO:0008150	1	9	9	1.00	biological process
Ada	GO:0006974	5	4	4	1.00	cellular response to DNA damage stimulus
AdiY	GO:0009987	2	7	7	1.00	cellular process
AgaR	GO:0008150	1	11	11	1.00	biological process
AllR	GO:0008150	1	8	8	1.00	biological process
AllS	GO:0009442	7	2	2	1.00	allantoin assimilation pathway
AlsR	GO:0008150	1	6	6	1.00	biological process
AppY	GO:0044237	3	7	7	1.00	cellular metabolic process
AraC	GO:0008150	1	12	12	1.00	biological process
ArgP	GO:0008150	1	14	14	1.00	biological process
ArgR	GO:0008150	1	32	32	1.00	biological process
ArsR	GO:0046685	4	3	3	1.00	response to arsenic-containing substance
AscG	GO:0008150	1	5	5	1.00	biological process
AsnC	GO:0008150	1	4	4	1.00	biological process
BaeR	GO:0008150	1	8	8	1.00	biological process
BasR	GO:0008150	1	12	12	1.00	biological process
BetI	GO:0006950	3	4	4	1.00	response to stress
BirA	GO:0032787	7	5	5	1.00	monocarboxylic acid metabolic process
BirA	GO:0072330	7	5	5	1.00	monocarboxylic acid biosynthetic process
BluR	GO:0008150	1	3	3	1.00	biological process
CadC	GO:0008150	1	3	3	1.00	biological process
CaiF	GO:0008150	1	7	7	1.00	biological process
Cbl	GO:0009987	2	9	9	1.00	cellular process
CdaR	GO:0008150	1	9	9	1.00	biological process
CecR	GO:0008150	1	5	5	1.00	biological process
ChbR	GO:0008150	1	6	6	1.00	biological process
CpxR	GO:0008150	1	58	58	1.00	biological process
Cra	GO:0008150	1	72	72	1.00	biological process
CreB	GO:0015768	9	3	3	1.00	maltose transport
CsgD	GO:0008150	1	17	17	1.00	biological process
CsiR	GO:0009987	2	4	4	1.00	cellular process
CspA	GO:0009987	2	2	2	1.00	cellular process
CueR	GO:0008150	1	7	7	1.00	biological process
CusR	GO:0009987	2	12	12	1.00	cellular process
CynR	GO:0009440	6	3	3	1.00	cyanate catabolic process
CysB	GO:0008150	1	28	28	1.00	biological process
CytR	GO:0008150	1	12	12	1.00	biological process
Dan	GO:0008150	1	4	4	1.00	biological process
DcuR	GO:0009987	2	9	9	1.00	cellular process
DeoR	GO:0008150	1	6	6	1.00	biological process
DhaR	GO:0044237	3	4	4	1.00	cellular metabolic process
DhaR	GO:0044238	3	4	4	1.00	primary metabolic process
DhaR	GO:0071704	3	4	4	1.00	organic substance metabolic process
DicA	GO:0008150	1	4	4	1.00	biological process
DinJ-YafQ	GO:0010629	7	3	3	1.00	negative regulation of gene expression
DnaA	GO:0044238	3	11	11	1.00	primary metabolic process
DnaA	GO:0071704	3	11	11	1.00	organic substance metabolic process
DpiA	GO:0008150	1	9	9	1.00	biological process
DsdC	GO:0009987	2	3	3	1.00	cellular process
EnvR	GO:0006855	6	2	2	1.00	drug transmembrane transport
EnvY	GO:0006811	5	2	2	1.00	ion transport
EnvY	GO:0055085	5	2	2	1.00	transmembrane transport
EnvY	GO:0071702	5	2	2	1.00	organic substance transport
EvgA	GO:0008150	1	12	12	1.00	biological process
ExuR	GO:0008150	1	9	9	1.00	biological process
FabR	GO:0032787	7	2	2	1.00	monocarboxylic acid metabolic process
FabR	GO:0072330	7	2	2	1.00	monocarboxylic acid biosynthetic process
FadR	GO:0008150	1	21	21	1.00	biological process
FeaR	GO:0042402	7	2	2	1.00	cellular biogenic amine catabolic process
FhlA	GO:0008150	1	17	17	1.00	biological process
FlhDC	GO:0008150	1	57	57	1.00	biological process
FliZ	GO:0008150	1	17	17	1.00	biological process
FucR	GO:0008150	1	5	5	1.00	biological process
Fur	GO:0008150	1	108	108	1.00	biological process
GadE	GO:0008150	1	24	24	1.00	biological process
GadE-RcsB	GO:0008150	1	8	8	1.00	biological process
GadW	GO:0008150	1	11	11	1.00	biological process
GadX	GO:0008150	1	24	24	1.00	biological process
GalR	GO:0008150	1	10	10	1.00	biological process
GalS	GO:0008150	1	10	10	1.00	biological process
GatR	GO:0008150	1	6	6	1.00	biological process
GcvA	GO:0006807	3	4	4	1.00	nitrogen compound metabolic process
GcvA	GO:0044237	3	4	4	1.00	cellular metabolic process
GcvA	GO:0044238	3	4	4	1.00	primary metabolic process
GcvA	GO:0071704	3	4	4	1.00	organic substance metabolic process
GlcC	GO:0008150	1	6	6	1.00	biological process
GlpR	GO:0008150	1	8	8	1.00	biological process
GlrR	GO:0008150	1	3	3	1.00	biological process
GntR	GO:0008150	1	10	10	1.00	biological process
GutM	GO:0008150	1	7	7	1.00	biological process
GutR	GO:0008150	1	7	7	1.00	biological process
HU	GO:0008150	1	7	7	1.00	biological process
HcaR	GO:0008150	1	6	6	1.00	biological process
HdfR	GO:0044249	4	4	4	1.00	cellular biosynthetic process
HdfR	GO:1901576	4	4	4	1.00	organic substance biosynthetic process
HigA	GO:2000112	7	2	2	1.00	regulation of cellular macromolecule biosynthetic process
HigB-HigA	GO:2000112	7	2	2	1.00	regulation of cellular macromolecule biosynthetic process
HipAB	GO:0006807	3	4	4	1.00	nitrogen compound metabolic process
HipAB	GO:0044237	3	4	4	1.00	cellular metabolic process
HipAB	GO:0044238	3	4	4	1.00	primary metabolic process
HipAB	GO:0071704	3	4	4	1.00	organic substance metabolic process
HipB	GO:0044237	3	5	5	1.00	cellular metabolic process
HipB	GO:0044238	3	5	5	1.00	primary metabolic process
HipB	GO:0071704	3	5	5	1.00	organic substance metabolic process
