#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	cspB//kilR//rfaQ//rplQ//
GO_0000023_6	rlmF//
GO_0000025_7	cadC//
GO_0000027_7	sad//glpX//nudB//yhdZ//thiC//hokB//yccA//yafO//suhB//cusS//dppB//yihI//sucC//
GO_0000028_7	perR//appY//gpsA//asnB//mltF//mgtL//crfC//emrE//hldE//
GO_0000032_8	queD//
GO_0000041_8	bioC//fabI//aroB//lasT//fliK//panB//ybjG//fliA//aslB//fadA//hprS//fabI//tyrR//ybhG//ampH//torA//ybjD//cheB//atpF//lpxH//lsrD//recO//yihW//frvA//maa//hycB//gloA//yieF//sthA//livM//yibA//purR//wecC//udk//ydeI//topAI//mltB//narL//yaaU//
GO_0000050_5	gcvR//yjgX//rlmF//rfaG//lpxB//cas2//ptsP//
GO_0000053_5	relA//
GO_0000096_5	emrY//adiC//flhD//grcA//aroL//atpB//mrp//bipA//fruK//yadC//flgD//idnD//pck//rluF//nanS//rpmB//yihR//ugpE//lysS//proC//acpP//
GO_0000097_6	yiaF//mog//nfo//cbeA//yahB//fecD//araB//yfbS//pykA//phnH//yeiL//napF//gltL//mdh//
GO_0000098_6	crl//yceO//glgX//gpsA//torI//
GO_0000101_6	pflB//bsmA//recC//fcl//agp//alkB//entD//waaF//mdtC//agaW//lptB//ilvC//fhuF//coaA//alaE//
GO_0000103_5	cptB//aspA//psuG//
GO_0000105_6	eco//alaE//fdnH//alsB//maeA//dtpA//uacT//cdsA//
GO_0000154_7	amyA//thrL//etp//rpsP//frr//baeS//gcvA//queG//tolQ//yaiV//dcp//betI//chbG//ycdY//ubiD//adiY//rsmJ//dgoT//yhjG//hscA//yciF//hcaD//ydaN//dcm//abgA//htrE//leuE//tusD//dgoK//rsuA//dkgA//sufS//
GO_0000160_5	pdxK//plsC//nrdD//efp//rhoL//dgoT//metB//znuC//suhB//torZ//arcC//atpH//sucD//opgG//flgA//ptsH//gpp//msrP//yacG//mutH//hldE//csdA//ytfP//sufC//ascB//cysE//trpL//nadB//ydeI//glgC//rfaC//mdlA//rraB//waaP//yneJ//hslV//purF//selD//tyrR//thrS//ybeQ//yfcA//thyA//
GO_0000162_7	mcrB//mnmA//pnuC//proC//nuoG//chpB//acs//pgaC//dsdX//
GO_0000255_5	gadX//tdh//proS//trxC//gshB//
GO_0000256_6	cptB//murA//cmk//lon//puuD//
GO_0000270_7	yhjX//groS//moaE//mscS//yciT//bdcR//yciF//rhmD//slmA//exoX//cyoB//metN//yceD//rhoL//csdE//alkA//eutN//mmuM//hdeA//hemG//gutQ//deaD//alsB//cysE//sfmH//emrY//groL//xylR//bioD1//yabI//glcC//patD//tusD//hflK//lpcA//mltA//yhjD//gcd//bamD//gpp//dhaR//nuoM//yfgJ//sucD//malQ//yebS//cbtA//tesB//glvC//yghB//elaA//ddpX//tolA//ynaI//alaA//cysZ//suhB//ynbD//gfcE//yrdA//mrp//map//ribA//
