#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	moaA//glgC//uhpC//rmuC//
GO_0000023_6	lacI//
GO_0000025_7	ibsE//
GO_0000027_7	ydcO//gatZ//pfkB//trmA//gcl//hiuH//yphB//mnmG//nrdR//hcaB//argT//yjiR//nupX//
GO_0000028_7	higB//coaD//pheA//mazG//yacG//ppsA//baeR//flhC//waaU//
GO_0000032_8	murC//
GO_0000041_8	torD//nlpA//pliG//yadM//fucA//vsr//ccmC//ybhP//ubiC//pspF//tqsA//ydiQ//hscA//erpA//leuD//add//mltC//rplR//emrK//mtfA//pyrG//yafN//prmC//nagC//rlmG//talB//yfeW//ttdT//rpoA//frvR//borD//rpsK//galF//ttdA//hemN//sdaC//gudP//rpnC//smpB//
GO_0000050_5	crp//yceO//fcl//ybaK//mppA//rutG//araF//
GO_0000053_5	yjcS//
GO_0000096_5	def//moaD//arnB//gspE//topAI//acpP//trkG//yjtD//sgbE//dusC//bluR//gatZ//yfbS//fimC//hsrA//holD//artQ//zupT//fliT//ftsI//narY//
GO_0000097_6	rlmB//ybiO//phoQ//dgcZ//ykgA//rplA//argC//trpGD//nanS//cmoM//allD//bepA//ycgR//yneE//
GO_0000098_6	rpoD//deoD//pcnB//pdhR//ybaO//
GO_0000101_6	insI-1//rhtA//atoS//ycjR//topB//radD//rmuC//yehU//rep//hemE//rpsS//mazG//asd//fdrA//yegD//
GO_0000103_5	gspF//rzpD//yqiI//
GO_0000105_6	yagG//gntK//lpxC//tatB//radD//fau//phr//csrD//
GO_0000154_7	aspC//narK//nhaA//trpS//ynhF//frdA//ptsI//trg//rpoD//ybiW//ptsN//yadC//pmbA//scpC//mreC//livJ//icd//ghoS//xseA//syd//rihB//dppD//rpsS//phnG//fes//yacG//trpE//hyaC//truA//rpmA//pinR//agaA//
GO_0000160_5	cynS//dhaK//gmhB//hcaC//tdcG//bglH//sapF//pntA//fkpB//marR//gor//csiD//narJ//wcaB//rpnC//fimA//hdeD//priA//ddlB//fabI//sdhB//ulaG//soxS//yphB//uxaC//gstB//pinE//yhjX//hypF//ynfL//cysN//tcyL//atoC//yahO//cyoC//prc//fur//carA//syd//moaA//arsR//plsX//sthA//
GO_0000162_7	agaA//glmU//fadH//tsaC//dsbC//alaA//murJ//glnB//fliA//
GO_0000255_5	pgk//tcyJ//yjgX//oppF//lolE//
GO_0000256_6	ygeR//ytfQ//galE//agaD//macA//
GO_0000270_7	yiaT//folP//prpB//argI//cyaA//cysK//uacT//garP//nanT//yhbQ//mliC//alsC//lplT//cpsB//mnmA//yeeJ//trpB//yfeO//pheM//ybiW//ybaM//nupX//nupG//nrfG//gpmM//ilvH//cas2//yeaE//ftsK//evgA//mltD//asd//yciA//ftsN//fdoI//phnO//potC//rodZ//hdeB//fliT//murB//insK//leuE//ptsP//paaE//yfeX//tolA//ydfG//rsmF//tdcE//torZ//ybbN//ruvC//tqsA//rplS//hslU//surE//yfjR//nrfC//mdfA//srkA//tyrA//mioC//
GO_0000271_6	secY//clsA//zapE//mdtA//msbA//speA//infB//hscA//yiaM//ynjA//lysU//speD//envZ//xylB//kgtP//mdoG//glnP//torI//gsiC//insA-2//frmB//ptsG//sstT//yfcQ//potC//epmC//mdtD//rpsE//deoC//dgt//blr//rnpA//tamA//pntB//frc//cydB//lon//infB//glcA//mutL//acrE//gltL//flgI//yqeG//ykgM//yhdX//mhpB//clcB//murP//opgG//
GO_0000272_6	alaC//cyaY//ribE//atpE//yqeA//aer//
GO_0000302_5	csgD//bamD//malI//rsmA//glsA2//glpX//mdtL//lptD//thrA//xylE//pncB//ygeX//mepM//rsmJ//ydhK//gor//dppD//hdeA//hofN//dhaM//yegV//clpP//hicB//galT//rplB//ascG//yraI//yfaX//ahpC//yobF//perR//
GO_0000303_6	yggD//lyxK//
GO_0000305_5	glsA//cynX//mnmA//
GO_0000372_11	xanP//
GO_0000375_9	tyrR//
GO_0000376_10	panB//
GO_0000413_9	iscA//rsmC//amiD//lamB//intS//rzpD//nrdE//mntH//
GO_0000451_7	proP//rdgB//eco//setA//ftsE//
GO_0000453_8	cyoC//pfkA//csgD//nuoM//yieE//
GO_0000455_9	lsrK//ampH//pnuC//uhpC//arcB//aqpZ//uvrD//
GO_0000462_11	rfaF//csgG//
GO_0000469_8	ansB//
GO_0000470_10	yaiV//
GO_0000478_9	prkB//
GO_0000715_6	mnmA//
GO_0000716_7	gcvH//
GO_0000724_8	yihL//
GO_0000725_7	ldtC//phoU//ariR//fadI//udk//yodD//
GO_0000726_7	caiB//
GO_0000731_7	bglH//flgJ//menH//mltC//yiiD//curA//tsr//
GO_0000737_7	ppk//
GO_0000738_7	ybdH//nmpC//rdgC//
GO_0000746_4	yidE//
GO_0000820_7	insI1//
GO_0000902_5	yahK//
GO_0000910_4	pdxH//polA//zur//tolQ//yeeO//mlc//baeS//hokE//creB//nagZ//dapB//mdfA//hdeD//mcrA//trpGD//tauB//glnH//uspF//
GO_0000917_6	infB//recF//rclC//katG//mtnN//
GO_0000918_6	mngR//acrR//fruB//dnaJ//
GO_0000920_3	fadM//yoeB//wzc//hofQ//mdtI//
GO_0000921_6	ymdB//
GO_0000966_8	uhpC//fimD//ppk//rhtB//
GO_0000967_10	ilvA//uvrY//ygfX//
GO_0001101_4	treB//tar//purU//nrfF//flgC//ptsH//yiaJ//yggW//ybjI//luxS//hpf//dxr//rseC//proW//sucD//pyrD//yfcA//malS//crl//tas//cpdA//srlE//betI//glgP//yhcD//dtpD//
GO_0001121_7	ynfL//cutC//
GO_0001123_8	clcB//
GO_0001124_8	ompW//
GO_0001407_7	essD//fur//glnH//sfsA//
GO_0001505_4	ychF//ybjI//frvA//murE//casB//lptD//torR//wzb//rbbA//napD//aslB//kbaZ//yhjD//recF//tisB//gadA//
GO_0001510_5	dcuC//ynbB//ybcQ//rbsD//prpC//cpoB//zapC//opgC//mtr//rbn//argB//idnK//betT//tdcD//mltC//ydiQ//rpnA//cysS//motA//abpB//yfcF//fdoG//murJ//cheY//hyfF//hybG//rsmB//sgrT//ugpA//glnE//phoP//argB//cysK//fhuF//dnaT//pstC//yfdC//yhhY//rsmD//focA//
GO_0001514_8	yggX//
GO_0001522_7	nadB//pdxH//zntR//sdaB//yidR//trxA//fetB//slyD//yggX//ftsB//sfmD//pntA//codA//
GO_0001539_4	sspB//ribB//ubiI//ybcQ//gltP//ydjL//dmlR//guaD//dadA//relE//nrdE//yehT//rcdA//kduD//lapB//bhsA//aes//yraN//waaH//dbpA//frdA//fabR//pgaB//mscS//cas1//ileS//appA//artJ//mtlA//dtpB//envY//
GO_0001558_5	cpxP//lsrK//trxA//ttdR//dnaC//argI//cspI//rpmF//
GO_0001561_6	narL//
GO_0001666_4	rsmE//
GO_0001676_6	tyrB//ruvA//phoU//
GO_0001680_11	fepD//
GO_0001682_11	melA//
GO_0001731_7	rplB//
GO_0001762_6	hda//
GO_0001887_4	nikE//pflB//sthA//
GO_0001896_5	fadL//corA//ppiA//tyrA//
GO_0001907_5	rbfA//rsmF//ubiJ//ftnA//
GO_0001932_8	ymfK//ettA//
GO_0001934_9	lnt//
GO_0002047_6	mak//nrdA//
GO_0002097_8	fdx//menA//asr//osmC//sbmA//ydeT//yecS//tehB//higB//fruB//ilvE//casB//nirD//yjhB//secA//ycjW//tcyJ//narG//tatD//
GO_0002098_9	glvB//sodC//ybiA//insI-2//yjiM//macA//ykfI//adhP//sucC//rpmF//yjeI//znuC//frlA//
GO_0002099_9	rpoA//trpC//
GO_0002100_9	mutS//
GO_0002101_9	kdpF//bisC//
GO_0002128_7	btuR//thiE//clpX//rcsC//
GO_0002130_8	melB//
GO_0002131_9	glnD//
GO_0002132_9	allD//
GO_0002136_10	yiaB//
GO_0002143_9	lon//fecB//tehA//ubiC//tldD//era//
GO_0002181_7	nepI//hinT//
GO_0002183_5	sufS//
GO_0002184_8	sgcC//
GO_0002188_6	plsC//
GO_0002190_6	lsrR//
GO_0002192_8	cobS//
GO_0002252_3	fbp//rpe//tldD//fumA//appA//yggD//yfgJ//parC//upp//tolA//
GO_0002790_6	hrpA//mtn//yciK//frvA//cheZ//bioP//lipB//
GO_0002937_9	cbrC//
GO_0002938_8	pdxY//
GO_0002939_7	polA//
GO_0002943_8	folM//
GO_0002949_8	lsrB//btuC//mgtL//yihX//
GO_0003333_7	zapA//higB//gntT//cutA//pgi//rfaB//gudP//osmY//opgC//sstT//msrC//yggD//ssuC//narW//ydeP//shoB//fadI//ygiV//trmH//rnr//dacD//eutA//ycbU//yfcP//oppB//waaU//fimI//frdB//norR//tag//bglA//hdeD//aroE//sppA//uraA//csgD//dmlA//paaE//fryB//argD//hisB//alaA//fruK//rluA//mngA//tcyP//sad//udp//paaC//
GO_0005975_4	pphA//lasT//cyoA//frr//nikD//sulA//ilvA//shiA//pal//cheR//frmR//coaA//adiC//yihR//fhuD//ybdM//entC//ldtD//lexA//lacZ//relE//ynbC//fimZ//sgbE//ydjJ//rbfA//gcvP//recT//yraN//bglJ//wecB//sgcA//mcbA//slt//yghU//coaA//entS//ycbU//rsfS//norV//hypF//lsrK//chaA//ybbW//yraR//nhaA//sstT//gmk//yrfG//insA-1//ybdG//serA//garL//yjaA//fklB//hisA//gspI//fnr//ydaV//ydiO//yfaX//yejB//pdxJ//lldP//polB//yraN//priA//gyrA//pdxJ//ssb//sfmH//rlmN//yfdC//frlR//kefC//ybiT//kdgR//yciF//livJ//rlmM//lptD//glsA1//mrp//rpsB//malS//mtlD//bcp//intF//agaI//acpH//mdh//map//lptE//rapZ//ppc//mipA//kefC//yjhH//fucO//waaZ//dinB//malZ//mcrA//uvrD//yphB//pyrG//feoC//yiiD//mdtJ//ascB//menD//dsbC//xylG//purU//ykgF//ydaC//folC//rplC//mliC//cspB//ivy//ydfK//accD//cheB//mutL//yjjQ//rlmL//kefF//rplJ//fkpA//adeP//yciH//ilvI//tolC//lysP//nadB//ybiJ//ruvB//yagU//ycgV//yqcG//frlB//fur//eptC//malE//flhD//arnD//malE//mcrB//tufB//exuT//flgK//ppiD//purF//glmU//ygaZ//bsmA//accA//nrdB//cecR//pepQ//oxyR//dcyD//mqsA//ybaO//bamD//acrB//rclC//nrdE//pspF//gadE//frc//ihfA//yeaV//ymjB//sthA//focB//yebK//secF//ralR//secE//mdoD//yfiR//ydiZ//xylB//iclR//rcsF//yajR//srkA//yraH//glxK//nadK//hexR//tcyN//tktA//cbpM//yehY//ytfQ//cdd//cydB//ispA//bglH//rpsD//lpxK//marA//fieF//flgA//gstA//dgt//valS//yggP//pdxK//pgi//yihL//pgpA//nagE//mukB//dtpD//yfjR//hexR//pabC//tap//hscB//mlaB//intS//dinB//nrdG//sfmD//yciK//insI3//yoaA//ppiD//yidC//fabR//flgE//hycI//cra//alr//recJ//gntP//epmB//tar//pdeD//rlmC//ygcO//yaiW//elaD//fdrA//parC//maa//aroC//exoX//sgbU//murB//
GO_0005976_5	tesB//rffC//nagE//ytfE//lsrD//lplT//phoP//rarD//ftsA//hyi//yagF//yhbO//wza//lepA//bsmA//pyrG//ybhR//hyfR//lptC//hsdM//yaiV//kup//fdhD//intF//cheA//rbsK//proB//fucA//hycB//prpC//ynhF//adeQ//mak//dctR//secE//idnT//cusC//msrA//adeQ//yciA//gcvP//ybdM//tyrS//yojI//proC//agaA//lysU//gabD//eamA//rpoE//xdhB//yjeH//ispA//rbsD//araB//glyS//yghW//dinG//rpsP//
GO_0005977_6	cycA//adk//lolC//bioB//rpoH//hemN//znuB//fdhF//
GO_0005978_7	trmH//garK//lsrG//malZ//
GO_0005979_8	rpsM//
GO_0005980_7	frvB//topB//cpdA//
GO_0005981_7	lipA//
GO_0005984_5	mhpT//mppA//fabI//gatZ//rlmG//eptC//ftp//ddpA//tcyN//sapA//oppA//
