#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	frc//yhcH//amiB//menI//
GO_0000023_6	ycjY//
GO_0000025_7	pheA//
GO_0000027_7	helD//insB-2//rpsH//bglF//trxC//fliZ//tyrB//yjcO//torI//bioD1//dgcE//lpxH//yagI//
GO_0000028_7	ccmG//hybB//gspI//sfmA//narL//yoeB//csdE//kefF//mdfA//
GO_0000032_8	bglX//
GO_0000041_8	sgcE//yijE//hypC//melB//sgcR//wecE//mdtM//mdoD//sgcR//gcvP//tsaD//yjeI//add//fhuD//yfeX//ubiH//ypdI//hcaF//ydeM//yggX//yfcQ//metI//ybbW//rcsB//tusD//rpsN//fliS//ynfK//acpH//rplK//ppsR//purL//cysC//pitB//yadN//rimO//waaZ//yqjI//insI-1//
GO_0000050_5	entD//prmC//rutD//cspB//csiR//arnB//maeA//
GO_0000053_5	aaeR//
GO_0000096_5	waaA//leuS//dgkA//paaB//yfhH//yjjQ//uof//torZ//yqaA//etk//lgoD//csiD//uxaC//yodD//dtpC//recR//cobT//potH//ycaO//asr//yhbY//
GO_0000097_6	yhcD//pcnB//lpxT//glcB//ftsI//sbcB//mdtA//queC//nudF//tyrB//tufA//yijO//frdA//ycaO//
GO_0000098_6	puuD//yehD//ydeI//sucA//ppiD//
GO_0000101_6	dpiA//nrfB//thyA//garK//argS//rep//kdpA//ribF//yhjR//yqjA//gcvH//yibH//panF//hpt//mdtJ//
GO_0000103_5	rplF//nsrR//moaA//
GO_0000105_6	yfbS//leuO//yciT//xisE//lexA//nrfG//elfG//cysS//
GO_0000154_7	xisE//ompN//rffH//ccmC//rhaB//nanC//cydC//rpmJ//ruvB//hisA//rimO//tusA//ppsR//holA//zapC//pgpB//rsmC//yejF//bcsQ//yijE//pspA//pbpG//rpsA//ybdM//serA//etk//fecB//mlaD//kch//pdxB//yiaJ//nrfA//
GO_0000160_5	chbR//menC//murF//nikC//phnH//uvrY//queE//mobA//glpC//ybbY//agaD//nrdF//shiA//galE//melB//ybaO//bioF//glnS//nanR//ycfS//wzc//spy//mreB//nanC//ybcL//glgB//prkB//decR//yqiH//lpp//sdhA//yehC//oppB//lacZ//mreB//bglH//uhpB//allS//hisP//pncB//btuD//fdnH//ybbN//
GO_0000162_7	melR//ybaL//tauA//valS//rhmD//sodC//potF//paaH//argA//
GO_0000255_5	era//umuC//gpr//ycfS//yfeX//
GO_0000256_6	yrdA//qorA//lysS//ogt//ydiQ//
GO_0000270_7	intS//mdtP//gspF//sbmC//cadA//skp//sbcD//dgkA//entA//waaF//cas2//elaB//tdcD//srlE//fabG//ynhF//yfcV//afuB//pfkB//curA//yfiC//ybgP//phnJ//atoB//metF//ahr//aaeR//thiG//trkA//xylB//sufS//prc//uspE//guaB//hycI//betA//fis//secE//ilvE//cspC//eptB//insE-1//narK//yrbG//paaK//yaaA//yddL//sfmD//hycA//glsB//narX//yggF//btuC//ftsP//idnD//recC//yegV//garD//argK//iclR//ydfH//tbpA//thiI//
