#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	zapA//yggT//narK//murR//
GO_0000023_6	spy//
GO_0000025_7	ydeM//
GO_0000027_7	hsdR//rodZ//pgrR//yjhP//ygiN//yqaE//pcm//ymfA//hypT//elaA//yieK//gmk//ygbL//
GO_0000028_7	lldD//aceF//hiuH//nuoI//ubiI//fliM//rbsC//yidH//mog//
GO_0000032_8	groL//
GO_0000041_8	secM//csgB//hcaR//yfaV//rihA//lptC//hcaF//yfcR//mrcB//bioH//gabD//ampE//ruvA//mutY//mntP//glmU//kduI//rnhA//glsA1//rlmN//ydaV//nikC//btuF//ydeM//dapF//rho//hpf//nudF//secB//hdeA//argF//sodB//cbpM//fimI//bfr//glvB//lpoA//yqaB//rplI//
GO_0000050_5	mgrB//srlR//agaW//cspB//yajL//fixC//cyaY//
GO_0000053_5	mraY//
GO_0000096_5	alaA//uspB//cynX//rplL//iraM//rhmR//dapB//pheA//pbpC//cvrA//hemC//purF//parE//rpsR//feoC//yijE//yjbE//adhP//yciK//casC//narP//
GO_0000097_6	cobT//phnC//menF//mcbA//trmL//ligB//rsmE//nusG//clsC//paaD//ybdZ//ampE//potF//yjiQ//
GO_0000098_6	yjhP//yadI//ypdI//aqpZ//acrF//
GO_0000101_6	matP//acrA//arnF//slyD//glcE//rfbC//glmU//cytR//aer//cpxP//xylE//ybjX//rnhA//yegV//tdcE//
GO_0000103_5	lasT//ygjR//yiaU//
GO_0000105_6	uvrY//yeeJ//argD//prc//intS//oppF//csrA//arcA//
GO_0000154_7	yjeI//yceO//gor//wrbA//zapD//pspG//lasT//speE//rluD//yfiC//cheW//trkH//rplT//nuoE//mioC//hscA//symE//galM//emrD//fabI//cvpA//pbpC//aceA//nudC//phnM//proC//trpD//recJ//frdC//phnP//mscM//gatA//
GO_0000160_5	sgcR//hpt//ibsD//pepT//lolE//efeO//mtnN//carA//srlD//ugd//bglX//ldtB//baeS//brnQ//ubiH//betA//argA//hypA//erfK//mgrB//nrfB//rstB//allC//rutB//glcD//xerC//gcvT//phnO//wza//fliZ//lrp//ribF//glyS//hcaE//cheA//aroA//fadE//hscC//fadH//waaB//infB//insA-2//ynbC//
GO_0000162_7	malX//gph//holB//waaL//rarA//secD//hscB//ldhA//fcl//
GO_0000255_5	lpoA//bepA//plsC//hemF//mnmG//
GO_0000256_6	mrcB//speE//gyrB//intF//mepA//
GO_0000270_7	cheR//mqsA//ydiQ//metB//yghB//rho//mngA//flhA//tusE//yaaJ//hypC//nemA//polB//rnr//lysC//ybcQ//rpoA//rfaB//mntR//mngA//mreB//garK//fkpB//tolC//alaC//pyrH//acrF//codA//rnpA//ddpX//ybcL//rstB//flgB//yrbG//gpt//tqsA//fdx//acpP//dgt//tsaE//kch//elfC//ynfK//gudP//insF-1//nfuA//ypdF//argK//pdeF//iclR//yceO//emrB//yfcV//yefM//argT//ygiS//cysZ//glxR//crr//hxpA//glnK//ybjG//nsrR//
GO_0000271_6	dicA//yhgH//ydcM//cueO//fucP//hcaT//ydhK//argH//sufD//feaB//setA//yehT//surA//prpD//gapA//etp//yjtD//gcd//deaD//moeA//ddpX//yccS//gutM//mtlA//dcyD//trpB//panZ//elaD//uvrA//narV//xerC//djlC//holA//csgE//azoR//bdm//yqgB//lysU//mreD//fepE//pphA//relA//nudB//ompW//metN//ihfA//murB//dnaN//dtpA//ydcS//
GO_0000272_6	rplQ//yidD//bioB//fmt//phnI//lnt//
