#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	melR//cysU//pgpB//nuoM//
GO_0000023_6	acpH//
GO_0000025_7	ynhF//
GO_0000027_7	mqsR//ubiE//cpsG//pdeH//glgA//lgoD//hypC//fimA//tsf//glpX//iraP//hyfF//yceD//
GO_0000028_7	sdhA//xseB//mlaC//ydaC//waaG//sdhE//rcnB//ykgM//fadI//
GO_0000032_8	pinQ//
GO_0000041_8	ychO//serA//epmB//tnaC//gstB//glpK//glk//gltP//ybhR//fkpB//cysE//cra//qorA//cca//glsA1//yihI//rplL//glsA//pgaA//artM//yaaJ//lepA//brnQ//yadI//gatC//iraD//cdh//yjbH//ybiS//selB//gntT//napB//glpR//yjhC//xylA//lysC//citE//lolC//mutL//
GO_0000050_5	yggX//acpT//lexA//bcsQ//yhjB//pstS//proW//
GO_0000053_5	narI//
GO_0000096_5	adiA//gatD//ompF//yibF//fliS//yhjG//norV//tsr//nrfA//ybhI//livK//elfG//holE//metI//aroF//rcsD//patZ//dgoT//yhaC//fimD//phnP//
GO_0000097_6	dkgB//zapB//ybhF//hdeB//rpsR//glnH//zitB//rhaS//amyA//hybG//rlmC//yehU//speE//ftsI//
GO_0000098_6	rpsN//rpsM//adeQ//ldtA//pstA//
GO_0000101_6	pfkA//yphF//yehB//ynfF//marR//yohD//glpG//glpK//recD//rfaQ//sapB//yqaB//pntB//yfeX//ttdR//
GO_0000103_5	sfmH//crp//napA//
GO_0000105_6	yraK//dicC//rapA//gfcE//pgl//ydbK//recT//pdxH//
GO_0000154_7	alpA//bsmA//fiu//yfaX//rhlB//trxC//ppc//ybdH//argA//yaaA//ubiI//yfaV//uhpB//narL//ascF//yfhM//ydcZ//argT//mazG//moeB//entA//arsB//yhgH//psuG//yehD//yfeW//sulA//etp//zitB//adiA//ybgQ//rhmD//
