#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	entB//katE//ldtC//arcC//
GO_0000023_6	paaK//
GO_0000025_7	gudD//
GO_0000027_7	kbp//purB//nemR//rhaD//yehY//raiA//frvA//trpL//hokB//rlpA//yigL//wecA//ybhA//
GO_0000028_7	rsuA//ybcJ//fecB//hybO//araG//lhr//ygcR//mglA//rpmJ//
GO_0000032_8	ybcF//
GO_0000041_8	malI//sbcD//mcrB//efeO//gntK//ubiF//lptC//yfcR//elaD//ynfF//casE//brnQ//ldcC//proX//yggF//acrZ//holE//csgB//napA//nanA//hyfR//recE//gspJ//dgoD//proW//appB//ibpB//nanA//yfcG//rhmD//accA//yfaL//lpxC//wzyE//waaY//intA//dcuR//ygjR//dgcJ//
GO_0000050_5	bcsA//rpnA//yfbU//aaeA//waaG//baeS//bdcR//
GO_0000053_5	pdeH//
GO_0000096_5	pspC//gpp//etp//caiE//groL//fdnG//uvrB//atpD//yhfK//yqiI//iraD//mog//mutH//dgcJ//yhjD//yebK//yidA//kduI//agaA//agaC//recR//
GO_0000097_6	pdeD//narZ//panE//fepE//ccmG//ftsY//ilvL//intE//fimZ//iscU//cstA//lptB//maa//citX//
GO_0000098_6	dinG//hdfR//mtr//astC//asnS//
GO_0000101_6	nirD//gpsA//ycfJ//paaK//yiiE//zapA//yeeY//narJ//ugpB//rffH//ymjB//tyrS//ybaQ//yjiY//ybiJ//
GO_0000103_5	mglC//uidR//glpG//
GO_0000105_6	tdcB//rlmH//glmM//hupB//lpxH//smrA//murB//selU//
GO_0000154_7	gatZ//yihQ//ybfE//eptB//ygcR//fliZ//ycgV//pgpC//sdhC//phnO//glnK//purL//dinQ//mlaC//serA//argS//pfkA//ygiW//ppk//manY//lasT//frlB//mzrA//lptB//rcnA//upp//pgi//ivy//metK//intS//tqsA//ndk//
GO_0000160_5	cysU//gabP//nrdB//manA//ubiA//yneE//yedL//yphB//aaeB//degP//xapR//psuG//mdfA//mcbA//rhlB//rfbC//glgX//motA//yeaK//argB//glk//arcB//yfjR//araD//yhfS//eamA//pspD//aer//prfA//ispA//nrfC//flhD//hisA//yaaJ//yaiP//fucO//ynaE//viaA//ogrK//thrB//dppD//yraR//mdtD//
GO_0000162_7	gpmM//adiA//coaA//arnE//yehY//bamB//epmB//hscC//pdxH//
GO_0000255_5	yfhH//ascB//sutR//lsrR//xapB//
GO_0000256_6	cusA//yaiP//glgA//wecE//yobA//
GO_0000270_7	aroA//fnr//rssA//ptsH//lpoB//polB//dppF//ulaB//fic//ccmG//phnM//sdhE//sfsB//pgpB//dapA//cysB//ppsR//rpiB//hisH//chbC//lpcA//malQ//acpT//rnlB//rplW//mrdA//yciG//aaeR//cyoE//lepB//rimO//treB//dnaG//ydjK//nanC//mhpB//mdtN//atpD//tsf//truD//cas3//frc//yihP//rlmB//phnK//mtnN//rplF//yciT//nuoN//yjjQ//glnB//gapC//yceD//miaA//trmO//yehT//feaR//agp//gstB//sufC//aspS//cyoA//prmC//
GO_0000271_6	tusA//ydeT//yjbE//dgoR//yagE//cysA//entD//yjeI//adiC//mioC//glnL//rpmF//trkG//atpB//iraD//yagJ//baeR//tatD//frwD//ydcP//dmlA//dapD//npr//folD//ybeQ//zntR//hyfC//mtgA//hflX//yfdR//clpA//yggF//bglJ//recQ//yggF//flgF//cmtB//focB//flgM//agaV//sanA//insH-6//trkA//yiaU//rpoH//argG//ibsA//frmR//miaA//tilS//
GO_0000272_6	menE//treR//ompR//potA//casA//glk//
