#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	fdoH//ispU//flgM//ibaG//
GO_0000023_6	nudF//
GO_0000025_7	dppC//
GO_0000027_7	astC//mdtO//puuB//bioD//dgoD//torA//yrdA//panF//aroG//fdhE//mobA//garL//katG//
GO_0000028_7	rpmE//accC//ydjL//rihB//acrD//pgaA//yjjX//phoP//waaJ//
GO_0000032_8	gor//
GO_0000041_8	ybeQ//ydiO//csiR//aidB//cobT//torS//ftsI//lysA//cmoM//rpmG//ynhG//cpoB//bioA//cueO//torI//glgC//acnA//dcyD//yidE//arcA//recB//insH-6//ytfT//yafQ//phoA//fepA//arnF//aroL//tatA//truD//comR//mepS//abgA//yqiG//ynfF//phnL//yceK//csgG//rbsA//
GO_0000050_5	yjiM//frmR//sdiA//asr//dinG//tktA//trpL//
GO_0000053_5	waaA//
GO_0000096_5	yjbH//serC//rraA//dgcQ//kdpD//hyi//araA//viaA//ugpB//yfiE//lgt//torA//malE//dsdA//hyaB//dicA//yqcG//msbA//tcyN//lolA//gadC//
GO_0000097_6	rutE//fepA//fadI//thrS//rzpR//yeaE//glgP//eno//lldD//sdaC//hcaF//wzzE//xylH//rdgC//
GO_0000098_6	eno//oxc//entE//dcuA//dxr//
GO_0000101_6	gldA//ycbV//hrpA//insI4//aaeB//bolA//bioA//narL//uraA//ulaE//agaW//melR//proQ//araF//prlC//
GO_0000103_5	tonB//gadC//rng//
GO_0000105_6	eco//mipA//pnp//cysG//gyrA//rcnA//bglH//tdcC//
GO_0000154_7	rbfA//yehD//yfcU//lamB//fieF//feaR//mscS//qorA//znuB//ansB//melR//fdnG//nadB//gpsA//ileS//waaG//glsA2//yraN//yiaM//yihP//fliT//ftsB//ddpA//yjiR//artP//hcaC//lldD//aphA//speG//atpH//hrsA//iap//
GO_0000160_5	yiiE//hisM//xapA//alsA//rcnA//truB//pppA//yeiG//pitB//bsmA//mtlR//gpmA//cysG//elaB//ubiB//ypdB//rapA//purF//htpX//adiC//ydjL//cysW//glpD//yccX//iraM//malP//acrZ//folE//secF//gcvA//umuC//lsrK//yajR//degP//csgF//ccmH//tehA//hemH//yiaJ//ybiY//opgB//dosP//rimM//
GO_0000162_7	glyS//waaA//mzrA//parC//gatY//yfcA//tig//flgE//purD//
GO_0000255_5	ybaT//garD//mraY//codB//clpB//
GO_0000256_6	basS//lolC//narP//ydcS//rlmJ//
