#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rcsC//ftsN//idi//rpoH//
GO_0000023_6	sapF//
GO_0000025_7	hflD//
GO_0000027_7	zapE//cspG//yoeE//pheA//sufE//poxB//mdtB//tamA//fcl//dhaL//sthA//dld//yiaL//
GO_0000028_7	radA//nupX//frlA//flgG//yihQ//rplJ//ravA//wzzE//serB//
GO_0000032_8	yedP//
GO_0000041_8	rpnD//rffM//aqpZ//ymgF//accD//manZ//cysW//hprS//nrdI//ygiN//hslR//araC//icd//ulaG//artP//waaS//yeeO//yjbE//sfmA//nanR//adeP//yqeF//arnF//pstC//fadI//rcsB//iscS//artI//yaaY//yhaJ//ybcQ//ilvD//rnt//fumA//folA//elaB//rhaM//mepH//gsiD//
GO_0000050_5	rplF//fhuD//nirC//yfcS//glcB//rbn//ompR//
GO_0000053_5	emrE//
GO_0000096_5	rhtA//ebgR//lpxC//glcC//fhuB//yebK//pabB//yjcO//zapD//xisE//hipB//argI//msbA//glpG//yidH//xapR//fliL//uspG//csdA//ftsP//ynfF//
GO_0000097_6	dppB//flgG//accA//fumB//sapB//lptC//gabD//fadH//caiB//lpxD//pphB//iscU//tsaB//hisQ//
GO_0000098_6	secE//rpsA//minE//fadJ//cspD//
GO_0000101_6	ygeR//argE//obgE//ycjP//nrdD//tnaC//diaA//narU//agaB//maoP//iscS//hisS//sspA//frlA//aldA//
GO_0000103_5	lpxB//yfgJ//tdcC//
GO_0000105_6	groS//yciE//intF//lapB//clsC//ychH//yegD//citX//
GO_0000154_7	trkA//manZ//kdsC//ygiN//yhbS//sxy//uhpT//yfaE//adiC//nikB//insB-4//ugpC//galP//ldtD//ybaM//entD//rhaB//waaC//galT//yihT//mdtD//dgcF//agaW//csrA//gor//ycjW//paaH//proW//fucA//epd//lipA//ygdG//
GO_0000160_5	deoC//hcaE//rpsJ//mcrB//ytfP//prpC//dgoK//yihW//yhbX//tisB//panB//potD//mtgA//ribA//dacB//fecC//rpsJ//gadB//arnD//proV//hisB//adiY//hyfC//cedA//paaZ//rluD//norV//relA//ybfE//mdlA//ycjU//mrr//pspD//emrY//cmoB//uxaC//sdhE//rhaS//iraD//yjgX//yagF//yphF//fepB//
GO_0000162_7	hdeD//osmY//parC//yejA//puuP//torD//tdcB//patA//rtcB//
GO_0000255_5	rpmB//orn//speG//tynA//nac//
GO_0000256_6	ptsP//pspA//rsgA//yagF//ptrA//
