#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ydhJ//yeiL//mug//eutD//
GO_0000023_6	intQ//
GO_0000025_7	rplC//
GO_0000027_7	dcuS//ompR//emrK//yjjU//speB//rzpD//nsrR//mcbR//potA//metK//rsgA//chiP//cadA//
GO_0000028_7	holC//yceO//pnuC//mak//metR//mdtG//yaaU//malQ//hybO//
GO_0000032_8	tsx//
GO_0000041_8	rpnD//fumC//ybdZ//glcF//sthA//malS//ycdY//yjeH//rseP//yicJ//murB//acrF//proX//pyrB//wzyE//yihI//cbpM//paaZ//rlmI//der//yehP//udp//afuB//mutS//dkgA//dppC//hha//insE-1//tauA//pstB//pstB//melA//lolB//asmA//rpmF//rsmG//fhuB//ribF//dcd//
GO_0000050_5	seqA//acpP//hofM//eutK//gloB//fimG//nuoI//
GO_0000053_5	xylG//
GO_0000096_5	ompW//ydiR//ynhG//upp//efeO//lpxP//ynhG//alsK//otsB//yhbY//ilvA//tdcB//ygjH//emrB//frr//galT//rapA//ydhC//wcaJ//elbB//yhcF//
GO_0000097_6	yqgF//rpoS//hscC//aidB//abgA//spoT//lsrG//ade//cysG//cynT//rarD//ykgM//lpd//sodC//
GO_0000098_6	rpoA//araD//rsmF//ybdM//gutQ//
GO_0000101_6	flgG//rutE//rpmG//ybcL//yacG//putA//fur//ymgF//rstB//bluR//flgG//ycgB//ydiQ//nusA//uvrB//
GO_0000103_5	zitB//arnF//xylE//
GO_0000105_6	folP//abgA//folA//pyrH//ygiN//fecC//hscB//insI-2//
GO_0000154_7	ttdR//marR//araA//miaB//hslV//rpoS//trpC//yciH//leuA//truA//araH//mdtK//deoA//trmJ//pgpB//tesB//tdcF//rseB//hisG//wrbA//yhhZ//rfaB//yjgX//ybhG//yhcF//hslJ//dapD//fabG//yeeY//umpH//uhpB//elfC//
GO_0000160_5	ebgR//glxK//waaG//sad//gor//mepS//lit//yjhC//rspB//ypdF//topAI//ydbD//yidD//ygcR//ybcQ//ldtE//caiF//fsr//ybhG//yaaY//ftsQ//idnD//rapA//fklB//ubiA//nuoN//ynhF//ycaN//cas2//frwD//yqeF//rbfA//yeaG//xylF//speB//yebG//hyfF//yaiP//oxc//asnB//atpE//fkpA//alpA//
GO_0000162_7	fimH//fimF//bluR//ptsP//ilvL//dcuB//garL//caiT//potF//
GO_0000255_5	nrfB//tsx//bcsQ//rfaG//yihI//
GO_0000256_6	cpxP//tar//wzb//zupT//ynfH//
GO_0000270_7	ygaV//cusB//dcuA//bglH//bisC//corA//eutN//ftsN//glpB//lexA//hypC//fimG//ihfA//hybO//lptA//fecC//gstB//ycdX//endA//idi//hflD//yfgI//tcyJ//mdtD//rstB//artM//cyaY//ypdF//fadB//mdtB//glgB//truB//atoC//caiE//ldtB//plaP//yciE//betA//bcsQ//elaA//pheA//napB//rfaH//paaZ//fau//ycaO//pdxB//otsA//ybiS//mntP//smpB//alkB//yiaM//yiaB//acpT//uxaB//insF-1//ygiS//katE//mtnN//cpxA//yjjV//lhr//
GO_0000271_6	ibsA//phnI//yebQ//ptrA//pinE//ptsI//cvrA//glgA//groL//ubiC//yaiV//motA//yhcN//clpS//basR//dauA//oppD//srlA//mdtB//eutA//lsrB//yphD//fepE//glnP//abgA//baeS//pdxH//ydhQ//rpmG//insI4//bioB//insK//rfbD//sgcX//mazG//atoS//flgE//cvpA//baeR//sgrR//yebQ//chbR//mdoD//torD//yfcS//fhlA//aceF//ymgF//aroG//rrrQ//
GO_0000272_6	mmuM//yggF//yieH//lpcA//yqaA//trpA//
GO_0000302_5	htpG//ldrA//minD//metN//hprS//wecB//dnaJ//bioA//ybbN//bdcR//tolB//flhA//amiA//fdoI//alaC//tabA//glnK//agaR//yedP//afuC//mtlA//evgS//osmY//clsA//emrK//waaS//ebgR//cysG//prpD//lsrC//ydfD//
GO_0000303_6	atoB//ampE//
GO_0000305_5	yfhH//coaD//setB//
GO_0000372_11	rne//
GO_0000375_9	acpS//
GO_0000376_10	sanA//
GO_0000413_9	tilS//ybjN//atpA//gmk//infC//yjhP//crl//ushA//
GO_0000451_7	tdh//insB-2//yhbX//pheM//sfmH//
GO_0000453_8	envZ//trpE//narH//purT//cusA//
GO_0000455_9	xylR//ycjP//hdeD//wecE//rlmE//tatC//chiP//
GO_0000462_11	ubiH//hybG//
GO_0000469_8	yqaE//
GO_0000470_10	lasT//
GO_0000478_9	tsaB//
GO_0000715_6	yddL//
GO_0000716_7	gspF//
GO_0000724_8	agaR//
GO_0000725_7	rhmD//mtlR//trpA//glgA//pth//ycgR//
GO_0000726_7	potE//
GO_0000731_7	relA//ycaN//yajQ//wcaB//kduD//arfB//ynfE//
GO_0000737_7	nimT//
GO_0000738_7	intZ//caiT//phr//
GO_0000746_4	paaZ//
GO_0000820_7	uxaA//
GO_0000902_5	ugpB//
GO_0000910_4	nrfG//torC//yjhC//rapA//nupX//rffT//rpsO//mdtB//tdh//prlF//prc//avtA//cmtB//sufC//slmA//atpC//argO//yphF//
GO_0000917_6	ebgR//dinJ//yidK//galK//pstA//
GO_0000918_6	greA//araG//napB//clpX//
GO_0000920_3	argA//fsr//malK//mepA//avtA//
GO_0000921_6	yqcC//
GO_0000966_8	hisI//ugpC//alaC//iscU//
GO_0000967_10	gpsA//aroH//treR//
GO_0001101_4	mlaB//spy//alaS//apaH//pheS//poxB//glrR//gsiD//yibA//fdhE//prmA//rho//motA//argS//galE//yceD//torS//yajQ//yagU//gpmA//tldD//alsB//mtn//yfaX//bioD//yjgX//
GO_0001121_7	yibA//hyfR//
GO_0001123_8	yfaE//
GO_0001124_8	frr//
GO_0001407_7	rtcB//ydjH//mrcB//puuA//
GO_0001505_4	ybbN//xapR//waaF//abgB//ymfK//allS//fumB//rlmG//hokB//yggN//tyrS//fadD//yjeH//yfdS//artQ//kbaY//
GO_0001510_5	cueO//uxaA//acnA//znuB//icd//rbfA//uof//ykgA//minE//yeeO//glyA//fixC//tehB//yafN//eutK//csiD//rplO//pdxB//ydcZ//lrp//yebC//gadC//rimI//hflC//tauC//fliT//narX//nsrR//glpK//greA//trmH//mrr//rraA//glgC//csgG//paaC//pfkB//asmA//cysW//nikB//
GO_0001514_8	treA//
GO_0001522_7	eamA//mgsA//pnuC//ybiX//waaH//yidC//sodA//mhpB//casB//nanC//uxuB//pgi//apt//
GO_0001539_4	slt//rarD//ldrD//yejE//oxc//yedL//dhaM//ybaL//ptsP//yehW//glsB//cyoE//glrK//yajQ//nudB//ispB//ptsI//sdhB//suhB//fabB//narZ//nikA//ompG//clsB//ygfZ//elyC//dnaQ//ytfT//agp//nanT//nudC//
GO_0001558_5	entE//gntU//icd//cobB//casA//yidL//alaE//yqgB//
GO_0001561_6	hybB//
GO_0001666_4	fliL//
GO_0001676_6	artI//yehX//aer//
GO_0001680_11	deoB//
GO_0001682_11	ccmE//
GO_0001731_7	ldrD//
GO_0001762_6	yehU//
GO_0001887_4	ttdR//mcrB//yiaF//
GO_0001896_5	obgE//lsrG//rutA//ydeM//
GO_0001907_5	ulaD//uxuR//opgC//waaB//
GO_0001932_8	pdeF//fryB//
GO_0001934_9	rpmE//
GO_0002047_6	modA//rcsD//
GO_0002097_8	cysA//flhA//ybaK//ykfM//sgcX//essD//trpR//frmB//ldrB//truA//deoC//nrdD//kbaY//sbcB//prfB//frmR//gnsB//exbD//ppiD//
GO_0002098_9	evgA//murI//murA//ompT//leuD//yfaL//nagB//insA-2//oppA//ralR//yoeE//nrdR//rne//
GO_0002099_9	yehU//yebG//
GO_0002100_9	hisP//
GO_0002101_9	dapB//menI//
GO_0002128_7	nhaR//fimG//mliC//ispF//
GO_0002130_8	gldA//
GO_0002131_9	phr//
GO_0002132_9	vsr//
GO_0002136_10	nac//
GO_0002143_9	hisP//frdB//ldtD//nsrR//ffh//agaC//
GO_0002181_7	ilvD//acs//
GO_0002183_5	ibpB//
GO_0002184_8	glpC//
GO_0002188_6	ycjR//
GO_0002190_6	qseC//
GO_0002192_8	dusB//
