#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rpmB//ypdA//xylR//gltD//
GO_0000023_6	gabT//
GO_0000025_7	mdh//
GO_0000027_7	metN//dsbD//pspD//glgS//torY//bluR//ydhK//oppC//perR//htpX//tcyN//grxD//fadA//
GO_0000028_7	rpsO//pcm//leuE//uxuA//ubiD//ttcA//narV//ydfK//insE-1//
GO_0000032_8	dtpA//
GO_0000041_8	yehX//tomB//exbB//kdpD//dxr//ydhJ//bolA//ybaT//galF//yahD//secY//rpmG//gadE//purN//bamC//nrdH//yafQ//xapB//casB//allD//dsdX//yfeX//ygiN//panC//yddG//cysE//mrcB//tomB//rpoH//gntU//rluD//waaZ//narQ//ispH//ycgB//pdeH//ompL//phoP//chbC//
GO_0000050_5	yieK//phnG//hflX//fliK//ydhK//rarD//rplB//
GO_0000053_5	rsmE//
GO_0000096_5	ycjQ//ygfA//nimR//tbpA//ftsK//yfaX//nanT//garD//amiA//melR//fepA//selB//rnt//atpB//ypjD//eutR//pabA//ompG//csgA//glrK//bhsA//
GO_0000097_6	arcB//metB//cdsA//flgF//yfcV//hipA//feaB//gatD//glrR//pdxB//nrdI//yahB//relE//asnB//
GO_0000098_6	ribA//yeaG//patD//dpiA//pyrF//
GO_0000101_6	yraJ//gph//rimK//murB//tusA//cpsB//yfcA//mlaE//yqaE//uspG//menB//yfeO//ortT//rimO//nhaR//
GO_0000103_5	ygcR//yagE//livH//
GO_0000105_6	yjiR//mutL//holD//pflB//ydiV//rpe//phnC//nhaR//
GO_0000154_7	yadI//xthA//leuA//nfuA//yiaU//gpmA//uxuA//tus//rcsA//flgH//yddL//glgP//baeS//bglF//napB//trkG//rph//tauA//mdtI//clsC//yqaB//macB//glpB//sstT//eco//moeB//hslJ//yeaK//glpD//tsaB//mepS//narG//
GO_0000160_5	rcnB//cspI//yjbE//truC//melA//araH//lolC//rutB//mlaD//insH-6//yjiY//mdaB//selA//asnA//csgD//yhdZ//waaS//ebgR//pppA//clpX//yciK//htpG//gsiD//pgi//fliM//rhlE//ypdI//cbpM//menE//sohB//ycgV//pyrG//psuG//rutR//rseP//ynfK//uvrC//hcaB//nrdD//rsmC//hchA//mltD//pdhR//
GO_0000162_7	yhdZ//bglJ//rbbA//fumC//pgm//feaR//rcnR//rlpA//rhtB//
GO_0000255_5	lptG//ydjM//bioD1//yhdJ//prkB//
GO_0000256_6	tisB//cusB//ydaC//folA//fklB//
GO_0000270_7	fadJ//yegS//ytfT//mdtI//rnhB//ybaE//phoA//uidR//ptsP//pgaB//ssuE//tsf//emrK//metQ//yjhG//eptB//diaA//recX//tonB//ychF//oppC//glrR//frvB//ansB//ydcO//nuoI//gapC//mqsA//glvC//cusC//dgcJ//fklB//glsB//cyoB//ompN//yejF//mscS//sgcE//pdxJ//rfaD//cspI//lptC//fimI//ytfT//dppA//yfeD//nrdH//insI1//afuB//mutH//cspA//iclR//yadV//yihU//insF-1//rffC//fdnG//zur//nuoN//tig//nusA//rnhA//yhdX//
GO_0000271_6	ghxQ//cueO//nei//murB//fdnG//glsB//purF//rsuA//sfmF//ompL//rapA//fryB//waaF//mgsA//betT//phoQ//tatC//surA//rluD//lptC//yjiQ//yfiF//hdeD//yaaJ//lnt//nuoN//kdsD//hdeD//bamD//fieF//ytfE//dinB//sstT//ybjC//rpmC//rseP//queG//nac//phoU//mntH//phnP//cdaR//glmM//srmB//ybiV//ddlA//ibsB//paaK//ompG//prkB//
GO_0000272_6	ychH//tktA//yibT//envC//metI//ulaF//
GO_0000302_5	alr//dapA//lptC//patD//dcd//fic//insH-5//dcuR//sgrR//pckA//nuoL//ccmD//dkgB//trkG//acrB//fdoI//prmC//clpX//dapF//ymfK//trpL//astC//ispB//chbG//adhP//lacZ//fliG//tsf//phnI//rlmH//mqsR//
GO_0000303_6	wcaC//btuD//
GO_0000305_5	frc//yjaA//pphB//
GO_0000372_11	garD//
GO_0000375_9	araC//
GO_0000376_10	secY//
GO_0000413_9	glrK//yhcD//mscK//ygjH//arcA//waaU//nadA//fbp//
GO_0000451_7	fabR//skp//pdeL//rpmF//fabG//
