#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	moaB//caiD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	paaH//ssb//rpsQ//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	sucD//yjbE//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rrsE//galP//
AcrR_FNR_Fur_SoxR	fadE//
AcrR_FNR_Fur_SoxR_SoxS	nirC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	ascF//
Ada_AidB_Lrp	lhgO//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	rcsA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	acrE//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	astA//norR//pstS//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	hycC//accB//
AdiY_H-NS_IHF	pgaD//
AgaR_CRP	hupB//fabB//gspK//nhaR//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	gspL//fadA//idnO//marA//metI//fbaA//
AppY_ArcA_YdeO	ydhY//hyfD//sufB//rhaB//
AraC_CRP	malG//gntK//glmY//glpX//yoeB//dppA//fabB//aspA//cyoC//
AraC_CRP_XylR	spy//moaC//rcnB//
AraC_NagC	appB//hyfF//
ArcA_BetI_Cra	astA//glpB//rutA//fiu//
ArcA_CRP_CaiF_FNR_H-NS	nanA//malG//ulaG//pncB//rtcA//ubiC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	cas2//hybG//malS//ilvM//prpR//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	pspC//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	tnaA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	hycG//rplB//
ArcA_CRP_Cra_Fis	csrC//
ArcA_CRP_Cra_IHF_IclR	ubiA//emrK//aspC//
ArcA_CRP_DcuR	fimH//
ArcA_CRP_DcuR_DpiA_FNR_NarL	gltU//hycD//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	fhlA//
ArcA_CRP_DnaA_FNR	ilvA//
ArcA_CRP_DpiA_FNR_NarL	waaH//emrK//dppD//hyfD//nuoB//yeaR//
ArcA_CRP_DpiA_FlhDC	rrfC//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	gntU//csgA//
ArcA_CRP_FNR	glnA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	metK//acrA//galR//
ArcA_CRP_FNR_Fis_Fur_PdhR	ptsI//
ArcA_CRP_FNR_Fis_IHF_NarL	yhiM//
ArcA_CRP_FNR_Fur	dppF//fimI//nrdI//mhpF//
ArcA_CRP_FNR_Fur_IHF	puuE//fdnH//fau//acrZ//
