#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	yiaL//ompR//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	gabT//rrsH//mtlD//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	fecC//norR//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	nuoI//gloA//
AcrR_FNR_Fur_SoxR	dadX//
AcrR_FNR_Fur_SoxR_SoxS	rbsD//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	chbC//
Ada_AidB_Lrp	pspA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	aceB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	chbG//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	fabA//ccmH//prpE//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	uxaA//fliI//
AdiY_H-NS_IHF	ybfN//
AgaR_CRP	idnD//nuoG//appX//nrdG//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	narG//citG//fdnI//ugpC//yjbE//purN//
AppY_ArcA_YdeO	yiaN//acrA//glpT//hyfA//
AraC_CRP	rutA//acs//nuoK//fpr//rrfH//hycA//betT//entC//araA//
AraC_CRP_XylR	dcuD//hypC//purR//
AraC_NagC	mraY//ilvL//
ArcA_BetI_Cra	gltA//astA//casE//rutE//
ArcA_CRP_CaiF_FNR_H-NS	rplC//purA//appC//cytR//dpiA//rplB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	gadW//nfsA//hyfC//fbaA//rpoS//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	purA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	bolA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	csiE//tdcC//
ArcA_CRP_Cra_Fis	ndh//
ArcA_CRP_Cra_IHF_IclR	fucI//hybC//gspH//
ArcA_CRP_DcuR	chbG//
ArcA_CRP_DcuR_DpiA_FNR_NarL	hcr//glgC//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	nagE//
ArcA_CRP_DnaA_FNR	chbC//
ArcA_CRP_DpiA_FNR_NarL	yhcH//ilvM//ftsZ//ahpC//deoD//aspA//
ArcA_CRP_DpiA_FlhDC	ygiC//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	relE//prmC//
ArcA_CRP_FNR	rrlC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	pstS//asnC//qseC//
ArcA_CRP_FNR_Fis_Fur_PdhR	rpoH//
ArcA_CRP_FNR_Fis_IHF_NarL	gntP//
ArcA_CRP_FNR_Fur	fimE//mdtA//yqjI//cysA//
ArcA_CRP_FNR_Fur_IHF	ccmC//hisQ//cadC//yeaR//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ydeN//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	fumA//
ArcA_CRP_FNR_IHF_NarL	aceA//
ArcA_CRP_FNR_NarL	rrlC//
ArcA_CRP_FadR	cusC//aroA//
ArcA_CRP_FadR_HipB	cysA//
ArcA_CRP_FadR_OmpR_PhoP	dctR//
ArcA_CRP_Fis_Mlc_SoxS	glgP//
ArcA_CRP_Fis_XylR	ydhW//
ArcA_CRP_Fur_GadX_MqsA	pgaC//
ArcA_CRP_GatR	betB//fimF//metK//ulaF//cspI//paaJ//
ArcA_CRP_GlpR	tolC//
ArcA_CRP_IHF	yiaN//
ArcA_CRP_PuuR	purM//moeB//purD//puuP//feoA//
ArcA_CRP_RhaS	xylG//
ArcA_CRP_TreR	tdcE//yqjI//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	glpD//metL//
ArcA_Cra	fecB//
ArcA_Cra_FNR_H-NS_HypT	ansB//citE//
ArcA_CysB_FNR	hns//
ArcA_FNR	hyfJ//tomB//garR//moaB//nirB//napH//rseC//ftsZ//dinJ//cadA//fimI//rrfF//rpmC//ccmF//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	cspA//
ArcA_FNR_Fis_IHF_NarL	sufB//aceF//yjbH//cysW//aspC//ydhU//focB//feoA//ynfG//melA//aceA//yiaJ//rrlE//
ArcA_FNR_Fur_IHF	asnC//
ArcA_FNR_IHF	rrfD//yeaR//metY//
ArcA_FNR_IHF_NarL	nfo//dadA//
ArcA_FNR_NarL	puuE//appB//serC//ugpQ//
ArcA_FNR_PhoP	purN//
ArcA_FNR_PuuR	hcr//ulaE//
ArcA_FadR	cadA//hybF//hipA//
ArcA_FadR_Fis	aceB//ulaF//
ArcA_Fur_Lrp_ModE	cirA//fadI//purH//glnG//murD//
ArcA_GlcC_IHF_PdhR	proV//srlD//tam//nirC//cspE//rutG//
ArcA_LexA	glgP//tomB//
ArcA_LldR	napF//baeS//citF//
ArcA_NarL	csgF//rpsJ//mtr//fliJ//cysG//manZ//ydeM//nrfC//
ArcA_NtrC_PhoP_RutR	hyaB//xylG//lpd//rrsA//aspA//nirC//ahpC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rrlH//uvrA//serC//
ArgP_CRP_FNR_Fur_Nac	glgA//
ArgP_DnaA	cydB//ugpQ//ilvE//
ArgP_Lrp	grcA//glcA//
ArgP_LysR	tauB//
ArgP_PhoB	metL//
ArgR_CRP	ydeM//
ArgR_CRP_Fis	rrlH//rplV//hybO//crp//rrfH//mtlR//nfsA//lsrF//
ArgR_Fis_IHF_PepA_PurR_RutR	proW//rcnA//
ArgR_H-NS_NtrC	appA//glpC//caiA//pdeR//
ArgR_NtrC	pstA//rplB//galS//ftsI//ilvD//
ArgR_PhoP	ygiB//
AscG_CRP	dcuB//tnaB//recF//
AscG_CRP_PhoB_PrpR	tnaB//
AsnC_MraZ_Nac	moaB//
AsnC_Nac	psiE//yeaR//
AtoC_IHF	acrE//phoU//fadJ//cysP//
BaeR_CpxR	glpQ//sufE//puuB//fucK//fdnI//ebgA//ccmG//
BaeR_CpxR_EvgA	glgA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	yiaJ//rbsC//ptsH//emrY//
BasR_CpxR_PdhR	sdhB//rbsD//
BasR_Fis	ygiB//
BasR_H-NS_IHF_NagC_NanR	tyrP//
BasR_MarA_PutA	gltB//
BasR_PhoP	pspE//
BasR_QseB	metY//yjbH//
CRP_CaiF_FNR	fbaA//nupC//narH//phoQ//
CRP_ChbR_NagC	rrfA//ulaA//narI//aer//envZ//yjcH//
CRP_ComR	lsrK//
CRP_CpxR	pyrD//
CRP_CpxR_CytR	qseB//
CRP_CpxR_CytR_DnaA_IHF	glgA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	glnL//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	hokD//purR//lamB//ascB//
CRP_Cra	lysA//yiaJ//gntK//ptsG//osmE//metI//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	lpxD//garL//adhE//hycE//
CRP_Cra_FNR_PdhR	rrfD//
CRP_Cra_Fis	galT//
CRP_Cra_Fis_GlcC	sbmC//
CRP_Cra_Fis_MtlR	pstA//bolA//mpl//
CRP_Cra_Mlc_NagC	rbsC//cspD//cysM//kbaZ//sufS//fau//
CRP_Cra_PrpR	metB//cusC//nuoE//nagB//
CRP_CreB_Fis_MalT	citE//thrV//fixC//
CRP_CsiR_H-NS_Lrp	flgM//hycA//
CRP_CsiR_H-NS_Lrp_Nac	iraM//sodB//ilvL//
CRP_CspA_Fis	fimB//
CRP_CytR	aceF//glpC//asr//
CRP_CytR_DeoR	gabP//icd//
CRP_CytR_DeoR_Fis_ModE	garL//gntX//rbsB//mhpC//
CRP_CytR_Nac	citC//
CRP_CytR_NsrR	ynfK//
CRP_DcuR_FNR_NarL	torD//
CRP_DinJ-YafQ	fepE//
CRP_DnaA_Fis_PurR	skp//lyxK//
CRP_DpiA_ExuR	xylG//
CRP_DsdC	tnaC//murF//
CRP_EbgR	rutF//sodA//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ompF//tyrR//
CRP_ExuR	hybO//
CRP_ExuR_FNR	rplC//fhlA//
