#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	paaG//nfo//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	gspK//paaH//entF//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	metH//cusB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	bglB//rrfD//
AcrR_FNR_Fur_SoxR	dmsC//
AcrR_FNR_Fur_SoxR_SoxS	acnB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	setA//
Ada_AidB_Lrp	galS//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	aspA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	acrA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	sufA//modC//ygiB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	thrV//gspI//
AdiY_H-NS_IHF	frdA//
AgaR_CRP	carA//metH//gcvP//cadA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	evgS//rtcB//rutA//nac//hcp//lacZ//
AppY_ArcA_YdeO	sucD//sdhB//aroA//paaC//
AraC_CRP	dusB//caiB//ftsW//pyrC//paaC//rpoS//malK//cdd//fabZ//
AraC_CRP_XylR	xylB//flhD//cysJ//
AraC_NagC	appX//citD//
ArcA_BetI_Cra	nikR//nac//yjjQ//qseB//
ArcA_CRP_CaiF_FNR_H-NS	aceF//dctR//entE//citF//rrfA//acrD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	gatA//nuoL//inaA//paaC//hycB//
