#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	acrE//gyrA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	hycB//tolC//ddlB//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	accC//nrdA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	serC//rbsA//
AcrR_FNR_Fur_SoxR	fliG//
AcrR_FNR_Fur_SoxR_SoxS	baeS//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	paaF//
Ada_AidB_Lrp	dctR//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nrfC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	amtB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	ilvG_2//yjbH//ydhU//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	rseA//dcuB//
AdiY_H-NS_IHF	fabZ//
AgaR_CRP	thrV//crp//fadD//cydC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	marA//gutM//lldD//glnQ//mtlR//aspA//
AppY_ArcA_YdeO	hyaA//patA//lpd//appA//
AraC_CRP	mtlA//nupG//paaD//pflB//cytR//murD//gntT//malE//ydeN//
AraC_CRP_XylR	cbl//guaA//aldB//
AraC_NagC	infB//ileV//
ArcA_BetI_Cra	fis//nuoF//gatB//rrlB//
ArcA_CRP_CaiF_FNR_H-NS	purM//ftsA//sgbH//metB//baeR//tdcC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ssuD//fes//fimG//rrsA//rbsC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	adhE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	folA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	dcuA//astE//
ArcA_CRP_Cra_Fis	ackA//
ArcA_CRP_Cra_IHF_IclR	nikC//fumA//ybiT//
ArcA_CRP_DcuR	idnT//
ArcA_CRP_DcuR_DpiA_FNR_NarL	dadX//entB//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	hdeD//
ArcA_CRP_DnaA_FNR	rplM//
ArcA_CRP_DpiA_FNR_NarL	xylG//fepB//hypB//casB//gspM//rrlD//
ArcA_CRP_DpiA_FlhDC	mlc//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	nuoJ//flhC//
ArcA_CRP_FNR	citC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	mpl//amtB//cas1//
ArcA_CRP_FNR_Fis_Fur_PdhR	gadE//
ArcA_CRP_FNR_Fis_IHF_NarL	mtlA//
ArcA_CRP_FNR_Fur	hisP//ftsL//lamB//aldB//
ArcA_CRP_FNR_Fur_IHF	rplC//sodA//rpoE//sgbU//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	tdcA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ycdZ//
ArcA_CRP_FNR_IHF_NarL	cydA//
ArcA_CRP_FNR_NarL	cysP//
ArcA_CRP_FadR	xylG//mhpB//
ArcA_CRP_FadR_HipB	casC//
ArcA_CRP_FadR_OmpR_PhoP	fepB//
ArcA_CRP_Fis_Mlc_SoxS	higA//
ArcA_CRP_Fis_XylR	fliF//
ArcA_CRP_Fur_GadX_MqsA	nanT//
ArcA_CRP_GatR	fhlA//casA//nanM//prpD//dsdX//ascF//
ArcA_CRP_GlpR	osmY//
ArcA_CRP_IHF	deoA//
ArcA_CRP_PuuR	astC//lhgO//glpK//narI//fdnI//
ArcA_CRP_RhaS	fumA//
ArcA_CRP_TreR	atoE//dcuD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	idnO//nagC//
ArcA_Cra	yjiY//
ArcA_Cra_FNR_H-NS_HypT	citF//hyaB//
ArcA_CysB_FNR	guaB//
ArcA_FNR	fimI//pqiB//chbB//glnA//zraS//osmY//nikC//galM//nuoN//fixA//paaZ//narI//rimP//ccmH//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	srlR//
