#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	kbaZ//rrlC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	rseB//hdeB//rbsA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	uxaA//accB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	uxuA//murG//
AcrR_FNR_Fur_SoxR	ahpC//
AcrR_FNR_Fur_SoxR_SoxS	pgaA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	tnaC//
Ada_AidB_Lrp	fucI//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	aspA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	feoC//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	mtlA//hypB//safA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	narX//nac//
AdiY_H-NS_IHF	nanA//
AgaR_CRP	nuoB//rrlE//astA//uxaC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	ddlB//nrfE//gadC//hyfC//carB//pspD//
AppY_ArcA_YdeO	gltW//sgbE//aceB//adhE//
AraC_CRP	uhpT//uxaB//fepA//cusR//glcB//malT//cysW//nrfC//ygiC//
AraC_CRP_XylR	patA//qseC//ilvL//
AraC_NagC	fumA//gspC//
ArcA_BetI_Cra	narX//yecR//mtlR//puuA//
ArcA_CRP_CaiF_FNR_H-NS	narJ//fucR//ytfE//rpsQ//tyrR//ulaF//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	flhC//galP//sucB//zraS//torC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	rhaB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	puuB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	cadA//alaU//
ArcA_CRP_Cra_Fis	grcA//
