#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	acs//tnaB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	srlE//caiD//nuoH//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	araA//glgC//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	hisQ//deoC//
AcrR_FNR_Fur_SoxR	napG//
AcrR_FNR_Fur_SoxR_SoxS	ygiA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	sroD//
Ada_AidB_Lrp	adiC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	hisP//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	ygiB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	glpA//gltD//puuC//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	araF//proP//
AdiY_H-NS_IHF	chbG//
AgaR_CRP	ybdZ//deoD//phoU//dmsC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	ssuC//puuR//lamB//uspA//manX//alaV//
AppY_ArcA_YdeO	alaT//deoD//prfA//gspL//
AraC_CRP	hcp//fimG//aspA//emrY//chbF//yoaG//aceF//ydhV//hybB//
AraC_CRP_XylR	ssb//ilvH//puuB//
AraC_NagC	pspB//fliI//
ArcA_BetI_Cra	yoaG//rrlE//metE//nuoJ//
ArcA_CRP_CaiF_FNR_H-NS	ynfF//paaG//lsrR//bhsA//lysP//metQ//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	agaW//melR//caiC//idnT//prpD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	hpt//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	rpsO//
ArcA_CRP_Cra_FNR_NsrR_PdhR	sufS//gloA//
ArcA_CRP_Cra_Fis	mhpA//
ArcA_CRP_Cra_IHF_IclR	caiB//chbB//agaW//
ArcA_CRP_DcuR	hyfI//
