#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	aroL//cysB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	hdeB//galS//araE//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	gadE//gapA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	baeR//bglJ//
AcrR_FNR_Fur_SoxR	gspO//
AcrR_FNR_Fur_SoxR_SoxS	fucA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	cspD//
Ada_AidB_Lrp	srlA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nrdG//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	ccmE//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	fecD//napC//araD//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	lacZ//recF//
AdiY_H-NS_IHF	fnr//
AgaR_CRP	zinT//ansB//fimA//rrfE//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	atoA//nrdG//poxB//fimB//cspI//hemA//
AppY_ArcA_YdeO	nuoA//entB//ugpE//tauB//
AraC_CRP	ccmE//ihfA//csgA//hycH//cydD//malX//ebgC//puuA//fucI//
AraC_CRP_XylR	rrlE//nikC//csgA//
AraC_NagC	paaH//alaT//
ArcA_BetI_Cra	hyfR//malG//cyoE//yefM//
ArcA_CRP_CaiF_FNR_H-NS	rpoH//frdD//ulaF//exuT//rrfH//cusS//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	metH//oppA//marR//metL//metY//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	dppA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	yefM//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ssuE//malS//
ArcA_CRP_Cra_Fis	ftsW//
ArcA_CRP_Cra_IHF_IclR	paaB//purA//fliA//
ArcA_CRP_DcuR	mtr//
ArcA_CRP_DcuR_DpiA_FNR_NarL	nanM//appX//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	hycH//
ArcA_CRP_DnaA_FNR	proV//
ArcA_CRP_DpiA_FNR_NarL	rplW//entC//fimC//fucR//ackA//cyaR//
ArcA_CRP_DpiA_FlhDC	evgS//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	rrfE//yqjH//
ArcA_CRP_FNR	baeR//
