#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	yqjH//hyaB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	puuB//rrfE//ulaC//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ssuE//aslB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ssuC//araB//
AcrR_FNR_Fur_SoxR	cadC//
AcrR_FNR_Fur_SoxR_SoxS	ugpA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	adhE//
Ada_AidB_Lrp	hdeA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	alaV//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	appY//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	nuoJ//csgC//aceB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ftsQ//rcsA//
AdiY_H-NS_IHF	rbsD//
AgaR_CRP	feoA//cysH//pdeR//cusR//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	fabZ//nuoA//gcvH//pstA//proP//fecB//
AppY_ArcA_YdeO	fliJ//csgG//nupC//dmsA//
AraC_CRP	baeR//citD//paaF//fecC//dpiA//glcE//fadH//cysM//alaT//
AraC_CRP_XylR	rimK//hha//dps//
AraC_NagC	chiP//casB//
ArcA_BetI_Cra	ilvG_1//fliC//dcuD//yedX//
ArcA_CRP_CaiF_FNR_H-NS	yecR//puuP//fnr//fimA//nirB//hisQ//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ompR//sdhA//dmsA//glgP//rutF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	chbA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	lldR//
ArcA_CRP_Cra_FNR_NsrR_PdhR	malE//yjbG//
ArcA_CRP_Cra_Fis	skp//
ArcA_CRP_Cra_IHF_IclR	rsmH//ftsZ//dnaN//
ArcA_CRP_DcuR	gabD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	baeR//gspO//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	glpA//
ArcA_CRP_DnaA_FNR	ccmG//
ArcA_CRP_DpiA_FNR_NarL	glpB//nuoH//lsrF//gnd//fdnG//fumC//
ArcA_CRP_DpiA_FlhDC	cyoA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	pspB//ssuE//
ArcA_CRP_FNR	sgbH//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	tdcA//oppB//lsrF//
ArcA_CRP_FNR_Fis_Fur_PdhR	rrsG//
ArcA_CRP_FNR_Fis_IHF_NarL	relE//
ArcA_CRP_FNR_Fur	rplB//pstC//uxuA//fucR//
ArcA_CRP_FNR_Fur_IHF	yhcH//qseB//stpA//rrsH//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	mtlR//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	rrlE//
ArcA_CRP_FNR_IHF_NarL	rhaR//
ArcA_CRP_FNR_NarL	uidA//
ArcA_CRP_FadR	melR//bglB//
ArcA_CRP_FadR_HipB	hycD//
ArcA_CRP_FadR_OmpR_PhoP	rnpB//
ArcA_CRP_Fis_Mlc_SoxS	paaA//
ArcA_CRP_Fis_XylR	galK//
ArcA_CRP_Fur_GadX_MqsA	ebgA//
ArcA_CRP_GatR	argD//atoA//cysJ//ihfA//rimP//csgC//
ArcA_CRP_GlpR	appA//
ArcA_CRP_IHF	gatZ//
ArcA_CRP_PuuR	ycdZ//sgbU//ynfF//fepB//ynfH//
ArcA_CRP_RhaS	lpxA//
ArcA_CRP_TreR	ahpF//kbaZ//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	fixC//bhsA//
ArcA_Cra	rhaS//
ArcA_Cra_FNR_H-NS_HypT	nfsB//tdcE//
ArcA_CysB_FNR	nhaA//
ArcA_FNR	gutQ//aceE//ulaG//fimF//araA//nrdF//dppD//murC//melA//puuE//gspF//edd//murF//pqiB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	rplM//
ArcA_FNR_Fis_IHF_NarL	gabT//nuoB//ulaA//paaF//hyaE//pyrD//ybjC//rrfA//ihfA//zraS//ptsI//puuB//cas1//
ArcA_FNR_Fur_IHF	rrfE//
