#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	guaA//lamB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	dadX//glcB//fbaA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	paaB//nagE//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	entD//lhgO//
AcrR_FNR_Fur_SoxR	cysW//
AcrR_FNR_Fur_SoxR_SoxS	gspG//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	gadY//
Ada_AidB_Lrp	ssuA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	tyrR//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	fadJ//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	stpA//rrfE//ahpF//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	fepB//rplM//
AdiY_H-NS_IHF	gabD//
AgaR_CRP	ftsW//ugpB//nuoH//malT//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	appX//manX//nagC//narK//sufB//paaJ//
AppY_ArcA_YdeO	fes//uidC//soxS//narX//
AraC_CRP	araD//hyfJ//hypD//yjbF//tyrP//ftsL//narX//nuoM//gntU//
AraC_CRP_XylR	ydhT//udp//gatZ//
AraC_NagC	ygbA//edd//
ArcA_BetI_Cra	ilvI//oppF//pflB//sbmC//
ArcA_CRP_CaiF_FNR_H-NS	mioC//sufB//mdtB//bamE//ssb//ftsQ//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	lpxA//idnD//ilvH//gadB//xylB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	mdh//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	caiC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rhaB//guaB//
ArcA_CRP_Cra_Fis	pdhR//
ArcA_CRP_Cra_IHF_IclR	citC//fimH//gabD//
ArcA_CRP_DcuR	rplM//
ArcA_CRP_DcuR_DpiA_FNR_NarL	mnmG//cspI//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	flhD//
ArcA_CRP_DnaA_FNR	accB//
ArcA_CRP_DpiA_FNR_NarL	rrlD//purD//mntH//ynfG//gadC//fadJ//
ArcA_CRP_DpiA_FlhDC	rrsB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	csgE//phoQ//
ArcA_CRP_FNR	moeA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	nanC//cas2//fes//
ArcA_CRP_FNR_Fis_Fur_PdhR	napC//
ArcA_CRP_FNR_Fis_IHF_NarL	glgP//
ArcA_CRP_FNR_Fur	acrE//pncB//nirD//paaF//
ArcA_CRP_FNR_Fur_IHF	chbB//fnr//hybC//slp//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ssuA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	aceB//
ArcA_CRP_FNR_IHF_NarL	oxyR//
ArcA_CRP_FNR_NarL	narX//
ArcA_CRP_FadR	glpB//dctR//
ArcA_CRP_FadR_HipB	ileV//
ArcA_CRP_FadR_OmpR_PhoP	srlE//
ArcA_CRP_Fis_Mlc_SoxS	rimK//
ArcA_CRP_Fis_XylR	dppA//
ArcA_CRP_Fur_GadX_MqsA	araE//
ArcA_CRP_GatR	narK//gltA//fimH//cyoB//glpD//tpx//
ArcA_CRP_GlpR	ugpC//
ArcA_CRP_IHF	ydeM//
ArcA_CRP_PuuR	rpsQ//hyaE//lacZ//gspC//rcsA//
ArcA_CRP_RhaS	caiC//
ArcA_CRP_TreR	rbsD//glnP//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	exuT//rsmH//
ArcA_Cra	ftsZ//
ArcA_Cra_FNR_H-NS_HypT	ybjN//dinI//
ArcA_CysB_FNR	ilvG_1//
ArcA_FNR	malF//ompR//gadB//caiF//hdeD//pdeR//glpA//nrfD//entC//waaZ//gcvT//nuoK//rhaB//acs//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	umpH//
ArcA_FNR_Fis_IHF_NarL	hha//galK//dppB//gntT//rplM//pflB//murD//ddlB//feaR//actP//degP//aceA//mtlA//
ArcA_FNR_Fur_IHF	tdcG//
ArcA_FNR_IHF	moeB//fucU//napF//
ArcA_FNR_IHF_NarL	glcF//lldD//
ArcA_FNR_NarL	fabB//astB//idnD//glpC//
ArcA_FNR_PhoP	dctR//
ArcA_FNR_PuuR	entE//rnpB//
ArcA_FadR	uxuB//astD//uxuB//
ArcA_FadR_Fis	sdhB//metR//
ArcA_Fur_Lrp_ModE	uxaA//cusS//cyoA//malG//alaT//
ArcA_GlcC_IHF_PdhR	hcr//chbG//accC//aceK//nrdE//ynfF//
ArcA_LexA	galK//moaB//
ArcA_LldR	rcnA//glcF//fes//
ArcA_NarL	chiP//rrlE//flgN//uof//aroL//gspL//dppC//mraY//
ArcA_NtrC_PhoP_RutR	hybA//narG//ileU//gspL//gltF//relA//astC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	fimH//rhaR//hyaD//
ArgP_CRP_FNR_Fur_Nac	cysG//
ArgP_DnaA	dmsC//nikC//srlA//
ArgP_Lrp	fau//ptsG//
ArgP_LysR	fliI//
ArgP_PhoB	sufE//
ArgR_CRP	csgE//
ArgR_CRP_Fis	hydN//rrfF//ynfH//pgaB//fiu//glgA//ssuC//tcyJ//
ArgR_Fis_IHF_PepA_PurR_RutR	rutA//acrZ//
ArgR_H-NS_NtrC	tdcD//fimE//aspA//fucK//
ArgR_NtrC	nagB//hydN//ilvG_1//ileU//fpr//
ArgR_PhoP	sufE//
AscG_CRP	lsrG//acnA//rrsD//
AscG_CRP_PhoB_PrpR	tnaC//
AsnC_MraZ_Nac	ccmH//
AsnC_Nac	nikR//sra//
AtoC_IHF	ynfE//rhaD//katG//appA//
BaeR_CpxR	gcvT//pspG//srlE//cusC//puuR//hypF//qseC//
BaeR_CpxR_EvgA	citD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	cytR//sucC//araC//lsrK//
BasR_CpxR_PdhR	lyxK//nikA//
BasR_Fis	pstA//
BasR_H-NS_IHF_NagC_NanR	torA//
BasR_MarA_PutA	dppA//
BasR_PhoP	pheM//
BasR_QseB	ynfF//astB//
CRP_CaiF_FNR	rbsR//entH//agaA//hycE//
CRP_ChbR_NagC	hydN//fis//dmsA//fimG//rcsA//ynfK//
CRP_ComR	fucU//
CRP_CpxR	ulaA//
CRP_CpxR_CytR	fixB//
CRP_CpxR_CytR_DnaA_IHF	oxyR//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	hypA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	rplW//oppB//ulaE//accC//
CRP_Cra	moaE//atoD//idnK//ebgC//paaB//csgE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	rplD//stpA//pspB//lsrG//
CRP_Cra_FNR_PdhR	cspE//
CRP_Cra_Fis	ompR//
CRP_Cra_Fis_GlcC	marR//
CRP_Cra_Fis_MtlR	deoA//hupB//gabD//
CRP_Cra_Mlc_NagC	sra//ebgA//rrfE//rsmH//garL//manZ//
CRP_Cra_PrpR	gloA//glnP//cspA//srlA//
CRP_CreB_Fis_MalT	rrlC//ydeO//atoA//
CRP_CsiR_H-NS_Lrp	mtlR//rcnA//
CRP_CsiR_H-NS_Lrp_Nac	cydD//csrC//malY//
CRP_CspA_Fis	ftsA//
CRP_CytR	atoB//gadE//ydhW//
CRP_CytR_DeoR	caiD//fumB//
CRP_CytR_DeoR_Fis_ModE	purR//rpoS//aroG//cusC//
CRP_CytR_Nac	rpsC//
CRP_CytR_NsrR	mhpE//
CRP_DcuR_FNR_NarL	ybjN//
CRP_DinJ-YafQ	hybD//
CRP_DnaA_Fis_PurR	argD//hycF//
CRP_DpiA_ExuR	nikC//
CRP_DsdC	yjbH//araC//
CRP_EbgR	hyaC//pyrC//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	iclR//proX//
CRP_ExuR	dpiB//
CRP_ExuR_FNR	fumA//yhcH//
CRP_ExuR_OxyR_UxuR	rseB//araH//
CRP_ExuR_UxuR	fepA//
CRP_FNR	aceA//
CRP_FNR_FhlA_HyfR	carA//rhaA//pstS//ccmG//acrF//fiu//fucO//tyrP//cirA//caiT//fiu//mpl//
CRP_FNR_Fis	leuO//relA//gltV//
CRP_FNR_Fis_GlpR_IHF	nuoJ//dsdA//
CRP_FNR_Fis_H-NS_SlyA	sra//
CRP_FNR_GcvA_Lrp_PurR	hyfI//fliK//hypC//
CRP_FNR_H-NS_NarL	ascF//
CRP_FNR_IHF_TdcA_TdcR	fumB//xylA//araB//ilvM//rplW//pflB//dpiA//
CRP_FNR_NarL	puuD//tdcE//pqiB//
CRP_FeaR_NsrR	nrfA//
CRP_Fis	nikA//dinJ//astE//bglB//malE//
CRP_Fis_FlhDC_GalR_GalS	yfaE//zraS//
CRP_Fis_FliZ_IHF_Lrp	fixX//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	rrfG//gntP//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	mtlA//pnp//baeR//
CRP_Fis_IHF	ihfA//mraY//metQ//acrA//stpA//
CRP_Fis_NanR	folA//nuoJ//gntT//hcr//yeaR//
CRP_Fis_NtrC	pgaC//proX//gltW//
CRP_Fis_XylR	tolC//caiF//ileV//
CRP_FlhDC_GalR_GalS	betA//
CRP_FucR	rseA//gcvT//malF//uxuR//frdC//adiC//rbfA//
CRP_Fur	amtB//hisQ//chbR//ycdZ//cydB//sgrT//hyaB//gspJ//hyfJ//
CRP_Fur_HypT_PdhR	argO//lsrG//casD//sbmC//malK//
CRP_Fur_OxyR_SoxS	ccmF//
CRP_GalR_GalS	pspG//
CRP_GalR_GalS_H-NS_HU	nrfE//dmsA//hokD//aspA//
CRP_GalR_GalS_NagC	nanA//
CRP_GlpR	malY//glcF//gntX//
CRP_GntR	osmC//marA//
CRP_GntR_IdnR	cysU//narX//gadA//nuoC//ileV//mtr//fabA//
CRP_GntR_IscR	ydhX//
CRP_GutM_GutR_H-NS	sufS//ydhY//csgB//ssrS//casA//proX//garR//
CRP_H-NS	rhaR//
