#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	prpB//rob//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	ynfF//gadE//cspA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	hycA//glpQ//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	uvrA//flhC//
AcrR_FNR_Fur_SoxR	rbsA//
AcrR_FNR_Fur_SoxR_SoxS	xylG//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	rob//
Ada_AidB_Lrp	citD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	dsdC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	frdB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	patA//fimF//sucC//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ascB//gltD//
AdiY_H-NS_IHF	hycA//
AgaR_CRP	metE//lpxA//araE//glcF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	bolA//entB//phoQ//paaA//nac//cspA//
AppY_ArcA_YdeO	aroG//nanK//marB//hyaA//
AraC_CRP	glpB//rbsC//fbaA//cytR//hisJ//metY//entF//aceA//fimI//
AraC_CRP_XylR	lpxA//lsrC//ynfE//
AraC_NagC	puuP//napD//
ArcA_BetI_Cra	idnD//moaA//sodA//nrfG//
ArcA_CRP_CaiF_FNR_H-NS	lpxC//paaA//betB//mdh//glpC//bglB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	codA//cadA//cspA//lpxD//idnO//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	fhuF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	narJ//
ArcA_CRP_Cra_FNR_NsrR_PdhR	araH//ydeO//
ArcA_CRP_Cra_Fis	focA//
ArcA_CRP_Cra_IHF_IclR	rpoH//xylB//purM//
ArcA_CRP_DcuR	casB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	yciF//bglF//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	emrY//
ArcA_CRP_DnaA_FNR	envZ//
ArcA_CRP_DpiA_FNR_NarL	yiaM//araC//cusC//cadC//serC//putA//
ArcA_CRP_DpiA_FlhDC	ccmE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	uxuR//acnA//
ArcA_CRP_FNR	mhpD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	gltF//rrsD//ahpF//
ArcA_CRP_FNR_Fis_Fur_PdhR	acrB//
ArcA_CRP_FNR_Fis_IHF_NarL	nanT//
ArcA_CRP_FNR_Fur	norV//cusS//ycdZ//rhaB//
ArcA_CRP_FNR_Fur_IHF	serC//prmC//ssuD//lacY//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	malE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ftnA//
ArcA_CRP_FNR_IHF_NarL	cydB//
ArcA_CRP_FNR_NarL	dpiB//
ArcA_CRP_FadR	nrfE//ulaD//
ArcA_CRP_FadR_HipB	araF//
ArcA_CRP_FadR_OmpR_PhoP	bhsA//
ArcA_CRP_Fis_Mlc_SoxS	lrp//
ArcA_CRP_Fis_XylR	galP//
ArcA_CRP_Fur_GadX_MqsA	malE//
ArcA_CRP_GatR	caiA//pqiA//napA//fliZ//ftsI//nanT//
ArcA_CRP_GlpR	fadA//
ArcA_CRP_IHF	nrfA//
ArcA_CRP_PuuR	fdnI//puuR//adiC//gatD//ydhX//
ArcA_CRP_RhaS	dppF//
ArcA_CRP_TreR	mglB//serC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	dcuR//sgrT//
ArcA_Cra	cytR//
ArcA_Cra_FNR_H-NS_HypT	crp//serA//
ArcA_CysB_FNR	gcd//
ArcA_FNR	norW//pqiB//hyfD//amtB//crp//tnaC//glnA//glmY//atoA//dctR//dmsA//nrfD//gatD//fdnI//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	ihfA//
ArcA_FNR_Fis_IHF_NarL	hycB//ilvI//galT//nrfC//recF//fucR//moaD//napF//hyaB//ebgA//gadW//rpsC//pspG//
ArcA_FNR_Fur_IHF	carB//
ArcA_FNR_IHF	melB//mraZ//malF//
ArcA_FNR_IHF_NarL	treC//glpT//
ArcA_FNR_NarL	uhpT//glnQ//rimK//ppiA//
ArcA_FNR_PhoP	betT//
ArcA_FNR_PuuR	proW//hyfC//
ArcA_FadR	fabA//gcvH//flgM//
ArcA_FadR_Fis	dcuC//pstB//
ArcA_Fur_Lrp_ModE	metY//moaA//ytfE//cysW//hemL//
ArcA_GlcC_IHF_PdhR	glyA//ydhX//fabZ//lysA//appA//paaZ//
ArcA_LexA	atoD//ssuC//
ArcA_LldR	glnK//paaK//ccmF//
ArcA_NarL	pspB//ydhW//gabT//torA//rprA//aceB//casD//fecD//
ArcA_NtrC_PhoP_RutR	rhaD//rrlA//agaA//murP//yjbF//putP//cusR//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rrfD//dpiA//betT//
ArgP_CRP_FNR_Fur_Nac	cyoD//
ArgP_DnaA	csgA//frdB//mdtF//
ArgP_Lrp	napH//xylG//
ArgP_LysR	nrfF//
ArgP_PhoB	pspG//
ArgR_CRP	mdtE//
ArgR_CRP_Fis	lrp//yjbE//yjbF//ygiC//zraS//trg//rrsE//gspD//
ArgR_Fis_IHF_PepA_PurR_RutR	deoB//moaD//
ArgR_H-NS_NtrC	prpB//phoQ//napC//rutC//
