#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	aaeA//ilvX//glpD//cusS//
AlaS-L-alanine	alaA//
AllS-allantoin	ssuA//rutA//trpL//
AraC-L-arabinose	malQ//ihfA//katE//cadA//tap//oppD//gadC//norV//manX//creD//nuoN//chbF//glpE//phoE//
ArcA-Phosphorylated	folE//galM//yegZ//eda//dnaE//nmpC//bcsB//xapB//hyfB//xylH//rrlA//ileU//srlE//phnO//hcr//entD//purC//mlc//ygiA//patZ//ychH//pncB//glnK//nfuA//cynR//ahpF//iscR//modA//comR//trpC//fumC//phnK//aaeX//araB//sdhA//yneM//csgG//ydeN//astA//aspC//artJ//hyfH//ybdN//yhcH//hisJ//phnF//grxD//ssuA//adiC//efeU_1//sucD//mlc//spy//dcuR//yeaE//sodB//hisP//purC//ydhX//fumC//dsbA//rof//gltT//cheZ//gspF//aaeR//prpR//glnL//trmD//lldD//yfeW//ilvD//paaA//lldD//marA//tsx//folE//hyfB//dnaE//yhcH//fecE//mtlD//aspA//zntA//rbsR//treB//yqjI//rutF//yhjA//aaeX//mtr//grpE//mgrB//acnA//aspC//mhpE//trpL//fhlA//miaA//nusA//ccmG//infC//aroL//glpE//cspD//argH//fhuD//malT//zraR//lsrD//tauD//galP//ldtC//hybE//alaU//norW//yfdX//pncB//kbl//glpE//cheB//emrY//uhpC//ahpC//abgA//araB//fumA//mntP//rplD//lolB//hdeD//zraR//torD//atoE//fadA//ptsG//ivbL//tehB//emrY//cirA//ybjG//artI//phnI//yfbR//rbsA//lpxA//purK//ppiA//yfbR//ubiC//cysK//agaA//srlD//nuoE//ydhY//mzrA//sbcC//aroF//rpoH//artI//creC//srlR//uraA//umpH//degP//napG//acrF//paaE//torR//pgaD//ompT//preT//hypF//bdcA//ulaD//ilvD//ychO//
ArgP-L-arginine	degP//galP//cysB//oppF//cytR//rrfH//raiA//mgrB//moaD//serA//araF//metK//moaD//ahpC//cyaR//glcD//
ArgR-L-arginine	aceE//ilvC//araJ//gspM//phnD//fliA//hycB//hycE//malK//torD//mhpC//ldtB//gabT//abgA//yojI//ybdN//paaD//pitA//norR//nanM//manX//malK//hdeA//artJ//zntA//ogt//nanT//fhuE//fur//ydeN//argD//metJ//fis//fucU//hofN//thrS//lpxD//uidC//aceF//
AtoC-phosphorylated	atoB//ubiA//iclR//citC//
BaeR-Phosphorylated	tsx//dppD//ilvA//cheY//astB//pck//casE//hisQ//
BirA-bio-5'-AMP	yhjA//oppD//yiaN//gspE//ssuD//
CRP-cAMP	gcvT//manA//nuoI//codB//sucC//ascF//psiF//mtlA//pgk//hisP//glcF//sufB//serA//nlpE//spf//atoD//nikA//carB//sufB//pstS//hyfA//ynfK//ydbD//aaeA//narL//moaA//mdtA//araH//glpC//rpmC//hypD//zraP//purM//entA//sdhC//nmpC//pncB//napA//napG//purF//nrfF//dppA//rpoE//tpx//yhfA//cysA//cysG//dnaE//nagE//evgS//ygiC//caiD//cyoC//malY//bglB//rpmC//fldA//ndh//argH//tdcD//fabZ//crr//speC//arfB//fecE//artM//hofO//csgE//znuA//rhaT//ydeN//cydD//araH//rbsD//malE//gntU//nagB//rpsF//glgS//amtB//aceK//fadB//fadJ//arcZ//hycD//araG//cyoC//ssuD//ybjG//abgT//fimE//artM//mhpF//ldtB//ampE//araD//citX//lsrA//caiB//tam//rrsC//phnI//cyaR//rplD//dctA//paaK//dcuR//cysK//bglF//dppB//hyaD//metF//truB//yhjC//dnaE//gnd//envZ//fadE//ryhB//ssuE//lacZ//ompT//lsrD//glgS//rcnB//acrB//ygbA//hyaD//qseC//adiC//ung//tyrP//frdA//yoaG//aceE//ihfA//aceB//exbD//hybO//alaS//nuoN//uvrA//mglB//cytR//srlD//gltD//gltD//gntR//sbcC//galM//ugpA//nuoG//napD//araG//csgF//nlpD//nuoG//kbaZ//speA//aceA//chbC//acs//lhgO//rrfH//aldA//mepH//rstA//uxuR//trpC//prmC//rybA//rpoH//ppiD//ccmG//uhpA//fucR//casD//fepD//safA//rnpB//aldB//hflC//hofP//rrfH//rplC//hybF//cvpA//pflB//gntU//ubiX//rhaB//gatA//dmsD//hisP//csgF//betI//torA//gltA//nanA//tehB//argI//pncB//ccmF//ycjX//feaB//ssuD//nuoB//appC//ygbA//prpC//glcG//skp//trpE//purE//dsdA//arcA//bcsZ//fixA//ssuC//fixX//moaD//yfdE//livM//glpD//nrdD//rbfA//ilvB//folE//cpxA//fimI//oxc//truB//ilvI//exuT//cusR//ydhU//uidB//ahpC//fecA//uidA//pgaA//fucA//bglF//fhuC//rrfD//moeB//napB//nrdA//nikA//phoA//hyfG//fucO//pheM//ssuA//uidB//moaC//hmp//ryhB//glgS//nuoM//hypB//caiF//lysO//ydhT//astC//glrR//ychH//oppD//lysC//araD//yiaO//dadX//ccmG//aaeB//uxaB//hflC//malX//malE//gcvH//hyaB//ydhT//hybF//norV//rplC//rhaA//betI//hyaE//glyA//mutY//fhuA//lldD//caiT//agaV//dnaA//gcvT//torD//fliA//glpG//rutB//argC//hpt//purF//pheT//gltW//csgF//bioD//ygiC//nirC//dppA//ilvH//rplM//malM//pheS//phnL//cspD//yqjA//pitB//cheW//yeaE//phoE//uidB//lacZ//ompT//nuoE//ydhW//bglF//hyfA//betA//yeiW//cysC//focB//appX//gltB//frc//moaB//nrfF//torD//codB//nuoL//hyfH//ileV//prfA//comR//cra//nrfA//iscR//tnaC//ynfE//ompC//efeU_1//acrB//phnI//pck//nrfB//zntA//argE//hybA//yeiL//rrsH//rrfB//ansB//treC//ubiG//caiA//cheA//sufC//yfeW//paaA//uhpB//tnaC//yhhY//gspO//cydA//cusB//cdd//ompT//ulaA//marB//nanS//tdcG//fixC//ygeA//xdhC//yfeW//rpsQ//pstC//sxy//evgS//hybE//hslJ//phnJ//ugpB//ydhV//xdhA//uhpA//fimG//ygeH//folA//gntK//ychO//aroH//lpxA//deoB//norW//lacY//hlyE//aidB//csgD//livK//bcsB//moaD//glpG//aroH//rutF//idnR//ybfN//bdcA//glcE//manA//pdeF//micF//pflB//gabP//nuoK//fadA//yebE//ydeP//ftnA//gpsA//hofP//tsr//glcD//rybA//mglA//glpD//purA//dadA//csgA//sdhC//pgaC//yegZ//ugpC//marB//norW//rrlA//lsrR//melA//nikR//puuD//hfq//gspG//hyfA//ydhY//ptsG//psd//alaU//iscS//narX//gpsA//flhC//tar//dsdA//artP//grcA//bamE//tnaA//gntX//gspG//garK//xapA//hypD//hofP//cysB//norW//nrdD//mhpD//lsrK//treC//rrlG//uhpT//alaA//mhpF//hyfF//proP//rrfC//envY//recF//phnJ//frdA//abgB//hupB//gspH//ygeA//cytR//glnK//pheS//cysM//araG//fau//fbaA//yfdX//mlc//purH//pdhR//mtlA//nuoJ//gspO//glpQ//argH//ccmG//actP//nupG//ykgR//cysM//murP//cysU//manX//nuoG//uxaB//aspC//hupB//exbB//rybA//infC//casC//
ChbR-Monoacetylchitobiose-6P	bglF//phoE//fliZ//manY//gcvH//nrfG//
CpxR-Phosphorylated	hofM//rhaA//gatZ//fecD//yrbL//ugpC//ybiT//betB//yhfA//rnhB//aroM//fecD//araJ//hyfF//soxS//hypA//entF//folA//hdeA//raiA//glgX//glgA//thrV//envY//agaW//nrfA//narJ//tdcD//hcp//bcsB//napB//ahpF//ilvL//sbmA//gcvH//aceA//cydB//rbsC//caiA//ulaF//chbB//rutB//cyoA//csgA//gadB//lldD//frc//psiE//phnO//ccmG//speC//argF//cysP//mdtB//zraP//garK//agaV//livK//aceE//phnD//micF//pflB//ansB//torR//lldP//pyrC//slt//marA//map//
CreB-Phosphorylated	ynfE//phnH//metI//aldB//dcuD//aaeB//deoD//ryhB//livH//
CueR-Ag	tdcA//ydeO//feaB//araF//phnL//yqaE//malK//
CueR-Cu+	rrlB//pgaD//mhpT//bioD//tauA//trg//yecR//
CuerR-Au	yeiW//lysP//hyaB//oppC//metQ//codA//hycA//
CusR-Pasp	trpR//ihfA//yggX//malQ//rstA//nanE//norV//purE//nuoM//zraS//yjeF//tdcG//
