#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ogt//uhpA//fixA//cvpA//
AlaS-L-alanine	ulaE//
AllS-allantoin	deoB//argT//galE//
AraC-L-arabinose	cusB//kbl//cynR//fecD//infC//glrR//speA//nikB//hemL//fucI//ilvB//nohA//iclR//dadX//
ArcA-Phosphorylated	fimF//gatY//cysI//cusB//dsdX//efeU_1//nuoN//ftnB//tnaA//araE//ssuA//hyaE//ygiC//rybB//uvrA//dcuR//ydhV//gltA//cadB//aldA//manX//gspD//fixC//ogt//gdhA//mgrB//uhpB//rplC//ftnA//rbsA//sdhD//ccmH//gspL//tfaQ//lsrF//tauB//yfaE//glpC//yhhY//uxuB//thrS//tdcC//ynfE//lacI//dsbA//hofN//pflB//cspE//mntS//malF//glmY//yfdX//gspD//ebgC//argT//purC//alaV//abgA//nanE//alkA//evgA//galE//dcuA//nuoN//phnN//argC//uidC//manY//lsrG//mhpT//fnr//chbA//ilvX//uidA//ryhB//bdcA//sxy//sufA//argE//appX//ilvC//glcE//paaH//argR//alaS//prpR//bdcA//gpmA//yegR//aidB//katG//ssrS//mhpC//skp//bioC//trmD//sgbU//glgB//araG//mgrB//fecB//xdhB//hybB//sbcC//fdnH//ybfN//bioD//fdnH//exbD//uxuR//alaV//cysI//feoB//osmC//pagP//tyrA//artM//ydeO//dsdX//casE//gltD//glrR//cyaR//purF//rrfH//araH//yjeV//gutM//ychH//iscU//mhpR//glcD//casB//icd//argT//nuoL//ygiC//evgS//bcsC//ugpB//phnJ//narH//moaD//metE//ackA//tnaA//cysH//cyaA//narQ//hslJ//caiT//uidB//appB//hyaB//bamA//mlc//napA//uhpB//glgC//idnR//casB//fimC//codB//nrdI//ccmD//tsx//hisP//treB//ykgO//acrD//glpT//amtB//adiC//gspG//nrdG//paaD//gntP//
ArgP-L-arginine	metF//carA//ccmC//xdhB//trxA//xseA//amtB//glcE//ompF//phoA//artQ//trpD//osmC//gcvP//chbA//phoU//
ArgR-L-arginine	ydeJ//prpD//hycH//narX//speA//gadB//infB//sbcD//mgtL//yfdX//preT//fhuB//gspI//narG//nikB//prpD//speC//hycG//caiD//putP//eda//skp//fiu//xdhC//ycjX//nanM//nlpD//hyaD//tauA//pncB//xdhB//yaiA//glpF//mepH//xylB//dcuS//nohA//hofN//nlpD//
AtoC-phosphorylated	recF//manY//yegZ//nohA//
BaeR-Phosphorylated	argA//glpT//cydC//sucD//moeA//garK//crr//hybO//
BirA-bio-5'-AMP	uxaC//purA//allD//hycG//icd//
CRP-cAMP	metL//nikA//astC//cysD//dmsB//phoE//prpR//rbsK//fadH//nrfC//cyaA//yidQ//tdcF//appY//fhuC//malF//manY//gspH//yaiW//grpE//marA//hfq//serA//dppA//uvrA//trpL//cspE//hypC//fur//yrbL//hslJ//pta//rseA//rutE//murP//leuE//purL//artP//tfaQ//fadB//speB//cusB//efeU_1//fnrS//fumA//oxc//tdcE//lysO//gatY//yjiY//ansB//uxuB//frc//pagP//abgB//malQ//tsaE//xylB//araC//argB//priB//exbB//fepE//mhpD//micF//purC//nagB//acrE//mglB//trpR//ackA//yeiB//hycE//rutE//xylA//xylB//artP//preT//atoA//cusS//metY//yeiB//tdcC//cysH//mdtC//cueO//ilvX//rrsA//hyfE//ldtB//ilvA//astC//glpB//nagA//patZ//rhaT//bglF//hflK//stpA//astB//dcuD//citD//uhpA//fucA//pdhR//rpsF//rrlE//phnP//grxC//dsdC//rrsD//ogt//rprA//gntK//cdd//frdA//dkgB//nagB//feoB//lsrB//gltD//ileV//mdtB//ssrS//manY//srlE//paaK//cheY//ugpC//yaiA//treB//ygiA//argA//argF//ygeA//hslJ//yhjA//tktB//acrA//hslJ//pstS//adiC//idnT//phoE//gutQ//rbfA//fepG//artP//glcF//cspD//nrdH//bamA//pagP//dsdA//ccmA//astD//bhsA//ytfE//nanS//caiT//rdoA//nanT//gcvP//tdcA//ydbD//ahpF//rrsB//pflB//rrsD//ompR//gcvT//abgA//uxaC//cysG//gcd//phoP//yeaE//ydeA//emrY//aceE//ndh//cheR//moaE//rseB//fadD//mhpE//mlc//rpsO//yjjZ//rnpB//uidC//chiP//polA//fixB//frdD//narX//livJ//thrS//deoC//crp//yebE//glgA//gatC//nrdA//moeA//ftnB//feoC//guaB//bcsB//gspL//araD//mglC//fecA//deoB//metK//sodA//livJ//fumC//napC//torR//fadL//nfuA//dcuR//pgpC//hofN//dsdA//fimA//purF//tdcE//rplV//pdeF//araB//nrdA//ygiB//bioD//mgtA//yiaO//acrA//dpiB//fimG//glnK//nanT//bioD//fis//rbfA//lacY//proP//hcr//csgC//argC//nuoF//mtlR//moeA//mipA//nupG//lpd//rplS//agaV//tcyJ//nuoB//acnA//betB//ogt//ilvD//citF//katE//tcyJ//phnP//chbR//amiB//cysB//cusB//yiaK//purR//dcuD//prpC//rplB//fimD//glpR//cyaR//xdhB//ompT//fecB//yqaE//gpsA//agp//rdoA//phnG//moaA//nlpE//lpxB//glcC//ysgA//tyrB//fepE//yfdX//hflC//rrlG//xylH//uxuA//betB//rrfC//gabP//exbB//avtA//argH//dppB//srlE//puuP//hyaA//rplB//aldB//sbcC//gspO//artP//tadA//pncB//cvpA//ldtC//ydbD//acrD//ompF//hofC//pgpC//gltD//mdtC//ydeJ//melA//araH//trpL//ompC//tyrB//gltF//nuoJ//rrfA//csgA//acrF//pheS//murQ//cheZ//feoB//oppA//fadE//ynfK//napC//aldA//hflD//ryhB//arfB//phoA//sbmC//fadI//ilvY//yedX//tnaA//purN//nrfF//tap//pgaA//mdtA//ulaD//narG//mhpD//entC//ykgM//rrsB//araE//hemL//comR//manA//iraM//yhjA//zwf//ygbA//cyoD//nikE//creD//hybA//metJ//rbsA//uhpT//cysU//prpB//bioF//lysP//mpl//betB//purH//malZ//avtA//marA//tdcF//phnN//idnK//hyaE//fucI//galE//umpH//rhaB//rpoS//nuoH//osmY//ulaF//nuoC//baeS//cbl//xylH//gatY//rrfC//hybG//codB//pck//cbl//ynfG//appC//purH//glcB//yhhY//phnL//ilvE//rhaT//hyfG//ugpA//ydhT//bdcA//cpxA//ygeA//gcvP//paaE//phoH//arcA//xseA//garP//nikR//phnE_1//fadB//oppD//gnd//paaA//glpT//rrfG//csgE//dmsA//fixX//bioB//gspL//grcA//hisP//fecR//fucP//tyrB//ompX//tauD//ebgC//feoC//rrlD//nuoI//argB//nuoK//nagA//mtlA//csgB//eda//envY//purD//rrfE//yhcH//malX//yjjZ//pheS//lpd//paaI//tauD//manA//dmsA//gabD//purC//pdeF//purK//cyoC//rpsR//ccmF//purM//galE//phnE_1//ydeM//ndh//hybF//cdd//znuA//glpF//nuoM//sufC//fimF//sufC//marA//gabT//dcuB//bcsZ//aceK//ydhW//citD//argO//zinT//pta//grxC//psiF//copA//nanM//entS//caiT//sucB//tktB//bioB//dcuC//nrfF//gatZ//cysH//nirB//norW//pheM//gspH//csgF//fimG//ilvL//
