#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cydB//ilvB//patZ//tap//
AlaS-L-alanine	evgS//
AllS-allantoin	sucB//gabT//slt//
AraC-L-arabinose	ssb//hofB//rimP//casA//lysU//metJ//gyrA//ycjX//mzrA//fucP//glgB//mipA//dcuS//glpK//
ArcA-Phosphorylated	ydfH//nrdB//ugpA//metK//gntT//tauB//dcuR//paaJ//entB//comR//tcyJ//rpoE//cheW//purD//tdcA//srlR//amiB//phnM//alkA//bdcA//phnH//narL//phoB//pgaC//hybA//hyfH//nirB//hybE//nrfA//qseB//gcvH//safA//nikD//argT//pgpC//cysN//nlpD//hybB//sufD//livH//lsrR//hyaA//puuC//speC//appB//oppA//soxS//ubiX//metN//appY//ebgA//gatY//ilvY//chbG//copA//ccmA//skp//ccmD//lysU//puuE//rrfH//ccmE//gltU//hypD//cusB//lsrR//uof//dppB//nusA//fadA//ygeH//rrfA//puuB//galK//bioB//phnG//kbaZ//bamA//paaE//astB//prpD//ytfE//argE//putP//ydhT//gadC//ftnA//cirA//tyrB//cvpA//nanK//yidQ//cydD//aceA//prmC//cysC//serC//ydhV//hdeA//uxaC//nagC//ykgO//uxaA//tktB//fliZ//degP//citF//paaG//fhuD//rplD//fecA//yeaR//rhaB//fur//sucC//fur//paaE//cusB//tehB//aldA//nuoK//mtlA//srlR//hdeD//hofC//mglA//abgB//rhaR//ppiA//hdeB//phoR//nrdB//xseA//cyoC//yciW//hyfJ//rcnA//yoaC//znuB//alaA//dkgB//rdoA//uidC//rplD//phnC//hybE//nagC//bhsA//pstB//rutE//ydeN//gntP//cas2//dppA//ompR//artM//sdaA//argO//srlD//ugpE//narJ//ygbA//glcA//fes//lldD//glgC//udp//hcr//yiaL//sroD//yiaN//ydeA//hypF//tcyJ//ssrS//agaV//znuB//
ArgP-L-arginine	rnlA//qseC//argF//nrfE//ompR//lysU//lysP//aroG//sufS//ada//tfaQ//uvrA//cirA//gntR//cysN//hyfJ//
ArgR-L-arginine	napB//baeS//casB//hyfG//ackA//cydD//tadA//nuoI//puuR//cynT//aspA//iscU//dpiA//gltT//infC//malT//envZ//nuoB//modB//nhaR//phnM//ccmE//rcnA//acrA//pgpC//bamE//purM//hupB//nrdF//cusS//ahpC//bcsA//rplP//trpC//fhuE//azuC//gcd//sufS//prfA//
AtoC-phosphorylated	fadL//malT//hycI//uidB//
BaeR-Phosphorylated	rpsJ//tyrA//glcE//entD//tar//dctA//purN//ilvL//
BirA-bio-5'-AMP	glpQ//hyaB//yiaM//purE//malG//
CRP-cAMP	purB//sucD//ydeP//trpE//rimP//torD//ytfE//aspC//iscS//rimP//alaU//malM//metQ//zraR//cydB//phnG//tsr//uxaC//lolB//trpC//trg//safA//nuoK//rpsO//bamA//aaeR//aroL//fadB//gnd//talA//trpL//uidB//argT//lsrR//ydfH//gspF//pck//eda//entH//ydeO//rstA//ccmD//fbaA//gspJ//ycjF//hisJ//fau//tyrB//acrE//cysJ//idnD//lysO//spf//glgX//hupB//mdtC//putP//bioD//ansB//yiaM//rhaB//csgB//prs//cheR//gntX//rstA//pgpC//fimC//araD//abgA//argG//dpiA//comR//hyfF//phoR//trmD//phnP//nirB//astE//cydA//dpiA//ung//nagE//aaeX//rrsG//hemA//mgtL//agaA//hyaD//nuoA//evgA//mdtD//appA//guaB//chbG//fhuF//rbsR//dppA//rdoA//fepC//garP//metI//psiE//nrdB//pck//hlyE//tdcF//preA//norW//nrdA//mdtB//ccmD//nlpD//uidB//ilvH//mzrA//malY//cysC//yiaN//znuB//nikB//rrfE//frc//hyfR//feaB//rrlD//nuoL//ccmB//focB//chbG//slyB//yhjC//glnD//znuA//csgB//malX//mhpA//fucI//argB//hypF//srlE//nirC//bioC//sohB//iscR//ssuE//pagP//betI//xylA//fixC//fecD//argF//rpmC//tpx//argF//melA//aaeR//ydhX//ompT//dsdA//rrsB//cheR//zntA//nrdG//abgB//sufB//pgk//cadB//ilvM//galT//fixC//copA//ulaF//purL//lsrB//degP//cas2//iclR//fhuD//tktB//torD//hycC//hyfJ//hycI//manZ//fdnH//abgB//aaeX//cheY//entF//ilvE//nagE//guaA//metC//sodB//melB//fucI//malK//cadA//cyaA//glcA//puuD//fimF//dkgB//tauA//deoB//araD//nrdE//hlyE//fixA//yrbL//purH//sdhA//trg//uhpA//caiT//rpsR//mglA//udp//rybB//bioC//hypF//rhaD//dnaN//fadD//yeiP//gdhA//tyrP//nrfB//gutQ//tauA//raiA//sodB//hyaE//dapD//yecR//nirC//dkgB//efeU_2//nirB//marB//xylA//fixB//csgE//argA//deoB//mntH//citE//zraP//sohB//ryhB//lhgO//yneM//hycH//nanA//tnaC//hycE//lldP//narK//gspH//cytR//araC//ydeP//yhjC//ilvG_1//lsrA//lpxB//napC//nlpE//uraA//hyfB//phoU//ilvD//ugpQ//yibN//marA//sdhD//phoB//rpmI//csgC//yiaK//bglB//fiu//fbaA//tyrR//paaK//lacI//murP//asr//nusA//hybA//zntA//mepH//fimF//dmsD//abgT//rof//trmD//lpd//mntP//dnaA//lsrB//cbl//gltV//yibN//atoA//ilvH//dsdA//mzrA//rstA//nuoA//narQ//entE//ansB//fepC//trpL//idnT//nikC//ydeO//paaG//folE//nfuA//xylA//yoaC//hisP//frdC//pnp//phnD//lpxD//garP//glpC//hypE//hyfB//yibN//yiaL//umpH//ivbL//ahpF//nagE//alaS//gatY//hybG//astB//bglG//fliA//hmp//moeB//dctA//yegR//araJ//napH//xylR//rrsH//hyaA//gntU//treR//aroP//upp//nfuA//hyfC//hyfD//betB//ubiC//alkA//ilvG_1//rrlB//manX//carA//phnI//xylA//fecE//hflC//codA//tdcC//lysU//hemA//yccA//appC//mtlA//gspD//rrlE//sufD//trg//ydeJ//ftnB//cyaA//paaJ//betA//bioF//gatZ//treB//nupC//argH//ilvM//xylH//cysJ//speA//hyfH//nikC//yqjH//rplC//ilvH//pck//fepG//ydeA//pncB//bdcA//psiE//astB//fadD//atoD//metR//recF//hypE//crl//puuD//hybD//tyrB//rrfE//guaB//metL//phnI//nuoH//cas1//treB//aroM//umpH//rstA//oppF//hyfF//treC//phnH//ndh//pyrD//citD//csgA//cydA//cysN//infC//icd//mdh//mntS//nikR//napG//glpX//rseC//ygeH//gatZ//argF//glcF//hyfA//glpK//mntS//fnrS//glnK//hyaD//araD//citX//fecD//nuoL//yccA//ugpB//gltB//purR//gspF//ompR//lolB//phnK//nuoH//zraR//rybB//bamA//phnC//phnI//tauA//glnB//glpE//appB//fdnG//uhpT//deoA//fepE//rutD//ccmG//hybE//sbcD//hdeB//pta//hemL//dsbA//ilvX//malK//treR//gntK//waaH//feoA//baeS//oppC//yecR//hisQ//csgA//ugpB//betB//infC//baeS//exbB//nuoN//metJ//ppiD//tdcC//rof//yaeP//caiB//ptsI//creD//lsrD//yaiW//mipA//gntP//yegH//phnO//fhuE//rpsI//mhpT//mtlR//
