#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	umpH//pyrD//ssuA//dmsA//
AlaS-L-alanine	purE//
AllS-allantoin	rbsA//grpE//alaU//
AraC-L-arabinose	dps//glpB//hflX//hupA//hyfC//metI//icd//glrR//ptsG//ilvN//ynfE//yiaK//truB//entB//
ArcA-Phosphorylated	fis//mlc//murQ//dsdC//rbsR//tnaB//zraS//lsrB//cyoE//bglG//tfaQ//bglF//ynfK//yeaR//dctA//gnd//entA//napD//fau//xylG//rseC//ugpE//hofN//fdnI//malM//tdcG//malK//tap//ybiT//ilvG_2//cspD//galK//rpsS//agaA//pdeF//astB//serA//nlpE//gspM//hcp//appA//sxy//ahpC//chbG//focA//uhpA//chbB//adhE//rutF//fhlA//ompC//ompA//fhuA//hypA//yoaC//uof//alaS//nuoE//moaE//rutC//malE//phnF//bioA//ydeA//efeU_1//rplI//yiaK//dgcZ//nikD//glgC//nuoB//gspC//torD//ysgA//garP//fadL//moaE//fadJ//gspC//gatY//glyA//nuoJ//rimM//ydbD//ilvL//focB//crr//gntR//acrE//phoQ//tar//argA//tsgA//astE//uhpC//ydhV//fbaA//phnD//dgcZ//alkA//glpC//hyfI//yfaE//tdcC//napD//argI//uidA//pyrC//dadA//focB//fdnI//ccmC//fixA//ydhT//ugpB//argH//ldtC//fadA//epd//dgcZ//fucU//yaeQ//uxaB//ykgM//ldtC//artI//hypA//fadL//ogt//ydeA//arfB//csgC//azuC//ompX//ydfN//creD//trxA//ssb//rcnA//nlpD//nuoG//yoaG//torD//slyB//bioC//ybjG//rbfA//srlR//ygeA//hdeA//napA//purD//marA//hyaD//fimF//cydA//metC//gadB//pta//prpE//evgA//yeiP//fimD//bcsZ//napH//ampD//entB//feoB//tonB//yfdE//tonB//dapD//puuE//ynfF//appX//ydeM//narG//
ArgP-L-arginine	mdtD//grxC//astC//rbsB//fbaA//iscU//waaH//uxuR//uxuR//rcnA//rpoE//cysN//fdnG//glnA//dpiB//sufB//
ArgR-L-arginine	cysU//gspG//alaV//mhpB//fimE//hyfH//xylB//chbG//cydA//sucB//mhpA//emrK//casE//cynR//bacA//fnr//hycH//torD//sdaA//atoD//napF//lsrC//tyrA//araC//iscS//gntU//yfbR//hha//nikA//glnK//yfeW//rrfG//metJ//rutF//lysU//lysO//fepG//hycG//cyaA//
AtoC-phosphorylated	purN//ilvG_1//avtA//serC//
BaeR-Phosphorylated	nusA//fliZ//treC//bdcA//yeiW//metB//nuoE//hdeA//
BirA-bio-5'-AMP	ulaC//trg//xylG//gcvT//modC//
CRP-cAMP	citD//rpsI//speA//aaeR//rhaS//uidC//glgP//agaA//hycH//glnA//pitA//sufA//folA//galT//tsaE//deoA//nuoN//rrfA//aroA//nuoN//rpsC//rplM//leuE//azuC//fixC//napC//citD//ung//exuT//amn//pgaD//mdtC//yfaE//ulaF//araG//feoB//pgaA//fau//prpB//ssuD//gabT//napH//hupB//eda//ispE//mgrB//iscU//cadC//ykgR//ydhT//talA//nuoF//ygiA//pgaB//metB//fadJ//slt//cynR//sucC//cheA//uidA//melB//narH//metE//ulaC//soxR//glnL//pitA//ebgC//rnpB//metL//fucP//feoC//crl//argP//frdD//yiaL//cydA//gadC//cspE//hycF//fdnG//cas2//dmsD//purL//glcD//yojI//acrE//yeiL//manZ//cysP//gnd//rpsC//ilvN//flhC//mgtL//paaH//fadL//ada//dcuA//tsr//speA//allC//cyoE//ulaB//ubiG//hlyE//prfA//fliA//phnE_2//skp//ugpA//pheS//ynfK//ilvC//puuC//ilvG_1//pgaA//hybA//crr//prpC//hisQ//dppF//yjeV//manZ//cyoC//pgpC//paaC//araJ//araD//fur//cbl//yegH//chbA//malF//metE//moaA//phnH//avtA//ydhV//yegH//rpoE//exbB//tdcF//fhuB//gntK//feoA//cspE//yggX//lacZ//treR//rpoH//prpC//serA//frc//yhhY//trpD//ygeA//puuB//argB//chbG//tdcA//yqjH//ulaF//marR//mhpA//uhpB//cynS//galK//ilvG_2//astA//qseC//fau//ilvL//tfaQ//gntU//nuoG//polA//rhaD//tnaC//caiE//lacA//rrfD//thrV//rplB//hcr//tcyJ//uidA//hypD//dmsA//trxA//hybA//mdtB//kbl//srlD//gutM//rrsH//fumC//argC//xseA//artM//mhpD//hyfF//copA//waaH//cysC//upp//cyaR//phnP//cynX//dcuS//nadC//metJ//sodB//pck//arcA//glpA//gcvT//oppD//speB//ulaC//ompF//gspM//glnA//actP//dpiB//rstB//hyfB//argC//tdcF//hyfA//phnI//ychH//dcuB//hypE//fepA//grxD//yaiW//gntX//fixX//glgB//paaB//glgP//allC//fucA//ssuA//metA//caiF//entF//baeR//cadA//nirB//mntH//fadL//cheA//oppD//pstC//hupB//argA//dmsD//glpK//fucI//phoB//mglC//gatZ//lysC//phoH//eda//argI//artM//glpE//araA//pta//ybdZ//aroA//phnH//yeiP//ompW//malX//uhpT//hycI//manY//cas1//tdcD//rpmI//ilvE//dppF//aroA//srlE//hyfE//yhjC//casC//ilvG_2//nuoC//mdtA//ccmH//ompT//iraD//ydeM//adhE//speA//mltC//entH//pgaA//tdcA//trpB//glnA//sbmC//raiA//rseB//nikB//rutD//patZ//bamE//dkgB//nuoE//yibN//ileU//metR//dcuS//efeU_2//csgF//napH//fes//emrK//tpx//puuC//fixC//ppiD//nupC//narI//paaZ//aceE//mdh//fepC//srlR//glpK//fepC//purC//hybD//carA//nuoL//metB//sgbH//prpD//hydN//hyfC//glcE//pgaD//fucK//focA//nuoF//gntX//rrlB//sucB//tpx//agaW//phnD//yiaL//tdcB//phnL//glcF//galK//fimG//ilvA//nanS//nagC//idnD//livM//livG//envZ//norW//yegH//ulaC//entS//ychH//phoP//cheZ//prpR//motB//hybF//creD//oppC//nrfB//mhpA//cysW//yegR//sdhD//glcG//ilvE//iscS//nanA//tdcD//yciW//rplW//pstA//gadB//rpsO//nirD//yfiP//casC//lldD//fhuF//malI//chbR//ydeA//yoaG//murQ//yccA//lysP//yfdV//dsdA//paaK//fhuC//aroP//mtlD//fliA//uxaC//fhuC//hypD//csgC//prpD//tadA//ilvM//ytfE//tcyJ//priB//mgrB//casA//mhpR//trpC//hybF//yeiB//citX//dppC//nuoI//yfbR//psd//gadC//gspO//yqaE//preA//trpE//chiP//yiaN//thrS//dcuR//tdcD//bcsZ//marA//fhuA//astA//rpsO//ppiA//sdhD//gntU//mntH//yjjZ//leuE//cusF//yhcH//ynfG//fadI//uhpT//chbG//yegR//comR//safA//rplC//dapD//folE//glcA//sufD//mtlD//polA//yqjH//aspC//yciW//nuoL//amn//rpsI//ileV//cynS//mzrA//purC//araE//yiaM//lrp//entH//rcnA//uxuR//livK//yiaO//modA//hupB//chbC//rbsR//ompR//stpA//hypC//lacI//yebE//pheS//hycG//ispE//emrK//caiA//cysC//fnr//citE//nrdF//deoC//nmpC//casA//sodA//sodB//polA//yoaC//hybC//rrlA//lldP//gntT//fimD//glrR//rutA//
