#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	araA//ydhY//moeA//lsrR//
AlaS-L-alanine	lpd//
AllS-allantoin	rplD//xylH//fepE//
AraC-L-arabinose	appY//phnI//entC//ygeH//dadX//katE//sufB//gapA//crl//entA//astD//ydeM//fadA//mhpB//
ArcA-Phosphorylated	rnlA//baeS//ada//yaeQ//oppF//tdcB//fhuF//cspD//icd//moaB//astB//trpR//lsrD//rpsS//arcA//mgrB//glgA//amn//dnaN//codA//ilvE//glpC//ahpC//rrsH//yfdV//hyaB//ppiA//lrp//iscR//gntX//ispE//araE//fixX//cheR//bioF//guaB//nlpD//artJ//ccmB//sroD//fadA//cysN//csiE//acrE//puuD//ahpF//yegR//uxuR//rrfF//hybG//cysI//ryhB//yjjZ//rpsP//hofN//fadH//entE//puuP//citG//gatY//cusR//tyrR//yccA//fixX//agaW//gcvH//betB//gcvH//ssuC//narJ//rnlA//yiaN//cirA//cysI//citE//cydD//trpD//gntP//purM//mhpA//acrA//icd//lsrF//yhiD//hofN//aaeR//malQ//nrdG//uhpC//ryhB//tehB//gatB//pflB//deoB//csgB//fis//yaeP//stpA//fabZ//cysN//appC//yjiY//dnaN//rrfC//nirC//yccA//miaA//malP//mdtD//nohA//hdeB//purE//caiA//napD//trmD//edd//fur//dmsB//nupG//trpB//tauD//lldP//bcsB//gspC//fhuE//mhpC//sdhC//hofM//infC//stpA//cysN//gspK//lysU//sbcD//phnK//exbD//citC//bglB//sucC//glcA//ynfF//ugpC//cytR//argH//fixB//exuT//casE//exuT//glpT//yiaM//alaU//psiE//znuB//ogt//cyoC//nuoB//slt//priB//mgtA//rpsC//dsbA//ugpC//lhgO//lrp//psiF//tap//tonB//purM//fur//allC//comR//puuP//tauD//hycD//ackA//yaiA//phoB//
ArgP-L-arginine	lhgO//ubiA//frdD//exbD//hemA//purA//udp//prmC//melA//udp//ybjG//rplB//rrlD//ykgO//rpsQ//fimA//
ArgR-L-arginine	nanS//mtlR//cirA//ahpF//ytfE//fbaA//ugpC//motA//rbsA//moeB//tdcE//dapB//mglC//fhuB//gspC//rnlA//dnaE//tolC//katE//csgG//spf//narI//mlc//ydeN//argB//yhhY//paaF//entE//lrp//purN//glnG//citG//spy//betI//glpD//yfdE//glcE//phoB//melB//
AtoC-phosphorylated	napD//ryhB//phnG//nuoG//
BaeR-Phosphorylated	dcuA//uhpB//ulaC//dcuD//hyfE//cheA//dppA//rbsC//
BirA-bio-5'-AMP	lpxA//nirC//yqjI//thrV//cpxA//
CRP-cAMP	ybdN//ilvA//entH//nrdI//lsrG//cysW//crl//fucU//tadA//glgC//fecR//ogt//treB//rplP//gltD//glpC//glgC//yhjC//hybA//acrD//tar//fepB//cstA//ugpQ//oppF//allE//sufA//agp//infB//chbB//hyfD//iscA//hyfR//phnM//gatD//hycD//phnC//glcF//rrfD//bamA//ccmH//rutF//livJ//torR//ssb//appC//rrsE//lpxA//pyrD//yjjZ//ydfN//asr//tauB//ygiC//hisQ//avtA//ssuC//comR//narL//rrsE//rrfF//nuoA//purF//phnJ//skp//ssuD//paaG//bioD//lpxD//argF//tehB//allC//mhpE//fadE//norR//yecR//dpiA//pgpC//rrlG//efeU_1//hyfI//aaeR//hyaC//xylR//murQ//rrlA//rbsA//fecE//cynX//cdd//malX//gadC//lsrK//casA//purC//ascF//lsrR//puuC//ssb//srlA//bglF//cbl//spy//ptsH//pgk//mlc//motA//ung//ptsH//phnF//hycF//mepH//paaK//uhpC//glcC//malM//ykgO//tsgA//paaA//cynX//argE//nuoH//uof//sgbH//mglB//rseC//ansB//ydeP//moaA//rhaR//rhaS//hyaD//pyrD//chbG//adiC//polA//gltD//yhjC//oppF//uvrA//atoB//galK//cusS//metH//lyxK//ptsG//phnM//nlpE//trxA//azuC//qseC//rutA//nmpC//hflK//napH//yfeW//hypC//ydhU//rrsG//nirD//sufS//nuoG//aaeR//uxuB//thrV//mntP//pyrD//arcZ//tehB//sgbU//ilvM//slyB//tdcG//glcD//glrR//fumB//dppB//fadH//rnhB//cydB//tdcG//srlR//narK//hydN//ydhU//grxC//nrfD//yeiW//rplD//ompC//malE//preA//marB//sucB//rplB//argA//phoR//cysB//ppiA//creC//rimM//rplI//xylG//glnB//ccmF//cyoD//ulaA//idnK//phoU//treC//malZ//mhpE//fdhF//iscS//fepA//icd//hycI//tsaE//cysN//trpA//malI//hyfR//caiF//hycD//cysM//rhaA//ompW//fhuB//ccmB//pck//tnaA//nohA//araJ//glcD//gspM//rpoS//araH//xylG//preA//glyA//glcB//guaB//yfbR//ilvC//yeiB//napH//ycdZ//moaB//sufA//hemL//adiC//gutQ//malQ//purD//hycA//dkgB//sufA//efeU_1//ysgA//ccmA//gltT//fumC//atoB//rcnB//abgB//chbC//marA//hypA//feoC//trxA//cdd//hybD//fecI//tam//bcsC//citC//rutE//ftnB//ompT//marA//uraA//hybE//rpoS//fes//tadA//baeR//hycB//rnpB//dps//rrsA//phoQ//glpT//yfbR//lamB//gltD//mzrA//rhaR//nrfD//atoA//cpxR//slyB//rrsH//dcuR//codB//mutL//comR//dcuA//entH//rpoE//tdcB//hyfC//entE//lacZ//rutD//tam//mhpB//rutE//fadA//rrfD//casC//purK//metY//hycD//norW//nrdG//ygaC//chiP//lrp//murQ//ubiG//nagE//infB//frdA//dapB//fixX//uhpC//mdtD//nuoE//sdhB//mhpB//glmY//rplP//yeiW//sbmA//rrsH//gltT//fumB//hybB//rrfE//ygaC//tsaE//gapA//argA//hyaC//ogt//phnI//ycjX//cysK//lamB//sroD//livM//yiaO//rplS//uxuB//nuoF//evgA//dmsC//gspI//qseB//paaA//sucA//rrsH//hyaE//hypA//katG//rseA//ygiC//fadL//galM//ykgM//zraP//yfaE//chbF//casA//yidQ//tap//fucP//acrE//paaG//pgaA//aceA//ada//grpE//glgX//rplV//xdhB//amn//lpd//ldtB//nrdD//alaU//mltC//fecE//aceF//argH//pstA//phnF//sdhA//yibN//cydB//glcC//ydfN//feoB//yeiW//glpK//hdeB//malX//tsr//cdd//glcG//cydD//cyaA//lldD//glpE//ebgC//stpA//idnO//glgC//lsrG//cheZ//fdnH//livK//uvrA//rplV//yciW//sufB//cheR//rrfB//ssuA//hybG//rpsR//hyaB//ydeA//cheZ//argT//mepH//glyA//gatZ//abgB//citE//frdD//znuC//mltC//ilvX//tomB//entB//yhjC//tpx//rybB//tfaQ//ydfH//infB//livK//pgaB//hyfF//araC//cyoE//fadE//fiu//pgaB//yiaO//cysU//paaG//pheM//srlA//glpQ//mgtA//phnI//uxaB//cynR//ubiX//feaR//fhuB//lhgO//evgS//sohB//malK//srlR//hypB//nanK//malY//mhpT//ygeA//argG//astA//tomB//purD//bglF//glcA//fecB//rrfA//araC//gspG//fixA//tfaQ//yjjZ//metR//malX//nuoJ//leuE//fucP//dppA//fhuA//phnG//chbC//glpE//prpR//fhuC//artJ//sucC//garL//iscS//ung//soxS//sohB//
