#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	trxA//argA//napA//dkgB//
AlaS-L-alanine	entD//
AllS-allantoin	pta//slt//csgC//
AraC-L-arabinose	purF//gltW//entC//lysC//puuB//hycB//mgtL//puuR//rpsF//rimM//ilvG_1//glyA//cbl//gltD//
ArcA-Phosphorylated	bioF//erpA//ulaF//phnD//appA//prfA//cysJ//rrsB//ydhU//frc//cysN//alkB//casA//adiC//uxaA//srlB//sohB//aroP//crp//xdhC//argI//phnH//cyoC//ugpA//nrfC//casA//yhjA//rhaB//aspC//lpxA//ompA//hyfB//gcd//ugpB//fixB//chbA//ompC//avtA//aer//dapB//yfeW//malG//allC//argA//nmpC//ansB//puuB//avtA//yiaJ//hypE//ssuC//mdtB//cusF//nanS//exbD//nfuA//rimP//rpmC//rimP//nikC//murQ//dgcZ//marB//casE//yjeV//gspF//ansB//idnD//psiF//avtA//glnA//treR//norW//entA//pheT//paaB//tpx//pyrC//motB//tam//trpD//garK//crp//phnC//pagP//nanM//acrA//argP//aldB//nuoI//hpt//rrlG//csgD//uhpA//ydhT//flhD//nuoL//ugpB//idnO//gltW//ydeO//fixC//mutL//appB//deoD//agaW//caiD//phnG//dmsB//infB//acnB//puuE//galE//psiF//ubiA//puuA//tyrA//fdnI//ychO//phnH//hybO//yecR//puuC//fucK//mhpT//gspF//paaE//argI//chbA//uhpT//dmsB//lysU//ihfA//aaeX//fixA//glpR//narL//cspD//sgbE//dmsA//hybC//yqjH//mhpC//uhpT//nuoI//ompA//glnB//yhjC//alkB//kbaZ//paaK//trpR//hofB//trpR//rpsC//lldR//hflD//nagA//astC//fabZ//carA//rseB//hypD//sbmA//ileT//cirA//nrfE//rrlA//csgD//nanC//malS//trpL//manA//codA//livG//livJ//iscS//
ArgP-L-arginine	mpl//cydC//rutG//moaE//sufC//cusF//alkB//ivbL//tktB//ykgO//trpC//efeU_1//gapA//yneM//glpB//mglB//
ArgR-L-arginine	ygiA//osmC//osmY//fliZ//glgC//acrB//narJ//ptsG//cyoC//betI//thrS//pgpC//hyfA//cusS//nuoK//mtlD//chbG//yfdV//gspK//rrsB//glpC//dsdC//yegZ//glpX//uvrA//phnN//hycG//purD//glpB//hflK//nuoN//sohB//hycD//yecR//glcE//lsrK//glyA//lpxB//cyoC//
AtoC-phosphorylated	mhpA//glnA//hybD//avtA//
BaeR-Phosphorylated	ilvM//malF//manX//dapD//nrdA//idnT//yiaM//comR//
BirA-bio-5'-AMP	galK//hycG//metH//bioA//ileU//
CRP-cAMP	puuD//hisQ//rcnB//ompA//rrsE//tyrP//bacA//ydfN//mdtB//sufD//nirC//mdtB//astC//rnlA//glnD//malZ//nanM//gnd//cynS//degP//gltW//cyoE//ilvD//ssb//glgS//entC//hyfF//lrp//malM//gcvH//tdh//aer//chbB//xylF//napH//ampD//nuoL//ilvM//hyfE//rplD//fecA//nfuA//tehB//tauB//prmC//sucA//lysP//nuoE//fucP//astD//lsrD//iscS//cydB//entE//fucO//aroG//phnG//sufS//gltA//rrlH//ilvI//ackA//fhuE//gspC//rpsJ//phnG//gnd//paaF//frdD//rpoE//dmsA//ilvM//betT//csiE//glpA//rplI//glcF//ccmB//rstB//acrB//argE//pstA//nupG//gapA//ompA//uhpB//malS//pgaD//aroH//baeR//purA//ccmC//rrfG//oppD//cydA//xdhA//ydhT//ygbA//fnrS//hofC//glnK//cysN//aaeB//modC//mdtB//gntR//phnI//argP//cyaR//metN//lsrD//rrfE//aroF//mdtA//gltF//nuoJ//paaH//moaE//dapB//phoH//garL//rplW//csiD//cysI//rrfF//ydhV//dsbA//hyfE//rprA//feaB//dapB//hypF//cusS//ompA//creB//aroA//mdtB//dppA//glgC//rnlB//fecR//malM//entH//rrlD//pgaA//nuoM//hyfF//caiE//acs//rrlB//nuoM//garL//lsrC//rpmI//cueO//csgF//envY//grxD//sgbE//napD//ydeN//treB//pstA//qseB//galK//infC//bglF//bioA//sufB//appY//fepD//sxy//focB//ychO//rutA//preT//aroL//amiB//allE//ihfA//rbsR//zwf//citE//cynT//hyfR//caiB//gntP//folA//arfB//hycE//torA//prpE//nhaA//dcuS//pta//lysP//bioA//ilvN//nadC//evgA//rrsA//alaU//talA//ycjF//ilvD//caiB//map//dsdX//yeiW//metR//appX//caiB//rbsA//rbfA//malM//lysO//entE//chbA//ydeO//bglG//pgaB//cra//fecC//citF//ygiB//bdcA//narQ//ygbA//lldP//gatZ//mlc//yiaL//ynfF//cusF//entE//chbG//fdnH//garR//fecC//pstB//glpC//artI//gltA//narG//lacI//oppC//guaA//rhaA//ccmA//feoB//sdhD//trpL//livM//narL//gapA//metH//fecA//hyaA//yaiW//mhpT//glyA//nrdD//chiP//puuA//uxuR//rhaD//murP//yaeQ//lldP//uxaB//ppdD//fimF//treC//metN//oppD//malP//rutE//gatB//csgB//yedX//nirB//fur//oxyR//grxD//xapB//tar//ilvN//hofN//cdd//hupA//exbB//ptsG//mutL//udp//nuoE//rbsR//narI//manA//rpsQ//hyaA//oppC//cspD//phnC//yfeW//hyaB//ykgO//phnI//kbaZ//ydhV//ydiU//norV//upp//rbsR//lpxB//astC//ogt//ldtB//fepA//actP//glgB//rrsB//yeiP//livF//tyrP//zntA//yfeW//hyaC//sucA//glnK//bglB//trpR//aroF//moeB//oxc//phoA//malM//ivbL//argF//cyoA//gspD//lolB//bioB//fimF//zraP//rimM//moeA//frdD//sufA//hdeD//aceE//chbG//glnD//yfiP//acrD//aaeA//rpoS//trpR//yaiW//hycD//ssuA//ycjX//tyrB//paaD//cpdB//mhpR//tdcC//fucI//speC//glnD//malS//rbfA//carA//torR//fliZ//gnd//rnlA//rrfH//ompF//gspM//yaeQ//lrp//ilvN//fucU//fadI//ulaD//bioA//gutQ//cysG//acrA//argI//nrdF//ilvC//cas2//idnT//glpC//purK//fhuC//yecR//prpE//upp//atoB//galS//yegH//putP//spf//phoP//pck//focA//melB//fimC//garL//tomB//copA//ilvI//cbl//caiC//tdcD//bamA//fumC//rmf//ppiA//sgbE//uxuR//yfeW//ybdN//aroG//skp//cheY//cysU//gspI//yccA//livH//ytfE//garP//cydB//fecR//nuoM//uraA//cspD//hslJ//tauB//phnF//metF//stpA//chbC//sbcD//oxc//fadI//tolC//hyfR//glcC//glgS//fur//rbsD//ahpF//puuE//modC//ssuB//creD//rrfG//caiD//dcuD//yeiB//hupA//acnA//folA//nrfB//aceE//fhuD//fadA//ydhV//gltD//hycH//nuoK//rpoS//hyfH//cpxA//citD//znuC//gspD//tyrP//acnB//speB//xylG//entH//purF//yegR//dapD//iraD//citE//dcuC//yecR//lsrG//hemL//dkgB//nikC//cyoB//mtlD//glcA//rutE//rpmC//ygiB//gabT//glgC//tar//mntP//ydfH//galE//glcD//guaB//ygiC//tnaC//nikC//atoB//manX//stpA//entE//cyaA//micF//nanC//acrB//appY//cyoE//znuC//lysC//
