#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	hflX//treR//envZ//gntT//
AlaS-L-alanine	zraR//
AllS-allantoin	lysO//dcuS//livK//
AraC-L-arabinose	zraR//gapA//murP//mdh//speC//fixA//acrD//glpK//mdtC//bhsA//glgA//hycH//tauD//paaF//
ArcA-Phosphorylated	speC//yaiW//cyoA//creA//fucU//lyxK//cyoB//codA//agp//uidB//tolC//nagB//araG//torA//yfeW//cvpA//phnK//hybE//rpsJ//sufE//gabT//trpE//mglC//melB//gntU//hofP//ascF//metJ//hofP//recF//nlpE//yccA//sbmC//yfaE//trpE//malE//nuoM//cvpA//yfaE//gabD//feaR//cusA//icd//fucA//gadB//efeU_1//glcF//evgA//bhsA//dcuB//hycB//livF//gltB//hflC//creC//citC//hyaE//torD//rrfA//ihfA//gntT//tsgA//crl//araF//nanA//fimD//ppiA//yccA//rof//cbl//yeaR//hyaB//cspD//hofB//ydhV//hybG//psiE//rhaA//entE//ynfH//feaR//hybG//ydhT//nuoL//metI//fldA//cynS//purC//tam//lldR//gadB//ycdZ//lsrK//phnP//ssrS//flhC//dppA//entS//grxC//srlA//galS//cyoD//hlyE//alaS//ynfK//phnL//rutE//ulaB//rrfC//dppD//yoaC//uxaC//gcd//ung//glnD//lsrK//tdcC//mipA//nuoK//zinT//sucA//ileV//nrfE//hypD//cheB//fecA//sbmC//malF//nanA//proP//crl//infB//dsbA//casE//ychO//artI//creC//hofO//nirB//ynfH//purA//fimE//glgP//exuT//ampD//sbcD//gutM//sodA//phnH//ansB//talA//nuoK//amiB//fecA//znuB//soxR//glpC//acrB//prpE//iraM//dps//argI//yeaE//hycI//casC//paaZ//fumB//rseC//rpsP//caiA//araB//glgS//aceF//dkgB//cydD//ilvN//tam//
ArgP-L-arginine	uxuB//dmsC//fepG//cysN//dpiA//appC//secB//gltU//araE//pheT//puuA//tsx//cirA//secB//fumA//ssuE//
ArgR-L-arginine	dsdA//malX//ilvD//yjjZ//norR//feoC//cadB//pyrC//narK//prpR//motB//ybdZ//ampD//tdcF//frdC//aroL//cyoD//nmpC//hflC//yeiW//ycjX//appX//ampE//lsrD//sgbE//ahpC//caiF//ydhU//lldP//nuoM//abgA//ilvA//hofM//fadA//ulaA//gltB//glpD//yaiA//nuoG//
AtoC-phosphorylated	ompW//azuC//lsrA//argE//
BaeR-Phosphorylated	glcG//ydiU//sdaA//creB//metJ//ompR//psiF//hcp//
BirA-bio-5'-AMP	csgC//fepG//gspE//ydhX//hcp//
CRP-cAMP	hypC//hycA//nirD//ileU//cadC//lldD//yiaM//phoP//rrsE//glcE//tpx//argO//mscM//prs//iscA//baeS//alaU//nrfE//nrfB//aceB//raiA//nuoH//waaH//prmC//hofB//nagC//ilvL//uhpA//norR//lysA//nac//hycF//atoB//hupA//exbD//glpT//dpiB//ileV//ilvD//ydeN//hofO//iraM//paaZ//crr//metK//amn//rutD//xseA//csgD//gatC//glpD//modB//dnaA//yhiD//ivbL//epd//ilvL//fecB//marA//nfuA//purK//yciW//purE//uxaB//napA//allE//ulaA//glnB//nanK//uhpT//lacZ//ssrS//hyfD//ydhX//yeiL//chbC//nlpE//mpl//puuE//paaK//cyaA//yegZ//fucI//hupA//dsdC//phoP//glgP//aidB//allD//nikB//fnrS//ilvX//guaB//argI//ilvG_1//hofB//rbsD//fldA//galE//nuoB//stpA//aceA//ydbD//katE//hisP//acrB//phnF//purK//tfaQ//nrfA//nrfC//metQ//citX//argA//rrfG//trpC//bdcA//glcC//gltT//polA//glcE//tnaB//ykgM//dppD//speA//argP//purR//metN//cheW//proP//manX//feoA//narJ//sodB//tehA//feaR//cpxA//mscM//dsdC//mtlA//nlpD//rbsR//fimG//fldA//cydD//fiu//narL//rrsG//ubiX//rpsF//argD//cheB//grcA//livM//cydA//norV//purR//sxy//pgk//hypD//tnaC//narH//cheR//lsrK//prpC//pgk//ldtB//xylR//ogt//rutD//yeiB//purB//yiaL//pstS//caiT//tehA//ilvI//rrfG//hyaC//dsdA//rbsA//gspM//rnhB//cbl//phnL//rrfA//citC//rimM//arcA//fimF//phoR//melA//ssuE//hycF//flhC//dpiB//proP//rrfA//atoB//trpR//alaU//hdeA//galP//glgC//rrfG//fimE//ssuE//nuoC//dppD//fadE//pgaB//preT//rbsC//flhD//nuoA//agaW//fdnG//ilvG_1//gspL//lldR//ompW//gatY//speA//sufC//cynT//allE//ascF//lpxB//yibN//fimG//pyrC//patZ//casD//sohB//malF//norV//iscA//fucA//ssb//purC//argT//glgP//hyfB//paaH//phnH//fucI//efeU_2//ompT//rnhB//ahpF//abgB//puuA//metR//nrfB//entH//rutC//gutM//tdh//aspA//qseB//folA//rimP//aroP//hyfJ//phnM//mtlD//yeiP//mcaS//mntH//pstS//paaZ//glyA//hybF//tehB//dppA//patZ//fimD//narX//tpx//lsrC//glpF//dps//argO//caiE//gatA//ampE//hybO//nrdD//nikA//ssuB//aroH//hofP//manX//lacI//dcuB//prpR//tktB//nirD//gntT//malP//casE//xylA//ilvI//marB//lysO//purD//truB//ulaA//gltW//hyfC//lsrB//patZ//appX//atoE//phoR//frdA//fhuD//dmsC//nrfE//gatD//hemL//uidC//trpR//chbF//lpxB//ilvA//rplV//sucA//folE//tyrB//yaeP//gyrA//ubiC//rbsC//cynT//argP//malY//prpD//moeA//lsrD//moeA//torA//rplP//lysC//caiE//cheW//ssuE//glpE//iclR//phoQ//speC//sufB//puuR//bamE//malF//ssuC//qseC//rrsG//adiC//srlA//ppdD//putP//yecR//ilvX//glpX//glrR//treR//cadB//rrsB//lsrD//hybA//ppdD//ychH//fldA//argE//glgP//xylA//arcA//astC//glgA//comR//gspJ//gltV//malK//purA//fimF//fimG//aldA//mntH//tpx//moeA//gpsA//ilvX//purE//argG//acrE//pta//rplB//ugpB//speA//gntT//paaD//araC//nuoA//phnP//ackA//arfB//rpsP//paaJ//sucA//glpA//narK//malM//csgD//fimI//murP//ydhV//psd//rrlB//fadE//sucD//yhhY//frdC//fes//cysK//araA//metB//mgtA//livH//hemA//focA//nlpD//ccmH//sbmC//gatC//moaE//sucB//nanS//phoQ//xylA//appB//aspA//sucB//ilvD//cynT//feaB//fadD//uxaA//prpR//cysA//ahpF//sufC//rpmC//hypA//nlpE//gntP//hybC//gntU//rnlA//gutM//sdhB//argB//fixC//ygiA//rmf//hha//citD//ilvY//tehA//rrfF//dkgB//proP//tnaB//ileT//gutM//pitB//tyrB//modC//fhuD//pgaB//sucA//rbfA//gabD//codA//motA//hyfE//appY//bamA//metE//yhfA//ompR//nfuA//paaF//fadL//artM//psiF//hyaE//fixA//glgP//uhpB//phoU//uxuA//rimM//frc//prmC//sgbE//gabT//ilvN//uxuR//ccmG//glrR//hofC//cusC//rpsO//trpC//fimF//dppF//mntH//prpB//dadX//spy//gntP//rybA//lsrK//argE//
