#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	moaD//oxyR//ccmA//hisJ//
AlaS-L-alanine	hofO//
AllS-allantoin	uxaB//bdcA//rcnA//
AraC-L-arabinose	pta//ygiC//glgC//entE//cyaA//gcvP//appY//ydeJ//nuoH//focA//gntT//garP//cydA//proP//
ArcA-Phosphorylated	yidQ//hyfH//abgA//nuoI//rpsF//fhlA//sucA//mltC//rutG//pheS//serA//ydhY//gdhA//dppF//lldD//frdD//csgG//pstB//hypA//hofB//hycA//upp//purK//hdeD//treC//ldtC//zraS//ydeO//nac//ygiB//sbcD//rpsP//fiu//hycE//yjcH//metQ//gspO//fepG//glgC//yccA//fecC//srlB//yhiD//tyrR//sufB//moaD//garK//nirB//rplB//talA//argB//torA//safA//rimP//ftnA//ldtC//rseB//ivbL//lsrC//rhaT//bioC//lsrA//xdhB//nanA//cvpA//rrsH//tadA//glpX//ppdD//entF//ccmH//lsrG//glpC//iclR//hofC//yhfA//phnO//ileV//prpC//fdnH//yaeQ//hcr//gltD//sohB//uxuR//yiaO//fimF//crp//grxD//eda//yfbR//mdtC//rplP//feoC//cpxR//casD//sufC//argT//caiF//nrfC//glcG//crr//flhC//yojI//citX//rutA//rpsP//argF//lsrA//sbmA//patZ//frdA//xylF//gltW//bacA//nanE//prs//betA//tdcC//yfdX//hfq//cusF//csgF//tam//csgA//bcsC//argG//araB//pstC//galM//gspF//casD//fhuF//rdoA//rutB//phnE_1//cyoB//cysJ//argT//narH//paaA//grcA//aroP//ydfH//sroD//dmsA//acrA//zwf//rutA//tsaE//nanA//mhpF//nuoK//rpoE//argF//gyrA//malT//lsrF//baeR//rhaR//oppA//manY//mgrR//cusB//sdaA//fepA//purD//fliZ//rpsC//znuC//dcuC//nikR//gutM//soxR//fimA//rpoE//glpB//
ArgP-L-arginine	rbsK//ebgA//dmsB//yiaN//sbcC//rpsC//rpsI//rrfD//nuoL//aaeX//ilvA//ybiT//uof//frdA//mdtB//edd//
ArgR-L-arginine	lrp//cysA//artQ//pitA//puuR//pta//nirB//ubiG//atoA//dmsA//slyB//rimP//pflB//rstB//motA//glgX//aspC//ssb//artM//hycI//gntR//tcyJ//fadD//paaD//frdA//map//gutM//nrfF//norW//rrsH//nuoN//fecA//glpT//baeS//feoB//atoA//xylF//ugpE//lsrA//
AtoC-phosphorylated	dnaA//abgB//tehA//ebgA//
BaeR-Phosphorylated	hofM//znuA//moaD//uxaA//nanE//phnG//fepA//hflC//
BirA-bio-5'-AMP	pgaB//fdhF//cynS//agaW//metK//
CRP-cAMP	uhpA//carA//tpx//feaR//xdhB//yeaE//hycC//ssuC//caiD//fepA//uhpA//malM//rseB//hyaE//metL//nrdA//fepC//livG//mlc//ynfG//artJ//hybO//ssuC//moaD//rrlC//bcsA//xylB//creA//alaV//zraR//dcuB//tfaQ//ccmG//ychO//guaB//borD//aceE//iscA//stpA//znuA//glpT//dgcZ//ydbD//bioD//yciW//ygiC//ykgR//prpB//metY//yiaL//glpT//chbG//tpx//argC//hycD//ppiD//xapA//znuA//gspH//hcr//fdnG//sucA//xylR//yhcH//dcuC//ebgA//hyaA//yaiW//ugpC//torC//fixA//hcr//torR//rpoH//csgE//dcuB//cadA//napF//sdhB//csgC//idnT//rplD//ydhY//zinT//avtA//ppdD//hofN//yibN//tsr//napH//deoB//ybjG//rpsJ//cusF//ygaC//ytfE//ompC//yqjI//purA//mdtC//hfq//uxuR//ydhW//fis//hslJ//xylF//tsr//znuA//cheY//fimG//chbG//yegH//tcyJ//efeU_2//metI//phnF//carB//glcE//phoR//pitA//baeR//adhE//actP//rplV//cyoE//frdA//nac//cusA//hdeB//dapD//slt//udp//nuoG//cheZ//aroH//mtlD//lpxD//trpE//entE//malS//abgA//infB//ydeA//rutA//motA//ugpA//puuR//ccmD//cirA//hycF//iraM//hofN//phoA//crl//oxyR//hybC//fdhF//csgA//lsrR//fucA//xylR//dmsC//gntT//bglB//napH//alkB//waaH//casD//appC//fimI//cysM//lpxB//hisP//idnD//actP//ydfH//yqaE//rrlG//hyfG//comR//glpF//rseB//gyrA//gltU//fucR//pstA//glpB//rplT//envZ//tyrB//allE//phnH//glnD//nikR//ung//creC//rbsD//purR//mgrR//phoH//adiC//lsrK//nanE//galE//csgA//rstA//metR//trpR//agp//rpmC//fimI//gcvH//xseA//yfeW//trg//evgA//nanA//garP//gntR//dkgB//yojI//hybO//ugpC//glgP//frdC//lldD//sufD//mglC//gatY//ugpE//gyrA//mipA//puuR//gltB//nuoC//sucC//gntP//nhaR//cpxR//chbR//lysA//ygaC//moaE//hypC//hycB//aaeX//xapB//cheB//rbsK//cysK//miaA//carA//narI//mgtA//crr//xylR//fur//osmC//agp//yegH//rrsD//uidB//rbfA//pstB//erpA//trpB//nikB//ugpB//ptsI//citE//nrdA//feoA//epd//cra//yaiW//amiB//cas1//nrdH//ompX//purE//nuoL//fadA//trpR//dadA//nirD//prpB//pstS//chbF//fimF//rbsK//infB//fimI//uxuR//tpx//citE//hycG//fucI//dpiB//lacZ//udp//ygiC//uxuR//prpE//nikD//phnD//lysO//yeiB//spf//amtB//guaA//rnhB//pepT//garP//mcaS//nrdA//yjcH//fucP//sbmC//psd//metR//hycF//agaA//bcsA//sufA//galS//micF//marB//yfaE//phnL//hofN//cheA//ydeA//rrfF//garP//trg//feaB//ccmH//casA//gabD//yeiP//zraR//acnB//yjeF//appX//fecA//nagC//umpH//prpE//pyrD//alaA//cynR//rrfC//garL//citD//chbG//lsrR//cas1//cysA//nikC//safA//glcA//lolB//tdcC//fdhF//moeB//casE//ydhY//araB//osmY//entA//mcaS//cpxA//purD//ysgA//mgrB//pgpC//gatY//dcuS//betI//ykgM//puuE//citC//tomB//phnH//fis//bglF//pstA//ahpF//hflX//ybdN//csgE//zraP//ndh//ada//tadA//flhD//gadB//ulaF//idnK//yqaE//fliZ//fadI//gspL//casD//sucC//epd//ahpC//lolB//tcyJ//sxy//lysO//rrfF//caiA//rpsR//hycG//cyaA//entE//xylG//hyfD//melB//slt//melR//hyaE//glgP//ygbA//gspL//feaR//hyfG//nuoC//ynfK//paaC//acrD//pyrD//glpK//lysC//fecC//guaB//hyaB//marR//metH//mgrR//ascB//manY//mutY//cyoB//nuoB//ulaC//nrdE//fepG//galK//aidB//fumC//glpA//gyrA//pagP//hisJ//atoE//mtlA//yecR//pagP//ilvH//tauD//hyfB//fumC//carB//ahpF//moaD//narQ//napA//yciW//sucB//yqjA//gcvH//ccmC//xdhA//alaS//degP//gntX//hycE//ebgC//rrlA//deoC//hflX//argD//glcA//fdnH//glpG//uidA//adhE//lhgO//nrdI//mcaS//fucI//marB//fhuC//avtA//metL//yaeQ//rrsC//rplT//gspD//fixA//yrbL//edd//ugpQ//lysU//napA//rrsB//lpxB//thrV//sbcD//phnJ//sgbH//acrD//ykgO//hupA//rplP//yggX//aroP//ccmA//sodB//betB//pdeF//pyrD//yqaE//
ChbR-Monoacetylchitobiose-6P	melR//ybdN//nrfG//entE//gnd//tauB//
CpxR-Phosphorylated	tcyJ//ygeH//tomB//ydhW//ynfE//rrsA//lrp//aceB//csgF//livK//psiF//ssuB//malY//norV//argO//pitA//chiP//grpE//puuP//umpH//purK//fur//phnH//glyA//ynfH//pepT//hyfR//degP//xylH//hyaD//yqaE//sucA//cyaR//ybjG//araJ//gcvP//allC//fimE//hybO//phnC//preA//ptsG//ulaF//iscA//dmsB//ahpC//nikR//trpB//nikD//rseB//sbcD//hyfF//udp//nrdB//fecC//fbaA//nlpE//fhuB//cyaA//tyrR//xdhB//gltV//prfA//frdC//phnG//idnO//sxy//gspO//glnG//
CreB-Phosphorylated	phoR//argP//rpoE//fliA//glgX//ilvM//ccmE//phnH//phnP//
CueR-Ag	ugpA//sufE//tonB//torA//mepH//cheR//lacA//
CueR-Cu+	yedX//ascB//ilvY//hisQ//micF//ispE//nuoN//
CuerR-Au	gltB//cyoD//rplC//lacI//argR//atoB//eda//
CusR-Pasp	ydfH//evgS//cyoA//glcE//rplI//degP//fecR//prfA//glcD//fucK//prpE//ulaB//
CynR-Cyanate	codA//amtB//cheR//hybE//
CysB-N-acetyl-L-serine	ykgM//nikE//cynT//entH//lamB//nagE//cusF//atoA//abgT//hyfB//dmsC//arfB//murP//araB//ihfA//ykgM//ygeH//sufB//gspM//xylR//sdhC//hflK//ynfH//fabZ//phoH//yfdV//adiC//lpd//rybA//yhhY//
CysB-O-acetyl-L-serine	ynfE//rrsH//amn//malZ//rnhB//gatZ//hypF//mntP//acrA//atoD//lysC//gcvT//hyfG//purA//pyrC//rrlH//copA//serC//rplP//fepC//glnD//cusC//ycjX//uhpC//ppiD//hyfC//dsdA//narJ//tdcC//dgcZ//tauC//
DcuR-Phosphorylated	xdhC//malK//rrfE//tar//ybjG//ubiX//yiaJ//rrsD//fepE//
DnaA-ATP	rhaS//yedX//phnE_1//argG//rseC//dcuA//xylF//gltD//tyrA//yfdX//qseB//glpA//
DpiA-Pasp	ccmE//fnrS//cirA//nhaR//fecR//bglG//speB//appC//araJ//slt//dsdX//
DsdC-D-serine	pgaA//yedX//cysM//
EvgA-Phosphorylated	cirA//acrF//betI//malM//hisM//srlB//aroM//ubiG//aroL//torD//nirD//cheZ//mscM//melA//nirC//
FNR-[4Fe-4S]2+ reduced	pstS//nirD//ulaB//cra//yhfA//trxA//ychO//cheA//iraM//ilvM//feaR//phnD//hfq//ugpQ//appC//zntA//phnI//nirB//cpdB//dcuS//ahpF//yiaN//ynfK//aer//mdtC//pgaB//gltW//udp//iraM//pdeF//evgA//kbaZ//dnaN//lyxK//lldD//cas2//ydhX//narH//ompA//rrfE//ugpQ//hypD//yqaE//mdtB//hofM//hybC//ebgA//acrE//yqjA//betI//mhpC//narJ//srlB//pyrC//phoA//hycA//dcuA//rutG//csgF//nac//tsr//mhpR//hpt//deoA//ndh//uvrA//ptsG//srlR//artM//dcuC//fliA//ynfK//rrsC//prs//ompT//cheB//ybdZ//hcp//phnL//rplT//manX//cpdB//soxR//bcsZ//tdcA//nagE//tap//rrlB//fdnH//metR//rhaA//eda//fadI//ppiA//hyfE//araG//yjeV//artM//arcZ//hemL//spy//tehA//hisM//glcA//purB//rrfH//narK//gutM//acrD//fur//yjjZ//tdcC//hyaC//trmD//rrsE//yfaE//yjjZ//trmD//dppF//nuoE//fucU//pyrD//hdeA//lacA//tolC//melR//mdtB//ydhW//katE//patZ//tauD//galE//yhiD//livG//cspE//sdhB//ydhT//eda//csgF//trpC//alaT//cusS//rplB//rhaB//entE//iraD//purL//casB//argE//hyfR//yfdE//yfbR//cynT//aceK//hyfE//fepG//phnC//acrF//rplC//pheS//chbR//fimH//uxaA//rimM//ybdN//cspD//nuoH//xylF//gcd//atoD//fadD//cysA//codB//gcvH//iscU//carA//malQ//motA//ssuA//fecA//ydhV//ydhX//csgF//mhpD//dppA//fnr//alaT//cyoD//chbG//pepT//hyfF//iscU//cstA//yhjC//fadI//ampE//azuC//aaeX//bacA//acrE//gatB//rpoE//cyoC//udp//tam//paaK//dsdX//chbA//malT//uraA//appB//citD//fimD//sucC//galK//csgG//puuP//tyrA//rplT//citD//lsrB//ilvD//lldD//hemA//chbR//nuoI//katG//cydA//gabD//ompW//srlB//hybA//hcr//fucA//xdhC//phnC//fes//rhaS//rstB//xylR//yiaL//hycG//speC//artJ//fepE//trxA//moaE//oppD//acs//amn//sdaA//araG//fur//tsgA//qseC//mglC//fadH//znuC//yecR//tdcB//ilvC//aaeA//glcD//narK//metF//feoB//mhpE//glpF//ryhB//glcC//yaeQ//pgaB//bioC//uhpC//moaA//puuD//paaF//argD//hdeB//yfdE//idnO//rrsH//cyaR//gltW//galP//oppC//amn//phnE_2//deoD//dadX//appX//fdnG//alaA//livK//glnB//mgrR//mntH//malI//yqjH//yaeP//entD//yjiY//frdB//ydeN//dcuB//
FhlA-Formate	hycF//prs//aidB//gltU//ygaC//artI//glcG//livK//ptsH//yhiD//gutQ//cysJ//artJ//soxR//ulaE//creB//kbl//purD//flhD//paaE//glpB//araA//dcuA//comR//oppB//ybfN//narK//nrfG//purK//metY//
FucR-L-fuculose-1-phosphate	cheR//cytR//aaeA//yfbR//tdh//ftnB//glpR//
Fur-Fe2+	ybjG//yqaE//bioD//ftnA//moaA//cydC//cas2//cheZ//ugpQ//ileT//folE//hybC//hupA//hypF//ynfE//argD//nuoE//nuoK//gntK//purD//amiB//hyfA//fadI//eda//cydC//lsrA//creD//envZ//osmY//uhpA//lrp//rpmI//torC//manX//moaC//hyfG//tfaQ//entH//mutY//yaiA//cusF//nlpD//araA//hypB//purA//yhiD//rpsO//sodB//gltV//rpsI//bcsA//grxD//hypB//ykgO//fumA//chbG//fepB//dsdX//rrfA//nikA//gltT//yhiD//narQ//ascF//ykgR//napD//moaC//ebgC//phnK//pdhR//yciW//tehA//hemA//fucA//kbl//rdoA//dsbA//mhpR//upp//patZ//ubiX//gltB//rrsB//moaE//nagC//narG//lacI//sufD//rplI//csgG//cysB//yaiW//hyaC//gspC//fadB//citD//lldD//prs//ychH//glpG//ydfH//astC//nhaA//acnA//manA//uhpC//ulaC//xapB//argF//uidA//rutE//uidB//ubiC//fadD//napD//uxuR//creB//dmsB//dsdC//argI//idnR//aroG//citE//ygeA//oxc//rutA//cyoC//xylF//phoP//moaB//glcG//lysC//fadE//frdC//csgA//umpH//fau//pepT//bcsB//cheZ//
Fur-Mn2+	napH//dppA//argH//rrlG//dsbA//treR//waaH//deoA//paaE//rplS//cusF//manZ//ppiD//argP//sbmC//napH//actP//ompC//yhfA//nrdB//hypB//casD//ascB//hypA//amn//dkgB//yhiD//ychH//cas1//uxuB//malI//zntA//paaH//sbcC//gatY//aceF//ydbD//murP//leuE//gnd//mgtL//phnE_1//sdaA//ybjG//lacY//sbcD//hycA//hdeD//phnF//dcuS//ldtC//gatB//cas1//gspL//hypC//pgpC//kbaZ//dmsC//astC//prpB//fes//agp//hofN//hyaF//fimC//tfaQ//yrbL//rplT//tdcG//patZ//ydeP//fur//fepA//rrsE//citX//arcZ//yaeP//aroL//chiP//hycC//hypE//kbl//dsbA//gabP//agaA//citE//cysJ//ampD//fadJ//gatD//gatD//ivbL//lysU//ispE//mhpD//glpR//malS//cadB//rrsH//cyoE//thrV//fimF//hyfF//grxC//glpA//yibN//mhpA//metY//cysP//allE//yeaE//glgA//yrbL//hybO//psd//ndh//pyrD//aroM//fiu//gnd//putP//caiE//tauB//infC//nrdG//allD//mgrR//cadA//ung//lacZ//miaA//zraR//pck//tnaB//yeiP//creA//rbsD//cbl//rplI//mglA//
GlcC-Acetate	rpsS//ybdN//rhaB//citX//dcuS//nrfA//slyB//
GlcC-Glycolate	phnE_2//rrfE//narX//tktB//gspI//tolC//hlyE//
GlrR-Pasp56	gcvT//
IclR-pyruvate	mgrR//prpC//araD//sodB//
IdnR-5-ketogluconate	cheA//dcuR//ada//araE//ileT//hflD//csiD//gpsA//
IdnR-Idonate	argP//copA//tam//glpT//bioB//chiP//rrsA//glnB//
IlvY-2-acetolactate	nagE//prpB//
IlvY-Alfa-acetohydroxybutirate	glnK//nupG//
IscR-[2Fe-2S]1+	gadC//feaR//frc//adiC//yaiA//cirA//agaW//pheT//rpsC//nikC//cheW//napD//modC//nrfF//yoaC//rpoS//modA//uxuA//gltV//xylF//rrfF//lldP//dctA//fabZ//norV//ryhB//lsrF//argD//ppiA//pstA//bcsC//phoE//katG//efeU_2//phoH//slyB//ssuD//amn//casC//patZ//fecR//
LldR-L-lactate	glpE//hyfR//iscR//
Lrp-Leucine	nirB//psiF//tdcG//rpmI//tdcC//cydC//bamA//hydN//aceB//fixB//rpsR//hycH//galS//oppD//yhjA//citE//glgP//fucP//ompA//bacA//ynfF//aroA//entA//fadJ//gutM//pheS//betT//oppA//rpmC//cusF//trpR//ydbD//moeA//arfB//hisJ//hyfJ//lysC//rpsR//ydhY//fhuE//sucB//abgT//rpmI//fiu//mhpR//livF//iscS//uidC//ybfN//fepE//lamB//sodB//soxS//rrfG//ompC//cdd//casB//nagB//nuoB//metJ//phnG//ampE//gadB//ssuC//cheW//appB//hofN//nuoA//hypC//dnaE//yaeP//napB//eda//astA//malG//rrfE//napG//phnE_2//uxaB//uhpT//fecE//alaV//ycdZ//yidQ//tyrB//glnL//appC//bioD//rplP//ydeM//sufB//phnK//mglB//paaD//galE//gpmA//nuoN//yojI//ilvE//gspL//glnB//malT//ydhX//lyxK//cusR//yegR//
LsrR	recF//puuA//entB//pflB//rrsG//nagA//dppA//feoA//fdnI//
MalT-ADP-Maltotriose	purF//hcp//cusR//tpx//rbsA//evgS//uhpB//zntA//phnN//csgF//
MalT-Maltotriose-ATP	fhuE//zwf//mtlD//rpsO//murP//mtlA//yojI//astD//tdcG//yggX//
MelR-Melibiose	nuoK//cyoD//bioF//
MetJ-S-adenosylmethionine	tnaB//tsaE//uxuA//srlB//cysW//ssb//astE//garK//ynfE//nrfD//ebgC//cra//uof//marR//yegH//
MetR-L-homocysteine	cysG//narJ//ascF//ccmH//cusC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	yqjH//csgE//xdhC//purD//bioB//uxuB//
MhpR-3HPP	rrlE//livG//cusA//tauD//uxaA//araH//
MntR-Cd2+	yfbR//fes//moaC//ubiG//ssuA//
ModE-MoO42-	tfaQ//proP//ubiC//ompR//map//cysJ//fbaA//fepD//dcuD//fecI//ugpC//entE//hemL//baeR//tauA//hyfE//lysC//preT//hcp//gadC//dgcZ//trpD//pflB//ygiB//modC//feoA//bglG//argF//pepT//pgk//agaA//rmf//ydhW//moaC//glnK//araC//ccmE//ilvH//araB//manA//moeA//trpB//manX//ysgA//ilvC//feoC//
NarL-Phosphorylated	lpxA//caiC//caiD//hypC//cyoE//ychH//casB//tdcD//kbaZ//ydeA//pheM//dppC//rrlH//chbA//ansB//gapA//allD//murQ//hycA//murP//paaJ//ilvI//ptsH//osmC//dnaN//glpX//entD//thrV//uidA//yjeF//nuoH//phoB//serC//gatD//tauA//glpB//bioC//rplC//gntK//murQ//pheT//metF//trmD//gspI//astD//csgE//phnF//dsdX//mepH//livF//phnL//narI//mtlD//dpiB//dps//araD//nhaA//ychH//metI//ykgO//dcuB//trpB//treB//metI//kbl//cusB//iraM//katG//cheZ//dapB//envY//moaC//rrfF//casE//crp//glcF//bamE//betT//cyoA//metJ//fliZ//glyA//ilvI//frdC//prpR//psd//cra//ldtC//nanS//cpdB//entF//hycC//fepG//hyfF//mpl//amiB//frc//cpxA//fucR//fnrS//rstB//nagB//yaeP//yfdX//nuoI//cueO//tolC//livK//pitB//tdcD//cspD//abgA//nuoI//glnB//kbl//xdhA//cysK//ackA//rrlC//mcaS//cytR//nhaR//dmsA//norV//aroF//
NarP-Phosphorylated	casD//kbaZ//tfaQ//garK//yeiL//fadI//fucU//ydhX//amiB//cynX//hslJ//stpA//nagE//envZ//feoC//mdtA//grxD//rprA//katE//glcD//tsaE//lhgO//umpH//hyaC//tnaC//metA//hybO//fumA//yjcH//murP//gutQ//mtlR//phnP//yfaE//aceF//fecE//sdaA//bglG//serC//rplM//gadB//ydhY//aer//phoU//glcG//hemA//gadC//ldtC//rrlH//ccmA//
NhaR-Na+	betA//raiA//atoE//hyfG//gspL//gadC//fecD//
NikR-Cd2+	galP//bioF//ompF//ycjF//infB//fadJ//
NikR-Co2+	sohB//rcnA//gcd//nikR//yjeV//galK//
NikR-Cu2+	paaA//garR//citC//cueO//psd//lyxK//
NikR-Ni2+	hybB//ssuC//soxR//ydeJ//hycB//citG//
NikR-Zn2+	caiD//evgS//zraP//gabP//ompT//citG//
NrdR-ATP	csiE//fecI//ydhW//nikE//nanM//ccmB//gspG//aroM//nrfA//
NrdR-Zn2+	rhaR//gspO//cra//idnK//stpA//phnD//ychH//rutC//gltU//
NrdR-dATP	tsr//yjeV//prpD//rutA//cydD//fdnH//rrsG//caiC//gspF//
NsrR-[2Fe-2S]reduced	aldB//lpxA//ynfG//mtlA//artM//lsrD//sucC//oppB//caiF//modB//ppdD//cytR//azuC//rhaR//hypE//nuoM//nuoN//rrfE//chiP//gntX//rprA//sucD//yedX//rrfC//yeiW//ppdD//cirA//fimA//hflD//ccmF//rutF//cbl//rrsA//aaeA//ompC//pta//xylA//entE//cytR//lysO//phoB//yaiA//priB//cynT//uxuR//xseA//nlpE//atoE//fimD//zraS//rmf//astC//exuT//srlE//ydhX//aceB//nanS//uhpC//zraP//glcG//artQ//fepB//citF//hyfG//cysI//idnO//acrE//artM//gspE//lysP//skp//grpE//livJ//
PhoB-Phosphorylated	ung//bamE//rplT//rpoH//asr//cadB//csgF//mzrA//allC//phoR//yegH//tnaB//phnH//glpC//yjiY//amtB//moaA//agaA//envZ//srlA//micF//ampD//ilvD//rbsD//yaiW//psiF//caiA//cynR//sbcD//betT//focB//rybB//grcA//osmC//ompF//ahpC//nrfG//fadL//yegZ//nrfA//rrlB//dcuR//rutG//paaJ//mltC//fau//argB//ackA//betI//hyfH//fecC//argB//aaeR//fdnI//dppD//moeB//hofM//hfq//dsdC//yedX//aaeA//
PhoP-Phosphorylated	casC//garP//phoQ//yqjI//ssuD//rdoA//nirB//ydeM//yegH//acs//ompX//pncB//uhpB//tsr//cysJ//bhsA//ileU//tadA//motA//phoE//hofM//hyaF//yfbR//yeiL//pnp//ndh//idnK//yaiA//nuoA//gyrA//fimD//allE//nrdD//idnT//hslJ//nlpE//argC//hypE//dctA//sufA//pheM//mdtA//avtA//katE//alkB//ybiT//fdnI//hdeB//paaI//map//galT//hyaE//rrsG//abgA//tar//yiaM//phoR//
PrpR-2-methylcitrate	lolB//sucC//acnA//phoP//rnlB//
PurR-Guanine	ssb//argI//hypA//gcvP//mglB//envY//osmY//hisM//sdhC//paaZ//pagP//dmsB//tolC//metE//rprA//ubiG//creA//hybA//hdeD//malS//fixB//nlpD//torD//yqjH//safA//hyaC//gntP//ldtB//mglB//glcF//norV//tauC//gspF//rseA//
PurR-Hypoxanthine	osmY//entH//fadL//lacY//araF//aroM//rrfD//ung//ulaA//galM//zwf//rpsO//erpA//uof//micF//pgaD//tdcF//pagP//araD//yiaN//trxA//ygeH//sroD//glgB//cspD//glnG//yegZ//phoH//yhfA//ydeM//cusR//hypE//rnlB//rrsG//
QseB-Phosphorylated	csiE//fumB//bcsA//tdcE//
RhaR-L-rhamnose	tsgA//agaA//
RhaS-L-rhamnose	ydhX//ygiB//argD//modC//ydfN//prmC//
RstA-Phosphorylated	oxyR//rpsO//yccA//rbsD//dapB//yfdE//tdh//emrK//trpE//hyaC//
SoxR-[2Fe-2S]3+ oxydized	nuoB//creC//csiE//cbl//
TorR-Phosphorylated	deoA//ydfH//narJ//yjcH//nuoI//phnP//nuoB//gatC//skp//znuC//
TrpR-Tryptophan	mntS//fhuE//malM//cas1//fimI//aceA//malE//chbB//rplI//ivbL//dkgB//pheS//
TyrR-L-tryptophan	patZ//ahpF//nuoE//rdoA//gcvT//cysC//betI//ptsH//ptsH//rrlE//alaS//rplM//phnH//cusC//
TyrR-Phenylalanine	rpsP//ydiU//citG//rpsC//fadA//ycjF//fdnG//dctA//entS//rutC//cyoA//feaR//purE//pepT//
TyrR-Tyrosine	fnr//ptsI//malG//rrsB//fnrS//nuoF//marR//sodA//hycF//napD//cyoB//xapA//ccmC//trpR//
UhpA-Phosphorylated	csgF//
XapR-xanthosine	phoA//livF//
XylR-Xylose	ygbA//tdcD//lldD//rbfA//mipA//napG//
ZntR-Cd2+	pstB//
ZntR-Hg	hycA//
ZntR-Zn2+	rrfB//
ZraR-Phosphorylated	lsrR//oppC//yedX//
Zur-Zn2+	recF//cynS//cysM//fimE//glpT//ompW//
