#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	mntP//micF//nrfB//hybG//
AlaS-L-alanine	allC//
AllS-allantoin	dnaN//purL//dmsD//
AraC-L-arabinose	nuoI//fucK//uvrA//ynfF//puuE//rhaD//serC//ccmC//nrdD//sgbU//fadA//rrfE//fbaA//lpxA//
ArcA-Phosphorylated	rrlH//fepC//znuA//yaeP//manX//fhuB//citX//fhuF//ilvM//nusA//motB//appA//mhpB//lpxA//frc//yeiP//zntA//rutB//cysG//glnA//ftnB//rpsQ//manA//uhpA//aroH//bcsA//acrE//cdd//yaiW//cysK//astC//comR//infC//ssb//hyfF//fabZ//bacA//slyB//hisJ//tsx//erpA//citX//yibN//glnL//preT//glpK//metR//hycB//hyfG//yegZ//mglA//paaE//xylG//csgA//argF//narK//phoQ//cysB//glcD//cbl//livK//paaC//pgpC//preT//aer//yoaG//fliZ//crr//motA//tpx//lsrC//oppF//ilvG_1//purA//yebE//ackA//aaeR//nagA//napB//rhaD//narH//rrfA//dppB//gpsA//dmsB//lpxD//metI//folE//appC//puuB//yiaJ//narI//lpxA//ygaC//cyoE//paaB//bcsA//cydD//actP//hycE//edd//yjiY//oppC//pheT//dusB//hycC//acrF//iscA//rseA//ychH//prmC//cheZ//ackA//tauA//ptsG//cspD//rrlB//nrfE//dcuA//fhuD//ssuB//ugpQ//metI//yoaG//ydhW//glnD//cyaA//mgtA//entE//ldtB//lpxA//rplD//hypD//gntR//treB//glmY//ccmH//ryhB//phnC//cheY//xseA//fes//hflK//amn//ryhB//betB//dsdA//rpmC//gspH//glcA//fixX//ydhX//ahpF//bcsZ//casD//hcp//tnaA//bacA//aaeX//glpA//tar//sbmC//nikA//cstA//alaS//mtlA//truB//yecR//dusB//serA//stpA//moaC//glcA//oppA//citG//cusC//phnN//
ArgP-L-arginine	pitB//rhaT//skp//dmsD//rimP//ada//purD//fnrS//mgtL//nuoL//rrlH//gyrA//bamE//caiE//znuB//galP//
ArgR-L-arginine	rrfA//nikD//cyaR//zraR//rrfB//tyrB//astE//yiaO//nrdD//yqaE//hyfD//ydhT//cyaA//infB//ulaE//rrlA//ompC//uhpC//creA//agaW//fliA//appB//bioA//hypB//ygeH//icd//nusA//narI//yoaC//citX//hycE//tsaE//zraP//hycB//mglC//aroH//yegZ//bglF//ydeP//
AtoC-phosphorylated	garP//katE//hyfD//rnpB//
BaeR-Phosphorylated	fucU//rrlE//mdtD//gspK//cynX//hdeD//malS//betA//
BirA-bio-5'-AMP	alaV//gntP//pitB//ybfN//yfdE//
CRP-cAMP	fhuF//fadL//nuoF//slt//zntA//dcuR//rrsA//manY//pheT//yjiY//ilvH//srlE//rstB//dppC//feaR//ilvH//codA//cyaR//bcsZ//cyaA//uxuR//dppD//araB//bioD//feaR//rpoH//csgA//glpA//manZ//slt//deoB//glcG//actP//ydeM//tdcB//lpd//allC//prpD//sufC//gspD//preA//rrlB//csgG//fecD//xseA//narK//nuoC//xylA//fucI//rrfC//aceA//hha//zraP//ynfE//efeU_1//rbfA//metE//acrB//napD//fdnG//hyaC//ssuA//ssuD//ugpC//fis//ybdN//rstB//pstC//ssuE//mdtD//entS//lsrA//nikA//rpsJ//ilvA//casD//mtlA//galK//caiD//ilvE//aroA//paaA//hisP//osmY//argD//ydbD//hofO//baeS//gspM//ykgR//entH//micF//lamB//dmsA//gntT//fdhF//ompC//ompC//glnL//hycI//sbmA//ugpA//aceF//ampE//fliA//citE//alkA//katE//csgC//acnB//mzrA//soxS//garL//hdeB//aidB//exuT//malE//cas1//creB//fecI//torC//astA//purB//aceF//xseA//nagB//argT//yfbR//rybB//glcD//proP//sufB//cueO//tsgA//rrfC//cvpA//iscU//cheA//ilvC//gcd//oxyR//betT//ilvH//glcE//ydbD//mglA//uhpA//tdcB//fecB//mtlA//argF//gadC//acrB//ssuC//ybfN//phnH//grcA//fucK//phnE_2//lysC//fau//dgcZ//ycdZ//uidA//ebgA//sufE//xdhA//prmC//grpE//nirC//casC//tnaB//galE//tktB//qseB//metA//glpE//yebE//dsdX//hofC//comR//hybA//hflD//nirD//narJ//csgG//dmsA//rcnA//fadH//gspE//katG//iclR//betA//mdtB//nrfF//malY//ygeA//carA//rutF//mipA//caiB//gcvT//citX//appC//rpoE//entB//cysW//tdcF//srlB//grcA//ygaC//dcuS//patZ//yeiL//nuoH//asr//rnhB//treR//ampE//codA//nlpE//talA//paaE//chiP//glpC//prs//tehB//mtlD//astC//putP//appA//fecB//srlR//rimP//ssuC//srlB//fhuF//puuD//hdeB//gcvH//ilvD//metY//dapB//rplI//hha//nagC//glrR//tauC//rplD//rpmI//mutY//yiaO//torA//cheW//aceA//cysC//yhjC//rrlG//slyB//zraR//hypA//ykgO//purL//nanK//norW//cysG//qseB//ompA//cusR//treR//ynfK//puuA//sdaA//envY//mhpD//fecD//lacI//casD//bglB//hupB//yfdV//proP//edd//bamE//yfiP//uraA//zraR//cysH//araG//rhaD//hycF//cysB//marR//hflK//upp//xdhC//ydeO//yjjZ//gspO//csiE//trg//guaB//yhcH//sucD//yaiW//crp//cpdB//gltA//pdhR//yojI//oxc//priB//cysW//uxaB//creD//rybB//rpsP//rpmI//yggX//fau//cydA//chbA//uxuR//creC//preT//fecB//speB//rrlD//ccmB//ulaB//fixA//zraR//copA//bcsB//murQ//araD//exuT//artJ//psiF//hemL//napB//ada//emrY//fepA//gatB//rstA//metY//ilvM//tsr//nupG//glyA//paaC//metR//glcG//aaeB//hycH//fimG//rplS//dadX//cheW//cyoE//nikC//narJ//sdaA//guaB//mdtD//pyrD//gadB//pgaB//ynfF//nrfF//phnF//hflD//cydC//ytfE//trpC//rhaD//csgB//araF//acrE//fbaA//araA//tsr//malI//melR//creB//ahpF//phnH//mdh//puuP//nanS//rrlA//argG//qseC//rrsD//cysG//xylH//prs//manY//gntU//fecE//melA//glpB//yhiD//cysC//rplW//efeU_1//hypA//puuE//osmC//zraP//betB//pheS//rrfG//dps//tdcB//baeS//phoB//grcA//gpsA//argC//nanC//nrdI//gspM//rstA//abgT//dctA//sucC//rplB//fecR//nuoL//ccmG//csgC//casE//moaC//appA//asr//guaA//tnaC//dpiB//narQ//cadA//fdhF//tap//lsrB//gltU//ubiG//preT//ompX//nuoB//gcd//rutG//sucB//galK//fucO//rseC//uxaA//uxuR//pgpC//phoE//modC//cpdB//malE//ccmH//dgcZ//serA//cas1//ynfK//nikR//iscU//glpC//cpxA//citC//glpD//purL//hybD//hycD//ulaA//nadC//hycI//argH//yneM//torA//katE//nrfC//rof//astA//nuoL//cheA//ytfE//rpsS//crr//priB//hybC//xapA//ilvC//ompX//ydeO//cydC//malF//nagA//phoP//feoC//nanC//pheM//dkgB//dcuR//serA//idnD//narK//purR//ompW//nac//phoE//acs//fixA//nrfD//yeaR//ung//nagC//ybfN//rbsR//idnT//rrlD//kbl//
