#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cydB//grpE//nikR//cytR//
AlaS-L-alanine	fimA//
AllS-allantoin	erpA//malX//codA//
AraC-L-arabinose	fdhF//yaeQ//napG//ccmG//nuoG//hypC//gutM//rpoE//ispE//carA//cytR//gltB//fimC//hofM//
ArcA-Phosphorylated	prs//glnD//sbmA//yidQ//tdcA//oppF//nuoF//yegH//nrfD//glpR//osmC//araE//hybC//moeA//gltT//serC//ascB//csgC//yedX//ygiB//glgP//chbA//casC//ynfH//metA//rbfA//nanM//borD//rrfH//map//dpiA//cyoB//argT//fepC//ampE//evgS//fecA//tonB//mdh//hybG//gntK//phnM//ssuB//glgC//manA//araD//fecA//sucA//hydN//creA//fur//hycE//tauB//hisP//lysC//narK//rplI//hofB//ugpA//argI//glpR//fliZ//glcG//ulaD//mgrR//puuE//gatA//dnaN//dcuR//abgB//yfaE//hyfR//glpT//evgS//ompW//xylA//iraM//purA//hypE//dadA//mdh//mltC//ilvB//fldA//purE//pstC//gabT//dsdA//argD//cstA//ompR//aceK//yeiB//hyfI//ilvB//gdhA//yegZ//fixA//nanM//aer//xylF//citF//acs//purD//prpB//yidQ//pstB//hcp//fucP//fnr//malZ//entH//pyrC//ileV//uhpT//lyxK//ychH//cysN//srlA//puuD//rpoH//yfdV//hmp//aaeR//hflC//hflX//yiaO//nusA//rplC//araC//rnlA//rrlH//gutM//sdhB//fhuB//soxS//prpR//ssuD//psiF//tadA//metC//norV//puuC//lldR//hmp//nhaR//rplI//mhpD//rrfE//nuoE//amn//fecE//ybfN//focB//yhjA//ilvM//bamE//galK//purC//rrlC//cusR//hisP//lysO//rseA//phoU//znuB//speB//purB//rplT//ebgA//napD//norR//cheZ//rutA//srlD//cpxR//tdh//
ArgP-L-arginine	eda//napC//nikR//dppB//gntR//rpsP//glpE//tdcB//nuoM//lacI//nhaA//tdcA//qseB//rbsK//ivbL//rbsK//
ArgR-L-arginine	acnA//mntP//ychO//yeaD//idnR//ssuE//ycjF//napB//psiE//rpsO//aidB//ulaB//oppA//dkgB//bioA//hcp//caiE//tauA//ygiB//dgcZ//glpQ//mhpR//rrlB//hycE//bioB//yfdX//ynfK//actP//focB//exbD//araB//cysN//gcd//carA//mcaS//ssuA//gapA//evgA//fdnG//
AtoC-phosphorylated	tdcC//cysD//ilvD//fur//
BaeR-Phosphorylated	metC//hflK//rseA//xylH//rbsR//hyfE//bioB//dppC//
BirA-bio-5'-AMP	speB//dppF//speC//betA//phoE//
CRP-cAMP	fecB//garP//nlpD//yqjI//phoE//mdtA//lolB//nuoI//citG//manY//baeR//nuoK//nrfB//lysA//gntX//cysM//metE//ulaB//fhuD//rrfB//ydeO//xdhB//yhjC//hypC//rutE//ryhB//hypB//gatZ//yeiB//ilvY//entH//prpB//mglA//hybD//sdhD//ompA//agaA//livG//paaH//fucR//atoE//fadH//appB//tdcB//aaeR//yedX//oppA//nohA//ilvY//rutG//hyfD//ydhW//acrB//sucC//ompR//purA//ilvB//acs//cytR//mntH//araC//oppB//lysU//ihfA//ada//ada//hisQ//hyaF//paaG//ydeO//nrfA//acrD//stpA//hofC//mhpR//purL//rplV//gspF//glpA//purD//chbB//nuoE//motA//yaeQ//ihfA//rplB//ydhX//pgaA//frdB//hyfH//pncB//hdeB//degP//ssuD//yeiW//purF//deoB//lpd//yoaC//lolB//ung//cynS//speC//xapA//purL//aceF//cytR//hha//malP//casD//ccmF//hupB//rbsR//yaeQ//srlB//deoC//mgrR//hofB//uhpB//sufB//prpR//fnrS//cysA//glnL//glmY//bioF//nanC//nikB//tonB//argE//hemL//mgrB//uidC//melA//xylA//marR//envZ//agaV//napF//araA//aaeR//gabD//nuoL//gatA//uxaA//ileT//kbaZ//mgrB//uxaA//cysU//idnO//fnrS//citF//idnT//hslJ//rpmI//entS//ssuA//nagA//gltA//rseA//tsaE//bamE//ilvX//fabZ//tnaC//ansB//acrA//evgS//bcsZ//ssuE//ulaC//mgrB//yrbL//gabD//malP//rcnB//guaA//phnN//hybE//nuoE//fimD//aceK//sohB//nuoG//lsrA//ybdZ//slt//nfuA//evgA//rybA//narL//phoH//hyfG//feaB//ygbA//rbsA//tdcF//nrdH//ugpC//gpsA//yoaC//pagP//pgaD//ytfE//nuoM//rseC//feoA//secB//ansB//aaeA//cusR//moaC//bioB//alkB//gntU//ydiU//betT//ulaF//bdcA//citC//zraR//aroL//csgD//lysC//csgE//nuoF//narJ//emrY//lldR//sxy//pstB//purE//tfaQ//lpxD//psd//aceE//livM//glgP//ytfE//sucC//rrlA//ssuC//fis//ilvA//metN//hypC//rpoE//abgA//glpF//trpC//slyB//hcr//upp//dctA//narX//nanT//xylA//cytR//glcG//comR//mhpR//casD//znuB//torA//alkB//hlyE//sufS//aroA//cyoB//ydeA//hupA//ccmA//puuA//sucC//pheS//gltA//lhgO//trpD//nrfG//gltB//uvrA//ilvD//csgE//galT//lsrD//oppA//xapA//nrdH//crr//soxS//ykgR//argR//arcA//serC//mhpE//srlE//icd//mgrR//nuoI//cstA//cheY//argE//tar//rrfD//narJ//folE//kbl//cusA//uxuB//yaeQ//cbl//speA//ubiX//nhaR//rrlA//mntH//aroA//yhfA//lysP//phoU//paaZ//csgF//gntR//nrdG//frdC//nrfF//fumC//pagP//lysC//csgB//fecR//citC//gspD//hisM//rutF//rpmI//lldR//pgaC//rrfA//rof//feaB//phoP//sxy//yebE//tadA//rrlG//yjcH//lldD//fhuD//arcA//uxaB//cysN//tyrR//cheR//xapA//ccmE//yfeW//fhuC//truB//pepT//xapA//lamB//purM//zntA//glcC//rcnB//idnD//rhaS//thrV//cysG//hycI//fdnG//gabP//feoA//glpT//tdcD//cdd//ilvY//ilvI//yaeQ//recF//treR//paaH//fepB//paaE//rrlG//paaG//zwf//yiaK//mscM//ugpC//lsrA//tehB//garP//qseC//cynX//nirD//hyfA//comR//aroP//rpsC//feoB//nrdB//tsr//nirC//tonB//ileT//fixC//xylH//aroH//mltC//gadC//mntH//fliA//hha//rhaB//pstS//sgbH//ilvM//hemL//yiaJ//nuoN//rrfE//csgC//qseC//aidB//ynfH//rnpB//spf//hcr//lsrD//rseB//lsrB//murP//ebgC//rutE//paaG//tcyJ//mpl//polA//paaZ//malF//cusB//pheT//glpA//cydD//mntP//dmsC//fnr//bcsC//purC//fecI//feaR//metR//paaE//caiD//chbB//qseB//soxR//ygaC//lyxK//atoE//yjcH//evgA//pgpC//araB//fucK//pstB//thrV//ileU//pdhR//ileU//ilvI//phnC//phnP//ada//gntU//narH//hyaF//bcsC//metQ//galP//cspE//iscS//pepT//aaeB//aspA//ccmF//atoA//atoE//fhuD//sbcC//purH//lpxD//ugpQ//ybiT//pstB//edd//metK//hyfB//cueO//cysP//astD//hybF//nirC//rcnB//mtlR//yiaO//pgk//cydB//metJ//pck//ascF//glpK//galK//ackA//serA//ileV//rrsA//cusS//ryhB//uhpT//metB//napC//
ChbR-Monoacetylchitobiose-6P	gabD//sdhA//nirC//uxuR//entS//ugpQ//
CpxR-Phosphorylated	hycD//ompR//fimD//yaeP//fepC//nikR//lacA//fdnI//purM//fecE//glcB//aroM//folA//pheM//purB//fiu//degP//rutF//mhpT//bcsA//nrfG//sodB//gadB//hfq//purN//rplT//nrdG//fis//yedX//paaB//rpsR//gcvT//glcC//nirC//yjjZ//fepA//edd//yqjI//feaB//argI//fumA//mdtA//tomB//sdhC//mdtB//argT//ydfH//chbB//hydN//paaB//mgrB//ubiG//rbsA//yaiA//rpoE//creB//ydhY//mhpB//paaF//ssrS//ilvA//ychH//spf//sucA//dcuR//zwf//tauB//creA//pyrD//
CreB-Phosphorylated	cytR//dcuD//ygaC//garP//metJ//cysC//dcuC//dppC//asr//
CueR-Ag	aceF//rrfH//moaA//adhE//zinT//ydhW//rrfE//
CueR-Cu+	betB//alaS//napC//trg//fumA//ppiA//yfiP//
CuerR-Au	lsrF//rutD//mlc//hyaD//iscA//gspF//oppF//
CusR-Pasp	cynT//gltU//arcA//araC//trxA//creD//malI//nuoN//hybG//dsdA//puuP//csgA//
CynR-Cyanate	ilvD//cysI//speA//rpoS//
CysB-N-acetyl-L-serine	rrsE//glcD//pyrD//azuC//ugpA//rplS//phnG//yrbL//cysA//dnaA//dsdC//glgS//ulaD//glpG//ilvC//idnR//phoA//azuC//rpsF//yciW//hycH//nrdI//tehA//mhpE//envY//fldA//ydfN//hyfE//nuoI//gltV//
CysB-O-acetyl-L-serine	pnp//caiD//ppdD//ileV//araA//ccmF//ydeA//hycD//fepD//narQ//cpdB//ydhY//rrlB//ybfN//dnaE//hypB//argR//hlyE//yhjC//hyfB//aer//uof//nupC//norV//flhC//rplP//nuoF//malP//katE//fimD//ilvA//
DcuR-Phosphorylated	tonB//betA//metI//rplT//cysK//bhsA//tnaC//dpiB//metE//
DnaA-ATP	fimC//acnA//glnG//xylB//putP//gltU//hemL//metK//rpsO//malE//katE//hyaE//
DpiA-Pasp	caiD//ileU//cpxR//hofP//psd//ampE//oxyR//zwf//cusA//rbsB//ychH//
DsdC-D-serine	rbfA//fhuD//purC//
EvgA-Phosphorylated	narX//purC//uxaA//uxaA//yedX//ihfA//ydhW//malE//hybF//appC//ppiD//bcsZ//abgA//rimP//fixB//
