#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nuoJ//rutE//csgF//hypC//
AlaS-L-alanine	hyfH//
AllS-allantoin	speB//lsrD//ompX//
AraC-L-arabinose	mhpD//gntT//slyB//cyoA//uhpT//guaB//caiD//gspK//hisQ//nhaA//entH//cysH//hycA//rplT//
ArcA-Phosphorylated	metI//nuoF//fixX//gatZ//hdeB//fhuF//lldP//ung//znuA//fucR//rplI//fecI//hdeD//uxuB//speB//hypE//rpsI//ascB//hemA//melR//lamB//gatA//rpsP//zinT//fes//mglC//fepB//uxuR//puuD//ydeA//dmsB//chbG//trg//dcuC//gntX//crr//ubiA//speC//prpR//nac//glpK//galT//mtlD//dsbA//metQ//spy//yegZ//cadC//mhpF//nfuA//yibN//acrE//alaA//cydD//baeR//glpD//mdtA//pstC//malF//ybiT//nuoI//aidB//hybB//appB//fdhF//araE//ccmG//cusR//fecA//tsgA//rnlA//norR//aldA//thrS//casE//udp//infB//mtr//bamE//dsdA//srlE//feaB//stpA//rhaT//fecR//xylG//ychO//narH//ugpC//exuT//yjcH//rrlD//qseC//patZ//nlpD//iscS//tyrP//ppdD//srlA//hybE//atoD//ydeN//torC//bamE//trpB//phnD//torC//nrfG//entD//livK//gntK//gcvP//hlyE//argI//sucD//hyfC//agaV//appB//nrdA//rutE//creD//hofN//rbsC//glcA//ygiA//phnK//deoB//yjiY//kbaZ//csgD//grxC//fdhF//ydhW//uidC//yaeQ//fumB//safA//rybB//rrsA//fliZ//fadA//fumB//nuoC//cusB//yhjC//hisP//ulaA//sdhA//trpC//guaB//mepH//cheZ//focB//mdtB//gabT//cyoD//rutA//nanE//hyfI//rplC//pstS//cydC//fixX//iscS//folA//cytR//nrdI//caiA//udp//hypD//glpX//carA//acnB//flhD//gcd//glmY//fdnH//
ArgP-L-arginine	ydhV//argH//caiB//cusA//treC//pta//ykgM//priB//ftnB//dppA//yjcH//micF//gcd//uxuA//bamE//phnK//
ArgR-L-arginine	tfaQ//betA//yebE//rpsF//ndh//rstB//rpsO//sufE//tnaB//glcG//fnrS//sdaA//gspM//gatD//fadL//aceK//dcuR//ompR//glyA//glcE//emrY//phnF//nrdA//ileU//sbcD//yegH//tnaB//dadA//mltC//gltT//evgA//azuC//malK//pstB//alaT//ilvA//caiA//xapA//mgtA//
AtoC-phosphorylated	chbC//glcF//allC//nagB//
BaeR-Phosphorylated	manX//glmY//murP//lsrA//nagE//sbmC//yeaE//nagB//
BirA-bio-5'-AMP	yfaE//uhpB//mhpE//fumA//ygeA//
CRP-cAMP	mntP//glpR//uxuA//tyrA//avtA//ubiC//yaeP//nrdI//rrlC//rpsO//priB//yhfA//deoA//yrbL//ykgO//yhfA//yjcH//pepT//tcyJ//tdcB//mcaS//malT//ydhV//hslJ//sdhD//fliA//hyfB//frdA//paaB//tauD//ydiU//dcuR//alkA//rrsA//lsrF//ilvB//dctA//entF//appA//napB//narG//pflB//arcA//ykgO//yfdE//melB//glpR//glcD//mgrB//oppB//argG//tdcC//cysB//flhD//mdtD//metR//nuoL//tadA//gapA//ackA//preT//mgrB//hyfR//cysM//srlA//rcnA//galM//marA//moeB//ybjG//araB//yfdE//prpC//ssuD//nuoE//evgS//ivbL//modA//cpxR//acnA//flhD//ygbA//phoB//phnH//ftnA//dadA//fadA//hfq//phnJ//pdeF//caiB//bioB//frdB//ogt//casD//phoE//dgcZ//kbaZ//casE//fucP//mgrR//rrsA//sdhC//nanA//iraD//cyoA//ileT//frdA//nohA//bglG//rrsG//carB//ebgC//glpB//acrE//bcsA//truB//feaB//fecB//phoU//caiC//narI//csgG//fecR//creD//glnA//chbA//rpsP//moeA//cysP//speA//nlpE//umpH//trpE//gabT//caiE//fepB//cyoA//phoR//alkA//phnE_1//hisP//rplS//narL//evgS//soxR//gspK//nanK//dcuB//aceF//livM//pnp//glnK//yjiY//ebgC//paaZ//fixB//xylA//fepA//rrfF//rprA//nlpD//ykgO//fixB//hyfH//lsrR//nuoF//caiB//csgG//uxaA//ssuC//dgcZ//rpmI//emrK//cas2//guaB//fiu//preA//citX//mutY//glpR//katE//betB//phnC//csgD//cspD//efeU_1//rrlE//treC//appB//ydeO//feoC//yiaM//ccmA//astA//ilvI//fnr//frdB//prpE//ahpF//asr//lacI//umpH//lsrA//phnK//znuA//rpsJ//moaE//ybdZ//mhpR//puuE//fadB//dpiB//deoB//tauB//speA//yedX//rrlG//glpQ//metA//nuoK//nfuA//hybE//dpiA//ugpQ//chbA//nuoG//cysK//fhuD//purM//tam//yoaC//lldP//appC//nrdD//gntT//fixX//yhjC//cynR//tnaC//tdcD//glgB//dnaA//gltW//fecD//uhpT//aldB//hyfH//ilvE//purL//phnM//puuD//nikD//miaA//yiaM//hofN//glcC//gntU//znuC//rplV//lyxK//ygeH//entB//gadC//hyfC//yeiW//entA//tauB//murP//moaE//glpG//argP//hslJ//nrfE//iraD//yqjH//fadA//deoC//hycB//ivbL//ompW//allE//purF//rrlE//gspH//sroD//ynfK//rrsA//amtB//fimC//nac//lpxD//paaF//nlpE//pagP//sufS//fhuC//ssuB//mscM//bacA//osmC//yeiW//hofB//mdtB//ilvG_2//actP//ulaA//nrfA//ompA//malG//xylR//katE//metR//hflC//hofM//araF//glgB//pgaD//glpF//idnT//ugpE//flhC//moaA//torC//rcnA//hycH//chbA//gntP//rrfB//pstA//ompW//ftnA//hyaC//nrdE//nrfC//rpsR//entE//xapA//glpR//rplM//yjeV//gutM//mutY//yhjC//malT//xylA//hybG//glgX//rrlG//hycE//focB//ygiA//abgB//phoA//ldtB//rrsA//purD//sufC//rrsA//cadB//csgF//aceE//iscU//glpB//nrfC//dmsB//rnpB//dpiA//uidB//rrlA//tam//argR//ebgC//priB//nrfG//melA//cynR//xseA//phnG//phnE_1//nohA//melR//epd//spf//malI//hdeB//fadI//entE//pheS//glgB//xylG//hyfB//ugpA//allE//lpxD//mlc//metR//speC//ompW//cbl//mglA//hyfE//soxR//fhuD//dnaE//phnI//exuT//ilvH//rpsR//ydhW//stpA//cadB//ansB//puuE//cydD//cbl//pheS//phnH//rhaS//aroG//bcsZ//metN//garP//lsrG//hofP//ydbD//rbsA//mglB//marR//rutA//hfq//fucU//phnF//ulaE//yeiL//epd//ampE//citD//xseA//rutB//uxaC//lysO//bioC//gpmA//ampD//fecI//nrfC//nagB//hyfA//glpE//phnE_1//rbsB//prpE//nagE//pdhR//gltT//hdeB//zntA//emrK//exbB//bglF//casB//cysU//dppC//ilvA//yibN//moaE//rnhB//fucU//baeS//zraS//ydfN//glgA//pheT//yjiY//csgE//ugpA//mepH//nuoJ//motB//hyfJ//fdnI//aroM//acs//nanC//fhuF//fecC//gatD//hcr//lsrD//focA//acnA//caiT//xylF//yeiP//idnT//sroD//xdhA//tehA//gltF//rrsG//phnL//citE//nrdI//pitA//hycC//cyoA//ascB//rrfD//yhjA//puuP//uhpB//ccmH//cyoA//tdcC//rbfA//cysU//dnaE//cysK//yaiW//citF//cysA//chiP//nrdE//gspG//
