#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	fucI//fimD//srlB//zntA//
AlaS-L-alanine	ilvY//
AllS-allantoin	metF//fiu//hofB//
AraC-L-arabinose	uxaB//marA//argR//ulaF//paaH//narL//uhpB//lrp//malG//rutG//yaiA//cdd//entF//nuoH//
ArcA-Phosphorylated	glnL//yaeQ//phnK//phoU//acrA//puuP//mhpC//glpG//dps//phnD//ssuA//ccmC//dmsD//tdcG//nanT//garR//yhhY//degP//glgA//lpd//cynX//hofB//yhiD//appY//dnaN//betA//gltU//oxyR//rplI//betB//gatY//bioD//xdhA//allC//ptsG//fucP//yibN//livG//hdeA//nusA//fhlA//yiaJ//chbB//cynT//fadD//ccmF//hyfD//rbsA//ykgO//patZ//aldB//trpC//bhsA//hypF//znuC//yhfA//hlyE//ykgO//cynR//csgD//glcA//yaeP//ptsG//nirC//rrsG//sufC//pheM//appA//ynfG//fecE//lpxA//cadC//lacY//dsdA//gpsA//deoB//ilvC//infC//gadB//mhpR//cynR//rrfC//sgbE//hyaF//ivbL//fau//gltU//map//alaS//hyaF//mglB//ilvG_2//rrsG//napH//narH//safA//rhaD//nlpE//pflB//uidC//yebE//hofN//cydB//ybjG//eda//nrdA//kbl//rrlH//puuE//rnhB//nrfB//nirB//icd//cusB//cusA//gspF//patZ//sufB//hflK//hypF//asr//chbF//dcuA//icd//alkB//cadA//yegR//gspM//artI//sdhD//puuB//fimE//casC//metC//caiE//cysP//erpA//puuA//micF//pdhR//cysI//mhpE//ilvC//rhaT//fnr//speA//hcp//katG//rrfF//rseA//lsrA//lysA//araH//thrS//fecI//aroA//casB//glgB//ygiC//gspF//gltW//nfuA//rutG//gspD//fhuF//rplC//argH//phnF//nuoL//rbsA//pnp//nirC//glpX//gspG//hybF//yneM//rpsC//
ArgP-L-arginine	dadA//nanS//rpoH//tsgA//hyaB//ivbL//hydN//yjjZ//crl//ilvN//yqjA//frdA//chbF//rrfH//metR//yaeP//
ArgR-L-arginine	hybO//yebE//iscS//cydC//aroA//nfuA//phoH//xapA//ascF//ugpA//caiC//tsaE//malQ//bglG//hybC//spf//oppD//lyxK//araB//hofB//ybfN//glnL//rrsB//rseC//aceK//ldtC//yegZ//slt//fdhF//soxR//entB//zraP//ampE//prpE//galP//fecE//paaA//ilvM//glcF//
AtoC-phosphorylated	bglB//dctA//yqjA//dmsB//
BaeR-Phosphorylated	ccmA//ilvE//argD//asr//pgaB//arfB//ynfK//ygiA//
BirA-bio-5'-AMP	hyfE//tdcB//cusA//yaiA//ssrS//
CRP-cAMP	ssuA//ydiU//infC//gatY//gatY//modA//cysH//csgC//zwf//zraP//cpxA//treB//glmY//aaeA//hyfC//acrB//lsrF//uhpB//nagB//xseA//rpsO//folE//mepH//zntA//fhuA//galM//yhfA//ogt//glgA//rrlG//trpE//yqjA//tnaB//chiP//pgaB//hyfC//tauD//nupG//torR//sohB//uhpT//metF//pheM//speC//emrK//hofP//trxA//fbaA//nrfB//speA//nrfE//lacA//ycjX//aroM//pstS//uxuB//uidA//dppF//phoR//rbsK//oppB//rpsP//artI//paaG//lysU//bglG//psd//dctA//iscU//motB//hyfA//nirD//hycH//yhhY//glnG//glpG//aroP//garR//rseC//slyB//sxy//bcsC//glgX//fecD//glpE//cyoC//hyaE//caiE//norW//cydA//ykgO//narJ//ftnA//rbsB//gltT//gltA//caiT//uidA//ahpC//yciW//ilvH//ssrS//nuoA//cynT//ygiC//ugpQ//fucP//cydB//fixC//malY//hyaB//cusC//pstC//oxyR//atoE//purD//sucB//yqjA//dpiB//ilvD//glrR//hyaE//lysP//aroL//yiaL//hypC//frdA//uof//prmC//phoU//araE//rplT//dmsC//glpG//lldR//rbsK//rcnA//yeaR//ilvB//feoA//motA//araE//ubiG//rpsC//fimI//zntA//rbfA//mhpD//lacI//phnM//phnN//rplC//qseB//astC//creD//cynX//ahpF//carA//dsdC//mhpE//arfB//tauC//hpt//yeaD//casC//ilvE//nrdB//psiE//hcr//ssuC//gatA//mntS//rplW//tdcG//oppA//hslJ//ssuA//prpR//exuT//nikC//rrsD//nirC//chbR//phnH//ydeN//hycA//gspM//bglG//cynX//hycF//citC//focA//aaeX//gntP//rrfD//lldD//araB//trpE//lsrA//pstA//ebgC//xylF//citF//phnL//ugpQ//gcvP//entB//araD//rrsH//sbmA//crp//nuoH//hyfB//fliZ//betT//melA//yhjA//ileU//cadC//phnG//gntP//mntH//fepC//rrlH//citX//chbF//rrfH//caiF//osmY//araA//ilvA//glcB//mdh//metQ//deoD//oxc//lldP//cspD//ykgM//icd//lysO//mhpT//yfaE//mutY//nrdB//ygiA//talA//yqjI//fumA//udp//paaC//glpB//manY//caiT//rnpB//purD//phnO//argT//serA//rrlC//ydhV//glcD//yiaL//tauA//betB//ydbD//ptsH//betI//nagA//grcA//lacY//paaA//ygiC//mlc//rutC//malG//idnT//fimH//csiD//phoP//uxaA//hyaF//mdtC//sdhB//rpsS//metL//dppF//pstA//nirD//yfdE//ycjF//yhjC//modA//ilvD//sxy//ldtB//treB//yneM//gspO//livM//efeU_1//mlc//oppB//modC//ycdZ//bglB//galP//kbaZ//nadC//cbl//frdA//yeiB//glpK//araC//ptsG//aceB//idnO//csgG//pagP//lacZ//fadD//codA//katG//deoB//chbG//fucK//ada//lsrD//paaF//rrfF//pstB//psiE//gspH//efeU_1//agaV//trxA//cydA//ispE//pepT//ulaF//sucA//mgrB//lldP//puuE//tdh//ygeA//hisJ//gpsA//galK//mzrA//purM//fepB//rybA//cadC//lsrC//ilvB//xdhB//pyrD//srlR//ptsI//yciW//frdC//gspF//nanK//casD//moaB//fumC//rrsA//gspG//paaE//aroA//glpX//hypD//yccA//tomB//tktB//aidB//adiC//acrF//yiaM//murP//ompC//gatB//glnA//ackA//dapB//nagE//codA//rhaA//ackA//glgS//nrdD//livJ//mipA//hycB//pta//gadC//kbl//caiB//artJ//metN//glnB//uxuB//entS//phoQ//cspD//azuC//gabP//lacI//rprA//fadH//cysC//dmsD//ilvY//yccA//phnE_1//rrlB//aceF//hyfR//fliA//mltC//aaeR//fecE//napD//narJ//cas2//hcr//moeB//moaA//nanM//lyxK//ilvE//rbsC//yfdX//astE//fimG//chbB//cynX//hyfI//glnD//fimG//manA//ampD//bdcA//nikD//livM//casE//hyfC//fixB//gltD//fdhF//sgbH//glnL//gltW//ygiC//zraR//hyaA//oppA//gntU//psiE//trmD//aceF//nikD//rplC//aceE//polA//ychH//hypB//dnaN//hofO//phnD//pgaA//ccmF//sufB//map//prpB//ansB//artQ//lldP//rrlD//moaC//gpsA//ascF//mdtA//nuoK//aidB//metN//ilvB//umpH//artP//ulaE//gcvH//lpxA//nrfC//fucO//adiC//hycG//hemL//nhaR//xylG//zinT//trxA//acrA//gntX//lldP//hflX//efeU_2//alaU//rplI//betA//yjjZ//hybC//hyfG//argO//lacI//fecE//hyfD//bglB//argP//aroA//norV//rhaB//napB//dnaE//entD//
ChbR-Monoacetylchitobiose-6P	sodA//araE//emrY//nrdH//hycE//treC//
