#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nupC//nuoH//mhpE//iscU//
AlaS-L-alanine	fecB//
AllS-allantoin	gltU//hofB//hofN//
AraC-L-arabinose	tfaQ//crr//idnR//atoA//yaiA//mntP//sohB//lacZ//pyrC//ptsG//ybfN//dadX//iscS//idnK//
ArcA-Phosphorylated	araE//aroM//cheA//nlpD//fhuA//paaH//mtlA//mdtD//metJ//ydfH//allC//ykgR//rrfC//metY//astC//rrlC//metA//rpsS//qseB//ompF//bamA//slt//ccmC//cysI//glgB//yggX//bcsC//alaU//ssuB//ycjF//yqaE//yfdX//nanC//katE//dps//truB//glgB//rcnB//rrsD//fliA//paaG//argO//rrlH//srlR//envZ//ycjX//hyaF//metA//yrbL//mtlR//hybC//cynR//hisJ//gatA//rpsF//rnlA//mipA//araF//yojI//yidQ//yiaO//tyrA//yfdE//ynfF//casB//aceF//metL//ilvG_2//xylG//nrdG//puuA//yoaC//livJ//malK//proP//ybdZ//bioA//acs//hybB//cusB//purE//carA//cysP//glnB//dmsC//gntU//glpA//allD//malY//iscR//rpsP//mhpT//rseA//ubiX//pagP//fecC//glnD//folA//ileT//mdh//malY//rprA//yoaG//lhgO//nirB//nlpE//ugpA//caiF//gyrA//metI//metA//cstA//malM//aceB//phnK//iscR//ydeA//abgA//yegR//glcA//flhD//sucA//deoC//baeR//pheM//tyrB//araF//astC//cynR//dusB//moeB//ilvX//gltD//metL//ynfE//napA//tap//idnT//betI//oppA//nmpC//cyoB//polA//pheM//phnH//livG//flhC//pdeF//purD//azuC//bamE//metF//rrlA//mgrB//gapA//puuC//lysC//pagP//ihfA//hypB//acrF//gabP//phnM//nuoG//dgcZ//hyfG//cysI//trpB//entB//znuC//zraS//fadD//gspC//betA//narK//kbl//lacI//
ArgP-L-arginine	agaV//rbsA//nirC//fixA//hyaB//pstA//fumB//asr//araA//ugpC//yqjI//ung//sufB//glrR//nusA//rpsQ//
ArgR-L-arginine	glcA//gdhA//cysN//fimC//garK//csgD//sxy//sucB//purN//cysK//malE//pck//purD//gltU//pdhR//rpsO//xdhA//cysG//xylR//sufB//ihfA//cyoD//lsrF//mgtA//yegZ//nanK//gntX//uhpB//ptsG//ytfE//tomB//fadD//fes//fimF//rutA//rplC//idnK//hypB//ileU//
AtoC-phosphorylated	rrsH//lysP//yqjI//araH//
BaeR-Phosphorylated	dsdA//yegZ//rplP//ydhW//lsrD//deoB//nuoE//gntT//
BirA-bio-5'-AMP	yegZ//exuT//rplI//rrsB//iscA//
CRP-cAMP	ugpE//paaD//dcuR//prpD//yiaL//acs//gatD//cas1//iraM//fdnH//marA//nikE//mdtC//pyrD//rpsJ//citE//paaE//aaeX//yqjI//pstA//yfdE//cytR//fecE//hyaC//bglF//malT//entS//gntK//hyaF//sodB//gcd//uidB//ulaD//dcuR//narH//bcsB//oxc//grcA//cynT//tauC//garK//dppB//acrF//zraP//fimA//preT//pgaA//rplB//cysM//focA//cyoD//rprA//prpD//argP//garR//polA//yaeP//purH//creC//ydbD//torA//copA//flhD//yegH//phnM//rpsR//mglB//yoaG//hycD//fumA//tam//sbcD//fliA//rprA//rnhB//mtlA//napD//nuoM//hybB//ugpQ//purR//gspK//sufE//caiD//napH//lolB//icd//rhaA//gntX//puuD//ycdZ//lpxD//sucA//uof//udp//ygeA//mipA//nanE//icd//fimD//rrfH//acrA//rrfD//lsrG//pncB//entS//gspH//moeB//hisP//csgD//mhpE//metA//aroM//metN//trpA//citC//ydbD//yeiW//cyoA//phoA//metC//spf//mipA//sucC//phnH//cysW//psiF//napA//mtr//tdcA//appC//torD//alaA//phnO//gspI//ssuA//citG//napD//purL//rbsD//hyfB//agaV//cpdB//mdtB//argH//ssuC//flhC//bglF//tdcE//sodB//cysG//rutG//argA//aspC//fimG//fepC//cvpA//entD//mgrB//dnaN//argG//actP//artQ//rpsQ//ycjF//phoQ//puuB//rseB//ygiC//rpoS//motA//gspL//argG//ogt//ygiA//uxaA//yjiY//dusB//gspO//cyoB//gadC//lldD//yiaN//feaR//lldP//putP//yiaL//nuoH//preT//glpB//zraP//hisJ//tsr//trg//nuoA//cirA//rrlG//purL//yeiP//mutL//micF//paaD//ivbL//crr//hisJ//paaD//gcvH//argB//ilvG_2//nrdG//kbaZ//norW//pgk//phoB//prmC//nanM//phoB//ccmG//gapA//icd//lpxB//pitA//trpR//prpE//icd//ydeA//trxA//mzrA//nrdI//melB//glpK//dcuA//zraP//ftnA//hycF//ebgC//csgC//evgA//gltV//entA//malF//glgA//yhhY//narX//deoD//alaS//evgA//glpT//upp//pncB//hofP//fdnH//rrsH//phnL//garP//glpX//uidC//hyaE//sufE//nrdG//phnO//metN//rpsS//feoA//livG//dapD//fepC//appC//glyA//gltT//ydfH//alkB//mdtD//trpB//manA//metH//dcuD//araE//hyaE//polA//exbB//narQ//csgG//metF//leuE//agaV//ppiA//yccA//betB//argE//qseB//fliZ//ileT//pgaA//fadB//fadH//narJ//frdC//rybB//rrsB//ascB//ugpA//rhaA//galP//ugpC//slyB//ydfH//gspI//puuE//sgbU//yaiW//nrdB//aldB//hemL//fhlA//fecR//pdhR//aer//nrdF//iraD//gpsA//citE//ybiT//tfaQ//psiF//nadC//cusA//nikA//rpoS//ada//gspL//hyaC//mutL//map//tdh//fadL//hcr//glgC//glcD//aer//carB//fadL//fliZ//dppD//preA//bglF//baeS//upp//yccA//argT//paaD//uxaB//ynfF//citF//ydhY//dmsC//lysA//moeA//entS//ssb//fadJ//mutY//ybjG//argH//spy//dmsD//chbR//lpxA//ilvL//nrfD//betA//ansB//kbl//gabP//ptsI//hycC//cysM//moaD//trxA//gspK//tauB//fucK//phnO//arcA//purN//phnN//argH//gltA//lysU//gspD//zraR//aldA//araH//zraP//cusR//ycdZ//sxy//guaB//ldtB//astE//rplC//ygaC//dppC//yhhY//ynfK//arcA//galS//phnF//mutL//aaeR//acnA//ilvE//cysH//yhjA//narG//phnF//mepH//azuC//aaeR//glpX//flhC//hybO//sdhD//mhpB//trpB//puuD//iraM//mhpB//trg//dcuR//idnR//gspD//sdhC//rnhB//safA//xylA//tfaQ//sufE//fumC//phoB//ilvH//fabZ//phoE//fepD//exuT//aceK//nagA//xapA//pgpC//yhjA//aroH//guaA//norV//pstS//asr//ytfE//acrD//recF//rbsR//ygaC//ulaE//fimD//dcuC//pepT//arcA//fimI//astB//dppC//dnaE//artP//puuB//pstC//yiaO//rplC//napC//ansB//cysU//cytR//araB//nhaR//rpmI//hycC//fumB//cusC//yoaC//ydhX//yiaN//ygeH//preA//preA//nuoC//yneM//bcsC//cdd//acrD//metI//stpA//envY//dpiB//cadB//dkgB//gcvT//truB//garK//nrfG//pstA//exbB//ppiD//hupA//udp//hcr//hemA//rcnA//dgcZ//ychH//ssrS//prpB//bioC//ilvD//yhjA//purC//fadE//trxA//phoP//cytR//
