#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	phoU//exuT//metI//glpK//
AlaS-L-alanine	artI//
AllS-allantoin	yeaR//narL//lsrA//
AraC-L-arabinose	betI//betA//speA//malX//modB//speC//hflK//fdnG//nadC//fhlA//rpsP//cheY//galK//rplC//
ArcA-Phosphorylated	cirA//garP//lsrD//csgC//rimM//glcD//fhuA//ulaB//rutA//hofN//trpL//ldtC//nanE//yfaE//metE//atoE//agaV//ilvI//oppD//nanM//ispE//uhpB//uxaB//nusA//gntK//baeR//cvpA//yqjA//yojI//hisJ//galE//bcsC//dpiA//aldA//gspF//cysU//iraD//iscR//yfaE//zraR//fixC//ydiU//yjiY//aceE//rrfH//cusR//lsrD//paaH//argP//fiu//araE//hofM//rrlE//phnC//mtlA//ydhT//cusA//alaU//feaR//yneM//dcuA//ykgM//cspE//cheY//hha//argT//napB//galK//mipA//artP//nikE//citD//mlc//nmpC//gcd//prpB//frdD//rybB//ascB//glcC//emrK//phnD//zraR//xylG//ogt//napF//rrlG//mhpR//ycjX//oppA//atoE//trpB//rplI//hypF//copA//puuC//nadC//gntX//metF//ycjF//nrdH//spf//mutY//lysA//glnA//gspH//fepB//hisJ//fis//sroD//fepD//paaB//rcnA//cysM//mntS//malK//araA//sucB//melA//glcA//lsrG//hyfI//ompW//fumB//fdnH//xylB//purE//fhlA//argC//hypA//oppD//betB//livG//talA//yjeF//mdh//azuC//nikB//pheM//araJ//cas2//dadX//purL//ebgC//yhiD//astA//metR//phoU//tdh//gntR//mutY//ynfE//psiE//nrdH//dcuC//rprA//ada//tauA//gatC//rhaA//fumC//hdeD//fliA//rpoH//norR//rnhB//ccmE//nikB//glnL//malX//kbaZ//purM//ompF//hyfJ//fecA//ycjF//purN//
ArgP-L-arginine	phnP//bcsA//gyrA//caiC//rrlA//skp//purL//malG//miaA//casC//metA//gltB//ynfH//ilvG_2//tdcA//rprA//
ArgR-L-arginine	abgT//nuoG//dps//yeiL//xapA//citE//puuB//ydfH//fixX//cueO//nac//galK//trpL//metF//hypF//oxc//argP//arcA//nlpD//torC//pgaC//gntK//alaU//lpxD//dppB//hycC//bamE//rrsA//glgS//ascF//yojI//creC//edd//gltU//yfiP//tsgA//purH//tnaC//ychO//
AtoC-phosphorylated	sucA//yqjH//prmC//guaA//
BaeR-Phosphorylated	ynfK//ebgA//qseB//ilvB//hycH//gspL//ydeN//cpxA//
BirA-bio-5'-AMP	tehB//napB//mdh//lsrB//glcB//
CRP-cAMP	putP//recF//ykgM//modA//prpB//fadA//napH//fhuB//pyrC//pdeF//ydeJ//rcnA//ilvD//fimH//hyaA//fecB//ubiA//malT//frc//argO//fixB//dsbA//nrdH//ykgR//hha//malP//serA//argI//rrlE//hycH//rstA//aroA//rrlA//ydbD//ompF//gcvT//purH//raiA//mdtD//fnr//gspF//raiA//mdtC//yjeV//nuoG//mpl//cysJ//cysA//marR//nanM//dapB//mgrR//sufS//grxD//pgaD//hypB//gltF//rrfE//phnM//astD//rutG//nuoI//ykgR//ygeH//thrS//fldA//alaT//acs//creC//iscR//csgG//metY//rybB//efeU_2//bcsC//nikB//glcD//ybdZ//phnI//ansB//moaC//tnaB//hyaA//mgtA//metQ//pstA//dmsB//gspF//katG//trmD//sodB//iscS//prfA//pepT//frdD//fbaA//gspK//citG//nuoK//xylB//caiT//rnlA//treB//moaA//fixB//lpd//dppD//fucA//nagB//infB//dapB//argP//comR//ykgM//hofP//casA//nuoG//feoC//mzrA//nrdG//yeiW//nlpD//aroP//ynfK//mhpF//bglF//gabT//metN//cysU//mntP//fecD//puuP//acnB//aceB//cspE//dapB//yjeF//garK//idnD//ydhW//uhpB//rplT//hofN//prpR//ynfK//hyaE//idnT//napD//yhiD//caiA//ccmF//casD//casD//ilvY//uxuR//nagB//cusA//moaD//gltT//aaeA//paaZ//fimH//hycE//ccmC//tauA//ihfA//psiE//ccmC//tauC//csgD//ycjX//entE//carB//ahpF//purB//actP//hofC//xdhC//glnA//lpxB//hupA//caiA//lsrA//patZ//ynfG//avtA//rbfA//ydhU//betB//yaiW//gspM//tsx//nlpE//rpsQ//hypB//argH//purD//codB//gcd//fabZ//hyfH//tolC//nikA//nuoJ//yedX//phnG//waaH//nhaR//pgk//tyrB//lrp//cpxA//fumA//uhpB//fucK//entB//tolC//purD//envZ//lsrR//caiT//gspH//hisP//nanC//rrlB//yfdV//dcuA//ybfN//spf//cysI//modB//purD//phnP//malQ//hyfR//crr//araE//secB//astC//puuB//ykgO//feoC//cheR//ampE//chbF//appY//lysP//ccmE//nuoI//pgaA//paaA//malT//rbfA//xdhB//amn//gapA//mntS//aaeX//hyfC//nuoM//glgC//grxC//ilvD//dppD//nikC//katE//hflX//glpG//nupC//ppdD//tsx//glcA//araF//lolB//bglF//uhpC//phnO//sufA//exuT//hyaB//mntS//paaC//frdA//dppF//mgrB//hybE//phoR//allE//tpx//yggX//fur//rrfG//entF//prpE//hyfR//ydfH//preT//cusR//fhuC//slyB//grxD//prpR//agp//acrD//narH//mlc//napG//glyA//yegH//ilvX//yciW//hyfG//lsrB//hyaC//dnaA//araF//emrY//serC//cheY//sucC//ansB//hlyE//paaD//galP//csgC//lysC//argA//hyfE//copA//uidB//tehB//hyfD//mdh//ynfE//hycH//rutB//ampD//yojI//talA//deoB//uxaC//exbB//acnA//nlpD//aceF//glnL//chbC//ldtC//yaeP//napF//phnN//napB//hcp//fadE//livK//napG//fldA//fdnH//metB//fucP//hisQ//bioD//dnaE//betT//aldA//ahpC//yccA//livJ//qseC//galT//ptsI//dctA//csiE//motB//malY//ccmH//fabZ//proP//hyfF//fucP//cytR//hupA//tfaQ//rrlH//mntP//yjcH//ivbL//hypB//hdeD//adhE//hha//uraA//ynfF//rrsE//yoaG//paaG//rpsS//rplI//hyfB//fepG//aceK//nuoF//dnaE//hybD//bioB//csgE//nuoN//metY//hupB//mgtL//malM//cyoB//sdhB//ydhV//alaA//rrsG//exbB//pstS//uxuR//phoA//hyfD//nhaR//phoE//ansB//gltU//mntP//rpsR//tdcG//rdoA//bhsA//tdcE//hycC//ampD//ybfN//ackA//atoB//speA//nrdH//mntP//ynfG//appB//fbaA//narK//hyfF//cas2//fixB//araG//nikA//purH//sodA//livM//allC//baeR//nrdF//mhpT//nuoA//ilvN//nrdE//malS//betB//torD//moeA//gcd//nrdE//qseB//melA//pncB//artQ//lolB//rutG//cas1//fadI//xylB//araJ//mdtD//micF//rpsJ//entC//rbsA//csgA//fhlA//grxC//aaeA//dppA//nanC//livK//gntR//hypF//yfeW//tomB//torA//zraR//argR//fepE//ydhU//yiaL//ysgA//fimI//cspE//nlpE//mhpC//prpR//fucI//fadE//betT//appA//katG//yegH//glpC//aceK//hemL//puuA//psiE//ychO//evgA//entE//argE//malS//prfA//norV//glpT//gspG//adiC//safA//yjeV//
ChbR-Monoacetylchitobiose-6P	frdB//purK//fepD//napD//miaA//xdhB//
CpxR-Phosphorylated	fecR//gspM//secB//lsrF//ugpQ//grpE//hyfB//hypD//cyaA//rstB//borD//bcsC//ptsG//thrV//evgA//casB//lysO//cpdB//fhlA//grpE//nirD//tar//tdcC//oppD//ygiC//dctA//fixC//astC//malY//metJ//thrS//rbsK//fhuA//yjeV//acrF//lpxA//betI//hflK//aroH//norW//argF//mdtB//aldB//mpl//yjeV//nrdE//metI//thrS//gatA//fucK//uxaC//rbsC//mhpE//artI//rbsC//actP//ispE//nuoG//dpiA//livG//acs//caiF//aroH//glcB//avtA//fucR//chbF//fdhF//ilvG_1//
CreB-Phosphorylated	ogt//napA//rybA//aaeX//fhuF//glnK//argP//miaA//metF//
CueR-Ag	safA//gadC//puuP//yidQ//fhuB//citC//fucA//
CueR-Cu+	araA//mlc//hycA//efeU_1//oppA//aidB//oppD//
CuerR-Au	betB//rhaA//pdhR//torR//rplS//bglG//tdcF//
CusR-Pasp	zinT//yegR//ygiC//ynfH//spy//puuD//mzrA//ybdZ//manZ//phnE_2//ubiX//gltU//
CynR-Cyanate	argA//ompW//tolC//rimP//
CysB-N-acetyl-L-serine	chbG//livK//nrdA//aldB//mntP//argA//aroF//malS//tauA//nrdA//gntK//fumC//psd//ssuD//ilvX//purE//sdaA//mdh//pgk//nhaA//ulaE//trg//ilvE//nuoH//bglF//nrdH//rbsD//acnA//purE//rcnA//
