#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	sdhC//hisP//osmC//fldA//
AlaS-L-alanine	ygbA//
AllS-allantoin	livM//astD//ccmG//
AraC-L-arabinose	caiD//phnE_1//dcuC//cyaA//rutB//hybC//yeaE//ulaE//gatY//aidB//envZ//nmpC//uidA//rrlD//
ArcA-Phosphorylated	csgE//lysU//hypF//ccmF//baeS//aaeA//betA//cdd//dmsC//galT//napA//serC//hycI//galM//tdcF//ssb//creD//pnp//moaB//narK//gltU//hyaC//sbmA//thrS//cysN//adiC//nirB//hofM//fau//sgbE//rbsA//fecA//torC//malG//rpsP//paaB//moaD//yhjA//ahpC//cysK//moaE//cysP//nuoE//purF//rplP//gspO//fumB//yeaE//rrsE//talA//dppB//ebgC//gntR//entC//znuC//edd//yeaR//cheB//ileV//marB//entB//cysM//yfiP//hycA//yhcH//nmpC//rbsD//hpt//nupG//xylF//prs//fdnG//rnpB//rpsO//purF//mlc//nrdE//ampE//glnD//fau//bioC//hflK//nagB//xapB//ydeA//xdhC//ilvC//degP//nrdH//rpoS//narQ//fiu//entS//metH//slyB//hflK//cheR//fecI//recF//purD//lsrB//puuE//lysA//lpxA//rseA//phnC//agaV//srlA//fadH//yaeQ//napH//hyfE//hypB//folE//rrlC//astE//chbB//recF//ulaD//dsdC//rseB//gabT//hyaA//manZ//yccA//rbsR//mgtA//ydbD//rplM//cydA//uidA//aaeA//rpoS//yedX//yccA//lsrF//uxaB//trpE//hflX//zraS//nuoB//waaH//bamE//malQ//udp//fhuC//hflK//mgtL//rrfD//sufA//fdnH//folA//fucR//hfq//glpB//yiaJ//rrlH//comR//cheZ//bglB//fucR//manA//tonB//purM//feoC//oppC//dppF//ycjX//rpsO//torD//ilvE//baeR//yibN//chbR//tonB//fau//hmp//
ArgP-L-arginine	paaA//nirB//focB//amn//dusB//gspK//aroA//caiT//araH//ftnA//eda//nrfC//paaZ//mscM//norR//gdhA//
ArgR-L-arginine	norW//uidA//uhpT//tauC//puuC//cadC//bcsB//yaeP//puuC//dmsA//crl//cusA//rcnA//puuB//nrfF//purF//sbcC//fhlA//astE//ydhU//cheB//hpt//hycD//dmsC//glmY//carA//cyoE//pdhR//treB//xylA//baeS//lldP//tyrP//treC//moaA//yqjA//amtB//yiaM//fepD//
AtoC-phosphorylated	tolC//fbaA//rplB//entE//
BaeR-Phosphorylated	glcG//bhsA//ccmG//oppB//rbsB//sdaA//ompF//carB//
BirA-bio-5'-AMP	acrA//fhuF//gntP//mepH//frdC//
CRP-cAMP	purB//hisM//yeiL//ppiA//sodB//gatY//purF//metB//hycG//chbC//pepT//baeS//ilvB//fucP//rrsD//ugpQ//entC//gabT//livM//araF//garL//hpt//metK//tonB//ydeM//cspE//fnrS//yhjA//borD//ulaD//aceF//agaV//yfdX//ynfH//yiaK//cysP//hyfE//sucA//tnaA//gadC//yjcH//hyaF//rnpB//glnB//ccmF//rhaA//lsrC//purH//argB//ndh//fucI//hisP//rplP//uidC//asr//fadA//galM//nrdI//rutG//dcuC//rutA//ychH//paaZ//gatZ//phoA//yhjC//cheZ//paaH//allE//dcuA//gutM//csiE//cadC//dppC//rrfG//tyrP//ygeH//ihfA//rbsC//phnN//sbcC//pdeF//rhaB//yhiD//aceA//fumB//napA//nuoI//oxc//nrfD//glcC//nuoN//hyaD//ppiA//sgbH//yneM//moaA//pstB//gspI//sucC//gltA//marB//rhaS//uraA//lyxK//hemL//rhaB//oppF//narI//gspH//exbD//uxaA//hdeB//pitA//mhpC//livM//mglC//fecB//gltU//pck//rutA//nanA//galS//ryhB//exbD//glcD//ilvH//bdcA//deoA//yiaM//dsbA//ubiC//ychH//tauD//napB//ileU//infB//artJ//fecB//phoR//astC//ompC//atoA//nusA//ccmF//nikE//pgk//yqaE//paaE//metY//norW//bioB//mgtL//ydhV//nuoL//narK//fnr//nikR//hyfA//glpK//appX//rhaT//priB//dusB//tap//citX//acnB//iraM//envY//rplP//ubiA//lpxD//rrsC//yeiB//ppiD//gyrA//ilvG_2//galS//map//bioA//purC//tauD//fixC//focB//bioD//feaB//hyaF//mipA//ubiA//livJ//paaK//ydhV//cyoB//pheM//artQ//umpH//hupB//yibN//rrlD//nanC//ftnB//idnO//ydeP//amiB//csiD//bdcA//galS//yqjA//deoC//ompW//fucP//moeA//acnA//entA//trpD//fabZ//argF//acrA//hofP//hybD//fixX//trpA//trxA//safA//katE//araJ//ubiA//zraS//ftnA//argE//lldR//yjiY//rplD//katE//pagP//raiA//nirC//livH//glcF//nadC//hybF//paaF//sucC//hycA//nrdG//nmpC//dapD//tsx//metA//cueO//malY//ilvI//uidC//torR//ydhT//torC//carA//yfaE//citG//ivbL//ftnA//rhaB//hybG//torA//katE//cusB//ydhX//rbsR//nohA//gspL//fecB//fadE//rplS//rrlC//ssuD//glpF//infC//hcr//cusC//ygbA//ulaA//murP//cysC//abgT//sucB//caiE//hdeD//ynfK//ilvX//uidB//psiE//rrlC//nuoH//feaR//cra//rhaB//araE//purD//nikD//melB//alkA//ybjG//ilvD//marR//ybiT//znuB//gpmA//csgC//fdnI//astC//mdtA//hypD//malS//rstA//glgS//metJ//aceB//yjiY//galE//rstA//yqjI//citF//lldP//pyrC//ascF//phoP//rplC//caiE//csgG//nagB//qseC//argG//spy//hycD//hflX//ydbD//puuA//trpD//lacY//gspD//oxc//cstA//arfB//ygiA//envY//edd//yhiD//rplB//mntP//xdhA//feoB//patZ//rhaB//nupG//hdeD//mipA//chbG//tdcA//udp//yhfA//uidA//glpC//gspE//rplC//purD//araC//fepA//bioA//guaA//fadJ//idnK//ydfH//ahpC//ulaE//yiaO//fadD//dmsC//fumA//moeB//ccmD//gntK//feoC//gltW//glgP//dcuS//cysH//rseA//tdcB//ynfH//pheT//paaD//gltF//fldA//hofM//ydeN//gltD//speC//mpl//degP//ybdN//fepG//nrfF//rhaA//spf//cirA//rhaS//pheS//ebgC//glcD//yiaM//hemA//hyaC//raiA//yaeP//glpC//mntS//fepA//nohA//arcA//rmf//hyfB//gspO//ydeN//emrY//pstA//lacI//purL//mglA//hyaD//phnH//glcE//narI//leuE//metA//trxA//glpD//artP//adhE//malX//fau//nirD//spf//pta//ydhW//glgA//hyaE//ssuD//nuoM//rnlB//allC//nanE//ebgA//yhhY//guaA//acs//ascF//rutA//aroG//mltC//exbB//phoU//appX//pstS//rseB//chbB//hyfH//tsr//glmY//cyoB//ogt//carB//rplB//gpmA//cynT//atoB//rpoS//ldtC//nohA//tap//araF//icd//folE//ilvG_2//melA//qseC//mtlA//appC//phoA//casE//hyaE//glgS//uxaC//cyoC//malK//fis//citF//ilvL//mdh//rpsF//yjeF//yibN//hybB//yciW//aroA//argC//malQ//sgbE//rbsB//tauA//fecB//ulaA//entD//znuB//cyaA//caiC//nrdE//hyfB//gspD//fis//lacZ//metA//grcA//lsrG//fecC//mhpT//
