#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	srlB//lysA//ulaA//dcuS//
AlaS-L-alanine	rrfH//
AllS-allantoin	cspD//yegZ//uhpA//
AraC-L-arabinose	dcuR//ilvX//cysD//prs//cheW//oxc//hisQ//hyaA//metF//ebgA//ubiX//citG//glcG//rpoE//
ArcA-Phosphorylated	gntR//hofC//mtr//waaH//srlR//oppD//phoP//miaA//iraD//hyfR//ydeM//appY//oppB//gspE//agaW//alaU//livJ//hypA//livM//glcE//dpiB//malE//gdhA//hofB//phnN//dppF//rutC//atoD//idnK//phoE//glcC//tehA//ackA//glnG//nikE//nanS//cas1//dppA//malK//nanM//nikB//phoP//ompT//cynR//phoU//citF//acnA//araJ//rpoH//napG//rpsO//frc//moaD//kbl//hycD//hha//spf//entD//frdC//yfaE//hofM//abgB//gntX//trpD//gspM//speA//uvrA//ssuD//uidA//iscR//hflX//tauD//uhpT//mtlA//yaeQ//raiA//mglA//nrdF//hofC//nikC//sucA//malG//oppF//csgB//ubiA//melA//rpsF//hflD//iscS//pdhR//gabT//yhfA//idnT//acs//pdhR//rbsK//caiC//ryhB//entE//rplC//rrlD//ppiD//crl//rplB//aroG//yegH//prpC//ydeM//casA//astE//rrlB//galM//araF//waaH//rimP//qseB//gltV//metY//glpB//rrfC//nmpC//fepE//aroM//chbA//ycjX//sucD//glpX//glnD//gntX//lolB//aldA//guaA//garK//purF//yneM//cydA//ccmE//phoR//nuoC//nadC//uvrA//yccA//sbcD//caiB//yjcH//sgbU//rnlA//glnL//hyfF//abgT//hslJ//tomB//napH//mntP//nrfA//guaB//cysI//zraS//dcuC//cheA//feaB//aroL//glmY//srlB//phnG//caiE//trpC//phnP//ryhB//udp//ivbL//hybB//hha//fixA//purF//gspE//hdeD//
ArgP-L-arginine	alaV//lysC//galM//hyfI//emrY//tnaB//malM//rrlA//nrdH//flhD//mntS//hycD//hycB//cysJ//paaJ//ascB//
ArgR-L-arginine	malS//ptsI//zwf//srlA//metJ//prmC//ssuD//phnL//preT//yeiL//evgA//mltC//ccmE//kbaZ//manX//gspD//hflC//ydiU//tdcG//uxaB//frdC//lpd//ysgA//rrlA//hyfC//ydhV//cspE//cyoE//puuB//ydiU//gspD//nikB//narQ//xapA//araJ//ugpE//ydeJ//rbsR//malY//
AtoC-phosphorylated	hflC//dnaA//aroL//garK//
BaeR-Phosphorylated	trxA//malK//patZ//hycF//mdtA//deoB//atoE//cynT//
BirA-bio-5'-AMP	oxyR//rutC//nrdD//ychO//rnhB//
CRP-cAMP	ydeN//ulaE//gatB//gatB//argH//hypA//alaT//motA//cheY//rrfA//rpsR//treB//artJ//cysN//yiaJ//melR//amiB//fepE//tdcG//zwf//nuoH//fixA//fadL//sufA//rrfD//pgaD//mdtB//gatB//codB//chbG//rpmC//folE//hyfA//torC//trpL//yjjZ//malK//cspE//purA//glcD//bcsB//yeaR//hyaA//idnK//dusB//garR//marB//fhuC//lrp//creA//garR//zraP//oxc//ampE//cusC//argO//moeB//glpG//betB//nlpD//epd//fdnH//glpD//nrfA//aroA//rseC//srlA//cysH//patZ//trmD//hyaA//sdhA//glcA//glpR//crr//zraR//micF//sohB//xdhA//dusB//nusA//ygbA//cdd//feaR//yhjC//frdC//ydeO//casC//dmsA//malS//dmsA//metN//pgaA//ampD//malE//citG//pflB//puuC//yqjI//hofN//yedX//gdhA//cyoC//rutF//malY//metY//gadB//rimM//cheR//yfiP//dusB//atoA//hycA//sdhD//mtlA//lsrC//hisJ//cdd//nanT//aceF//crr//tauB//ydhT//tolC//rbsK//cspD//rrfC//gltU//bdcA//rplW//modA//feoB//aroP//lacI//yhcH//caiT//ybdN//cyoC//aroH//gcd//dcuC//avtA//trg//ydhV//hybG//cstA//exbB//uxaA//purA//glyA//ompT//yfiP//feoC//hyfI//argO//ilvB//aroP//yjjZ//tdcB//ulaB//pgaC//cpxA//mgrR//nuoH//gatA//aspA//evgS//ydeA//ybiT//malS//uxuR//ydeA//rdoA//metI//nrdD//hofB//gabT//fliZ//fur//hyaE//envY//umpH//hyaF//yjcH//puuA//tdcF//rutC//phoQ//napC//caiA//glyA//trpD//cas2//hycE//fhuF//uhpA//lolB//cyoE//yeiL//fecA//puuE//nrdB//ilvH//malG//hcr//ileV//rutD//paaC//alaS//fur//narQ//tap//dkgB//dapB//citX//napF//sohB//ynfF//nuoG//mutY//nadC//rnhB//rrsA//ascF//pta//nanK//cpxA//cbl//cysD//spy//hycE//mhpF//argP//pstC//dppA//ubiA//iscS//hemL//hycF//dps//bglG//cpdB//ydfH//hyfB//cydA//focA//speB//borD//atoE//rpoH//hupB//betI//aspA//yiaK//katG//yeaD//trxA//rplV//fecB//ulaE//hyfB//phnG//yjeV//agaW//cysH//lysP//ydeJ//dppC//nrfC//idnT//glcF//fiu//cysW//moaE//trmD//rpoS//gntP//aldB//moeB//hyfG//phoH//hyfR//caiT//amtB//trpB//tar//ubiG//sgbU//fhuB//ung//ptsH//hemA//icd//mtlR//yegZ//yqjI//csgB//borD//motB//tar//ompC//nuoF//phnF//murP//livK//nuoB//pgaD//uhpB//ispE//fixX//codA//feoB//serA//cysJ//pyrC//fadJ//aaeA//dsdX//glnK//acnA//uidA//nrfD//uxuR//glpA//folE//hyaD//treC//aldB//ung//rbsA//hybE//cspD//znuC//argC//arcZ//yciW//lacY//hybD//lysC//sucC//yjiY//fdnH//uxuR//entC//glyA//melB//ptsI//rpsC//garP//agaV//tehA//nrdF//puuE//dnaE//idnK//bdcA//bamE//sbcC//cpxA//casC//pncB//mzrA//fdnI//yhcH//fecE//araG//fhuE//ompR//speB//ampE//aspA//fixC//phnP//lyxK//trxA//borD//nanK//xylG//ssuC//lhgO//tam//ilvA//agaA//znuA//rplV//rrfC//speA//dps//abgB//atoB//rpmI//dctA//yfaE//aspC//metL//lpxB//rutA//cheA//rrlG//ydiU//tdh//zinT//cynX//dmsC//gntP//lsrC//oppA//agp//pyrC//rrsG//yqjH//lsrF//xylR//yjeV//nrfF//lacZ//rutA//yiaL//acrB//tauA//rhaB//yfaE//abgT//araF//rrfF//yegZ//mzrA//nuoK//frdA//ydhW//glrR//nuoE//sgbE//amn//cyoC//paaH//gutM//purL//glnL//tap//mglA//glgA//fepA//zraS//galE//fucK//raiA//citC//norR//ulaC//pagP//malM//umpH//nanS//atoA//qseC//rmf//cysH//galK//rimM//miaA//galK//hycF//glpD//ompC//ybfN//yiaL//amn//creC//yiaJ//araE//pheS//appX//torR//yfdV//mhpT//cysB//nrdH//adiC//sbcC//sucC//yeiB//bcsZ//yegZ//agaW//ynfG//bcsB//dadX//rplW//uxaC//aroF//preA//ulaB//recF//lpd//motA//araG//cydC//sdaA//moaC//ada//yegZ//yegZ//melB//rrfD//tpx//motA//argF//qseB//aaeR//trpB//gntU//glpK//pyrD//hybD//fliZ//yfeW//uxuR//hisP//acnB//artQ//sdaA//yfdV//ydhV//ompR//
