#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	exbD//crp//
Ada-Methylated_pos	araD//tsx//fis//mgtA//
AlaS-L-alanine_neg	ydhY//
AllS-allantoin_pos	murP//rrsE//tar//
AraC-L-arabinose_neg	priB//bioD//gatB//fumB//rbsC//ycdZ//rbsR//pstA//
AraC-L-arabinose_pos	malK//metJ//lhgO//rrfG//atoA//malG//paaB//csgD//hofO//paaJ//
ArcA-Phosphorylated_neg	metR//uhpA//nuoG//mtlD//frc//iraM//cynX//feoC//nrfC//galE//yedX//paaH//aceE//evgA//nrfG//manA//dppD//pheS//gntU//phnJ//yojI//oppF//bioB//ychH//araE//osmY//paaB//uxaC//ackA//hflC//cheR//yhjC//tdcF//mgtL//acnA//glpE//pdhR//hyfI//uraA//ilvE//phnI//hybD//nagA//atoA//cydD//fnr//cstA//livJ//ydeO//phoB//exuT//glgP//fimF//zraS//mhpR//yfeW//trpD//sdhC//dmsA//frdD//prpC//rutF//hlyE//cheZ//rybB//rrlG//chbA//guaA//rbsK//ssuE//metF//mntS//glgX//narG//argT//uxuA//glyA//gltW//ssuD//kbl//fixA//rbsA//rhaB//hyfD//purM//glpG//sohB//ogt//yfdV//glnA//rplW//lacA//creD//uof//nrfD//nanS//nadC//paaB//pyrD//csgB//garR//znuC//iscS//bamA//yecR//uraA//rutB//cyoE//prmC//aldB//cheW//trpE//abgB//chbC//hfq//aroM//galT//idnR//mhpC//codB//ccmA//ahpF//nikB//dppB//kbaZ//rplP//map//
ArcA-Phosphorylated_pos	metR//psd//tolC//araE//tadA//gcvP//rprA//uxuA//mhpC//aroG//icd//cheA//tadA//fumC//glcF//rpsI//gpmA//murP//tdcG//rplT//pstB//atoA//gdhA//rutA//ybdN//emrK//yfbR//phoH//zraP//tolC//csgG//glnL//cspD//rseA//malQ//codA//glmY//pgaA//malZ//xdhB//purE//phnD//fimD//nuoF//fadL//ydfH//nikC//bglG//pstB//envY//bcsC//trpC//metF//ilvN//mtlD//hybA//malZ//hyfH//
ArgP-L-arginine_neg	ynfK//
ArgP-L-arginine_pos	glpF//hyfR//cyaR//napA//fbaA//cysD//ampD//iscU//qseC//hycG//tdh//cysB//bamE//hyfR//oxc//
ArgR-L-arginine_neg	hycH//csgB//argO//bglG//nupG//pstB//fes//pheT//fabZ//fadJ//nrfE//fadJ//zraP//phnO//glpK//paaA//fdnI//yaeP//ldtB//nuoK//hemL//xdhC//fecR//moeA//zraS//phnO//baeS//waaH//napC//ykgO//yqjH//cyaA//xylA//rcnB//
ArgR-L-arginine_pos	csgF//lpd//tauB//glrR//paaB//
AtoC-phosphorylated_pos	yhcH//napA//tdcC//dcuS//
BaeR-Phosphorylated_pos	araC//fliA//glgP//mdh//dppA//fhlA//glmY//cadB//
BirA-bio-5'-AMP_neg	ilvN//rrfC//sucD//focB//argI//
CRP-cAMP_neg	rbsC//bglG//hdeD//yfaE//rpsO//hyaB//agaV//hypF//lpxD//srlD//agaV//cdd//ygbA//codA//abgB//argF//creA//aer//flhC//map//lsrC//napA//yiaJ//pnp//rplD//gspI//ynfH//fdhF//fliZ//galS//bcsC//emrK//yjcH//gspM//cusB//dcuR//ilvB//ansB//alaT//ydfH//nuoK//mcaS//ydhV//artP//livM//dsdX//napB//xapB//casB//nikB//pepT//rnlA//mzrA//argG//ftnA//cynT//pta//yhiD//rseC//hdeA//tolC//pgaC//lsrB//skp//mgrR//rseA//ansB//serA//gntU//qseC//fucK//ykgO//ascB//phnK//purR//nanS//cas1//ilvL//lhgO//fnr//ilvH//hyfC//mhpE//ychH//cynX//mdh//pflB//ysgA//mgtA//rplV//metY//betB//cyoA//guaB//ybdZ//bioD//argP//hydN//mdtA//ascF//gntK//rrfC//entF//yeaD//yeiB//ompT//sbcC//cpdB//nrfC//hflX//dnaE//acnA//cheZ//ykgR//fucP//yaeQ//rrfE//artJ//fucK//hofO//ulaF//efeU_1//rprA//adiC//hofC//pitB//ccmA//gutQ//araD//rplP//ccmG//purL//casD//
