#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fixX//lsrR//
Ada-Methylated_pos	glpA//allC//ubiG//yebE//
AlaS-L-alanine_neg	oxc//
AllS-allantoin_pos	arcA//entB//metI//
AraC-L-arabinose_neg	rrfD//baeR//nrfB//metF//rmf//iscS//melB//deoB//
AraC-L-arabinose_pos	modC//nuoG//fnr//tehA//polA//cspD//gabD//frdD//argE//nuoH//
ArcA-Phosphorylated_neg	oppA//gcvH//aroP//dpiB//dadA//hyfA//rrfD//yegR//metY//galM//ilvM//tap//iraD//araC//cirA//ugpC//ychH//glnA//hslJ//gatZ//argD//hydN//yqjI//exbD//purK//glcB//codB//pheS//aidB//dadX//ydfN//phnE_2//fimG//ulaC//dcuR//dcuB//hycD//dsdC//norV//fhlA//zwf//fecA//casC//cysW//glcG//crp//malM//mdtC//tnaC//marR//pdhR//gltF//ackA//hypC//pheM//ubiX//phnC//bcsA//livH//ysgA//pitA//gyrA//gatB//yqjA//fucP//hypF//miaA//envY//yciW//udp//narH//acrE//mgrR//cadB//xdhA//glnK//citC//hybE//fadD//tyrP//nikC//nusA//ndh//ydhY//marR//crr//znuA//nuoM//creA//thrV//chbC//nuoG//ssuC//flhC//ampD//dnaA//ptsH//malF//ugpB//prpE//bamE//chiP//lacI//paaK//kbl//cysN//fadB//mtlD//ccmE//nrdH//uxuA//edd//cusS//rpmI//aceB//yjjZ//dmsD//pgaA//malI//yfiP//ada//yiaJ//hha//nrfA//nrfC//cysD//ugpQ//
ArcA-Phosphorylated_pos	agp//gabP//ugpE//nupC//dctA//rnlA//hlyE//pitB//frdA//lhgO//cpdB//idnO//yjeF//fimH//malF//uidC//kbl//napD//purK//pgaA//yqjA//arfB//casC//puuB//nagB//bioA//mdtA//puuR//rrfC//ynfG//phoR//dcuA//rbsA//dusB//abgA//ydhU//citF//frdD//hdeB//ccmG//ugpB//hyfJ//fliA//yibN//ada//mgrB//yfaE//yegH//ivbL//trpB//osmC//ilvM//ydfN//nupC//treR//sucB//rpsC//cyoA//
ArgP-L-arginine_neg	phnE_1//
ArgP-L-arginine_pos	fimD//hisJ//cydC//bioD//pstB//mlc//codA//narK//tauA//fimG//fucK//mgrR//mdtA//ubiA//hyfG//
ArgR-L-arginine_neg	srlD//rnlA//fimD//fbaA//exbB//metH//ilvG_1//hisJ//hemL//argA//tadA//glcA//yeiL//rof//cysJ//thrS//phnN//yoaG//nlpD//cheA//cusF//ccmH//fdnI//narG//uraA//feaR//artI//hypF//gspH//ydhX//rrfD//mdtC//raiA//yegZ//
