#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rutE//narJ//
Ada-Methylated_pos	cpxA//hofN//dsdA//hcr//
AlaS-L-alanine_neg	pstB//
AllS-allantoin_pos	spf//nikE//moeB//
AraC-L-arabinose_neg	sucA//prmC//aroP//gadB//hybO//argT//fur//lsrD//
AraC-L-arabinose_pos	hybA//fhuB//ynfF//ygiB//gltV//rplS//focB//livK//motB//marR//
ArcA-Phosphorylated_neg	pagP//hisP//pheT//prfA//astA//yqjH//efeU_2//lacY//argR//cysG//frdC//fadI//lpxD//fepB//patZ//cyoB//rrlE//guaB//ugpA//ilvN//glpB//fimG//rutE//xylG//envZ//fimE//betB//araE//trpR//ssuB//argD//cvpA//rpsR//fadA//sufE//caiF//nrdF//phoA//marA//crl//yaiW//idnO//cynS//torR//hypE//hyfD//ompF//rplC//rrlE//betB//ydhU//soxS//trpC//fiu//moaC//pyrC//ugpQ//appX//alaT//ilvD//phoU//ugpE//nuoG//iscR//araH//uxaA//cynS//cysI//treC//dcuC//yedX//preA//hyaA//glnL//pnp//phnJ//csgA//hycG//metI//sdaA//glpB//prpC//speB//gcvH//abgT//tap//crr//aaeR//dsdA//sufB//mtlR//narK//cysB//phnM//yhjC//nrfD//hdeA//bamE//dcuC//appX//glpF//rhaT//hyfA//fimF//fldA//mhpE//udp//citF//fimG//chbC//ugpQ//hisJ//hypB//norR//glnB//hdeD//lolB//cra//idnD//ubiX//gspK//ampE//pncB//gapA//galE//gltW//gntK//
ArcA-Phosphorylated_pos	aspA//fhlA//yeaD//gspO//idnT//phoB//paaJ//yidQ//mtlR//aceE//nuoE//cydD//ileT//ndh//tap//ldtB//aceE//garR//phnM//rrfG//flhD//hha//srlD//glpT//trpD//hupB//csgA//nanS//lsrA//mdh//fadJ//nrfE//artQ//dppC//gspL//osmY//garK//metK//betI//tsaE//metC//fhuA//nikC//acrA//ydfN//pdhR//cusC//hdeB//micF//acnA//rutE//mlc//nuoG//cadB//hofP//lysC//rutC//glgA//
ArgP-L-arginine_neg	dsdX//
ArgP-L-arginine_pos	gcvT//hybG//aldB//betB//ubiG//ccmG//hemA//xapB//mutY//cysI//mtlA//folE//rcnB//rrsB//ccmF//
ArgR-L-arginine_neg	nuoK//ileU//ahpC//nanA//fau//hycE//zinT//ileU//phnK//serC//mhpB//nikR//sodA//cbl//nuoF//cysA//casE//galS//purF//cbl//appC//ilvN//dpiA//ydhX//mutY//rrlB//malT//rbfA//pck//ybiT//tdcE//lpd//cysW//thrV//
ArgR-L-arginine_pos	dgcZ//guaA//gltA//ycdZ//sdhD//
AtoC-phosphorylated_pos	yegZ//glgP//torD//rpmI//
