#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	nuoI//yrbL//
Ada-Methylated_pos	ydeA//ydeA//modA//lhgO//
AlaS-L-alanine_neg	rrsG//
AllS-allantoin_pos	rcnB//fhuE//hycA//
AraC-L-arabinose_neg	malI//rpsR//ulaA//nlpD//rhaS//hcp//exuT//rpsP//
AraC-L-arabinose_pos	hypF//tehB//emrY//ilvX//hyfE//moaC//citG//torD//hybG//ydhT//
ArcA-Phosphorylated_neg	slt//galK//fepC//argA//rhaT//rcnB//mglB//purA//csgD//oppC//iscR//cysD//fhuF//ilvN//mhpC//glpD//hyfE//qseC//malM//betB//fdnI//glpT//agp//hyfE//uvrA//gcd//cspD//metN//aidB//araD//alaS//livK//glpT//adiC//ppiD//acrF//exbD//cytR//uidC//ssuB//zinT//gcd//ileU//fecD//caiF//gltD//marB//ssuC//pitB//rplM//sbcD//nfuA//rprA//hyfA//hycH//gspO//puuD//phoE//dsbA//tsr//cpdB//gapA//tap//pstB//pyrD//artQ//sdhB//mdh//ilvL//proP//iscU//astB//puuA//efeU_2//nuoK//sufC//gapA//metA//cynR//ilvM//glpR//fnrS//ydhY//ugpB//moeB//phnG//feaR//phoE//rbsD//alaA//thrV//tyrB//cas2//hofB//ppiA//nrdG//betB//araG//artJ//feaB//dnaE//glmY//paaG//uidB//proP//ydeA//fhuA//pgaC//caiC//yaeP//glpF//ilvX//tdcC//pheM//mscM//ynfE//nirD//ycjF//betI//ulaD//hisQ//yoaC//sbcC//ivbL//torD//idnO//malT//
ArcA-Phosphorylated_pos	nmpC//ydhT//mepH//abgA//gatD//sbcC//dpiA//alkA//psd//ampE//rhaS//modB//hflX//ubiX//ptsI//yeaD//ccmG//oxc//hofM//hycC//tadA//borD//rpsP//ydhW//ugpA//nuoK//cyoC//kbl//fecI//mhpE//ccmH//tcyJ//gspO//caiB//hyfH//hybG//ahpC//hupA//ubiX//purB//gltD//yaeP//hpt//norV//fadH//ebgC//yhcH//sufD//rplP//amiB//acnB//hisJ//yiaJ//tyrR//entE//ydhT//ilvA//lolB//
ArgP-L-arginine_neg	atoA//
ArgP-L-arginine_pos	ubiG//gltB//glgP//araH//gatA//pheM//hyaD//hyfA//dmsB//fumA//ycjX//fdnI//malS//glpR//mhpT//
ArgR-L-arginine_neg	nmpC//csiE//dsbA//rplV//nanA//purA//pgaD//dcuD//phnP//bglG//phnC//allE//phnE_1//ykgR//modC//prpB//ilvC//rrfB//lldD//fbaA//nuoN//ilvA//purH//hypC//fadH//ssuC//rpsQ//malI//tauD//fadH//tehB//uhpT//araJ//aroA//
