#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	casD//thrV//
Ada-Methylated_pos	glpD//ynfK//fdnH//hycG//
AlaS-L-alanine_neg	nlpD//
AllS-allantoin_pos	metR//dadA//ccmC//
AraC-L-arabinose_neg	glnD//hydN//lsrD//glnD//sohB//crl//cstA//prpD//
AraC-L-arabinose_pos	cysJ//fecE//fadB//csgB//xapA//phnJ//nrfD//cyaR//rutB//zraS//
ArcA-Phosphorylated_neg	cirA//rrlB//mgtL//gntP//hfq//gnd//ynfF//agaV//citX//dnaN//malY//cheZ//sodB//glrR//fabZ//tdcA//fnr//xylA//aroG//thrS//fixA//argA//carA//glpB//ulaC//rrfG//bhsA//tap//hofC//puuC//pgaA//tehB//fucA//ydhV//acnA//caiD//lacI//pyrD//metN//lrp//hupA//frdC//fis//yqjA//edd//argB//puuD//cysJ//ivbL//hybG//gapA//malM//glpQ//rpmI//fadH//dcuS//prpC//hycI//rrfE//amtB//raiA//zraP//ubiC//hyfI//trpL//pagP//ytfE//yfiP//mlc//nanE//sbcD//allE//fhlA//glpA//cydC//nikD//malS//tehA//tdcA//gltT//torD//dusB//csgC//ompW//cynR//paaA//trpD//ygbA//glgB//mhpC//secB//yjeF//artM//yoaG//thrV//ompF//cadC//trxA//galP//srlE//fadE//sufS//ung//mpl//ydeM//glpG//aroF//torA//yeiL//fliA//nagE//efeU_2//rhaS//cheW//chbB//entC//dctA//pdeF//hisJ//atoA//oppB//lysU//tdcB//eda//hdeB//yhjA//tehA//
ArcA-Phosphorylated_pos	mhpB//manA//malF//lysO//lysP//nadC//artQ//malS//fecR//metL//ydfN//nuoN//gcvT//livH//evgA//ilvI//tnaA//hdeA//dadA//metN//gatC//glmY//pheM//fhuE//ilvM//argH//araC//hybC//mhpT//dusB//entE//araA//srlB//gcd//hupB//iscR//fis//truB//araD//feaB//pyrC//hyfR//fhuF//upp//argF//fimI//glpT//evgS//fepB//prpC//ilvM//leuE//nagA//cynT//uidC//adhE//yjeV//bioF//
ArgP-L-arginine_neg	agaA//
ArgP-L-arginine_pos	ychO//bioC//lsrR//bglG//xylA//entC//casC//fepG//casA//gspC//cheR//arfB//narH//rrfB//nrfF//
ArgR-L-arginine_neg	mhpT//acrF//bglB//yoaG//paaF//hyaF//argE//aroM//ynfK//deoA//ung//lpxA//moaB//azuC//yaiW//mgrR//yfdX//mgtA//carB//cpdB//dppA//cysW//dcuD//pitA//ychH//argO//lldD//grxD//citE//envY//kbl//dppD//purF//phoA//
ArgR-L-arginine_pos	ybiT//bglF//truB//nanE//fimE//
AtoC-phosphorylated_pos	prpD//srlB//rpsC//yjiY//
BaeR-Phosphorylated_pos	malP//pncB//rstB//dapB//rutB//ssuE//fdnH//glpF//
BirA-bio-5'-AMP_neg	dnaA//rybB//cysB//prpB//xylA//
