#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	infC//cysK//
Ada-Methylated_pos	malT//rplS//hybE//ykgR//
AlaS-L-alanine_neg	cysC//
AllS-allantoin_pos	torR//ydeN//ptsI//
AraC-L-arabinose_neg	malS//lldR//uxuA//ychH//lhgO//ssuB//astA//ydhX//
AraC-L-arabinose_pos	caiF//rrsG//glpG//yibN//napB//yhcH//sbmC//yeaE//rpsR//cyaA//
ArcA-Phosphorylated_neg	ssuC//hmp//aceF//fabZ//malZ//rpoS//appC//livK//puuA//hofB//glpK//rrfB//slyB//sufA//pnp//entC//pdeF//fhuB//malS//alaA//dmsC//ilvG_2//casC//rseC//borD//nikB//yeiP//cysA//motB//cheZ//pheM//sohB//mtlD//sufB//tfaQ//hdeD//iscA//gadC//gyrA//rpsI//phoU//prfA//purK//ygbA//mutL//preT//hupB//araA//napH//casA//grpE//dapD//gspD//rpsS//hypA//abgB//ileT//folE//cheY//artP//fecB//entD//pitA//cysJ//pheM//mtlR//dnaN//entF//casB//nagB//rrlD//tauC//hyfA//trpD//slt//rimP//murP//nikC//dctA//mglC//frdD//sdhB//rseC//purF//iclR//rbsK//nuoG//hyaE//napB//idnO//puuB//rplT//tnaB//sodA//nagC//ubiA//metC//adiC//aldB//uidA//astE//feoC//mntP//araJ//glpX//entS//hyfI//abgT//hyaD//trpE//bamE//speA//fepE//focA//paaE//hofC//glgX//fadB//prpB//speA//ydhT//tsx//cydC//fimF//metY//yegR//xylG//
ArcA-Phosphorylated_pos	glmY//yaeP//hupA//lacZ//crl//udp//modC//malG//dmsC//gspE//paaG//lolB//metF//casB//hemL//hofN//trpR//bioA//creD//bioC//lsrF//pck//gspD//slt//lpd//tdcF//truB//purK//evgA//mglA//hofN//hflD//hyfD//nikC//paaJ//yqjA//hypE//ilvY//uof//zntA//rpoH//hyaA//glgX//paaE//yeiB//yecR//phnP//rcnB//xylB//argE//speC//yjeF//ydiU//ydhU//cyaA//glpG//hdeD//rcnA//
ArgP-L-arginine_neg	hdeD//
ArgP-L-arginine_pos	fliA//ung//aspA//ompF//agaW//betB//hyfR//norV//lhgO//phnL//cheA//puuC//fucO//yfbR//rbsA//
ArgR-L-arginine_neg	cysC//artQ//astB//srlD//lysC//hypF//ompF//tyrB//ompW//yeiP//mtlR//pgaA//tauC//lldR//xdhC//gadB//fdhF//rnhB//rplV//dcuB//xylR//ilvN//chbR//ccmB//caiC//rplI//rpmI//phnN//fadE//oxc//glnL//caiF//yjiY//oxyR//
ArgR-L-arginine_pos	aceB//melR//putP//amiB//pagP//
AtoC-phosphorylated_pos	paaG//fiu//fis//carB//
BaeR-Phosphorylated_pos	cysW//rrlE//metC//pheM//gltB//aceA//tfaQ//gspM//
BirA-bio-5'-AMP_neg	fhuD//pdhR//pyrC//artP//moeB//
