#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	hemL//cysU//
Ada-Methylated_pos	cra//rpsJ//glgB//gatZ//
AlaS-L-alanine_neg	dsdA//
AllS-allantoin_pos	lsrR//livF//sbmC//
AraC-L-arabinose_neg	dcuC//grxC//iclR//malE//ssrS//gspF//cysN//uxaC//
AraC-L-arabinose_pos	soxR//melB//livF//fecA//yqjA//fucA//hemA//sbcC//sufS//ulaB//
ArcA-Phosphorylated_neg	amtB//fepD//melB//mhpB//mltC//rrlH//norW//fepE//oppB//lpxD//bglF//folA//ugpC//gnd//ftnA//lsrD//motA//grxC//fepE//gspI//ulaC//napH//dcuA//pepT//nrdB//uhpB//oppC//hisM//phnL//crp//nikA//sufA//ilvH//narH//rpsF//glpD//nuoH//cysU//yhjA//yqjA//rplC//efeU_2//ilvM//entS//prpR//rrlD//ubiX//glmY//dadA//lrp//ydhY//exbB//lpxB//glcF//fucK//oppC//glnK//feoA//phoA//nlpD//aer//hflC//cysK//alkB//ydeA//oxc//nanE//caiE//bacA//yeaD//rplI//grpE//cysG//ptsG//sucB//cysU//entF//ascF//glnB//rrlA//glgB//glnL//yhhY//katE//cheZ//ogt//idnD//glcD//glmY//mlc//cysA//fecC//yeaD//pck//lacZ//aroL//acs//uhpT//ssuC//artM//nrdI//narK//nikC//csgG//deoC//cheY//ugpQ//ydeO//fucP//rpsQ//alkB//gcvT//hupB//uxaA//rpsS//entC//hycI//iscR//fimF//livF//cydD//tdcA//yjiY//ulaD//gltA//caiB//ptsI//
ArcA-Phosphorylated_pos	mhpD//zraS//yeiL//tauD//creA//livH//mgrB//moaB//yjcH//fhuD//dapD//phnI//trpB//argD//tomB//flhD//napG//ompF//mtlD//metN//caiC//argB//modC//ygeH//avtA//xylG//csgB//gspC//moaD//nuoN//yegH//cdd//feoB//udp//trpL//cvpA//nanT//cheZ//prpD//sufB//skp//uhpB//rutA//sdhD//betI//serC//hemA//hycI//ispE//bioD//ihfA//gntX//rrlA//cynR//glcF//malX//pncB//rpmC//
ArgP-L-arginine_neg	moaD//
ArgP-L-arginine_pos	nac//lsrF//fepG//cusS//ompW//hyaB//cyoB//malK//bcsA//glpQ//csgC//grpE//glgS//fepD//tnaC//
ArgR-L-arginine_neg	alaU//bglG//rrfF//hha//nrdF//alkB//chiP//moaD//yeiW//yjeF//xapB//yoaC//cyoA//pyrC//osmY//astD//icd//focB//polA//iscR//gspD//ldtB//soxR//fumA//ilvB//osmY//nrfC//caiB//bamE//mntS//feaR//rpoH//nagE//livJ//
ArgR-L-arginine_pos	tnaA//fadH//nuoM//ssuA//pdhR//
AtoC-phosphorylated_pos	entF//gcvH//lpxD//yiaJ//
BaeR-Phosphorylated_pos	livM//uhpA//malQ//glpR//talA//galK//gspG//yqjI//
BirA-bio-5'-AMP_neg	acrA//pstS//xapA//focA//cusC//
CRP-cAMP_neg	prmC//ydhW//fabZ//manA//cheR//exbD//nrfG//pdhR//yhiD//rrfB//fes//yggX//nrdD//ygbA//caiE//malE//glnK//prs//gabD//yeiW//phoB//pstC//tyrR//acrE//bcsZ//metN//lpxA//cysM//glpB//bglG//fepG//argH//rrfE//hofO//fdnH//mdtA//gatC//bamA//rmf//ychO//metI//sbmC//ynfE//zntA//fecD//nfuA//glcD//cyoB//fdnI//cas2//emrY//rplT//araA//hybF//bacA//gapA//pstS//mpl//hflC//ubiG//phnN//cytR//ompT//hypC//amtB//ogt//fiu//serA//uhpC//chbG//safA//pheM//casB//ydhV//argA//modA//astD//pheS//ihfA//ydeA//soxR//metC//uidA//casD//ybjG//alkA//lysO//napH//katE//sroD//fliZ//hycG//rseC//feaR//betA//glgS//rbsA//fadB//aceA//ygiC//melB//rpsS//envZ//lysA//artQ//gatC//puuB//cynS//metA//ulaE//emrK//mglC//xylA//rimP//sucA//motA//dcuD//ycdZ//prmC//phoP//hypD//cysM//cadA//ykgM//ynfE//cueO//csiE//cspD//adhE//fucP//lolB//lsrG//bioA//
CRP-cAMP_pos	ssuC//ubiA//pta//gutM//malS//abgB//ccmH//kbaZ//lysO//tdcE//metQ//thrS//gatC//sdhA//glpE//phnF//astC//prpB//acrD//rbsR//ygeA//ndh//rrlG//acrA//hdeB//ynfH//yhjC//proP//moaB//osmC//yqjI//udp//pstS//csgD//csgE//codA//dkgB//evgA//ugpB//csgB//dppA//cdd//ndh//rpsQ//moaD//stpA//upp//nrfE//fdnH//evgA//yeiB//ydhW//ssuD//hisP//nikB//tsgA//nrdF//oppA//araG//fiu//spf//fimE//entA//purL//cyoC//astB//hmp//tsx//cysG//ydhX//gspG//fes//nuoM//melB//dcuA//trpD//zinT//glnG//uvrA//truB//mtlA//astB//tehB//ilvD//metN//flhC//znuC//xapA//ilvA//ptsH//mhpR//paaD//mzrA//lsrR//iscU//uof//baeS//grxD//ptsI//nrfC//crp//paaG//hisQ//mhpT//marR//metY//cirA//ssuC//ulaA//gspE//fes//fhuA//acrD//glpR//phoB//rnpB//lysC//ahpF//ilvH//gspD//gadB//envZ//fumA//gspK//tadA//argA//rnlA//aroL//garL//ogt//trpC//rbsB//ompX//cusS//rplD//rmf//livK//marA//caiA//rhaA//ssuD//puuR//marB//rnpB//narX//arcA//cheY//ugpA//malI//ptsH//codB//thrV//znuA//paaG//exuT//malG//dpiA//bcsB//znuA//dapD//phnJ//fadD//ampD//araG//frdC//fes//acnA//nuoI//yhjC//mhpT//sdhA//puuD//ubiA//ydeO//mgtA//cyoC//fadB//garR//osmC//mdtC//fldA//tsaE//nrfG//csiE//ileU//atoA//livM//norW//yaeQ//fucR//fdnI//tam//alkA//rutB//envY//nusA//argH//fdnH//rrsH//deoD//ileV//dmsD//hcr//fucI//uof//nikE//sdhB//gatD//cysB//srlB//tyrB//dctA//mhpD//fepE//ascF//rrlC//rbfA//ccmB//rrsC//ydeN//appC//fdnG//nupG//sucC//hybE//infB//dppB//xylR//rrsA//gapA//aspA//cyoD//adiC//lldR//marR//oxyR//idnR//araF//cytR//yfeW//nrdE//rpsC//ileV//metJ//creA//ilvX//hyfG//rseB//argP//gltT//abgA//rprA//cheB//dadX//nagC//talA//ompX//hofO//acrD//ygbA//malZ//nuoK//bioC//oppB//actP//zraP//fucU//tyrB//rhaT//nfuA//frdA//mipA//malZ//dadA//cas1//idnD//aceA//nanM//cspE//fucR//nanK//bglB//aceF//ycjF//mepH//comR//uxuA//nanA//glcF//rbsK//ydfH//gutQ//ppiA//mscM//phnD//acrF//bcsZ//lpxB//glpF//ychO//hypF//yhjA//cysM//hycA//baeS//metK//fliZ//ydhX//tehA//adhE//ccmB//fhuB//yrbL//aldA//malM//betB//mgrR//gcvH//nrdD//glgX//modB//bamA//ptsI//mutL//galP//serA//tdh//astD//edd//srlA//xapA//galP//ygeH//uhpC//fhuF//dppA//nikE//cpxR//ydhV//xylB//caiB//fumA//speC//hdeA//garR//fadA//mutY//glnB//ynfG//fepE//grpE//ackA//torD//rpsC//ilvA//fhuA//ugpB//mhpD//crl//hofN//rrfE//allC//mutL//narK//aceF//preT//gcd//truB//cysC//hupA//rimM//rbsC//nuoJ//cyoA//tdcF//tdcC//rutF//rpsO//purD//uxuA//gspH//entE//xseA//nagB//infC//yfdX//entB//fadD//fecI//ilvN//citC//rplP//gatD//fldA//fbaA//puuR//atoE//lsrR//yhcH//zraS//rnlB//nanE//gltF//lldD//guaB//paaJ//nuoA//uidC//alaV//rpoH//hycG//fliZ//hcp//prs//rplC//nadC//argH//cas2//yegR//cadB//casD//tdcG//iraD//rutG//gspG//gatD//rrfE//ugpE//sbcC//
ChbR-Monoacetylchitobiose-6P_neg	malS//nadC//cusR//ydfN//rseB//zntA//
ChbR-Monoacetylchitobiose-6P_pos	ompT//hyaF//treB//napC//ulaC//hyfC//
CpxR-Phosphorylated_neg	avtA//norW//cheA//oppF//betB//rplW//rplS//cheZ//hmp//rnlA//narH//modB//prfA//preA//amtB//dcuB//araC//phnG//torD//csgD//folA//aaeR//iraD//azuC//
CpxR-Phosphorylated_pos	rrlE//prpE//hydN//argT//mtlR//appY//acrF//pnp//ilvA//rhaS//rstA//dsdA//livH//argF//moaD//lrp//ugpB//ilvN//rplC//ilvB//rseC//ydeA//fimD//prfA//casB//aroH//yeiB//aspC//aroM//ada//acnB//serC//rplI//fadI//galK//cheW//casA//tsgA//norV//pgpC//phnE_1//ftnA//rbsD//cheZ//gabT//
CreB-Phosphorylated_neg	infC//malZ//tdcD//
CreB-Phosphorylated_pos	fecE//hofB//fdhF//hyaE//sufB//alkA//
CueR-Ag_neg	mhpR//paaF//ilvN//dsdC//rpsF//
CueR-Ag_pos	trpC//fadA//
CueR-Cu+_neg	ilvM//fadA//cheZ//fhlA//phoB//
CueR-Cu+_pos	fadH//aldB//
CuerR-Au_neg	prmC//ompC//malF//lsrK//tauD//
CuerR-Au_pos	metA//secB//
CusR-Pasp_pos	glpT//glpG//napA//ivbL//gcvH//yeiP//rutB//znuB//uof//artQ//csiE//abgA//
CynR-Cyanate_neg	artI//
CynR-Cyanate_pos	rbfA//narL//purF//
