#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ftsK//yhjX//
AcrR	copA//cyoD//evgS//ftsQ//nfuA//phnL//cbl//yjbF//ynfF//aslB//dinB//
Ada	ynfG//moaC//gspD//chbC//
AdiY	rutC//fhuA//adiA//treB//uidB//edd//ubiX//sra//
AgaR	pheS//narJ//gutQ//osmB//trpR//paaJ//dmsA//yegR//hypD//oppD//uxuA//
AidB	dcuR//
AlaS	trxC//
AllR	paaZ//rpiR//fliJ//galE//deoB//udp//ygaC//fucP//dsdC//
AllS	wecC//arsR//gltJ//
AlsR	fiu//waaH//sucD//yjhB//trpD//glgA//
AppY	ybhS//ynbD//ppdC//gatD//purL//dhaM//pstA//uvrD//arsR//rffM//
AraC	nrfC//yeaE//gdhA//mtlD//wzb//skp//mhpE//fliZ//lsrF//glpX//dctA//ygaC//nikB//mraY//
ArgP	acrR//cynX//gspH//gadB//fdhF//recF//yqaE//fucO//lhgO//rbsR//purL//tehB//aceK//epd//
ArgR	metB//fucK//ygeA//yhiD//lsrF//glyA//yeaG//sgrR//appB//cysJ//narI//pgpC//araA//dcuB//lon//sgrS//thiP//idnO//iscR//accA//nimR//rstB//lysR//oppA//alkB//lacA//gudX//hypB//phnC//trxC//ydiU//acrA//rhaT//rseC//phoE//tnaA//yccJ//sucB//
ArsR	ydcU//rseA//mdtD//
AscG	galE//rpmA//yagK//puuE//fruK//
AsnC	ung//pstA//phoQ//rpmI//
AtoC	nuoG//rffH//pstB//csgE//
BaeR	agaA//phnG//katE//sucA//rutC//rhaT//fliI//ubiA//
BasR	sucB//fecB//ulaE//tsgA//moaE//potI//yjhB//rcsA//asnB//nac//omrB//xapB//hdeB//
BetI	rbsB//acnA//pfkA//mtr//
BirA	fbaB//dsdA//zraP//bamE//fepC//
BluR	zraS//phnD//gltJ//gadA//
BolA	pdeL//yafO//
CadC	wcaB//ycjG//gatB//
CaiF	cysK//cheW//hmp//fimB//nanE//dnaA//hyfB//hypF//moaA//paaI//
