#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	araD//flgI//
AcrR	sbcC//ydfW//gatA//dmsA//emrY//infC//moeA//gatB//ubiX//lacY//patD//
Ada	eda//gltK//mazF//leuB//
AdiY	rseC//paaC//znuB//astB//fhuE//rcnR//feoA//wzxE//
AgaR	eda//hyaC//sgrT//nagA//dinI//nuoK//fhuD//katE//purB//fruB//katE//
AidB	trpD//
AlaS	lolA//
AllR	entE//ynbA//ssrS//recA//fliD//dinJ//moaB//ndh//lpxD//
AllS	mepH//rutA//ydeO//
AlsR	ugpA//lsrR//rpsO//wecB//frdA//citC//
AppY	yeiL//ampC//fadB//umuC//entC//mnmG//psiF//xapB//recC//ygbK//
AraC	mcbA//thiQ//gudP//dmsD//hybA//acrA//phnL//hycG//yhjX//metQ//accD//fliT//phnF//caiB//
ArgP	gcvB//kbaY//hcaD//fucK//cspE//sgbH//ssrS//murG//rpoD//pqiA//sufB//sufA//fliK//fabA//
ArgR	gspC//psiF//yidL//ldtC//araD//astA//dctA//nuoA//gpmM//evgS//fumB//mlc//ddpF//sufC//fadR//phnM//frc//exuR//sufE//flgI//tsx//nuoC//gadY//slyB//cydA//crl//sdhC//manY//fliF//napG//ddpX//bglJ//yeaD//mlc//ycgR//glxR//hisJ//gudD//
ArsR	yaiW//higB//ddpD//
AscG	cusR//ulaA//mltF//ychF//baeR//
AsnC	glpA//mhpA//fecC//purN//
AtoC	sufE//eda//asnC//cueO//
BaeR	yidL//tynA//nusA//ihfA//waaY//gspI//yjbH//yhdX//
BasR	csiD//pgaB//iscU//mltF//marA//cyoB//nuoL//yfbR//ompT//entF//fabB//emrK//mlc//
BetI	nagC//hyfF//chbA//purF//
BirA	ihfA//ydfE//yhjX//trpL//asnC//
BluR	rhaD//pspE//pepA//ruvA//
BolA	cydD//hyaE//
CadC	moaC//yhdY//yedX//
CaiF	ytfE//ssuE//moeA//glgA//uidR//cadC//paaY//gspH//fliI//fhuB//
Cbl	ynbA//lgoR//ydbK//alaS//nikB//frc//nrfB//asnA//metL//
CdaR	oppD//flgI//potH//uxuA//nimT//agaI//alkB//nikA//katE//paaZ//
CecR	hcaF//serA//iraM//idnR//lpd//
ChbR	rplT//psiE//caiT//infB//pspB//fdnI//
ComR	mpaA//
CpxR	mipA//tdcC//galK//flgN//glmY//phnK//betB//yiaO//nuoB//mscM//fepA//gcvA//nmpC//nuoJ//iscA//feoA//ttdT//acrA//recX//ccmC//napG//puuE//ulaD//mgrB//bglG//yoaG//yhjX//glmS//purK//kdpC//metJ//fliD//yoeB//oppF//gspE//allD//cheA//nrdA//bioB//araD//agaR//zinT//ascB//phnE_2//mntH//fecD//rhaT//pflB//gadF//cydA//ttdB//sbcC//rbsK//gspI//ugpE//pgk//xapA//metF//arsR//dicC//nikE//phnE_2//recN//erpA//argA//fadA//alsC//cbl//lsrF//napC//
Cra	stpA//pdhR//artI//cydB//pheM//lgoR//cecR//agaD//eda//ymiA//dsdA//gspD//tfaQ//patD//glgB//nagE//hycG//hybD//sufC//glnD//cysP//mdtD//dcuB//araE//lsrR//yibQ//rybA//rhaD//aceF//phnO//dmsB//ptrA//ybjG//fabD//cas2//gatB//cynX//gadY//rutG//potG//glmS//fucP//sodB//nikR//fepA//ydhY//nuoN//fecC//cusR//gutQ//tam//fliR//paaF//fdnI//ydjM//rseC//yhiD//bglB//amtB//lacZ//chiP//sdhB//yqjI//soxS//oxc//thrS//nuoC//nemA//csgB//yjeV//tolC//ilvY//trxC//ugpC//sufE//mdtA//tam//ada//rarA//
CreB	fadB//ibaG//nfo//entD//appY//
CsgD	aslB//fecI//ulaD//metB//mraZ//yafO//rcnB//fixA//arsR//ybdZ//ybhG//norV//yeaE//yfiR//feoB//oxyR//obgE//ssuC//recN//yeaE//cpxP//oppF//yncE//fepG//uvrB//nrfE//motA//allC//
CsiR	asnB//hycF//nadB//fbaA//yfdE//
CspA	malF//mgrB//
CueR	melB//mdtF//tonB//relA//degP//tam//dinD//
CusR	hyaB//ychF//yidQ//yfaE//nanK//mngA//rob//fixC//hipB//tomB//yiaJ//tehA//
CynR	ppiA//lysC//arsR//leuA//
CysB	ybhG//gadB//purN//ydeM//micF//prpD//yafP//tsx//lpd//aceE//fabD//rfe//mhpC//lpxC//rimP//lysP//hybF//nrdE//malS//rybB//rnpB//melA//fabI//araH//ycjY//ttdB//ftsI//bolA//yiaK//pdeH//pspD//kbaZ//
CytR	molR_1//deoC//narJ//paaE//ppdC//modB//caiF//nanT//creD//prpE//uspA//ybhS//mgrR//
Dan	lsrD//hyfE//ssuB//gltL//
