#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ulaB//nagE//
AcrR	yciG//yjbF//galS//fabH//fliS//uvrD//dmsB//garD//tpiA//ompT//envC//
Ada	aslB//yoaC//aslB//ybaS//
AdiY	mazG//nikR//alaC//glnA//lsrR//fepD//galP//sroD//
AgaR	rimP//nlpA//nfsB//ymgC//rimK//isrC//lrp//malY//moaA//yagK//fepA//
AidB	ftsA//
AlaS	mglB//
AllR	rhaR//motB//modB//glnG//dpiB//ddpA//ascF//nrdA//frc//
AllS	rnlB//malE//gloA//
AlsR	yqjH//lamB//metJ//lsrC//mngA//deoA//
AppY	nikA//pstS//cspE//yiiS//napD//poxB//uvrB//ruvB//focA//yciG//
AraC	mtlA//yiaO//uidR//ryhB//argR//pepA//entC//rbsK//ydiU//gspO//hisQ//thrS//aroL//rpoH//
ArgP	cheA//mdtF//cho//tktB//argB//htpG//mhpB//slyB//fumC//caiC//ycjF//ebgC//pheS//bglG//
ArgR	fepG//thiP//lsrK//mtlD//glpT//cirA//gadF//gadW//hycG//aroG//dinD//nagE//argA//dpiB//carB//gpmM//argP//hyfG//tyrA//hcaD//lyxK//gntT//cvpA//moaD//folA//paaZ//atoD//cspI//bdm//puuR//fecR//omrB//wecC//fimB//glcF//glcD//yebG//add//
ArsR	pspE//yegR//alkB//
AscG	aroL//mazE//gabD//cysW//lrhA//
AsnC	gltI//nikD//alsE//chbB//
AtoC	sufB//sdhD//lolA//pgaB//
BaeR	prpE//dkgA//cysM//fliM//nuoE//galE//icd//sucA//
BasR	uvrC//rseA//narI//phnF//fixA//gatZ//fiu//gfcA//nemR//pgi//phr//purL//grcA//
BetI	hdeA//gadF//paaF//yjjZ//
BirA	hycG//leuL//paaE//betT//soxS//
BluR	ftnA//pgk//cysH//ppdA//
BolA	malZ//hdeB//
CadC	rtcA//yciF//prs//
CaiF	gadC//iraP//norW//rbfA//araH//pstA//ompW//rnlB//rbfA//fimB//
Cbl	lldD//oppB//yqjI//tyrB//dhaK//dapD//recX//pspG//lsrB//
CdaR	leuA//ydhW//uidA//fpr//bhsA//fadR//gspC//gspH//fadJ//puuE//
CecR	rnlB//fes//ydcS//pheT//glnQ//
ChbR	ygaC//nanS//alaC//mprA//garP//yiaM//
ComR	idnR//
CpxR	yqhD//atoE//cas2//sucD//sgrR//gspM//entC//hemH//sgbE//spy//nikR//mtlD//ulaC//nanA//aceF//fliI//cspE//napC//sroA//uxaC//ebgA//ebgA//rpoS//yhjX//aslB//artM//dcuR//exbB//uhpT//ptrA//aceF//nfsA//mhpT//mqsA//mlc//hemL//cadA//arsR//hypF//sroC//casA//waaH//fecR//ddpA//flgE//fecE//malM//glnG//dps//nirD//adhE//ampC//hycB//yeaD//lacY//nagE//fliC//chbC//mpl//yciE//mdtB//yjhC//hypA//pheS//ompF//argB//fliS//sufB//fumC//fliE//
Cra	argA//citD//ycdZ//cadA//hcaB//yedX//yiaJ//gntT//puuE//cadB//lsrA//astB//chbR//higB//yjeV//infB//sbcC//edd//napH//recD//ybaS//pheM//arsB//tcyJ//flgB//yjbE//nuoK//purH//tdcE//nmpC//artJ//nac//tnaB//glcA//emrA//phnL//pqiB//rplU//puuD//ynbB//fliP//yjiY//ydeN//phnM//dapD//emrY//paaF//moaD//soxR//glgP//uxaB//argG//intQ//ygbA//fliM//fliC//gcvH//cpxQ//ugpQ//cyoD//phoR//zraR//rcnR//murR//torC//oppA//agaC//ycgZ//iscA//ccmD//pyrD//phnP//yhbE//hybO//mhpD//ydcV//hyfC//fruA//ybhL//
CreB	cydC//hybC//ubiA//hemL//narK//
CsgD	ubiX//ccmA//fumB//araF//glcD//yecR//dsbC//hemL//casC//fliN//aidB//wzzE//rcnB//sodA//ubiA//rprA//hyfI//nuoJ//paaI//ogt//ydfD//yciG//flgD//psd//fadJ//ddpB//kdpF//moaE//
CsiR	lpxC//ybjG//treB//gadF//rnlA//
CspA	puuA//ybfN//
CueR	paaI//focA//cheA//torR//deoC//flgC//cpxQ//
CusR	fruK//slp//znuC//ulaC//fabD//fabH//lamB//napA//nrdE//lsrC//ubiA//argT//
CynR	ttdR//fliT//ugpE//sdhC//
CysB	cydB//gatZ//sucC//argR//tnaC//frdD//fhlA//putA//cspI//higB//lrhA//uof//feoA//ynfE//phnN//gadA//gcvB//pitB//yebE//yqhD//psiE//yibQ//oppA//garD//ulaA//rimP//acrZ//mipA//bioD//gadB//frc//norR//
CytR	mpl//glgC//edd//fhuB//creC//yhiD//puuB//ppc//glgP//ynfF//zinT//ydeN//nikD//
Dan	gntP//carA//mazG//mprA//
DcuR	kdpB//nirB//phoP//ssuC//treB//sbmA//ccmC//ynfF//lrhA//
DeoR	lsrF//mazE//sbcC//guaB//narG//relA//
DhaR	nikA//fimE//puuD//ccmB//
DicA	flhB//phnJ//yagK//tdcA//rhaR//malY//metQ//emrB//
DinJ-YafQ	fhuC//gadF//znuA//
DnaA	treB//recB//cytR//rclC//recD//ybaT//rutE//hypD//nikC//ccmA//ftsK//setA//
DpiA	fliS//fecE//allE//glyA//hcaD//gadW//tnaB//dgcZ//ompN//wza//trpC//
DsdC	yeaH//ymjC//inaA//
EbgR	mhpE//murP//
EnvR	dinQ//alsE//
EnvY	moeB//sroA//
EvgA	yafQ//cspD//frdA//sbcC//rtcB//ddpD//gapA//gspK//atoD//inaA//pck//appY//puuR//rutR//hcaR//leuC//galE//puuE//rffH//
ExuR	dinF//gatY//nimT//puuP//cpxQ//lamB//glxR//dapB//yneM//
FabR	yafO//accD//
FadR	araA//cadA//leuO//appX//phnJ//tnaB//pstC//flgA//hslJ//arsB//gadW//ynjI//acnA//napC//yhjX//gntU//murE//uidB//gpmM//hyfF//mntH//agaC//dpiA//
FeaR	polA//allS//
FhlA	fixB//hisP//narX//fixB//ulaB//phoQ//hybO//mdtC//mglC//marA//cynS//tauC//rnlB//ascF//sroC//yafP//yfbR//fliP//dgcC//fliO//gcvH//tsr//recX//nrdD//hybA//dnaN//ydcT//rutR//glnB//fecC//
FlhDC	sbmA//flgM//lysR//dinG//tam//ruvB//malX//moaC//inaA//gnd//fucO//cusA//hyaB//ugpB//yjhB//paaK//envC//relB//gspK//torC//astD//galE//fliO//oppF//fucA//nfsB//efeU_1//murF//cusR//relB//hybG//cadA//hyfB//csrC//frdD//carA//phoB//ecpR//prs//psiF//wrbA//alsA//artM//prpC//dgcC//argA//hdeA//uxaC//gspO//aroH//dhaM//flhA//deoB//dcuB//mngR//potI//hcaR//rpiR//nrfD//mntH//mdtA//hyfC//yhiD//ccmD//purE//yciW//hipB//gnd//lpd//ecpR//allE//moaE//glpQ//mhpE//cusB//malQ//melB//cpxR//yhdZ//kbaY//copA//ygaC//
FliZ	hflD//phoA//pdeH//hycF//gadA//gcvP//dmsB//gntT//rybA//ssuD//ygeA//murP//glyA//ybjG//garL//ulaC//glnB//ccmF//glcD//yfaE//codB//
FucR	entE//ibaG//nfo//rpiB//emrA//glxR//galM//
Fur	nikR//cytR//nuoA//allD//nanS//phoB//nfo//murE//gudP//fadJ//nuoC//creB//acrA//mazF//cysC//entS//deoA//dsdC//sroD//xylH//baeR//nagC//tyrA//argI//trpB//fliC//gnd//qseB//phnK//agaD//fucK//alsC//waaZ//dctA//ybfN//ynfG//arsR//hybO//pflB//agaC//rnpB//dsdC//uvrA//tsx//tisB//mhpD//puuR//glcA//agaB//malK//asr//ddpX//dinB//gcvB//ibaG//argC//sbcD//yibQ//gadC//nanA//glpA//sdhB//napD//yegZ//rutF//moeB//phnG//fdnG//citC//ybaT//yafO//gadC//hycE//ubiX//paaJ//sgrT//pgaD//yjbF//ndh//sroD//ybhR//safA//yiaM//yegZ//pnp//gnd//ulaB//agaW//yiaK//flgA//yafP//sroC//hybB//moeA//tcyP//tsr//pqiA//nuoJ//cysU//yibQ//puuC//hyaB//carB//frdD//ddlB//eda//umuD//yncE//flgJ//aroL//yiaN//phnN//flgJ//pheS//speA//allS//nlpA//rplT//hyaA//rutB//tsx//artQ//yefM//glmY//yidQ//fliE//gudX//marA//rbsK//mtlR//
GadE	lpxD//oppA//aidB//fadL//rpoH//cysG//gadE//trpD//cyoE//hyaC//flhD//gapA//rpmA//mazG//ftnB//yciF//zinT//yciE//gntX//caiT//yqjA//fliR//nimR//hycB//skp//fixX//ddpX//glmS//sufA//
GadE-RcsB	lsrA//gyrA//dsbG//yoeB//narH//hdeB//umuC//tsr//malQ//
GadW	gadY//recD//setA//yhbE//yciX//yaiW//flhB//oppA//deoD//rutE//cheA//aroH//ampC//mraY//fadM//
GadX	fecC//emrA//argI//kdpC//feoB//hcaC//ulaF//flgB//pepD//glmS//cirA//yqaE//ychF//purR//nrfE//fucO//yjbH//tauB//molR_1//acnA//csgE//gabD//flgH//ydhW//yoaG//phnG//hdeD//araB//cpxR//
GalR	aceA//srlB//mtlR//pspC//frdD//flgJ//galK//polB//accD//cusB//
GalS	evgA//gadY//glgX//narK//cysA//yhdW//hyaD//degP//ppsA//rcnB//
GatR	glnL//phoB//rpiB//ybaS//csgE//pyrD//
GcvA	nfuA//tonB//obgE//tyrR//kbaZ//
GlcC	kdpF//fhuC//pgaA//gapA//ebgC//recB//ssuC//
GlpR	glcF//yoaG//ydeI//lrp//kdpC//ccmD//cynR//oppB//pspB//
GlrR	ulaD//hcaE//rcnB//purC//malF//
GntR	rcnB//phnL//pgm//osmC//pstB//bglG//fhlA//dacC//argO//pepA//ydhU//nirB//
GutM	malY//gntX//argH//bolA//fliI//ybaS//ymgC//
GutR	glmY//tnaB//fepA//nrdD//oppC//flgH//ecpA//
HU	moaA//lsrC//yjhC//dnaN//safA//purM//moaB//emrA//uvrY//
HcaR	nuoB//nuoJ//agaA//feoA//glcD//isrC//
HdfR	paaB//dsrA//yhhY//phnE_1//ycjX//
HigA	mcbA//arsR//
HigB-HigA	pheM//aceF//
HipAB	rbsR//caiT//hybF//dmsD//nrdH//
HipB	ugpE//psiF//dgcZ//yeaG//phnM//osmY//
HyfR	adhE//yafO//ybaS//recA//yegH//sroD//nhaA//fliP//gatD//narJ//gabP//fliG//
HypT	torR//fimE//yiaM//tonB//aceA//ddpC//gspG//lsrD//casD//caiC//gatB//entE//rhaB//
IclR	sroD//hcaR//nuoH//atoD//
IdnR	ulaE//dtpA//hcaR//gabD//ppdC//yegH//idnK//
IlvY	sgbU//ssb//
IscR	ydfX//cvpA//rhaS//sdhC//argE//sbcD//ibaG//crl//glgA//dgcC//yoeB//hisP//bdm//puuC//glcB//fliP//purB//yeaH//katG//intQ//ssuB//nuoA//rpmI//allE//oppC//rpiB//thrS//rcnR//nirC//gor//rpoH//sufB//
KdgR	fhuD//melB//
KdpE	napC//csrB//soxR//zraR//
LacI	fecC//mntP//araH//
LeuO	ybhG//carB//znuC//cynX//fiu//nrfA//wzc//ydfD//chbF//sufE//fadL//nimT//gltK//srlB//ddpX//dhaM//ttdA//araA//mpaA//wrbA//
LexA	flhC//yiaO//fdnH//micF//purF//hisJ//cadC//ygiA//hybE//yfdX//ubiC//lldD//ftsQ//paaF//ynfE//ygbK//dcuR//agaV//hyaA//yciX//yiaJ//flgM//sgbU//entC//ulaD//higB//pgpC//tadA//cysC//kbaY//yhhY//waaY//pncB//uof//glxR//rutA//phnN//gudP//fimE//ampC//rclC//dcuR//cas2//hslJ//sbmC//recC//add//hns//sutR//cadC//hyaB//zraS//yhdW//kbaZ//hdeA//yfaE//ybhL//artQ//ynfF//
LldR	rclB//oppA//rimP//
LrhA	infB//dicB//gadA//metJ//
LsrR	lamB//ynbB//napG//ymjC//metY//cecR//exuR//ddpD//ydhV//
LysR	moaB//moaB//
MalI	malQ//citF//amtB//
MalT	pstS//paaX//appA//asnB//galP//cas1//phoB//malE//rbsA//aceF//
MarA	ydeM//psd//lldD//tcyJ//emrY//yciG//nrfB//rstA//hcaF//sulA//metL//fabA//gltK//ykgO//entF//crr//nanM//ymjD//mcbA//cyoC//fpr//ybhG//gltB//hokE//glmY//malQ//fiu//dicB//aspA//moaC//uspA//hypC//sfsB//ydcV//tynA//dgcZ//ydiV//gadE//
MarR	yjbG//ygdB//citE//
MatA	yciE//alkA//phnM//paaE//nuoE//metA//ptsG//cysK//
MazE	dcuR//waaZ//qseB//
MazE-MazF	argP//hemH//higA//
McbR	allC//flgF//nrdE//ompW//
MelR	murQ//fdhF//gutQ//
MetJ	talA//mscM//gcvB//aidB//uxaC//glcC//recA//rnpB//aceA//wecB//ribA//gspD//glcF//yciE//bglF//
MetR	patA//fucI//dpiA//yecT//bacA//
MhpR	purH//bioD//ynbA//dtpA//atoD//mioC//
Mlc	pqiB//prs//patA//ppdA//bolA//adiC//leuO//allC//fau//nadA//
MlrA	pgm//mhpE//nrdE//lpxD//dinJ//hcaC//pheS//puuE//allC//tyrR//
MngR	pflB//ptrA//casD//
MntR	mpl//gpmM//ppiA//nuoB//yaiA//
ModE	arsC//yecT//purM//cyaR//dpiB//yhjC//malK//mscM//nrdI//ascF//tauA//add//sbmA//fes//galP//ycgR//galS//galP//yhiD//flu//paaD//hypC//narG//uxaB//glpF//acnB//flgB//nikB//kbp//iscS//nanT//ycjY//cho//zntA//prpC//dmsC//hycE//hycG//phoB//ogt//fliK//mngB//caiT//metR//btuB//casD//
MprA	dgkA//paaD//guaB//ftsQ//ybbW//cdaR//
MqsA	yagK//pitB//argP//gcvB//sdhC//glnL//rhaA//hybC//
MraZ	dpiB//rutG//ccmE//yjhC//ygiB//dinF//ymgA//nikB//hybO//gltF//purH//ompF//hmp//ptrA//rbsD//gspH//infC//
MtlR	rsmH//hipB//infB//
MurR	gcl//cydA//nrfA//
