#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	pstC//ampC//
AcrR	yfdE//ydhX//nrfF//fucR//yrbL//xylF//ydeO//tsr//napA//ynfG//creC//
Ada	intQ//dhaL//poxB//relB//
AdiY	iscS//ppiD//arsR//uidR//hyfH//gntU//yhdZ//phoB//
AgaR	iscR//alaC//lpxD//ptrA//dacC//agaD//polB//galM//infB//nanS//phnH//
AidB	dmsD//
AlaS	uxaB//
AllR	yoaC//ilvC//rclA//hyfR//torD//ftsZ//gadX//fixC//ynfE//
AllS	oxyS//entH//rhaB//
AlsR	garP//garD//rseA//ybhF//malX//qseC//
AppY	ydhX//udp//rutA//hcaD//srlR//gcl//dsdC//leuA//puuR//rutA//
AraC	lrhA//ccmD//cpxA//skp//lacZ//manY//spy//hcaR//bdm//agaV//fliR//gudD//envC//mcbA//
ArgP	hycF//yhdW//gor//nupG//araJ//napD//pgaC//aroM//oxc//hybB//melR//mngA//fadM//argA//
ArgR	tehA//phoE//waaZ//gltI//yecT//glcB//argI//dmsA//rplT//iraP//rclC//rbsA//cysJ//narH//nuoJ//yjbH//ugpE//mprA//nfo//lldD//yecR//sfsB//oppC//bluF//marA//icd//recC//rffM//pgaD//gdhA//motB//gadA//potI//codB//mqsA//lysO//alkA//ycjF//
ArsR	murP//lysR//ahpF//
AscG	tdcC//fdhF//flgC//araJ//hipB//
AsnC	yoeB//dsbG//gcvP//wcaB//
AtoC	fadL//ydiV//setA//yhjC//
BaeR	creD//marB//chbA//fes//cpxQ//flgG//yhiD//yfiB//
BasR	gntU//yhhY//nuoN//flgD//ibaG//tpiA//tisB//ldtD//yfdE//gatD//lsrK//leuA//entE//
BetI	glpT//pqiA//hcaR//dsdA//
BirA	ftnA//fucI//dpiB//gabT//tnaB//
BluR	hdeD//yiaO//gcvB//aceA//
BolA	ccmE//yaiA//
CadC	galR//nohA//flgA//
CaiF	feoA//moeB//gcl//appB//cydB//deoC//hflD//wzb//srlD//cpxQ//
Cbl	uxuB//ribA//ttdT//hipB//mcbA//fhuF//cusA//lolA//gadB//
