#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	hcp//sroC//
AcrR	tnaA//ecpR//moeB//deoC//phnG//glyA//chbC//caiC//htpG//cpxP//yedX//
Ada	cysG//ygdB//rstB//ybjG//
AdiY	pyrC//prpE//relB//dsbA//ynfH//agaS//leuC//cyoC//
AgaR	rffM//rutE//dnaA//cyoA//dnaA//bacA//metR//paaJ//caiT//ydhU//rseA//
AidB	glcC//
AlaS	nfsA//
AllR	pfkA//arsB//yhbS//appC//ftnA//bglF//pspE//cysA//hybB//
AllS	argT//ydfH//nfo//
AlsR	rffM//nikD//rbsB//yeiL//dkgA//uspE//
AppY	gadY//rtcA//pdeL//gyrA//appA//rclA//modC//aroP//wecB//gatC//
AraC	malY//lysA//katE//melA//hyfH//uvrC//lsrC//putA//rpmA//tktB//flgI//prpE//paaX//amn//
ArgP	ygbA//appX//btuB//glcC//atoA//chbA//aroF//rbsK//mhpD//ecnB//fabB//fepE//entH//glpA//
ArgR	umuD//kbaZ//tyrB//ydiU//glgC//sucD//araJ//rnlA//tktB//mntH//gutQ//hyfB//sdhB//pagP//rcnB//gadB//ydeP//psiF//glgC//ydcV//trpL//leuO//fldB//nuoH//lamB//glpT//pspE//cusC//ldtD//exbB//nrfG//borD//tsr//paaJ//gdhA//ecpR//tauC//pstB//
ArsR	nagE//trpL//flgC//
AscG	narI//phoP//ahpC//nrfE//fldA//
AsnC	prpD//tehB//hybA//cyoC//
AtoC	sodA//phoQ//gfcA//cueO//
BaeR	amn//melB//fdnG//napB//mhpF//puuP//rhaS//ftsK//
BasR	envC//fecC//ampC//fabG//hyfC//malG//yhdY//hypD//mazG//malG//mngR//napF//cra//
BetI	uidA//agaW//fliF//dhaR//
BirA	hemL//yiaN//srlR//aceF//dsbG//
BluR	sucB//waaY//hcaB//lsrF//
BolA	adiA//lysP//
CadC	fliS//uxuR//evgA//
CaiF	cydC//lolA//paaH//glpD//dhaR//fixA//lyxK//pspB//agaW//recB//
Cbl	cueO//glnK//rutD//yccT//csgG//iscA//wza//hcaC//mngR//
CdaR	cas2//yegR//yneM//yidL//waaH//hyaC//ppiA//deoD//glgC//moaB//
CecR	hyfC//astB//moeB//alkB//ecnB//
ChbR	ulaE//safA//ung//agaI//fixX//fhuF//
ComR	putP//
CpxR	rutE//amtB//yqhG//rpoE//dinB//mngR//evgS//prs//ptsI//ppdA//phnM//mhpF//ilvC//casA//nfsB//ubiA//pstB//ygiA//argF//aceF//nac//ftsK//bdcA//ompC//artJ//cpxQ//nirD//nuoB//gor//pgaA//ydcT//argI//insD//xylF//ptsI//ydeI//gspF//csrC//rffG//ykgM//casA//atoE//fixX//wcaB//paaK//cra//acrR//tisB//ydfE//ompW//malX//acrZ//mtr//yciG//bioC//fhuC//hcp//rhaA//potF//eno//agaR//hypA//agaS//dapD//potH//ydeP//mqsR//fliA//rclA//uhpT//
