#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	nrfF//motB//
AcrR	uspE//sucB//ybjN//envC//araG//napA//glpT//nemA//paaG//sbmC//flu//
Ada	higB//ftnA//ydcU//metR//
AdiY	nanK//nuoG//gatY//nfo//nrfC//yciG//entC//oppC//
AgaR	ftsL//yccT//sucD//bioC//appX//ydfD//sufC//ydfN//sra//ssuD//ydeN//
AidB	ubiA//
AlaS	argC//
AllR	ynbD//tonB//nrfF//caiB//cynX//rstA//fhuD//lsrF//cysB//
AllS	hycD//ldtB//paaY//
AlsR	astD//recN//alkA//chbF//tsgA//gadE//
AppY	alsC//rbsR//argI//trpA//hlyE//lamB//leuA//wzxE//malI//kbp//
AraC	trpB//nlpA//accC//nrfF//rpsO//dcuB//glpX//appC//ydeN//nuoA//truB//fdnH//nanA//yegZ//
ArgP	agaA//gltL//arsB//puuB//metC//yafP//flhC//nadB//mngB//aceK//ccmD//nirD//ppdC//infB//
ArgR	gspE//sucD//malE//csgF//patA//caiD//cho//sucA//yefM//fabI//wecE//lon//hybC//puuC//glpX//rtcB//pdeL//gltJ//emrA//agaC//flu//yhhY//treR//umpH//ftsL//tdcG//tam//ygaC//gspC//yhjA//umuD//mraZ//argE//tyrB//trpA//hycG//flhA//rseB//
ArsR	cheA//citD//ompF//
AscG	dinI//ubiX//malZ//alsB//ndh//
AsnC	rimK//mdtA//nrfC//ppiA//
AtoC	rutB//sbcD//pheM//xylB//
BaeR	phnK//xylG//gabD//oppC//narK//purB//fhlA//tdcG//
BasR	cysM//trpA//frdC//malK//atoE//garL//ompC//nemA//yfiB//casE//cysJ//yhdX//hycC//
BetI	asnA//truB//gltB//xylG//
BirA	fadB//rhaD//flhC//ldtB//fucI//
BluR	glpT//hycG//crl//ftsK//
BolA	hemL//alaC//
CadC	melR//metI//sufS//
CaiF	ulaB//caiB//ycgZ//wzxE//atoB//pyrD//fabD//lsrD//mcbA//metI//
Cbl	bioF//mprA//iraP//yqhD//sroA//tsgA//ygiC//sucA//rbsK//
CdaR	glmS//aceF//leuO//nikC//yjeV//malM//caiD//metF//narG//csgB//
