#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ddpX//rybA//
AcrR	gltI//zinT//galR//hyfF//malY//ttdB//caiD//fliK//csiD//lhgO//motB//
Ada	acrD//omrB//glmY//marB//
AdiY	dmsB//uidA//lldR//treR//galK//allA//hcr//astA//
AgaR	sucD//mraZ//gloA//chbA//hypC//yeaE//cusC//argT//trpB//nagA//emrY//
AidB	araJ//
AlaS	yidQ//
AllR	exbB//pstA//potG//purL//xylH//yjiY//nuoH//lldR//yfdX//
AllS	yjjZ//mscM//ulaG//
AlsR	acrZ//chbR//yhdY//mngA//kbaZ//glnL//
AppY	gspG//ygiA//cho//yjjZ//paaF//purD//fucK//metN//purK//rclC//
AraC	cyoA//yfdX//ydfD//cdd//csgF//norR//nuoC//cysC//nanK//napD//dsdX//dgkA//fecA//sra//
ArgP	narH//dnaN//rseC//rstA//casA//fepC//dnaG//insD//ydhY//feoC//puuA//fadD//appC//serA//
ArgR	ryhB//soxR//argH//araA//murC//paaB//dsbC//paaZ//marA//uvrY//phnI//exbB//feoC//ymjD//gspL//uidR//mazE//ydcV//alsA//prpC//yjeV//yjhB//lsrF//xylG//eda//tolC//sdhD//malG//yegH//metE//nadA//ydcV//recA//phoQ//paaJ//leuC//sgrR//napC//
ArsR	modB//yneM//tomB//
AscG	gspI//fadI//ybaT//cynX//torA//
AsnC	galP//nikB//mgrR//mpaA//
AtoC	yhdX//folA//aroG//cydA//
BaeR	hipB//srlE//lexA//pheM//xapA//agaA//lacY//aidB//
BasR	ompT//ydfN//hybO//ydeM//evgS//katE//mntP//paaY//fliR//yeaD//hisJ//ppsA//mlc//
BetI	hokE//ibaG//cysC//ftsZ//
BirA	ydhY//cra//gcvP//yegR//flgA//
BluR	hslJ//emrA//fecR//gadX//
BolA	slyB//argC//
CadC	fabG//yefM//mgtA//
CaiF	asnC//sfsB//treR//csrB//asnA//pstA//cyoC//gadW//ebgC//pitB//
Cbl	phnN//ychF//hyi//phoA//aroL//ulaB//amtB//katE//ptsG//
CdaR	fumB//glcE//argD//dinB//hcaC//yciF//metJ//glgX//iclR//moaE//
CecR	pdeH//gadX//sroD//alaC//iscU//
ChbR	ygeA//xapA//yjbH//napG//ygeH//frdB//
ComR	intQ//
CpxR	phoH//pgk//hokD//asnC//pdeR//napB//yagK//idnK//efeU_1//hybC//nadA//rpmI//flhD//ydiV//ygiA//fixA//ahpF//ung//phnP//glnK//pdhR//nuoA//recF//ruvA//cusC//ihfA//malE//fliP//trxC//ugpE//ybhF//galM//mdtB//ydcS//narJ//glmS//ynfE//murR//fau//csgG//hycB//tdcE//pyrD//uidR//waaH//mhpC//cysG//pdeL//flgA//ompT//puuP//fliL//murG//nemR//gltF//phnG//btuB//yqaE//pdeL//ulaE//hyfA//ugpE//alsC//nemR//puuA//fepB//ppiD//cysJ//ssb//ynbA//
Cra	pdeH//nrfC//phoH//acrZ//ybaS//sufA//bioF//ssuE//ldtC//zraR//nrdE//nrdF//trpE//nrdA//nemR//cynT//hcr//agaC//betB//yccT//ykgM//torA//ymjD//atoB//bglJ//aroP//puuA//rplT//gcl//gltF//araF//hha//purM//cynS//alaC//glxK//deoA//argG//tam//entD//accA//mnmG//fliZ//rclA//ybfN//fabZ//sfsB//psiF//mscM//ftsK//fimB//trpA//iclR//sbcD//ddpD//fliH//cysP//pnp//aslB//cysH//frc//nhaR//cheW//mtlR//yqjH//ompN//hybE//ulaE//flgH//araD//cheW//tdcC//ycdZ//btuB//caiD//trpL//purF//wzyE//ompN//
CreB	relE//ydiV//cheW//folE//acrB//
CsgD	hyaB//gyrA//wzb//hybF//cho//sutR//pgpC//rutC//hypB//hslJ//tyrP//rbsD//purH//dinG//ccmF//lsrK//citE//murF//potF//relB//xapB//recB//argH//kbaY//yhjC//trpL//thrS//wrbA//
CsiR	glnH//mltF//nagC//grcA//gdhA//
CspA	yidL//molR_1//
CueR	hybF//hybO//acnA//gabT//yoaG//cydB//flgF//
CusR	phnC//lsrA//yidQ//gpmA//prs//nohA//ttdR//ydhT//hyfI//hisJ//mnmG//nanE//
CynR	rutG//omrB//torA//pqiB//
CysB	nrdB//argP//csgE//rutC//ulaG//hyaE//idnT//aspC//decR//phnD//chbR//trpA//yqjA//rhaT//araD//fucU//fabA//motA//phnK//gltK//znuA//fiu//manX//crr//trxC//galS//pqiB//hslJ//gutQ//gadC//argO//ulaE//
CytR	gcvB//putP//gapA//cyoD//rclB//pheT//mgrB//nlpA//metI//emrK//fur//hybC//lacY//
Dan	yqjA//pyrD//dacC//mqsR//
DcuR	pyrD//leuD//oppB//flgF//oxyR//pspC//gntX//gspF//cysB//
DeoR	malM//glnA//potF//tisB//ulaF//yciF//
DhaR	glnH//nagC//malT//melR//
DicA	motB//lamB//crl//pgaD//fabD//pdeH//ymjD//mdtE//
DinJ-YafQ	hlyE//yhbS//artM//
DnaA	nuoN//dinB//infB//thrS//glmY//casE//nirC//sodA//csgB//gspM//cysH//zinT//
DpiA	ttdT//hyfB//hyfD//phnG//oppC//yhjC//narI//poxB//astB//yqhD//yiaO//
DsdC	gcvA//nuoH//xylR//
EbgR	hokE//creD//
EnvR	ygeA//intQ//
EnvY	fabD//gadE//
EvgA	yfiR//argR//cysJ//nanS//fiu//trpE//nikC//hypD//murE//flgK//atoE//tomB//isrC//cysH//ynbC//yhjC//murP//trpA//fliI//
ExuR	zraS//fecE//iraM//metF//mntH//glxK//hdeD//yjbF//mraZ//
FabR	gpmA//mtlA//
FadR	glcD//fepD//glcC//fixC//pyrC//intQ//gudD//tauC//dctR//cho//ppdB//moeB//mazG//metJ//fecA//fadJ//sufD//dmsA//nuoB//aroF//potF//yhbT//purA//
FeaR	infC//ybjG//
FhlA	guaA//hokE//gutM//ydeM//glgP//gdhA//yhdY//glcF//tcyP//aroG//emrB//astA//yqhD//allB//metI//fepB//cspI//acnB//hybE//recA//narH//rdoA//ulaA//slyB//leuL//leuB//dinB//ybhG//pgaC//gor//
FlhDC	arsB//artJ//asnC//ycgZ//torA//ptrA//flgB//dicB//appC//kbaY//fadR//glgB//gpmA//srlA//phoQ//hmp//polB//yoaG//aceF//araF//lsrK//manX//htpG//fliA//polA//fliE//paaX//dnaN//cysU//cysG//yfdE//flgF//chbG//idnK//ubiX//pstA//degP//fucI//ygaC//ynbB//pdeL//yhhY//yiaN//rpoE//metY//codB//ftsL//garP//lpxC//cspE//carB//rcnB//gadW//nuoA//rbsK//flgD//atoB//glpD//nanE//dpiA//ruvA//galK//ppdA//rffC//mdtB//paaD//dnaG//pncB//rhaR//yfdV//ccmB//mazF//lysA//rffM//hcp//feaR//cspI//puuD//appY//fliL//uspA//ycjY//
FliZ	alkA//ymgC//bioF//psd//yiaL//ada//ribA//xylH//araB//purD//lpxD//dmsB//fecB//ydcU//lysC//rbsD//emrY//yccJ//lacA//manZ//mzrA//
FucR	entE//murQ//paaY//phoR//ygeA//narJ//rsmH//
