#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	dhaR//
Ada	kbaY//dkgA//tonB//
AgaR	gor//glk//ribA//ysgA//yjjZ//gudX//fecR//
AlaS	iscR//
AllR	polB//tufB//crl//znuA//dinG//oxyS//lysV//rybA//recN//
AllS	phnF//gudD//purL//
AlsR	tcyP//ddpA//yeiB//yqhD//flgJ//mgtL//
ArcA	ybfE//malZ//
ArgP	uspB//htpG//bioC//
ArgR	trpL//phnL//patD//malZ//pgi//ybhF//flu//xdhC//rclB//gudD//polA//dapB//ttdR//uspD//
ArsR	recN//leuL//arcZ//
AscG	ftsK//
AsnC	obgE//
BasR	ybbY//
BirA	arsC//ftsK//phnH//tktB//phnK//
BluR	bdm//hflC//flhA//ptrA//
BolA	amiA//agaS//
CRP	trxC//yfdX//cyaA//fruA//kdpF//phr//yccA//accD//znuB//luxS//dkgB//fepC//aaeB//phnE_2//bioC//ydiU//phnC//gltX//ychH//trpL//oxc//agaC//ydfN//gltL//glgS//yeaG//nimT//mqsR//tbpA//aroH//flgI//yeaG//recB//rpsU//lrhA//yfdE//arsC//tdh//tap//fliR//rcsD//pykF//ychO//yhjC//ddpA//glpE//phnG//rclA//ftnB//yeiB//ykgM//phnJ//flgB//tap//agp//thiP//pgi//leuW//mscM//bluF//dapB//fruK//yfiB//gyrB//yjjZ//rstA//bdcA//oxc//
CdaR	motA//bluF//yeaE//proL//yhjX//
CecR	leuW//ydbK//raiA//paaY//ompX//
CpxR	mukE//ppdB//ruvA//dinB//rmf//flgA//ymjC//iscR//artP//phoP//aroF//polA//nlpE//pdeF//ydfD//pdxA//garD//ilvY//rclB//ydbD//cecR//metJ//rutR//gudX//argR//gltK//yfdV//allA//gor//dicC//amiA//ampC//
Cra	ydfD//lysW//cra//leuT//metA//dnaG//uspB//hslJ//rpiB//mukE//agaI//patZ//infC//gspA//insK//
CreB	ampD//
CsgD	paaX//ppiD//ruvB//acrR//ibpB//fhuE//lysV//hcaD//cmoM//
CueR	zraP//crl//
CynR	luxS//ptrA//leuX//ynbB//
CysB	leuL//phnN//cho//tsr//ddpF//fliD//ilvC//bioD//potI//ppc//
Dan	yqhG//mgrB//crl//ykgM//
DhaR	rmf//phnC//pagP//gpmA//
DicA	dkgB//leuV//flgC//yfiR//yfiR//ddpF//yhfA//yidQ//
DnaA	tisB//slyB//
EvgA	potI//osmB//tisB//bacA//purK//iscS//cpxQ//
FNR	cmoM//htpG//glnW//ompA//ykgM//pepT//ompA//livM//yqhD//adiY//artJ//ompA//ydcU//tpr//glmU//hcaE//valY//kdpC//ppc//yhjC//aspV//kdpC//cra//pepD//pspF//mukB//ttdA//
FadR	cysC//wcaA//yfdE//yfdE//priB//speB//recC//valU//
FeaR	kbaY//
Fis	lolA//ydbD//pgpC//queA//argC//yjeV//oxc//asnB//fliT//trpD//cheZ//ruvB//rpoD//creC//tehA//yeiW//xapB//proM//fnrS//iscR//yjjP//flgH//kdpC//ybjG//topA//hofB//yoaC//glk//allD//ygaC//grxA//cynS//rpmA//btuB//nimR//yaeP//ygeH//ddpA//kbp//rnlA//yeiB//trmD//glnU//ilvN//osmB//mngA//tktB//livM//wzb//oxyS//dgcN//yjhC//pepT//tktB//ruvB//nadC//
FlhDC	yjeV//mscM//crl//csrB//rclC//ycjX//znuC//bioD//yeiW//hcaF//ppsA//allS//speA//ybbW//nadA//ampC//tynA//phoB//fhuE//ppdA//osmB//gyrB//mhpT//ydcV//rstB//emrB//pgi//gcvA//hofN//ibaG//rpiB//tehA//metC//flgE//phnI//yafP//pheS//gcl//
FliZ	seqA//
Fur	trmD//hcaD//cysK//phnK//pepT//ppsA//gltJ//leuB//cysK//proL//folE//fliR//mipA//flgK//mpaA//ysgA//yqhG//htpG//yeiB//rpsU//ddpB//yjjZ//ydfX//ybhS//
GadX	dkgA//uvrY//yqhG//pgi//arcA//aaeA//allC//
GcvA	ydcU//tyrU//
