#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ydfW//
Ada	recN//yccT//ppc//
AgaR	glyU//glxR//rnlA//tcyP//mntS//fliD//yfbR//
AlaS	dhaR//
AllR	arcA//argU//wecC//hflC//flgA//mltF//symE//arsR//tisB//
AllS	kdpF//ykgM//talA//
AlsR	hofM//gfcA//ycjF//rmf//hcaC//fliO//
ArcA	ddpF//intQ//
ArgP	yhjC//metF//hcaB//
ArgR	yjhC//livG//ddpB//mgrR//artI//ribA//tisB//arcZ//preA//ecpR//argF//flgB//yafN//cheW//
ArsR	adiY//flgD//ftsK//
AscG	pheU//
AsnC	pepD//
BasR	trxA//
BirA	agp//dkgA//lysV//leuT//phnI//
BluR	lon//yeaE//ybbW//wzyE//
BolA	yjhC//ybhL//
CRP	phoE//wecE//argC//speB//iscS//allA//cysK//argI//dgkA//pgi//trpD//fepC//yfdX//omrB//rclC//allD//ppdC//pheV//speC//glyU//yjjZ//garD//isrC//proM//upp//ftnB//ydcU//mgrB//rarA//flhE//phnH//luxS//rpoD//mprA//uspE//adeD//cdaR//yhbT//uraA//tyrT//hfq//yegR//ampC//iraP//ibaG//yfdE//cpdB//xdhC//ecnB//pagP//cra//ariR//rsmA//intQ//ydiU//yeiP//exbD//dacC//argE//yciW//tynA//rclB//rdoA//metA//ykgM//queA//ada//fabG//
CdaR	hcaB//sutR//tyrA//tsr//comR//
CecR	topA//yhhY//adeD//flgF//pgi//
CpxR	trpA//hflK//pykF//yhbS//wzxE//gyrB//rdoA//trpD//yebE//ydiV//phnC//tsgA//osmB//kbl//dkgA//leuX//asnB//pspF//gspB//accD//ykiA//hemH//ydfX//flhB//livH//yneM//gltI//ydjM//yidQ//gltL//yeaE//glnB//
Cra	pheV//obgE//glgS//hchA//recD//sohB//thiP//omrA//ydfD//znuB//xseA//yebG//dsbC//gpmM//phnG//
CreB	fabD//
CsgD	dapD//pheS//hflD//manA//emrA//argU//fldB//gpmA//allB//
CueR	yciW//cysK//
CynR	dgcN//rpiB//patD//phnE_2//
CysB	phoR//alsA//kdpC//ybhG//pdxA//alsA//ecnB//phoB//yojI//luxS//
Dan	glyT//rclB//proK//btuB//
DhaR	flgC//ddpC//yiiS//glnV//
DicA	wrbA//polA//oxc//flgA//cheW//ppc//wcaA//aroH//
DnaA	phnK//yeaH//
EvgA	phnO//glxK//tyrA//hflK//yeaH//wecB//tonB//
FNR	purB//alkB//ybhR//ynbB//bioF//artI//rplI//ydeA//bioC//pepA//fruB//recC//livJ//bcsB//alaS//ychO//pitA//gor//kbl//argU//rcsD//ada//pgpC//flgF//ymgC//recD//trpB//
FadR	metJ//rclB//gudD//iscS//dhaR//kbp//hofB//gltK//
FeaR	mpaA//
Fis	glnW//agaI//copA//emrA//hemF//mipA//talA//ycjG//pheV//gpsA//cbpA//ppdC//comR//fhuE//grxA//arsR//fliO//ydeA//dhaM//zraP//dksA//cynR//pitB//tbpA//ivbL//dsrA//livM//xseA//yecT//cpdB//glgS//proK//dsbA//flu//ruvA//ynbC//cynX//aaeB//artM//metF//phoE//nadA//paaX//fepD//hcaD//mscM//ariR//spf//dgcN//cueO//uspB//metU//cpxR//msrA//lysO//hofO//
FlhDC	pagP//uraA//argB//ychH//artI//alaS//ryhB//cynR//yfdV//lacI//ydfX//cysC//wecB//preA//yebG//ribA//yhbS//purF//flhE//gltK//cysD//rstB//hofM//argI//xseA//trpR//leuQ//wzzE//rof//yeaG//tcyP//ampC//preT//rclC//creB//cvpA//fepD//yqjA//
FliZ	amiA//
Fur	uvrB//ilvC//ppdD//ivbL//ttdA//htpG//fliT//hisR//alsC//lolA//bdm//ynbD//nlpA//hofC//hofC//arsC//aroF//aroH//leuA//ryhB//tpr//gspA//gltJ//alsC//
GadX	thrW//fliD//yqhG//lysW//bioC//yhjX//pdeF//
GcvA	creC//rpsF//
H-NS	argI//mprA//leuQ//flgF//hofO//yeaE//flgC//cmoM//cra//paaY//argB//alsB//fadM//trpE//
HU	pgi//wecB//
HcaR	yegR//frc//trxA//phnF//cheB//yneM//
IHF	yneM//metT//wzyE//znuA//mgtA//bluF//ybhF//
IlvY	ycjF//ydcS//
IscR	nadA//cra//ada//yojI//hemH//pheS//ydfW//ynbB//
KdpE	paaX//mngR//thiP//motB//
LeuO	phnE_2//glxR//oxyS//purB//gfcA//thiQ//
LexA	amiA//mprA//adiY//fadM//phnD//lysW//dsbA//flgI//artP//cysN//nlpA//dksA//talA//pheT//agaB//potI//yfdV//efeU_1//gpmM//flgA//metT//tpr//ygaC//dhaK//mzrA//dinB//ilvN//xapB//ptrA//gor//yhjX//ybhR//ychH//tap//eno//gudX//argU//
LrhA	paaY//
Lrp	leuL//phoE//fhuC//artP//ynbB//decR//pgpC//mgrB//pgpC//fliQ//ydiU//thrW//yciW//tynA//
LysR	polB//
MalT	lon//
MarA	ddpX//tynA//
MatA	cheW//creC//
McbR	hofN//
MetJ	hcaB//argB//ydjM//pdeF//ppsA//
MlrA	gpmM//znuA//znuA//ychH//glgB//
MngR	mhpT//kdpB//dicC//
MntR	ribA//flxA//
MprA	yidQ//mhpT//rmf//
MqsA	pgm//polB//
MurR	phnE_1//
Nac	phnF//argU//dicB//fruA//flgA//
NadR	flgL//ddpB//mepH//
NagC	infC//oxc//yebE//uidR//dicB//
NanR	phnF//tar//
NimR	leuC//tktB//
NsrR	rarA//nadC//yadV//luxS//tufB//pheU//argT//bioA//recC//ynbD//kbl//speA//yhdZ//agaB//ymjD//flhB//serX//isrC//exbD//gpmM//dgkA//ygbK//thrU//lexA//sroA//phnN//uraA//yecT//iscS//yegH//
NtrC	mgrB//cysC//lysW//agp//phnD//ydfD//copA//gltJ//mukE//dinB//fabH//potG//ecpR//gcvA//insK//csrB//cysD//
OmpR	rybB//ymjD//polB//htpG//
OxyR	yeiP//sroC//talA//xdhC//allB//intQ//xdhA//hcaE//rffT//
PaaX	cheZ//valU//
PepA	yfbR//
PgrR	phnM//fecR//yfdV//yqhG//ydcV//glmU//ftsK//
PhoB	valT//aaeX//gudD//cho//uvrD//ycgR//ynjI//leuD//arcZ//hofN//fnrS//phoB//exbB//cynT//kbl//hofC//alsB//garD//lysR//aaeX//nadA//dhaL//ecnB//ppdD//leuV//mukE//avtA//phnN//phnE_2//slyB//rcsD//
PhoP	tsr//dicC//paaY//xapB//gcvA//ybbY//rybA//lacI//yjhB//lysT//spf//ampE//ilvY//hofP//ldtC//flu//
PspF	lysW//
PurR	uspD//preT//recC//hcaE//yhhY//ycjX//ecnB//yfiB//hdfR//rsmA//yidQ//phoR//csrB//
RbsR	bioA//
RcdA	ilvY//hemH//uvrD//
RclR	fliT//fhuD//yhdZ//
RcnR	ppdC//
RcsAB	aroH//rof//tap//asnA//cheZ//
RcsB	yebG//dicB//prs//valT//
RcsB-BglJ	phnE_2//yccT//ppsA//znuB//insD//fruK//rfe//rstB//rpmA//agaD//fliD//
Rob	dicC//
RutR	purF//
SdiA	fhuB//
SgrR	yoaC//ybhG//fliR//glxK//grxD//ydeA//
SoxS	thrT//accD//hofB//hcaR//yeiP//emrB//
SutR	cheB//glxK//
TorR	phnH//
TrpR	cpxR//pdeH//phoH//ampE//purF//flhA//phoH//fhuD//
TyrR	ppdD//fldB//secB//
UidR	tdh//
UvrY	yeiW//glxK//
XapR	ariR//mngA//
YdeO	valY//uvrY//
YjjQ	livK//kdpC//rcsD//motA//dhaM//upp//mprA//
YpdB	livH//
YqhC	phoE//valX//
ZntR	adeD//
ZraR	ymiA//
Zur	yeaH//dacC//yeiB//rpsP//ttdT//
