#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	thrT//
Ada	bioA//ppdD//sbmA//
AgaR	uvrB//tpr//flgL//pagP//folE//gcvA//mgtA//
AlaS	ydiU//
AllR	acrR//insD//tbpA//slyB//leuC//oxyS//ychH//flgD//iraP//
AllS	amn//gpmM//rclC//
AlsR	oxyS//zraP//ttdT//mgrR//creC//ydfN//
ArcA	fecI//agaC//
ArgP	yqaE//yegH//ddpD//
ArgR	adiY//purE//aaeX//yafP//pheV//yeaE//accA//glnX//wcaB//leuP//cheA//yhdZ//patD//grxD//
ArsR	yafN//purL//htrE//
AscG	sgrR//
AsnC	glgB//
BasR	ycjX//
BirA	yafO//yjjZ//iscA//cstA//wzzE//
BluR	sfsA//pagP//cpxQ//trpR//
BolA	omrA//wecB//
CRP	sroC//yeaE//narQ//chiA//ilvB//yecT//phoR//glgB//serT//ldtD//phnK//fecR//flgG//flu//pheU//pepT//proL//rffT//ompX//tyrB//iscA//nimR//rpiR//leuT//yiiS//glnW//yafN//yccJ//cheR//dinQ//purB//argT//phnH//hofC//ppdC//yqaE//argI//iscU//yciX//ymgC//yegH//fliT//ydbK//cynX//iraD//ykgR//kdpA//fliR//grxA//bacA//ydbK//yoaC//argI//flgI//preA//cueO//cynX//ppdD//fhuE//fliO//glgB//yjhC//cynT//ydfX//cpxR//dnaG//sdaA//rybA//
CdaR	pagP//alsB//rcsB//thiQ//fabD//
CecR	trpA//gltX//rpmA//rplS//narQ//
CpxR	pagP//yaiW//aaeR//cynX//rpsF//oxyS//mqsR//purB//ddpB//leuW//phnN//ubiG//gltJ//ycjF//yjhC//purL//glpE//lacI//aspV//accD//aaeA//comR//rclA//allS//yccJ//phnF//tufB//amiA//trpL//sbcD//speB//yiiS//
Cra	seqA//nadA//cpxA//ynbC//bcsB//ydfH//preA//mgrB//cstA//rnlA//fhuE//yegR//ydcU//chiA//trpC//
CreB	trpR//
CsgD	rdoA//dhaR//yccJ//ibpB//ilvY//yncE//argT//glmU//mqsR//
CueR	livF//mqsR//
CynR	rstA//fabI//entS//luxS//
CysB	manA//fruK//ydeI//eno//tehA//fnrS//motA//cheY//yaiW//phnJ//
Dan	pheS//aaeR//sfsA//argH//
DhaR	hokE//ydfE//rfe//ampE//
DicA	trpE//lacI//glmS//yeiB//yoaC//metC//fliL//glnX//
DnaA	yhdX//wza//
EvgA	proK//allS//dhaR//rffM//pgpC//thiQ//arsB//
