#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	isrC//
Ada	ycjY//wzc//pdeF//
AgaR	rnlB//flhB//lon//yidQ//phnK//speA//alsA//
AlaS	tufB//
AllR	hcaR//crl//wzzE//cynT//rplU//dapD//seqA//valX//narQ//
AllS	aaeA//tdh//agaC//
AlsR	rplU//purF//efeU_2//tehA//hcaD//acrR//
ArcA	argH//glgB//
ArgP	fliN//ilvB//wecB//
ArgR	tsr//ihfB//lysU//comR//speA//ddpX//phnK//infC//hokE//gltK//ymgA//wecE//agaR//lysU//
ArsR	yibQ//mgrR//murI//
AscG	slyB//
AsnC	aaeB//
BasR	adeD//
BirA	glnW//rpsR//yoaC//allS//efeU_1//
BluR	fhuE//amn//murR//glpR//
BolA	pnuC//xapA//
CRP	creA//ribA//speA//argT//yeaE//hofB//rcnR//yeaG//dinD//ybfE//yqjA//glnW//leuW//ruvA//cysD//wzxE//argE//agaR//bioF//iscR//cheZ//mcbA//rplU//uspB//uspE//gpsA//kdpA//trxC//sgrR//uraA//rof//cynS//yafN//argX//flgE//flgI//fbaB//garD//cvpA//metF//glpG//wzzE//proL//livH//fhuB//thiP//secB//cheW//yafO//flgL//trpA//thrT//ybhL//leuE//ldtD//rnlB//cbpM//accD//rcsD//folE//trpL//fliD//yfdE//rclA//znuA//gltK//bacA//slyB//
CdaR	trpE//artJ//ybaS//ybaS//polA//
CecR	phnE_1//uvrC//fecR//yqhD//flgA//
CpxR	ybaT//efeU_1//aroF//yqjA//grxD//leuD//fliT//argH//ttdT//potH//fadM//emrA//dhaK//flgD//leuD//rpoD//alaC//ada//mqsR//flhA//dsbC//gspB//sfsA//htpG//pheT//nlpE//phnJ//mzrA//purL//kdpF//entS//iscA//
Cra	crl//dhaK//metF//arcZ//efeU_2//hofO//pdeF//pnuC//hofN//yhjX//yeaD//purF//uspD//potF//fruA//
CreB	yhjC//
CsgD	dkgB//ycgR//ynbA//rpiB//flgI//rmf//xdhA//yoaC//purC//
CueR	hofC//cynS//
CynR	flgI//flgD//yhjX//valY//
CysB	allA//yeiW//flgJ//znuC//valX//rpsR//xapA//alsC//mepH//amiA//
Dan	dicB//mukF//nadB//pepD//
DhaR	yqaE//rplU//artQ//omrB//
DicA	exbB//rplS//comR//kdpA//hchA//mqsA//rffM//gltK//
DnaA	livK//cheR//
EvgA	dgkA//rplS//phoP//seqA//comR//tdh//bioC//
FNR	phnE_1//ydfH//recX//oxc//yebG//serX//phnC//ppc//alaW//ykgM//xapA//trxA//tap//livM//yafN//infC//rclA//yojI//ppiD//yjeV//rstB//gudX//kbl//pnuC//cheY//gspA//flhE//
FadR	ppdC//ttdR//lexA//glgB//cra//insD//upp//gpmM//
FeaR	gspB//
Fis	ygaC//rfe//oxc//ymjC//znuA//bioD//ygdB//yneM//yaeP//proM//metJ//yhbT//ydeA//speC//pykF//ttdT//rpiB//yccT//glpE//htrE//hflK//yjeV//upp//valY//artQ//flgA//hofO//dtpA//ttdA//hofM//topA//lysO//intQ//trmD//lysR//gpsA//hofO//ybfE//ykgO//yegH//cstA//fhuD//pagP//glpR//phoA//mgtA//tap//tyrA//ruvA//purK//zntA//ihfB//csrB//fliQ//ydbK//ada//
FlhDC	purF//argT//fliR//phnP//argI//glyT//hflK//symE//alsA//ydfN//uspB//metA//yadV//glnX//gltJ//torR//alsE//adeD//slt//yagK//argF//ycgZ//ynbB//ihfB//leuE//bioD//erpA//gudP//ydiU//tsr//umuC//priB//thrT//fliD//cvpA//mukB//trpC//sroC//
FliZ	ydcU//
Fur	kdpA//leuP//fhuD//metJ//cra//fhuD//amiA//omrA//uraA//hcaD//iscS//trmD//ilvY//ppdD//hofB//gspB//yaiW//gltL//uidR//rnlA//pitB//argF//fruA//fadR//
GadX	ycjF//pspF//hchA//fabH//ompT//rffM//hchA//
GcvA	ydcV//argE//
H-NS	avtA//mipA//cysE//trmA//cho//leuL//yegR//eno//mltF//nimT//gpmM//allE//csrB//exbD//
HU	lacI//rplS//
HcaR	ddpF//metU//uvrD//tonB//sdaA//phnO//
IHF	kbaY//pgpC//ppiD//dsbG//yeiW//alaX//psiF//
IlvY	fliS//recA//
IscR	rffH//umuD//fruB//trpC//xapA//dgcN//yfiB//ppdC//
KdpE	rpsU//amn//gltL//kdpB//
