#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	wecB//
Ada	ydjM//ynjI//hcaE//
AgaR	malZ//lysU//alkA//ecnB//accD//rpsU//ubiG//
AlaS	ydeI//
AllR	bcsZ//alaA//mngR//bluF//ydbD//mcbA//ymiA//arcA//sohB//
AllS	ddpD//patZ//motA//
AlsR	yojI//yegZ//phnG//ttdA//ddpC//fliS//
ArcA	hfq//htrE//
ArgP	cpxQ//bacA//murR//
ArgR	xapA//dhaK//tonB//dgcN//flgL//ygaC//fepC//dicC//fliP//yjeV//yccA//hflC//xapA//yhjC//
ArsR	ftnB//hcaE//trxC//
AscG	lysO//
AsnC	mqsA//
BasR	queA//
BirA	yqhD//bioD//ompN//dkgB//artQ//
BluR	yfbR//tynA//iscU//wrbA//
BolA	isrC//sgrR//
CRP	rstB//hofC//dicB//yebG//rimM//tufB//gltX//aaeB//ydcT//mhpR//alkB//envC//dkgB//hflD//paaY//yqhG//hcaF//mukB//spf//rffC//fhuA//hflK//rclA//proM//yciW//cysC//leuE//glpR//comR//ompX//dsrA//eno//gcl//xapB//trpB//dinQ//gltI//hofM//rybB//queA//tehB//ttdB//gcvB//ykiA//yebG//emrB//rnlA//msrA//nadA//alaC//creA//yeiW//lysW//dsbC//phnE_2//ycjY//aroH//gpsA//uspD//flgA//motB//entS//glnV//sroC//znuB//aroH//azuC//omrA//
CdaR	proL//xapB//ydbK//glpG//phnE_2//
CecR	metF//bioD//sohB//ilvC//rffH//
CpxR	tufB//ydjM//valU//ppiD//queA//proK//ydbD//adiY//yafO//upp//ygdB//ybaT//yeiW//purF//accD//secB//nimT//yfiR//yhbE//leuX//pheV//fldA//yhbT//artJ//paaX//mngA//artM//nimR//torR//rnlB//argW//gspB//
Cra	yfdV//valX//mepH//mscM//patZ//leuC//fepG//rnlA//dgcN//hofP//mzrA//allB//mscM//glnU//ibaG//
CreB	zntA//
CsgD	ybhR//potG//yeiW//ydeJ//ibpB//lysO//yibQ//sxy//wzc//
CueR	mngA//znuC//
CynR	wzyE//omrA//lysO//tehB//
CysB	grpE//yfiB//mgrR//nadC//umuC//ydfW//hofP//ttdB//ybjG//hflK//
Dan	yfbR//tyrA//fliT//ybhF//
DhaR	phnE_1//tap//phnK//yaeQ//
DicA	cysE//livG//ttdA//flgG//slt//yeaG//gltJ//bioC//
DnaA	zntA//cheZ//
