#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	secB//
Ada	bcsZ//sdaA//thrU//
AgaR	mukE//ldtD//hdfR//dtpA//phnC//potF//lysR//
AlaS	ppdB//
AllR	pdxA//uspB//rarA//yqjA//agaI//bioA//osmB//bioF//pdxA//
AllS	mngA//glnB//pgm//
AlsR	dsbC//metT//ynjI//hdfR//trmD//mgtA//
ArcA	upp//fliN//
ArgP	phnH//trxC//gpmM//
ArgR	ybjG//cysD//glk//glnV//mqsR//pheS//yegR//yhdW//yecT//ygiZ//apaG//hcaR//omrB//alkB//
ArsR	yadV//serX//argE//
AscG	ruvB//
AsnC	alaW//
BasR	tyrV//
BirA	phnE_1//fliM//yhdY//seqA//gltX//
BluR	phnK//phnK//mngA//gudP//
BolA	yfdV//gudX//
CRP	fliP//ymjD//pgm//metT//ybfE//ilvC//ydcT//fadR//sgrR//cbpA//kbaY//phoP//yjhC//yeiB//cheY//accA//uspE//dtpA//rffC//arsR//uvrY//flgB//hcaR//rffT//nlpA//fhuC//htpG//ynbD//tfaQ//borD//uspD//proM//rdoA//ynbA//flgC//yegH//ydfH//artM//argU//amiA//rffC//flu//lysT//yeiB//mqsR//phoR//yhdZ//wecC//ydjM//artM//dnaG//hemF//hdfR//glpR//ecpA//zntA//efeU_2//asnB//hofC//mltF//wecB//dinF//treR//phnJ//pgi//mukE//sfsB//arcZ//
CdaR	rpsF//phoE//agaC//ydeA//mipA//
CecR	fhuB//wrbA//emrB//ydfN//fecR//
CpxR	fhuD//mngR//agaS//ydbK//gfcA//ynbD//ydjM//argA//ilvN//flhE//fecI//tynA//rof//paaX//upp//fadR//hofB//creB//ydfE//metF//polB//cbpA//trxC//ybaS//phoR//valT//yebG//cpxP//gor//fhuC//yjeV//ubiX//
Cra	trmA//dksA//phnF//rclB//wzyE//ariR//wzzE//yqhG//fecR//argH//fliM//yccJ//ecpR//bioD//ppc//
CreB	artQ//
CsgD	comR//mukE//hflC//yjhB//cysD//fliD//yfdV//valY//iraP//
CueR	livH//glpE//
CynR	cysK//bdcA//ykgR//ybfE//
CysB	yeaH//lysW//creB//phnO//fliM//mcaS//argT//phnG//dsrA//thiQ//
Dan	ybhG//htrE//uvrB//cmoM//
DhaR	flgB//phnP//insD//recC//
DicA	ydcU//yegR//cecR//ybhG//argT//hfq//alsA//dapB//
DnaA	yhbS//ybaS//
EvgA	kbl//ychF//cysK//dhaK//proK//gpmA//gspA//
FNR	hokE//tktB//cynR//hflK//gudD//argC//fhuE//leuV//dacC//rsmA//mcbA//folE//lon//ampD//pykF//rdoA//ydcU//fliP//chiA//ybaT//agaD//leuV//symE//narQ//flhA//phnM//fliT//
FadR	flgC//rmf//hcaF//bdm//leuB//phnP//phoP//bioB//
FeaR	tyrV//
Fis	hofM//fliN//dkgA//uvrC//gltX//umuD//fnrS//ampD//cysK//wzc//agaC//ynbD//yojI//dinD//rdoA//ompA//serX//yfiR//motB//ydfE//ydeI//purF//argT//thrU//ilvC//acrR//comR//uvrD//trpA//zraP//ydiV//ydfD//iscU//purE//flgG//pykF//sfsA//pnuC//hofB//sbmA//flgC//envC//tonB//pgpC//intQ//yhbS//ybhS//yjhC//argB//pheU//ycjG//ynbC//recX//glgS//luxS//ydeJ//
FlhDC	yfdX//gltK//pepA//mltF//glgX//yfbR//ldtC//gudX//artM//umuD//gspA//fepC//fabH//phnF//adeD//tdh//zraP//yhhY//ysgA//ddpC//arsR//leuQ//tbpA//erpA//intQ//fliM//argB//sfsB//hdfR//gudD//patZ//mgtL//cynX//cbpM//glpE//bluF//pgpC//dhaM//
FliZ	phnI//
Fur	mqsA//wecC//dgcC//secB//ung//btuB//valT//pdeH//decR//ppdC//allS//hofO//cra//creC//phnL//rdoA//hemH//flhE//lysR//sdaA//cheA//tyrT//agaD//wzzE//
GadX	purB//aroH//ybhF//ymiA//cyaA//cbpA//rybB//
GcvA	bluF//frc//
H-NS	glgX//rof//yhdX//leuX//ybjG//ppdA//yebG//amiA//livJ//gpsA//cpxQ//glnB//nimR//recC//
HU	cecR//argI//
HcaR	phoP//yafO//zraP//ycgZ//ybbY//lrhA//
IHF	agaS//wecB//ryhB//pepA//luxS//yecT//tktB//
IlvY	sdaA//uspB//
IscR	flgJ//tsgA//azuC//wzxE//kdpB//rnlA//metU//speB//
KdpE	phoP//phoR//ykgM//agaS//
LeuO	yciW//thrT//gyrB//cbpA//rutR//ddpA//
LexA	ubiX//lolA//fliT//gltI//argH//wzzE//agaS//tyrV//ychF//phnK//flgI//mqsA//mgrR//hofC//fliO//hcaC//yhbT//ttdB//rffT//leuX//ldtD//cpxR//lysO//artM//rpiB//trxA//wzc//sroC//livG//glgX//omrB//yciW//ycjX//ykgR//obgE//rclB//sbcC//
LrhA	ybfE//
Lrp	paaX//ydbK//accA//pheV//glmS//motA//fhuB//dkgB//argB//ddpX//avtA//flgK//yfiB//efeU_2//
LysR	cpxA//
MalT	alaS//
MarA	thrU//pitA//
MatA	metF//cdaR//
McbR	ilvN//
MetJ	recX//agaS//cynS//znuB//umuC//
MlrA	purL//tsgA//flgJ//livJ//lysV//
MngR	xseA//ptrA//xseA//
MntR	dhaK//spf//
MprA	proM//ttdT//rffT//
MqsA	agaS//psd//
MurR	aaeR//
Nac	hemH//serT//recN//potH//livJ//
NadR	slt//mntS//trmA//
NagC	lysV//uspB//pheU//agaB//agaC//
NanR	manA//cheR//
NimR	recX//glnW//
NsrR	htpG//grxD//pgi//leuD//gspA//dhaK//hcaF//purL//efeU_1//dinF//hcaR//ppc//kdpB//efeU_2//hemF//ftnB//hyi//livF//yibQ//obgE//argC//gltI//glpR//dacC//kdpA//tisB//dapD//cpdB//exbB//cmoM//
NtrC	symE//lexA//gltI//purC//leuT//flgI//cysD//dgcN//tap//argH//sfsB//ykgR//livH//apaH//hofP//accA//yiiS//
OmpR	mgtA//sgrR//entS//trmD//
OxyR	fecI//rnlB//phnP//arsC//ydeI//lon//yjjZ//ydcT//phnO//
PaaX	metC//ldtC//
PepA	valX//
PgrR	tpr//yccT//cmoM//glyU//dkgB//rpsP//ftsK//
PhoB	kdpF//yibQ//uvrB//mepH//cbpM//tadA//ydeI//pdeF//uidR//wzc//ybfE//trpB//pfkA//dinQ//ynbB//recA//ppdD//yeaD//mprA//yhbS//trpR//ppiD//amn//purC//fliL//erpA//znuB//fliN//phoP//yidL//tynA//
PhoP	creC//argU//comR//leuP//rdoA//dkgB//phnE_1//yiiS//cynT//speB//phnD//crl//yecT//efeU_1//fecI//fabG//
PspF	ykgR//
PurR	efeU_1//rstA//yfdV//cbpA//yaeQ//rybA//aaeX//hflD//yfbR//yafO//fhuD//pdeH//ybbW//
RbsR	yfdV//
RcdA	phr//hofB//ysgA//
RclR	ddpF//tufB//gltK//
RcnR	recX//
RcsAB	cynX//asnB//znuA//yccA//ompA//
RcsB	dgcN//bacA//hslJ//dsrA//
RcsB-BglJ	queA//dapB//sdaA//ftnB//gcvA//ilvY//argU//wzb//phoP//ompT//fruB//
Rob	ydeI//
RutR	glxR//
SdiA	ycjG//
SgrR	agp//thrS//livK//rpmI//bioC//phnK//
SoxS	alkA//fnrS//thiP//tar//hflC//iscR//
SutR	mhpR//frc//
TorR	tehB//
TrpR	gpsA//flgI//purF//yidQ//proK//ada//ybjG//allS//
TyrR	dnaG//lrhA//cheW//
UidR	ydfW//
UvrY	rffM//mukF//
XapR	thiP//seqA//
YdeO	gcvA//luxS//
YjjQ	mgrR//pagP//leuA//bcsZ//ydfE//artP//ddpB//
YpdB	ybaS//
YqhC	hflC//fhuA//
ZntR	dapB//
ZraR	agaR//
Zur	leuD//pepA//alsA//rnlB//ftnB//
