#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	lysT//
Ada	tar//fruA//yqaE//
AgaR	nimT//ybhL//fadM//rffT//ynjI//znuB//wzzE//
AlaS	uspB//
AllR	phnJ//pspF//arcA//alsE//ilvN//ecpA//ygeH//yhdZ//agp//
AllS	fabI//efeU_1//arsC//
AlsR	yfiR//lon//argW//queA//yebE//folE//
ArcA	narQ//fldA//
ArgP	ecpR//htpG//dhaK//
ArgR	hemF//apaG//cheA//uvrC//nadA//ppiD//rplU//zraP//acrR//nlpE//cho//ydfN//purL//yebG//
ArsR	potH//paaY//borD//
AscG	mntS//
AsnC	garD//
BasR	trpA//
BirA	leuA//pepD//omrB//nadC//purF//
BluR	potI//ybjG//potH//znuC//
BolA	gfcA//bluF//
CRP	cynX//metU//ftnB//phnI//ybhR//ariR//ada//ada//tonB//obgE//ibpB//sfsA//efeU_1//metJ//hofP//wzyE//znuA//phnK//ydfE//lexA//rpoD//ynbC//rdoA//cynR//ariR//rdoA//artP//iscA//manA//metA//wecC//gudD//fliN//pheU//sbcD//entS//umuD//trmD//yiiS//accD//ivbL//hemF//oxyS//paaX//ariR//dhaM//yeaH//cysC//bioC//yhdZ//argU//ykgM//oxc//grxA//rstB//ydcT//ybhS//rutR//xdhB//flgD//thrW//purB//ymgC//yfdX//isrC//phnO//ycjY//exbB//
CdaR	pheT//hchA//mhpT//dgkA//flgI//
CecR	ydcV//yhjX//sroC//glnX//hemF//
CpxR	queA//erpA//ycjF//rcnR//wzyE//proL//hofM//argA//borD//queA//ynbD//csrB//ybhL//arsB//wrbA//ydfX//dsbG//polA//glnX//rclA//bcsZ//hflD//hcaR//tsr//ybhR//uvrC//tisB//rdoA//ttdR//livM//artJ//speC//
Cra	pnuC//emrB//nlpA//yqjA//ddpB//agp//glnU//bcsZ//grxA//ecpA//sdaA//rpsP//glpE//sxy//flgE//
CreB	agp//
CsgD	ymjD//rmf//dgkA//hcaR//yhdX//insD//cvpA//nadC//dicC//
CueR	yqaE//ampD//
CynR	tadA//dsbG//ung//mqsR//
CysB	trpL//torR//yfiB//lysT//leuC//nadB//trmA//pykF//torR//uspE//
Dan	glmU//glyU//dicC//yfbR//
DhaR	patD//uidR//recC//dgcN//
DicA	csrB//pheT//ydfH//hcaC//trpD//infC//rybB//patD//
DnaA	avtA//yncE//
EvgA	cynS//alaS//cstA//yhbT//flu//recC//speB//
FNR	yhbE//cysK//arsB//talA//ydeA//glgB//ymjC//ygaC//manA//cyaA//ompX//ycjG//pdeF//xdhA//fecR//fliT//rpoD//ldtC//dhaM//fabG//gudD//fliO//rarA//flhE//alaC//tufB//tynA//
FadR	lolA//glyT//fliT//cheW//yciW//creB//phoP//yafN//
FeaR	flgF//
Fis	alkA//nlpE//flgC//potG//gltJ//fruK//insD//ada//ydfH//yciW//leuB//ychO//mlrA//symE//purC//rffC//leuA//malZ//allC//aaeA//ygbK//aspV//crl//uraA//zntA//fhuC//borD//yhbT//alaC//alsC//mhpR//uvrB//ynbA//preT//flu//polB//gltK//purF//glxR//yeaH//ydfN//leuX//yeiP//rof//ptrA//yciX//polA//valX//mgtA//pdeH//valY//phnF//lrhA//flgJ//arsR//uspE//
FlhDC	ybbW//bioB//fliR//uvrB//lysT//sbcC//treR//ykgO//cheZ//agaS//pagP//alsA//hokE//mhpT//wecB//dapD//exbB//mltF//agaS//cra//mzrA//gltI//tyrB//hslJ//yqaE//ruvB//yafP//glyT//fabD//trpB//infC//aaeA//ldtD//uraA//gspA//phnF//comR//ymgA//
FliZ	ynbD//
Fur	preT//pdeF//ydfE//uspB//iscU//gltJ//ysgA//yeiW//yfiR//rffT//adeD//glgX//ydbK//speB//artJ//argB//flgH//hofC//recA//rdoA//ybhL//aroH//yidL//glpR//
GadX	phoH//lysC//secB//ymiA//cpxR//pdxA//exbD//
GcvA	thiP//gltI//
H-NS	allB//pepD//mukB//phnL//wzzE//ppc//flgC//torR//dtpA//ydcV//hofP//glnB//cysD//mqsR//
HU	glpG//bcsB//
HcaR	rmf//hcaD//ybaT//hofP//yhdY//fecI//
IHF	nlpA//aroF//ynjI//yhbS//gpmM//tktB//ppdC//
IlvY	cheW//hflC//
IscR	wecC//luxS//gudD//argI//dhaM//yecT//mgtL//fruA//
KdpE	hflX//dtpA//agp//ecnB//
LeuO	argW//gpmA//ybhL//agaC//hflK//fruB//
LexA	nadC//cynR//envC//sohB//yagK//xdhC//envC//znuC//comR//phr//obgE//ecnB//dinF//glnB//malZ//ygbK//tfaQ//spf//ygbK//phnL//cynX//pgpC//flhB//glmS//dgkA//rffM//tyrT//wzb//yhdY//iscS//flgK//wzb//chiA//pspF//ddpX//bioA//yhjX//
LrhA	leuT//
Lrp	rclA//fldB//mgrB//luxS//pgi//ygbK//dicB//fepD//argI//flgI//ybjG//pdxA//sroA//ydeI//
LysR	fhuA//
MalT	artJ//
MarA	lolA//tfaQ//
MatA	metJ//livF//
McbR	trxA//
MetJ	adeD//rstB//flgD//creB//flgL//
MlrA	rplU//cmoM//arcA//fliP//ymjD//
MngR	flxA//osmB//hflD//
MntR	nimT//wcaB//
MprA	metA//pheS//dinF//
MqsA	valY//nimT//
MurR	cynT//
Nac	nadA//sohB//fliO//hcaB//dkgA//
NadR	livH//ybfE//rnlB//
NagC	ycjG//ptrA//uspB//metU//phnH//
NanR	cysN//apaH//
NimR	dgkA//topA//
NsrR	mscM//dinB//yhbT//glgB//cra//mukB//thiP//leuL//cynX//comR//yccT//rpsR//fabI//hflC//pdeF//sbmA//phnM//trpL//phnE_2//wecC//gpmM//ymjD//tehB//ybbY//cra//ykgR//ilvC//fadR//mqsR//preT//
NtrC	ruvB//emrB//rcsB//nlpA//fecI//ppdB//cmoM//sroC//ydfN//yjhC//fabH//dgcC//ilvB//alaX//rpsP//argU//ddpB//
OmpR	glgS//tisB//ivbL//glnV//
OxyR	dhaL//fruB//fliS//artM//ysgA//cysN//proL//gcvA//nlpA//
PaaX	yncE//cheB//
PepA	yidL//
PgrR	cysC//yqhG//yegH//yfdE//fecR//phoB//rffT//
