#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ybhR//
Ada	fabI//leuW//arcA//
AgaR	ydfH//zntA//ybhF//phnP//slt//thrU//iscS//
AlaS	crl//
AllR	btuB//hofP//flgL//pagP//trpB//kdpA//recC//fliT//valX//
AllS	yciW//yhdX//gudX//
AlsR	glxK//bdm//mqsR//symE//flu//ftsK//
ArcA	copA//yhbS//
ArgP	intQ//hofB//motB//
ArgR	arcZ//metT//entS//glpE//sroC//rpsF//artP//cheW//phnC//yafP//mngA//ribA//trmD//argT//
ArsR	ppiD//ydeJ//leuW//
AscG	mgrB//
AsnC	pheT//
BasR	yhdW//
BirA	dapD//leuW//ygaC//rpmI//yebG//
BluR	ppiD//paaX//artI//ychH//
BolA	dhaM//agaD//
CRP	arsB//ybfE//kdpB//artQ//ubiX//tbpA//ubiG//fruA//fldB//ompT//ompA//speC//motB//hofM//dsrA//fliT//wzc//talA//ydbK//ttdB//mhpT//ycgR//yafO//leuT//thrW//ychO//hflD//flgJ//yhjC//artI//dsbA//sohB//leuD//ilvC//topA//valX//csrB//rffC//rcsD//hcaF//rplS//glxK//rffH//queA//lolA//trpE//flgK//argW//trpL//yfdV//yfdE//aaeX//gyrB//kdpB//mngR//agaS//cpxA//malZ//emrA//ddpA//flgK//argC//allS//tfaQ//cueO//ycjX//flgH//fecR//
CdaR	hofO//yfdE//ybaS//leuC//accD//
CecR	fabH//tyrV//fabG//treR//dacC//
CpxR	bioC//phnP//glpE//ybhS//ynbD//fruB//rcsD//exbB//xdhA//arsC//glgS//fliT//leuQ//gltI//glnX//malZ//xseA//pepT//yqhG//ttdB//fliS//gspA//dkgB//talA//gltJ//yafN//ivbL//glmS//dtpA//psd//rffC//flgC//
Cra	metA//ydjM//argH//yncE//mltF//yfdE//leuD//creA//glpR//ddpX//pgi//ibaG//recA//mcaS//crl//
CreB	flgC//
CsgD	ybjG//argT//proL//ycjF//rfe//rcsD//pfkA//pheS//gcvA//
CueR	rpoD//copA//
CynR	fliD//iraD//rclB//argW//
CysB	hslJ//raiA//thiP//flxA//speC//iscU//dtpA//alaA//metU//ymjD//
Dan	accD//thiQ//yjhB//yciX//
DhaR	ompA//sroA//wza//ybaS//
DicA	pheV//phoB//yeaD//topA//flgD//cbpM//fabH//ychO//
DnaA	ddpF//argW//
EvgA	psiF//ttdR//btuB//cvpA//dtpA//tyrA//glpG//
FNR	ydjM//cvpA//glmS//flgB//ynbA//flgG//phnG//tdh//leuB//tonB//alaA//argR//rffH//pspF//hcaR//allS//phoR//fliS//yfbR//alkB//flgC//ynbD//ybhL//hcaR//purC//motA//amiA//
FadR	sxy//fecR//nadB//yfiR//yhbT//fhuC//ycjF//cmoM//
FeaR	ydeA//
Fis	hofC//argH//fhuB//dgkA//yjjZ//flgI//cysN//leuV//pdeH//pfkA//ddpF//dnaG//acrR//ihfB//gltX//gor//yccJ//tyrT//tehB//efeU_1//aspV//yhdW//glnU//tsgA//pagP//dsbA//ampD//prs//accA//leuX//kdpC//rpiB//tyrB//glgS//rffT//flgL//cheR//fecI//ivbL//arcA//artP//phnM//artM//arfB//lysU//rybB//rfe//ydcS//dkgA//yeaE//ppdB//umuD//ubiX//ompA//gltI//rpoD//
FlhDC	ilvY//dinG//alsA//gpsA//btuB//insD//fadR//wecC//tonB//polA//ybhF//hisR//slyB//ftsK//wzc//glmU//glgS//alaC//ydiV//ompN//fhuA//cmoM//entS//ynjI//ppdD//yhhY//ygbK//fhuB//mngB//gpmA//lrhA//yqaE//yccJ//ybhS//uspE//ilvC//fhuD//emrA//
FliZ	phnG//
Fur	xdhA//ddpX//btuB//flgK//symE//rffH//argE//cho//leuA//mukB//preA//yeiP//hofB//ynbA//dsrA//pgpC//psiF//dinD//wcaA//ynbB//gspA//argI//ynbA//glxR//
GadX	yidQ//cpxR//gyrB//flgH//pgm//thiQ//ysgA//
GcvA	asnA//insK//
H-NS	alaX//glgB//agaC//fecI//ydiV//ecnB//ruvA//purB//glxK//ymiA//yeaE//tcyP//yaiW//yeaD//
HU	fecR//flgE//
HcaR	lysT//topA//slt//yjjZ//fadM//phnF//
IHF	ybaT//flhE//ppdD//mepH//yhbE//mhpT//gltI//
IlvY	livJ//apaH//
IscR	artP//ddpA//hemF//serT//ybbW//ybbW//alsC//ynbD//
KdpE	cecR//ybbY//flgH//asnB//
LeuO	ybaS//yhbT//ybhF//recA//yhjC//purL//
LexA	iscA//tcyP//proL//fadR//phoR//ybhG//ybhF//wzb//phoB//asnB//lolA//rybA//hokE//phoP//fhuB//hfq//cvpA//ydeA//glxR//glyU//yjhB//glpG//tyrA//phnC//pfkA//metC//chiA//trpA//yaiW//flgG//amiA//yhdX//rof//phnD//leuW//alsE//topA//
LrhA	yccA//
Lrp	prs//phnJ//secB//efeU_1//yeaE//ynjI//phnP//yhdY//tadA//mngB//ribA//metA//yciX//csrB//
LysR	leuW//
MalT	thrS//
MarA	uraA//ybaT//
MatA	dapD//entS//
McbR	mukE//
MetJ	ysgA//alaW//xdhA//rcsD//rimM//
MlrA	artQ//cbpM//leuT//ubiG//phnP//
MngR	rffC//aaeB//avtA//
MntR	tcyP//kdpA//
MprA	phnL//serX//yoaC//
MqsA	cho//flu//
MurR	arsC//
Nac	gudX//recA//yqjA//ynbA//yiiS//
NadR	isrC//sutR//fliR//
NagC	argC//aroH//iraP//gcvA//cpdB//
NanR	bdcA//mipA//
NimR	fliM//ldtD//
NsrR	gltX//gltX//sbmA//bioA//dgkA//frc//ynbD//livJ//sutR//mgtA//adiY//ybaS//nlpA//rplS//dicC//flgG//comR//yebG//fabH//leuE//ompA//rof//hflK//zraP//nadB//frc//rpsU//potF//thiP//sfsB//
NtrC	xdhA//proL//kbp//asnA//yeaE//cpxP//trpD//rsmA//speB//zntA//arcZ//gcvB//yhfA//yfiB//thrW//exbB//ihfB//
OmpR	yebE//slt//narQ//flgB//
OxyR	hisR//rpiB//topA//hcaD//infC//yeaD//glk//talA//alkB//
PaaX	pgpC//speB//
PepA	nadA//
PgrR	glyT//fepG//flgE//mpaA//glnW//bioA//glpG//
PhoB	thiP//trxC//btuB//kbl//livJ//cra//yfbR//iscA//lolA//yqhG//hofO//yhfA//gcvB//tyrA//sgrR//rpsU//rffC//yccJ//uidR//fliT//mukF//flgC//gltI//pspF//yhhY//fliD//iscS//leuB//glpE//infC//yeaD//
PhoP	dnaG//ompN//alsE//fabI//fepD//trpD//fliP//iraP//znuA//agaS//kbl//yccJ//tyrA//wrbA//wecE//hdfR//
PspF	allB//
PurR	yibQ//wrbA//fabD//leuW//ecpR//yciW//yjjZ//cheY//yhfA//ubiG//kdpA//glpR//yhbE//
RbsR	ydcV//
RcdA	ychH//xapB//trmA//
RclR	ycgR//yidL//raiA//
RcnR	arsC//
RcsAB	rpiR//nadA//leuD//alsE//tadA//
RcsB	narQ//pheT//yeaG//thiP//
RcsB-BglJ	nadC//mgtA//yjjP//livK//avtA//trpB//tpiA//glmU//ilvC//amn//ycgZ//
Rob	rcsD//
RutR	aroH//
SdiA	ung//
SgrR	mqsA//nohA//cysD//ygdB//phr//ung//
SoxS	sbmA//gcvA//leuA//sgrR//allB//dsrA//
SutR	hcaB//ppc//
TorR	cyaA//
TrpR	ycjG//fliQ//yncE//tbpA//insK//comR//adiY//paaX//
TyrR	alkA//hcaD//kbp//
UidR	uvrC//
UvrY	allA//mipA//
XapR	hemF//cdaR//
YdeO	lysC//phnE_2//
YjjQ	phnJ//fabI//dhaR//phr//gpmM//glpR//kdpC//
YpdB	trmD//
YqhC	hcaD//ddpA//
ZntR	ybfE//
ZraR	dinQ//
Zur	leuV//zntA//cdaR//yjhB//talA//
