#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	hcaF//ecpA//
AcrR_neg	glcA//mntH//yjjZ//ulaD//trpD//frdC//glmY//phnK//araE//malM//nuoG//
Ada_neg	fliS//murG//
Ada_pos	bioF//idnT//cusB//aroM//
AdiY_pos	ulaA//aceK//emrA//dctR//phnK//crl//ydeN//higB//
AgaR_neg	ykgM//aroG//csgA//mhpB//gntU//manZ//ulaD//ompT//citE//acrD//hyfI//
AidB_neg	rhaR//
AlaS_neg	uidB//
AllR_neg	glpF//argA//cytR//argC//hyfH//phnI//hdeB//pgaC//ydfX//
AllS_pos	idnO//fhuF//nagB//
AlsR_neg	yoaG//ugpQ//bacA//mhpD//agaW//artI//
AppY_pos	dicC//ftsW//rplU//lamB//hisP//emrY//rplU//hycE//dtpA//ada//
AraC_neg	pgk//moaE//sfsB//ydeP//oxyS//yfiR//srlD//citC//
AraC_pos	ung//lpxA//paaG//glpT//ssb//stpA//caiB//entD//katE//ecpA//
ArgP_neg	murC//
ArgP_pos	xapB//ddpC//bglG//mntS//creC//sufD//glxR//murC//hyfA//zwf//ddpC//metQ//phoA//
ArgR_neg	murC//norV//dcuR//ybdZ//isrC//cysD//gloA//appA//tauB//cyoC//deoC//casB//ydbK//dnaG//recB//casB//accD//hemL//exuR//aceA//ybhF//tauB//ttdR//nupC//pdeR//ftsA//murC//kdpF//frdC//ydfN//cysE//rpoE//yhjC//
ArgR_pos	ptsH//ykgO//wzxE//hycB//pheM//
ArsR_neg	mngA//citC//fumC//
AscG_neg	dgcC//rpoD//garK//casB//alsA//
AsnC_neg	rpmA//bglJ//aroH//
AsnC_pos	aroM//
AtoC_pos	dkgA//agaW//fepA//nikA//
BaeR_pos	iscR//hisP//mntS//tomB//kbp//bioA//nac//aroP//
BasR_neg	hns//relE//
BasR_pos	glnG//trxC//ybiT//gspI//mepH//recD//ycjX//fecR//sdhD//frdB//cysD//
BetI_neg	hyaF//flgL//soxR//napB//
BirA_neg	pstS//nadA//garP//dnaN//rclA//
BluR_neg	tyrP//dapD//lysR//yciW//
BolA_neg	ynbA//ldtB//
BolA_pos	phoR//hisJ//
CadC_pos	glnH//pepD//phnG//
CaiF_pos	fecD//ybhF//ddpA//nfsA//mhpA//glnH//mgtA//nikB//tsx//hyfD//
Cbl_pos	gatB//phnL//tdcD//mtlA//dicC//ddpB//gabD//paaA//atoE//
CdaR_pos	hycD//bglF//mngR//aspA//ccmB//ppsA//ssrS//glmS//yegH//lacA//
CecR_neg	wza//ydhU//fepC//aroH//fadL//
ChbR_neg	yafN//glnA//feaB//tadA//pspG//carA//
ChbR_pos	citC//cpxP//purB//rffT//katG//wzzE//
ComR_neg	entF//
CpxR_neg	nikE//yfdV//narK//araJ//pgm//baeS//rnlB//pgk//metY//ydhT//ssuA//gltI//glxK//trpR//nfuA//lsrB//yjbE//gpmA//ogt//hyaE//cas2//gltI//argH//mdh//
CpxR_pos	hypB//fepA//gltD//fhuD//ftsI//glnK//nanA//gltF//fldA//setA//rseC//entC//artJ//wrbA//fliQ//cynR//ssuE//psiE//alaS//hmp//flgM//galR//chbC//fabI//flgB//metI//ampC//glnD//folE//astC//sroD//nirC//argF//chbF//yccA//recC//metJ//uidB//gpmA//sroA//nikD//sodB//aceE//tam//malI//ydeO//
Cra_neg	polB//fliP//fliP//purB//slt//aldA//ibaG//csgF//rclA//kbp//metK//aceF//puuC//ubiX//malS//recD//ygeA//epd//treR//glgP//rclB//intQ//phoQ//fhuA//metY//tisB//flgI//norW//yegH//frdB//gabT//ftsL//aroG//edd//yqjI//gspO//citE//pstS//prpE//fliE//galT//hcaB//bioB//stpA//csgC//yjbE//rsmH//fadM//tbpA//tbpA//flgC//malG//qseC//dsbC//argF//paaE//hypA//cbl//argA//
Cra_pos	fepE//rbsR//yeaR//fdnG//symE//glnL//hycB//ydjM//tsgA//dsbC//nuoE//hyaE//ydiU//yoeB//hipA//yhdZ//cpxQ//dctR//dacC//micF//bglG//tynA//cirA//
CreB_neg	ruvA//ldtB//ppiA//
CreB_pos	cspE//frdB//
CsgD_neg	agaB//flgG//dpiB//dtpA//ugpC//wzzE//ycjF//rybA//nfo//ugpB//nuoJ//argB//puuD//xylB//mntH//
CsgD_pos	creA//gntT//hyfC//hypD//acrB//melR//ompN//ybjC//dcuB//grxD//yhdZ//glcD//ccmB//
CsiR_neg	fiu//kdpF//malX//manX//rbfA//
CspA_pos	gspH//idnT//
CueR_neg	ftsQ//yciW//ymgA//ariR//gspD//
CueR_pos	psiE//ssuD//
CusR_pos	metY//deoC//prpD//torD//borD//artJ//deoC//flhB//uvrC//nupC//glpT//sra//
CynR_neg	cpxP//
CynR_pos	ddpB//glgC//infC//
CysB_neg	fldB//allE//frc//pdeL//ampC//zraR//pgi//
CysB_pos	frc//paaY//phnF//mhpT//yfiR//ycjF//gyrA//rutC//idnO//amtB//tsgA//gspM//rsmH//yjiY//cysU//ddpF//crl//ydeN//yqjI//nac//ybaT//cbl//accA//oppD//gcvA//
CytR_neg	phnK//creB//ptsG//napC//fecR//ydbD//ruvA//pgaB//rfe//csgB//tktB//ahpC//pdeR//
Dan_pos	mdtA//ryhB//yeaE//metN//
DcuR_pos	emrY//ybjC//mgtL//rbfA//ldtB//fadI//caiC//yegR//aspA//
DeoR_neg	kdpF//mhpE//mngR//ccmB//glnH//arsR//
DhaR_neg	gntX//
DhaR_pos	gspF//feoB//ddpX//
DicA_neg	nanK//yecR//cusB//rffT//ydeN//aidB//artJ//ccmD//
DinJ-YafQ_neg	yjhB//appA//csrC//
DnaA_neg	trpD//hycF//ybjC//dgcZ//mhpB//hokD//ykiA//yoaC//ycgZ//infC//nemA//
DnaA_pos	ycjF//rprA//sbcC//yccT//manZ//asnA//ybfE//
DpiA_neg	tpiA//
DpiA_pos	rffM//purC//gatB//cdaR//yhdW//mntS//hyaB//yeiB//nrfB//yhbE//
DsdC_neg	ccmE//
DsdC_pos	codB//ydcV//
EbgR_neg	fadA//pnp//
EnvR_neg	eda//phnH//
EnvY_pos	oppF//trpR//
EvgA_pos	gspE//xylG//seqA//torR//yncE//tauB//ybbW//yafP//mioC//artM//ygaC//flgJ//caiE//cspD//ompC//psiE//fumC//fliQ//sdhC//
ExuR_neg	uxuB//gspO//fecB//fhuA//fimB//fucP//infB//fliT//yciX//
FabR_neg	spy//cynR//
FadR_neg	ydhW//nrfG//sra//manX//yfbR//nmpC//rcsA//amtB//glpA//infC//mscM//
FadR_pos	acnA//lsrG//fliA//aceE//atoB//dinG//araE//paaD//rpoS//degP//citD//crp//
FeaR_pos	ruvB//wecE//
FhlA_pos	accB//galK//ycgR//fliR//trpE//arsC//araB//flhB//epd//exuT//caiT//argE//hypC//yeaH//hflD//wzb//glpK//yciF//dctR//mdtC//yhdY//mhpT//potG//glyA//ydbK//tktB//feaB//puuC//nikC//pyrD//
FlhDC_neg	ribA//entF//yqhD//baeR//
FlhDC_pos	fepD//ytfE//yeaG//dgcN//obgE//phoU//cpxP//argG//asnA//ybaT//glcF//frdC//pgk//recF//ynfH//ydfX//fhuC//lysC//yiaN//argA//mglA//caiE//rnpB//tauB//dmsA//glnB//rutF//sgrS//lsrB//ftsK//puuB//psiE//fecC//rhaB//entC//yeaG//casE//metC//yafQ//rimK//zraR//yfdX//umuC//ygiA//csgF//oxc//speB//nmpC//ssb//cyoA//ddpC//hslJ//tfaQ//rybB//nagE//trpA//paaF//phnE_2//cynR//fucP//fimE//casD//glpK//prpB//ydhU//flgA//nemA//lacY//pgk//ydjM//hdeA//puuE//glk//rpiR//nanM//ptsI//nirB//phnM//
FliZ_neg	fumB//deoA//aceA//mazE//phoQ//cynT//dhaL//recC//gabD//rpoS//flgD//metA//sulA//garR//cspE//hyfR//yfbR//yciW//gspH//glpB//glcB//
FucR_pos	bioC//rbsC//hybC//yciG//cysH//ssrS//pfkA//
Fur_neg	hyfB//htpG//mhpE//trpC//galM//hydN//pdeL//yiaN//yqjA//prs//moeB//nmpC//nagA//cysI//dinD//ydhU//micF//erpA//lysC//puuE//ryhB//yqjI//caiE//nirB//mhpT//argP//ebgC//fliO//pspD//gcvH//flgG//phnG//udp//ccmA//yhjX//casA//hipA//gatZ//acrZ//bluF//leuA//deoB//yjbH//fecI//relA//phnK//ynbB//hycC//mscM//atoE//ftsK//glxR//znuC//oppD//fliD//lolA//hyfA//ftsA//rtcA//mgtA//leuA//nfsB//feoA//galT//cheA//artM//hypB//lacZ//mglC//uspD//dkgA//mazF//mhpA//lsrG//marR//nrfA//garD//nrdH//dapD//ydfH//lacA//tsr//gnd//ulaC//pspA//purE//bolA//tnaC//pspA//cydD//glpX//acrA//ryhB//ung//rybA//betA//fdnI//tisB//nrfF//ugpB//gspL//rhaB//ppdA//ygbK//murQ//mdtA//codA//truB//ynbC//sroC//setA//mntS//gudX//yoaC//sbmA//
Fur_pos	uhpT//epd//yedX//nrfB//ssuA//ompC//kdpF//fliT//manX//wecB//ygiC//ybfN//dsdA//flgB//dinB//phnC//agaD//fhuD//cusB//citE//ahpC//
GadE-RcsB_pos	acrD//ascB//patD//fliJ//sbmA//metB//flgJ//glyA//hyfJ//
GadE_pos	tcyJ//mpl//udp//adiA//nanE//malS//murF//puuR//prpE//nikR//nirD//glcF//leuL//ccmA//yiaL//ppiA//omrA//gatB//frdA//tdcB//aceB//pqiB//nuoG//uvrY//mngR//tonB//mioC//rpiR//rplT//
GadW_neg	glnP//ynfF//symE//hyaE//yciX//mcbA//betI//ygeH//yoeB//prpB//ycjY//
GadW_pos	phr//modA//mazF//fdhF//sodA//fepC//dinI//purK//epd//mhpE//ugpA//
GadX_neg	yhdX//fliE//fadM//astD//ygiA//prs//
GadX_pos	pdeH//recN//agaD//higA//phoU//aceE//ybjN//nirC//ptrA//aroG//dsbG//ydhX//inaA//relB//yccT//yfiB//lhgO//purR//carA//ydfW//ruvA//pgaD//cusB//glgA//paaK//ydiV//moaB//
GalR_neg	hycE//rbsC//thiP//hyfH//sdhB//astC//paaF//wzc//phr//hcr//
GalR_pos	paaC//cra//hns//mngA//
GalS_neg	oppC//bioB//cyoB//recX//fecI//rpsU//rutF//yhjC//sgrT//nfuA//
GalS_pos	dinJ//pheS//uhpT//tam//
GatR_neg	yfbR//kbaZ//atoB//ribA//fucR//hyi//
GcvA_neg	ykgO//murF//yfbR//potI//
GcvA_pos	fucO//paaZ//ynbA//ogt//
GlcC_neg	rtcA//
GlcC_pos	galT//yhdX//fliE//rpoD//ydhT//glnB//
GlpR_neg	ynfF//csgC//cysD//accD//bdm//cdd//psd//exbB//fixC//
GlrR_pos	tdcB//cysE//hyfF//paaF//gnd//
GntR_neg	paaX//hslJ//ptrA//ptsH//trxC//cysB//ptsH//potH//wcaB//yjiY//atoB//yfiR//
GutM_pos	fecA//phoA//slt//pdeR//ygeH//pdeL//bglJ//
GutR_neg	acrA//ecpR//focB//ycgR//cvpA//nuoH//oxyS//
HU_neg	pagP//crl//inaA//ybdZ//tdcB//cusC//fldA//flgD//
HU_pos	flgL//
HcaR_neg	purA//
HcaR_pos	grxA//argE//ulaF//fliZ//psd//
HdfR_neg	norR//trxC//
HdfR_pos	yciX//fepE//ydiU//
HigA_neg	yiaM//pspA//
HigB-HigA_neg	rseC//ompC//
HipAB_neg	ydfD//ompF//pstC//pnp//glpC//
HipB_neg	lamB//glpA//fliP//nrdF//leuD//cysG//
HyfR_pos	lldR//gatD//fixB//ssuE//ydhW//fhuC//ugpC//yiaJ//nrdE//ptsH//yeaH//ddpB//
HypT_neg	kdpB//glgC//ugpC//luxS//gnd//
HypT_pos	skp//nrfD//yecR//hha//gudP//araJ//mgrR//zraR//
IclR_neg	guaA//rhaB//aspC//sgrS//
