#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	nirB//yefM//
AcrR_neg	molR_1//hyaF//yafN//ynfH//argR//pstS//chbR//malX//aldA//ykiA//dsbC//
Ada_neg	uvrC//modB//
Ada_pos	melR//yoaG//deoB//dsbA//
AdiY_pos	amn//fliA//fucR//tynA//ydfH//efeU_2//yeaD//higB//
AgaR_neg	mqsA//lsrC//rnlA//cvpA//pqiA//atoB//modB//dsbG//mpaA//potI//hemL//
AidB_neg	lamB//
AlaS_neg	appX//
AllR_neg	galP//gntP//yfdE//sulA//dacC//alsE//ygeA//lacZ//wecE//
AllS_pos	rbsD//fadB//narK//
AlsR_neg	flgL//adiC//malK//fliJ//melB//ybfE//
AppY_pos	paaD//ryhB//cynR//iscS//iclR//lrp//crp//ybdZ//entC//appA//
AraC_neg	nuoH//nfsB//yiiS//aceK//moeB//hycB//argB//fixC//
AraC_pos	wecE//fliK//cynS//nanM//tonB//rutE//fadE//mhpB//yfdX//nrfB//
ArgP_neg	emrY//
ArgP_pos	appC//mglC//cbl//ydfW//ygiC//aroH//mqsA//entD//oxc//hcaE//fruA//nmpC//yciX//
ArgR_neg	sufS//cysN//flgF//bioA//yjjZ//sucB//hokE//fhuD//nikB//lacY//acrZ//ycdZ//glcE//yafN//codA//malS//deoB//prpB//dsdA//nrdF//fliZ//argG//citG//agaI//nanA//rpoE//mdtA//malI//paaX//glcD//phnF//araC//glmU//
ArgR_pos	hcaC//cysJ//patD//gntU//bdcA//
ArsR_neg	yhbS//murG//patD//
AscG_neg	agaI//araF//yedX//fecR//kbaY//
AsnC_neg	fliH//sdhD//ruvA//
AsnC_pos	yhbS//
AtoC_pos	fepB//mraY//leuA//argF//
BaeR_pos	tbpA//asnB//ybdZ//frdC//htpG//ynjI//malF//obgE//
BasR_neg	tfaQ//glpT//
BasR_pos	yegZ//atoA//sucA//fadH//creC//flgL//ibaG//umuC//aceF//bioC//yccA//
BetI_neg	nfsB//hydN//yjjQ//gadF//
BirA_neg	ddpA//cvpA//citE//bacA//ygbA//
BluR_neg	nanS//cysP//cusS//gpmM//
BolA_neg	sufD//nanT//
BolA_pos	pdeL//fadD//
CadC_pos	mhpB//mazF//hdeB//
CaiF_pos	dinI//purR//frdB//ugpE//ydbD//psiF//dnaA//lacA//glnL//fldB//
Cbl_pos	aroL//hycC//treC//alaC//fecE//trpR//ilvY//uidB//iclR//
CdaR_pos	fixA//lsrD//dctR//sbmC//envC//exuR//argD//casB//trpC//bglG//
CecR_neg	pgpC//csgA//yciX//rhaA//dnaA//
ChbR_neg	rybB//cusA//ugpB//cvpA//grxD//ydhY//
ChbR_pos	motA//torR//flgM//carB//nanA//moaC//
ComR_neg	accA//
