#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	aceB//recN//
AcrR_neg	hybF//malF//ydeN//cdaR//fecC//tehB//omrA//fau//ahpF//hycC//evgA//
Ada_neg	fepD//yqhG//
Ada_pos	glgX//phnL//araH//omrA//
AdiY_pos	uvrC//hokD//wzyE//ddpF//yqjA//tdcG//moaA//nuoE//
AgaR_neg	paaI//rclB//murF//puuP//gadC//ydfE//ydeO//efeU_1//astB//ymiA//asnC//
AidB_neg	artM//
AlaS_neg	ssb//
AllR_neg	lldP//galR//ychF//ykgO//gadC//dinD//spy//araC//paaB//
AllS_pos	mhpD//cynR//cynS//
AlsR_neg	flgK//fliA//omrA//modC//cusB//hyfR//
AppY_pos	cyoA//casE//tktB//higB//ygbA//ydcU//tdcG//malP//pdeH//ycjG//
AraC_neg	napC//hybO//manZ//ygiZ//wzxE//oxc//flhB//lpxD//
AraC_pos	fixB//puuA//htpG//napC//dgcC//rutD//ssuA//umpH//ugpQ//emrA//
ArgP_neg	ydhT//
ArgP_pos	phnF//purR//gpmA//ftsK//cspI//ascF//sroC//znuC//rnpB//rpsO//hlyE//pspG//pflB//
ArgR_neg	nagB//phnE_2//ybhS//cysD//nikB//torC//insD//sdhC//flgD//ssuB//narJ//acrR//ascF//qseB//mgrB//fdnI//hyaA//acrB//purL//paaC//ulaC//gntT//wzzE//recC//casB//yebE//tpiA//flgM//ada//rpmI//pspE//malI//astE//
ArgR_pos	sgrS//hycB//ppdB//gltD//narG//
ArsR_neg	fabH//phnG//ttdB//
AscG_neg	lldD//codB//caiT//prpE//ydiV//
AsnC_neg	pnp//bluF//allS//
AsnC_pos	accA//
AtoC_pos	casC//hycA//phnC//oppA//
BaeR_pos	uxaC//pncB//yiaM//rpoD//ybjC//rclB//purD//copA//
BasR_neg	ccmC//idnK//
BasR_pos	sra//dgcN//citC//garR//casD//glnQ//gatY//yegH//mdtE//phnM//paaG//
BetI_neg	ccmE//puuC//nuoJ//ydfX//
BirA_neg	gcvB//hybD//pck//malI//hcaR//
BluR_neg	nuoC//hybO//hyfD//ihfA//
BolA_neg	ompC//deoA//
BolA_pos	napG//yaiA//
CadC_pos	folA//zraS//glk//
CaiF_pos	nrfA//fumB//eno//argA//frc//xylG//yfaE//dicC//prpC//rob//
Cbl_pos	fliH//fecD//uvrA//fdnH//slt//gadX//hydN//ybaT//ydeI//
CdaR_pos	marR//nirC//frdC//cusB//casC//glcB//codB//gabP//lpxC//bluF//
CecR_neg	flgB//ecpR//folE//dgcC//nanA//
ChbR_neg	hycA//argI//mtlR//nfo//hipA//ydcV//
ChbR_pos	hcaB//hyfB//nrfC//agaC//ttdB//yhjA//
ComR_neg	lsrD//
CpxR_neg	ydhV//oppD//deoA//dhaL//hybG//uspE//feoC//rpiR//rclC//hmp//narG//ykgO//chiP//mipA//baeR//phnJ//pqiB//flu//dcuR//yciF//nfsB//tnaC//nuoM//ruvB//
CpxR_pos	ftsI//speA//nrfE//gltI//nuoA//glgB//ddlB//nrfG//phoP//znuC//fucI//rhaT//hokE//pepA//narK//icd//sufA//znuB//ptsI//sufC//fhuB//hybC//fabI//zwf//gudD//yegZ//creD//artJ//nikB//hybD//ilvY//trpL//symE//tnaC//motA//cysK//argA//murD//puuA//pnp//hcaB//nanM//argA//yfiR//iraM//trpL//
Cra_neg	gspG//araE//ynbA//ybhL//dsbC//hypE//nrfA//artQ//yjbH//rseC//ybfN//mngA//sodB//ymjC//fliF//recD//baeS//stpA//pheM//wcaB//modA//nlpA//feoC//agaR//lon//mipA//ariR//envC//fldA//fabI//cysU//emrY//rcsA//fdnG//symE//allS//yedX//paaB//glgB//uspD//sulA//ddpC//ygiC//ynjI//aspC//ybiT//fliZ//ulaF//metY//cyaR//caiA//torA//astC//bdm//glpX//entD//prpC//gltI//fumB//
Cra_pos	flgM//pdeH//ydeN//purR//bioA//molR_1//allD//yhdX//csrC//sucA//yciE//malF//ccmA//gatB//rhaT//gspI//aroF//uxaB//flgH//nrdA//entF//dsrA//malS//
CreB_neg	phoQ//thrS//rbsB//
CreB_pos	slt//mtr//
CsgD_neg	chiP//ybiT//gntT//tomB//ascF//nirC//accB//bolA//yoeB//yjbF//cra//srlA//trxC//nanA//casD//
CsgD_pos	leuO//purA//ycjX//nrdF//yjeV//bglB//lsrK//rbsD//yqjI//nrfE//bglB//glnA//ybfE//
CsiR_neg	argE//ascB//phnL//xapA//fpr//
CspA_pos	ydcS//ydhV//
CueR_neg	flgM//nuoM//osmY//hycF//phnC//
CueR_pos	recB//galP//
CusR_pos	ybhS//dcuR//asnB//exuR//uidR//xylB//bioF//fliI//nrdB//ulaA//ydfD//yegR//
CynR_neg	wzc//
CynR_pos	malE//alaC//purH//
CysB_neg	caiE//agaB//araA//sfsB//gspG//cadA//ccmE//
CysB_pos	astA//astA//pitB//fepE//napH//gatD//yeiB//yebG//yciX//ymjD//aceB//ynfH//hokE//nirC//cyoA//talA//hycG//uxaC//metB//bhsA//rbsC//gcvB//yaiW//uxaC//mazG//
CytR_neg	napB//nrfE//hha//hcaC//hycE//feaR//pnp//agaS//seqA//cysC//phoA//dmsC//hypE//
Dan_pos	ruvA//qseC//cysH//sucD//
DcuR_pos	fadA//dcuA//dicC//glgB//rseA//dpiB//waaZ//adhE//argH//
DeoR_neg	zraS//caiT//ynbB//hdeB//gcvB//ccmC//
DhaR_neg	rutC//
DhaR_pos	ulaA//uidR//frdA//
DicA_neg	sucD//lysR//xylH//yfbR//nuoJ//yidQ//rbsK//lacA//
DinJ-YafQ_neg	umpH//cyoE//sucA//
DnaA_neg	tnaA//yhjA//ppiD//pstS//mglC//gyrA//rob//gspD//argG//murE//ygiZ//
DnaA_pos	hybB//chbR//bioF//hypD//potF//ulaE//dhaK//
DpiA_neg	wzb//
DpiA_pos	yiiS//fliR//flgL//murP//nagC//udp//ddpA//nuoM//yidL//leuL//
DsdC_neg	ugpE//
DsdC_pos	tsgA//dpiB//
EbgR_neg	deoC//gabD//
EnvR_neg	phnP//yhdX//
EnvY_pos	alkB//luxS//
